"Citation"	"PMID"	"Year Published"	"Data Used"	"Process"	"Equation"	"Notes"
	8672449	1996	3	"metabolism"	"Metabolite"	"kinetics"
	8689233	1996	1	"metabolism"	"Metabolite"	"kinetics"
	8706750	1996	5	"metabolism"	"Metabolite"	"kinetics"
	8706854	1996	3	"metabolism"	"Metabolite"	"kinetics"
	8831972	1997	2	"metabolism"	"Metabolite"	"kinetics"
	8969520	1997	1	"metabolism"	"Metabolite"	"kinetics"
	8973190	1997	2	"metabolism"	"Metabolite"	"kinetics"
	8976565	1997	3	"metabolism"	"Metabolite"	"kinetics"
	9003442	1997	2	"metabolism"	"Metabolite"	"kinetics"
	9015391	1997	1	"metabolism"	"Metabolite"	"kinetics"
	9056491	1997	2	"metabolism"	"Metabolite"	"kinetics"
	9100006	1997	4	"metabolism"	"Metabolite"	"kinetics"
	9211277	1997	2	"metabolism"	"Metabolite"	"kinetics"
	9211333	1997	2	"metabolism"	"Metabolite"	"kinetics"
	9266856	1997	4	"metabolism"	"Metabolite"	"kinetics"
	9391059	1998	1	"metabolism"	"Metabolite"	"kinetics"
	9398312	1998	1	"metabolism"	"Metabolite"	"kinetics"
	9442062	1998	1	"metabolism"	"Metabolite"	"kinetics"
	9492273	1998	1	"metabolism"	"Metabolite"	"kinetics"
	9548961	1998	1	"metabolism"	"Metabolite"	"kinetics"
	9581571	1998	1	"metabolism"	"Metabolite"	"kinetics"
	9607323	1998	1	"metabolism"	"Metabolite"	"kinetics"
	9610360	1998	1	"metabolism"	"Metabolite"	"kinetics"
	9657697	1998	4	"metabolism"	"Metabolite"	"kinetics"
	9748544	1998	3	"metabolism"	"Metabolite"	"kinetics"
	9772162	1998	5	"metabolism"	"Metabolite"	"kinetics"
	9878448	1999	2	"metabolism"	"Metabolite"	"kinetics"
	9927652	1999	2	"metabolism"	"Metabolite"	"kinetics"
	10026151	1999	2	"metabolism"	"Metabolite"	"kinetics"
	10074354	1999	1	"metabolism"	"Metabolite"	"kinetics"
	10225425	1999	1	"metabolism"	"Metabolite"	"kinetics"
	10231382	1999	1	"metabolism"	"Metabolite"	"kinetics"
	10353839	1999	4	"metabolism"	"Metabolite"	"kinetics"
	10387054	1999	2	"metabolism"	"Metabolite"	"kinetics"
	10406936	1999	2	"metabolism"	"Metabolite"	"kinetics"
	10480918	1999	2	"metabolism"	"Metabolite"	"kinetics"
	10529181	1999	1	"metabolism"	"Metabolite"	"kinetics"
	10542272	1999	1	"metabolism"	"Metabolite"	"kinetics"
	10642176	2000	2	"metabolism"	"Metabolite"	"kinetics"
	10757968	2000	1	"metabolism"	"Metabolite"	"kinetics"
	10769117	2000	5	"metabolism"	"Metabolite"	"kinetics"
	10769128	2000	1	"metabolism"	"Metabolite"	"kinetics"
	10820011	2000	1	"metabolism"	"Metabolite"	"kinetics"
	10821675	2000	1	"metabolism"	"Metabolite"	"kinetics"
	10828971	2000	1	"metabolism"	"Metabolite"	"kinetics"
	10831428	2000	3	"metabolism"	"Metabolite"	"kinetics"
	10989422	2000	12	"metabolism"	"Metabolite"	"kinetics"
	11084021	2001	1	"metabolism"	"Metabolite"	"kinetics"
	11094340	2000	1	"metabolism"	"Metabolite"	"kinetics"
	11106175	2001	2	"metabolism"	"Metabolite"	"kinetics"
	11237876	2001	4	"metabolism"	"Metabolite"	"kinetics"
	11342129	2001	1	"metabolism"	"Metabolite"	"kinetics"
	11380254	2001	1	"metabolism"	"Metabolite"	"kinetics"
	11488932	2001	4	"metabolism"	"Metabolite"	"kinetics"
	11515538	2001	1	"metabolism"	"Metabolite"	"kinetics"
	11527960	2001	1	"metabolism"	"Metabolite"	"kinetics"
	11604533	2001	1	"metabolism"	"Metabolite"	"kinetics"
	11686925	2001	1	"metabolism"	"Metabolite"	"kinetics"
	11724562	2001	2	"metabolism"	"Metabolite"	"kinetics"
	11736651	2001	2	"metabolism"	"Metabolite"	"kinetics"
	11741871	2001	5	"metabolism"	"Metabolite"	"kinetics"
	11747300	2001	2	"metabolism"	"Metabolite"	"kinetics"
	11747447	2001	1	"metabolism"	"Metabolite"	"kinetics"
	11803023	2002	2	"metabolism"	"Metabolite"	"kinetics"
	11814333	2002	1	"metabolism"	"Metabolite"	"kinetics"
	11934293	2002	1	"metabolism"	"Metabolite"	"kinetics"
	11967363	2002	3	"metabolism"	"Metabolite"	"kinetics"
	12021453	2002	2	"metabolism"	"Metabolite"	"kinetics"
	12097643	2002	2	"metabolism"	"Metabolite"	"kinetics"
	12135357	2002	3	"metabolism"	"Metabolite"	"kinetics"
	12356303	2002	1	"metabolism"	"Metabolite"	"kinetics"
	12370189	2002	2	"metabolism"	"Metabolite"	"kinetics"
	12383057	2003	4	"metabolism"	"Metabolite"	"kinetics"
	12517338	2003	1	"metabolism"	"Metabolite"	"kinetics"
	12535615	2003	4	"metabolism"	"Metabolite"	"kinetics"
	12627979	2003	3	"metabolism"	"Metabolite"	"kinetics"
	12637497	2003	7	"metabolism"	"Metabolite"	"kinetics"
	12706338	2003	6	"metabolism"	"Metabolite"	"kinetics"
	12711733	2003	1	"metabolism"	"Metabolite"	"kinetics"
	12805358	2003	2	"metabolism"	"Metabolite"	"kinetics"
	12824188	2003	2	"metabolism"	"Metabolite"	"kinetics"
	12937174	2003	2	"metabolism"	"Metabolite"	"kinetics"
	12975365	2003	1	"metabolism"	"Metabolite"	"kinetics"
	13785427	1961	1	"metabolism"	"Metabolite"	"kinetics"
	14556652	2004	1	"metabolism"	"Metabolite"	"kinetics"
	14597191	2003	1	"metabolism"	"Metabolite"	"kinetics"
	14640961	2003	2	"metabolism"	"Metabolite"	"kinetics"
	14690420	2003	3	"metabolism"	"Metabolite"	"kinetics"
	14767072	2004	3	"metabolism"	"Metabolite"	"kinetics"
	14970394	2004	2	"metabolism"	"Metabolite"	"kinetics"
	14982443	2004	2	"metabolism"	"Metabolite"	"kinetics"
	15049687	2004	2	"metabolism"	"Metabolite"	"kinetics"
	15066435	2004	1	"metabolism"	"Metabolite"	"kinetics"
	15110746	2004	4	"metabolism"	"Metabolite"	"kinetics"
	15157072	2004	6	"metabolism"	"Metabolite"	"kinetics"
	15248753	2004	2	"metabolism"	"Metabolite"	"kinetics"
	15249053	2004	2	"metabolism"	"Metabolite"	"kinetics"
	15271350	2004	1	"metabolism"	"Metabolite"	"kinetics"
	15289581	2004	4	"metabolism"	"Metabolite"	"kinetics"
	15308670	2004	2	"metabolism"	"Metabolite"	"kinetics"
	15362869	2004	2	"metabolism"	"Metabolite"	"kinetics"
	15379557	2004	1	"metabolism"	"Metabolite"	"kinetics"
	15489502	2004	14	"metabolism"	"Metabolite"	"kinetics"
	15489861	2004	1	"metabolism"	"Metabolite"	"kinetics"
	15498577	2004	2	"metabolism"	"Metabolite"	"kinetics"
	15531627	2004	2	"metabolism"	"Metabolite"	"kinetics"
	15654896	2005	3	"metabolism"	"Metabolite"	"kinetics"
	15658853	2005	1	"metabolism"	"Metabolite"	"kinetics"
	15680231	2005	1	"metabolism"	"Metabolite"	"kinetics"
	15723541	2005	1	"metabolism"	"Metabolite"	"kinetics"
	15796715	2005	3	"metabolism"	"Metabolite"	"kinetics"
	15797252	2005	3	"metabolism"	"Metabolite"	"kinetics"
	15843156	2005	1	"metabolism"	"Metabolite"	"kinetics"
	15938625	2005	2	"metabolism"	"Metabolite"	"kinetics"
	15967977	2005	1	"metabolism"	"Metabolite"	"kinetics"
	16023116	2005	2	"metabolism"	"Metabolite"	"kinetics"
	16039592	2005	4	"metabolism"	"Metabolite"	"kinetics"
	16077126	2005	4	"metabolism"	"Metabolite"	"kinetics"
	16101288	2005	1	"metabolism"	"Metabolite"	"kinetics"
	16199563	2005	2	"metabolism"	"Metabolite"	"kinetics"
	16201833	2005	2	"metabolism"	"Metabolite"	"kinetics"
	16221850	2005	1	"metabolism"	"Metabolite"	"kinetics"
	16297670	2006	3	"metabolism"	"Metabolite"	"kinetics"
	16427816	2006	2	"metabolism"	"Metabolite"	"kinetics"
	16436710	2006	2	"metabolism"	"Metabolite"	"kinetics"
	16464851	2006	2	"metabolism"	"Metabolite"	"kinetics"
	16480719	2006	1	"metabolism"	"Metabolite"	"kinetics"
	16567800	2006	3	"metabolism"	"Metabolite"	"kinetics"
	16672604	2006	3	"metabolism"	"Metabolite"	"kinetics"
	16731973	2006	2	"metabolism"	"Metabolite"	"kinetics"
	16766526	2006	4	"metabolism"	"Metabolite"	"kinetics"
	16793549	2006	2	"metabolism"	"Metabolite"	"kinetics"
	16813561	2006	4	"metabolism"	"Metabolite"	"kinetics"
	16829675	2006	3	"metabolism"	"Metabolite"	"kinetics"
	16843487	2006	1	"metabolism"	"Metabolite"	"kinetics"
	16864571	2006	2	"metabolism"	"Metabolite"	"kinetics"
	16966333	2006	1	"metabolism"	"Metabolite"	"kinetics"
	16981730	2006	3	"metabolism"	"Metabolite"	"kinetics"
	16990279	2006	15	"metabolism"	"Metabolite"	"kinetics"
	16990935	2006	2	"metabolism"	"Metabolite"	"kinetics"
	17059210	2006	1	"metabolism"	"Metabolite"	"kinetics"
	17079236	2006	2	"metabolism"	"Metabolite"	"kinetics"
	17123542	2006	2	"metabolism"	"Metabolite"	"kinetics"
	17176045	2007	2	"metabolism"	"Metabolite"	"kinetics"
	17240978	2007	1	"metabolism"	"Metabolite"	"kinetics"
	17309433	2007	1	"metabolism"	"Metabolite"	"kinetics"
	17401542	2007	3	"metabolism"	"Metabolite"	"kinetics"
	17442255	2007	2	"metabolism"	"Metabolite"	"kinetics"
	17535911	2007	1	"metabolism"	"Metabolite"	"kinetics"
	17542990	2007	3	"metabolism"	"Metabolite"	"kinetics"
	17557829	2007	6	"metabolism"	"Metabolite"	"kinetics"
	17559838	2007	1	"metabolism"	"Metabolite"	"kinetics"
	17568739	2007	3	"metabolism"	"Metabolite"	"kinetics"
	17616624	2007	1	"metabolism"	"Metabolite"	"kinetics"
	17635929	2007	2	"metabolism"	"Metabolite"	"kinetics"
	17698004	2007	3	"metabolism"	"Metabolite"	"kinetics"
	17947381	2007	1	"metabolism"	"Metabolite"	"kinetics"
	17996716	2008	1	"metabolism"	"Metabolite"	"kinetics"
	18056714	2008	1	"metabolism"	"Metabolite"	"kinetics"
	18081839	2008	2	"metabolism"	"Metabolite"	"kinetics"
	18083802	2008	3	"metabolism"	"Metabolite"	"kinetics"
	18085797	2008	1	"metabolism"	"Metabolite"	"kinetics"
	18284213	2008	1	"metabolism"	"Metabolite"	"kinetics"
	18353368	2008	6	"metabolism"	"Metabolite"	"kinetics"
	18390652	2008	1	"metabolism"	"Metabolite"	"kinetics"
	18411271	2008	2	"metabolism"	"Metabolite"	"kinetics"
	18458150	2008	4	"metabolism"	"Metabolite"	"kinetics"
	18459799	2008	4	"metabolism"	"Metabolite"	"kinetics"
	18567546	2008	2	"metabolism"	"Metabolite"	"kinetics"
	18576672	2008	1	"metabolism"	"Metabolite"	"kinetics"
	18754693	2008	2	"metabolism"	"Metabolite"	"kinetics"
	18837509	2008	1	"metabolism"	"Metabolite"	"kinetics"
	18990827	2008	2	"metabolism"	"Metabolite"	"kinetics"
	19073594	2009	8	"metabolism"	"Metabolite"	"kinetics"
	19099445	2009	1	"metabolism"	"Metabolite"	"kinetics"
	19140736	2009	4	"metabolism"	"Metabolite"	"kinetics"
	19307712	2009	2	"metabolism"	"Metabolite"	"kinetics"
	19370061	2009	4	"metabolism"	"Metabolite"	"kinetics"
	19384989	2009	4	"metabolism"	"Metabolite"	"kinetics"
	19583219	2009	1	"metabolism"	"Metabolite"	"kinetics"
	19664587	2009	1	"metabolism"	"Metabolite"	"kinetics"
	19678710	2009	1	"metabolism"	"Metabolite"	"kinetics"
	19797049	2009	2	"metabolism"	"Metabolite"	"kinetics"
	19883126	2009	1	"metabolism"	"Metabolite"	"kinetics"
	20050615	2010	1	"metabolism"	"Metabolite"	"kinetics"
	20136146	2010	1	"metabolism"	"Metabolite"	"kinetics"
	20160120	2010	2	"metabolism"	"Metabolite"	"kinetics"
	20170126	2010	4	"metabolism"	"Metabolite"	"kinetics"
	20364820	2010	1	"metabolism"	"Metabolite"	"kinetics"
	20416269	2010	2	"metabolism"	"Metabolite"	"kinetics"
	20452364	2010	1	"metabolism"	"Metabolite"	"kinetics"
	20480490	2010	1	"metabolism"	"Metabolite"	"kinetics"
	20498377	2010	2	"metabolism"	"Metabolite"	"kinetics"
	20553497	2010	1	"metabolism"	"Metabolite"	"kinetics"
	20717852	2011	1	"metabolism"	"Metabolite"	"kinetics"
	20853825	2010	6	"metabolism"	"Metabolite"	"kinetics"
	20887711	2010	2	"metabolism"	"Metabolite"	"kinetics"
	21046341	2010	10	"metabolism"	"Metabolite"	"kinetics"
	21059411	2011	7	"metabolism"	"Metabolite"	"kinetics"
	21081107	2011	2	"metabolism"	"Metabolite"	"kinetics"
	21119630	2010	3	"metabolism"	"Metabolite"	"kinetics"
	21169495	2011	2	"metabolism"	"Metabolite"	"kinetics"
	21278708	2011	2	"metabolism"	"Metabolite"	"kinetics"
	21279421	2011	1	"metabolism"	"Metabolite"	"kinetics"
	21296885	2011	1	"metabolism"	"Metabolite"	"kinetics"
	21298178	2011	3	"metabolism"	"Metabolite"	"kinetics"
	21669179	2011	2	"metabolism"	"Metabolite"	"kinetics"
	21696459	2011	1	"metabolism"	"Metabolite"	"kinetics"
	21704016	2011	1	"metabolism"	"Metabolite"	"kinetics"
	21832062	2011	2	"metabolism"	"Metabolite"	"kinetics"
	21928762	2011	2	"metabolism"	"Metabolite"	"kinetics"
	21998098	2011	1	"metabolism"	"Metabolite"	"kinetics"
	22017312	2011	2	"metabolism"	"Metabolite"	"kinetics"
	22059588	2011	1	"metabolism"	"Metabolite"	"kinetics"
	22138634	2012	2	"metabolism"	"Metabolite"	"kinetics"
	22173092	2012	1	"metabolism"	"Metabolite"	"kinetics"
	22411989	2012	3	"metabolism"	"Metabolite"	"kinetics"
	22443469	2012	1	"metabolism"	"Metabolite"	"kinetics"
	22471615	2013	1	"metabolism"	"Metabolite"	"kinetics"
	22970852	2012	1	"metabolism"	"Metabolite"	"kinetics"
	22984449	2012	1	"metabolism"	"Metabolite"	"kinetics"
	23001854	2013	1	"metabolism"	"Metabolite"	"kinetics"
	23018273	2012	1	"metabolism"	"Metabolite"	"kinetics"
	23237860	2013	3	"metabolism"	"Metabolite"	"kinetics"
	23484010	2013	1	"metabolism"	"Metabolite"	"kinetics"
	23564174	2013	1	"metabolism"	"Metabolite"	"kinetics"
	23879525	2013	2	"metabolism"	"Metabolite"	"kinetics"
	23935849	2013	3	"metabolism"	"Metabolite"	"kinetics"
	24123841	2013	1	"metabolism"	"Metabolite"	"kinetics"
	24210219	2013	3	"metabolism"	"Metabolite"	"kinetics"
	24479701	2014	2	"metabolism"	"Metabolite"	"kinetics"
	24509771	2014	8	"metabolism"	"Metabolite"	"kinetics"
	24530526	2014	1	"metabolism"	"Metabolite"	"kinetics"
	25160617	2014	6	"metabolism"	"Metabolite"	"kinetics"
	25225400	2014	1	"metabolism"	"Metabolite"	"kinetics"
	25484615	2014	1	"metabolism"	"Metabolite"	"kinetics"
"Barbas, C.F.; Wang, Y.F.; Wong, C.H. Deoxyribose-5-phosphate aldolase as a synthetic catalyst J. Am. Chem. Soc. 112 2013-2014 1990"		1990	1	"metabolism"	"Metabolite"	"kinetics"
"Chiu, T.H.; Evans, K.L.; Feingold, D.S. L-Rhamnulose-1-phosphate aldolase Methods Enzymol. 42C 264-269 1975"		1975	1	"metabolism"	"Metabolite"	"kinetics"
"Kiick, K.L.; Tirrell, D.A. Protein Engineering by In Vivo Incorporation of Non-Natural Amino Acids: Control of Incorporation of Methionine Analogues by Methionyl-tRNA Synthetase Tetrahedron 56 9487-9493 2000"		2000	2	"metabolism"	"Metabolite"	"kinetics"
"Kruger, N.J. Effects of temperature on the kinetic properties of phosphofructokinase from Escherichia coli Biochem. Soc. Trans. 17 760-761 1989 Escherichia coli ; 0 0"		1989	1	"metabolism"	"Metabolite"	"kinetics"
"Mino, K et al Effects of Bienzyme Complex Formation of Cysteine Synthetase from Escherichia coli on Some Properties and Kinetics. 2014. Bioscience, Biotechnology, and Biochemistry"		2014	3	"metabolism"	"Metabolite"	"kinetics"
"Sheperdson, M.; Pardee, A.B. Production and crystallization of aspartate transcarbamylase J. Biol. Chem. 235 3233-3237 1960"		1960	1	"metabolism"	"Metabolite"	"kinetics"
"Zhang, Q.; Liu, H.w. Studies of UDP-galactopyranose mutase from Escherichia coli: An unusual role of reduced FAD in its catalysis J. Am. Chem. Soc. 122 9065-9070 2000"		2000	1	"metabolism"	"Metabolite"	"kinetics"
"http://www.ncbi.nlm.nih.gov/pubmed/2994567"		1985	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://gene.bio.jhu.edu/Ourspdf/89.pdf"	"9367758?"	1997	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://jb.asm.org/content/177/10/2798.full.pdf+html"		1995	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://jb.asm.org/content/179/1/228.full.pdf"		1997	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://jb.asm.org/content/194/18/5110.full.pdf"		2012	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0057712"		2013	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://link.springer.com/chapter/10.1007%2F7171_2006_088"		2007	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://mmbr.asm.org/content/57/2/320.full.pdf"		1993	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://nar.oxfordjournals.org/content/early/2012/12/14/nar.gks1207.full.pdf"		2012	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://nar.oxfordjournals.org/content/early/2015/01/05/nar.gku1374.full"		2015	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://pubs.acs.org/doi/pdf/10.1021/bi901158h"		2009	1	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
"http://pubs.rsc.org/En/content/articlepdf/2015/mt/c4mt00180j"		2014	2	"signal transduction"	"RNA"	"from BindingStimuliTFs Kds.xlsx"
