Generated by runscripts/reflect/model_inspection.py on Wed Jul 10 14:47:07 2019
Gene	RNA ID	Monomer ID	Process
aas	EG11679_RNA	AAS-MONOMER	Metabolism
aat	EG11112_RNA	EG11112-MONOMER	Metabolism
accA	EG11647_RNA	CARBOXYL-TRANSFERASE-ALPHA-MONOMER	Metabolism
accC	EG10276_RNA	BIOTIN-CARBOXYL-MONOMER	Metabolism
accD	EG10217_RNA	CARBOXYL-TRANSFERASE-BETA-MONOMER	Metabolism
aceE	EG10024_RNA	E1P-MONOMER	Metabolism
aceF	EG10025_RNA	E2P-MONOMER	Metabolism
ackA	EG10027_RNA	ACETATEKINA-MONOMER	Metabolism
acnA	EG11325_RNA	ACONITASE-MONOMER	Metabolism
acnB	EG12316_RNA	ACONITATEDEHYDRB-MONOMER	Metabolism
acpH	EG11095_RNA	EG11095-MONOMER	Metabolism
acpS	EG10247_RNA	HOLO-ACP-SYNTH-MONOMER	Metabolism
acpT	EG12221_RNA	EG12221-MONOMER	Metabolism
acrA	EG11703_RNA	EG11703-MONOMER	Metabolism
acrB	EG11704_RNA	ACRB-MONOMER	Metabolism
acs	EG11448_RNA	ACS-MONOMER	Metabolism
add	EG10030_RNA	ADENODEAMIN-MONOMER	Metabolism
ade	EG11692_RNA	EG11692-MONOMER	Metabolism
adhE	EG10031_RNA	ADHE-MONOMER	Metabolism
adhP	G6775_RNA	ADHP-MONOMER	Metabolism
adiA	EG11501_RNA	ARGDECARBOXDEG-MONOMER	Metabolism
adk	EG10032_RNA	ADENYL-KIN-MONOMER	Metabolism
ahr	EG11436_RNA	EG11436-MONOMER	Metabolism
aidB	EG11811_RNA	EG11811-MONOMER	Metabolism
alaA	G7184_RNA	G7184-MONOMER	Metabolism
alaC	G7242_RNA	G7242-MONOMER	Metabolism
alaE	G7399_RNA	G7399-MONOMER	Metabolism
alaS	EG10034_RNA	ALAS-MONOMER	Metabolism
aldA	EG10035_RNA	LACTALDDEHYDROG-MONOMER	Metabolism
aldB	EG12292_RNA	ALDDEHYDROGB-MONOMER	Metabolism
allB	G6281_RNA	G6281-MONOMER	Metabolism
allC	G6285_RNA	G6285-MONOMER	Metabolism
allE	G6284_RNA	G6284-MONOMER	Metabolism
alr	EG10001_RNA	ALARACEBIOSYN-MONOMER	Metabolism
alsA	EG11959_RNA	YJCW-MONOMER	Metabolism
alsB	EG12458_RNA	YJCX-MONOMER	Metabolism
alsC	EG11958_RNA	YJCV-MONOMER	Metabolism
alsE	EG11957_RNA	EG11957-MONOMER	Metabolism
alsK	EG11956_RNA	EG11956-MONOMER	Metabolism
amn	EG10039_RNA	AMP-NUCLEOSID-MONOMER	Metabolism
amtB	EG11821_RNA	AMTB-MONOMER	Metabolism
ansA	EG10045_RNA	ANSA-MONOMER	Metabolism
ansB	EG10046_RNA	ANSB-MONOMER	Metabolism
ansP	G6764_RNA	ANSP-MONOMER	Metabolism
apaH	EG10048_RNA	EG10048-MONOMER	Metabolism
aphA	EG11934_RNA	APHA-MONOMER	Metabolism
appA	EG10049_RNA	APPA-MONOMER	Metabolism
appB	EG11379_RNA	APPB-MONOMER	Metabolism
appC	EG11380_RNA	APPC-MONOMER	Metabolism
apt	EG10051_RNA	ADENPRIBOSYLTRAN-MONOMER	Metabolism
aqpZ	EG13270_RNA	AQPZ-MONOMER	Metabolism
araA	EG10052_RNA	ARABISOM-MONOMER	Metabolism
araB	EG10053_RNA	RIBULOKIN-MONOMER	Metabolism
araC	EG10054_RNA	PD00242	Transcription Regulation
araD	EG10055_RNA	RIBULPEPIM-MONOMER	Metabolism
araE	EG10056_RNA	ARAE-MONOMER	Metabolism
araF	EG10057_RNA	ARAF-MONOMER	Metabolism
araG	EG10058_RNA	ARAG-MONOMER	Metabolism
araH	EG10059_RNA	ARAH-MONOMER	Metabolism
arcA	EG10061_RNA	ARCA-MONOMER	Transcription Regulation
argA	EG10063_RNA	N-ACETYLTRANSFER-MONOMER	Metabolism
argB	EG10064_RNA	ACETYLGLUTKIN-MONOMER	Metabolism
argC	EG10065_RNA	N-ACETYLGLUTPREDUCT-MONOMER	Metabolism
argD	EG10066_RNA	ACETYLORNTRANSAM-MONOMER	Metabolism
argE	EG11286_RNA	ACETYLORNDEACET-MONOMER	Metabolism
argF	EG10067_RNA	CHAINF-MONOMER	Metabolism
argG	EG10068_RNA	ARGSUCCINSYN-MONOMER	Metabolism
argH	EG11223_RNA	ARGSUCCINLYA-MONOMER	Metabolism
argI	EG10069_RNA	CHAINI-MONOMER	Metabolism
argP	EG10490_RNA	EG10490-MONOMER	Transcription Regulation
argR	EG10070_RNA	PD00194	Transcription Regulation
argS	EG10071_RNA	ARGS-MONOMER	Metabolism
argT	EG10072_RNA	ARGT-MONOMER	Metabolism
arnA	G7168_RNA	G7168-MONOMER	Metabolism
arnB	G7166_RNA	G7166-MONOMER	Metabolism
aroA	EG10073_RNA	AROA-MONOMER	Metabolism
aroB	EG10074_RNA	AROB-MONOMER	Metabolism
aroC	EG10075_RNA	AROC-MONOMER	Metabolism
aroD	EG10076_RNA	AROD-MONOMER	Metabolism
aroE	EG10077_RNA	AROE-MONOMER	Metabolism
aroF	EG10078_RNA	AROF-MONOMER	Metabolism
aroG	EG10079_RNA	AROG-MONOMER	Metabolism
aroH	EG10080_RNA	AROH-MONOMER	Metabolism
aroK	EG10081_RNA	AROK-MONOMER	Metabolism
aroL	EG10082_RNA	AROL-MONOMER	Metabolism
aroP	EG10084_RNA	AROP-MONOMER	Metabolism
arsB	EG12236_RNA	ARSF-MONOMER	Metabolism
arsC	EG12237_RNA	EG12237-MONOMER	Metabolism
artJ	EG11628_RNA	ARTJ-MONOMER	Metabolism
artM	EG11627_RNA	ARTM-MONOMER	Metabolism
artP	EG11624_RNA	ARTP-MONOMER	Metabolism
artQ	EG11626_RNA	ARTQ-MONOMER	Metabolism
asd	EG10088_RNA	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	Metabolism
asnA	EG10091_RNA	ASNSYNA-MONOMER	Metabolism
asnB	EG10092_RNA	ASNSYNB-MONOMER	Metabolism
asnS	EG10094_RNA	ASNS-MONOMER	Metabolism
aspA	EG10095_RNA	ASPARTASE-MONOMER	Metabolism
aspC	EG10096_RNA	ASPAMINOTRANS-MONOMER	Metabolism
aspS	EG10097_RNA	ASPS-MONOMER	Metabolism
astA	G6943_RNA	ARGSUCCTRAN-MONOMER	Metabolism
astB	G6941_RNA	SUCCARGDIHYDRO-MONOMER	Metabolism
astC	G6944_RNA	SUCCORNTRANSAM-MONOMER	Metabolism
astD	G6942_RNA	SUCCGLUALDDEHYD-MONOMER	Metabolism
astE	G6940_RNA	SUCCGLUDESUCC-MONOMER	Metabolism
atoA	EG11670_RNA	ATOA-MONOMER	Metabolism
atoB	EG11672_RNA	ACETYL-COA-ACETYLTRANSFER-MONOMER	Metabolism
atoD	EG11669_RNA	ATOD-MONOMER	Metabolism
atpA	EG10098_RNA	ATPA-MONOMER	Metabolism
atpB	EG10099_RNA	ATPB-MONOMER	Metabolism
atpC	EG10100_RNA	ATPC-MONOMER	Metabolism
atpD	EG10101_RNA	ATPD-MONOMER	Metabolism
atpE	EG10102_RNA	ATPE-MONOMER	Metabolism
atpF	EG10103_RNA	ATPF-MONOMER	Metabolism
atpG	EG10104_RNA	ATPG-MONOMER	Metabolism
atpH	EG10105_RNA	ATPH-MONOMER	Metabolism
avtA	EG10107_RNA	VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	Metabolism
azoR	G6731_RNA	G6731-MONOMER	Metabolism
baeR	EG11618_RNA	BAER-MONOMER	Transcription Regulation
basR	EG11615_RNA	BASR-MONOMER	Transcription Regulation
betA	EG10109_RNA	CHD-MONOMER	Metabolism
betB	EG10110_RNA	BADH-MONOMER	Metabolism
betT	EG10112_RNA	BETT-MONOMER	Metabolism
bglF	EG10115_RNA	BGLF-MONOMER	Metabolism
bglJ	G7948_RNA	G7948-MONOMER	Transcription Regulation
bioA	EG10117_RNA	DAPASYN-MONOMER	Metabolism
bioB	EG10118_RNA	BIOTIN-SYN-MONOMER	Metabolism
bioC	EG10119_RNA	EG10119-MONOMER	Metabolism
bioD	EG10120_RNA	DETHIOBIOTIN-SYN-MONOMER	Metabolism
bioF	EG10121_RNA	7KAPSYN-MONOMER	Metabolism
bioH	EG10122_RNA	EG10122-MONOMER	Metabolism
birA	EG10123_RNA	BIOTINLIG-MONOMER	Metabolism
bisC	EG10124_RNA	EG10124-MONOMER	Metabolism
brnQ	EG12168_RNA	BRNQ-MONOMER	Metabolism
btuE	EG10129_RNA	BTUE-MONOMER	Metabolism
cadA	EG10131_RNA	LYSDECARBOX-MONOMER	Metabolism
cadB	EG10132_RNA	CADB-MONOMER	Metabolism
can	EG12319_RNA	EG12319-MONOMER	Metabolism
carA	EG10134_RNA	CARBPSYN-SMALL	Metabolism
carB	EG10135_RNA	CARBPSYN-LARGE	Metabolism
cdd	EG10137_RNA	CYTIDEAM-MONOMER	Metabolism
cdh	EG10138_RNA	CDPDIGLYPYPHOSPHA-MONOMER	Metabolism
cdsA	EG10139_RNA	CDPDIGLYSYN-MONOMER	Metabolism
chaA	EG11753_RNA	CHAA-MONOMER	Metabolism
cheR	EG10148_RNA	CHER-MONOMER	Metabolism
citC	G6344_RNA	CITC-MONOMER	Metabolism
clcA	EG12331_RNA	YADQ-MONOMER	Metabolism
clsA	EG11608_RNA	CARDIOLIPSYN-MONOMER	Metabolism
clsB	G6406_RNA	G6406-MONOMER	Metabolism
clsC	G6551_RNA	G6551-MONOMER	Metabolism
cmk	EG11265_RNA	CMPKI-MONOMER	Metabolism
coaA	EG10922_RNA	PANTOTHENATE-KIN-MONOMER	Metabolism
coaD	EG11190_RNA	PANTEPADENYLYLTRAN-MONOMER	Metabolism
coaE	EG12312_RNA	EG12312-MONOMER	Metabolism
codA	EG11326_RNA	CYTDEAM-MONOMER	Metabolism
cof	G6246_RNA	G6246-MONOMER	Metabolism
copA	G6260_RNA	G6260-MONOMER	Metabolism
corA	EG11463_RNA	CORA-MONOMER	Metabolism
cpdA	G7579_RNA	G7579-MONOMER	Metabolism
cpsB	EG10161_RNA	MANNPGUANYLTRANGDP-MONOMER	Metabolism
cpsG	EG10162_RNA	PHOSMANMUT-MONOMER	Metabolism
crr	EG10165_RNA	CRR-MONOMER	Metabolism
csdA	G7454_RNA	G7454-MONOMER	Metabolism
cueO	EG12318_RNA	EG12318-MONOMER	Metabolism
cyaA	EG10170_RNA	ADENYLATECYC-MONOMER	Metabolism
cycA	EG12504_RNA	CYCA-MONOMER	Metabolism
cydA	EG10173_RNA	CYDA-MONOMER	Metabolism
cydB	EG10174_RNA	CYDB-MONOMER	Metabolism
cydC	EG10012_RNA	CYDC-MONOMER	Metabolism
cydD	EG11405_RNA	CYDD-MONOMER	Metabolism
cynT	EG10176_RNA	CARBODEHYDRAT-MONOMER	Metabolism
cyoA	EG10178_RNA	CYOA-MONOMER	Metabolism
cyoB	EG10179_RNA	CYOB-MONOMER	Metabolism
cyoC	EG10180_RNA	CYOC-MONOMER	Metabolism
cyoD	EG10181_RNA	CYOD-MONOMER	Metabolism
cyoE	EG10182_RNA	HEMEOSYN-MONOMER	Metabolism
cysA	EG10183_RNA	CYSA-MONOMER	Metabolism
cysC	EG10185_RNA	ADENYLYLSULFKIN-MONOMER	Metabolism
cysD	EG10186_RNA	CYSD-MONOMER	Metabolism
cysE	EG10187_RNA	SERINE-O-ACETTRAN-MONOMER	Metabolism
cysG	EG10188_RNA	SIROHEMESYN-MONOMER	Metabolism
cysH	EG10189_RNA	PAPSSULFOTRANS-MONOMER	Metabolism
cysI	EG10190_RNA	BETACOMP-MONOMER	Metabolism
cysJ	EG10191_RNA	ALPHACOMP-MONOMER	Metabolism
cysK	EG10192_RNA	ACSERLYA-MONOMER	Metabolism
cysM	EG10193_RNA	ACSERLYB-MONOMER	Metabolism
cysN	EG10194_RNA	CYSN-MONOMER	Metabolism
cysP	EG10195_RNA	CYSP-MONOMER	Metabolism
cysQ	EG10043_RNA	EG10043-MONOMER	Metabolism
cysS	EG10196_RNA	CYSS-MONOMER	Metabolism
cysU	EG10197_RNA	CYST-MONOMER	Metabolism
cysW	EG10198_RNA	CYSW-MONOMER	Metabolism
cytR	EG10200_RNA	PD04028	Transcription Regulation
dadA	EG11407_RNA	DALADEHYDROGA-MONOMER	Metabolism
dadX	EG11408_RNA	ALARACECAT-MONOMER	Metabolism
dapA	EG10205_RNA	DIHYDRODIPICSYN-MONOMER	Metabolism
dapB	EG10206_RNA	DIHYDROPICRED-MONOMER	Metabolism
dapD	EG10207_RNA	MONOMER0-2001	Metabolism
dapE	EG10208_RNA	MONOMER0-1981	Metabolism
dapF	EG10209_RNA	DIAMINOPIMEPIM-MONOMER	Metabolism
dauA	EG12392_RNA	YCHM-MONOMER	Metabolism
dcd	EG11418_RNA	DCTP-DEAM-MONOMER	Metabolism
dctA	EG20044_RNA	DCTA-MONOMER	Metabolism
dcuA	EG11225_RNA	DCUA-MONOMER	Metabolism
dcuB	EG10006_RNA	DCUB-MONOMER	Metabolism
dcuR	G7826_RNA	DCUR-MONOMER	Transcription Regulation
dcyD	G7038_RNA	DCYSDESULF-MONOMER	Metabolism
ddlA	EG10213_RNA	DALADALALIGA-MONOMER	Metabolism
ddlB	EG10214_RNA	DALADALALIGB-MONOMER	Metabolism
ddpX	G6782_RNA	G6782-MONOMER	Metabolism
def	EG11440_RNA	EG11440-MONOMER	Metabolism
deoA	EG10219_RNA	DEOA-MONOMER	Metabolism
deoB	EG10220_RNA	PPENTOMUT-MONOMER	Metabolism
deoC	EG10221_RNA	DEOXYRIBOSE-P-ALD-MONOMER	Metabolism
deoD	EG10222_RNA	DEOD-MONOMER	Metabolism
dfp	EG10004_RNA	EG10004-MONOMER	Metabolism
dgkA	EG10224_RNA	DIACYLGLYKIN-MONOMER	Metabolism
dgoA	EG20049_RNA	DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	Metabolism
dgt	EG10225_RNA	DGTPTRIPHYDRO-MONOMER	Metabolism
dhaK	G6627_RNA	G6627-MONOMER	Metabolism
dhaL	G6626_RNA	MONOMER0-1261	Metabolism
dhaM	EG12399_RNA	EG12399-MONOMER	Metabolism
dkgA	G7565_RNA	MONOMER0-148	Metabolism
dkgB	EG11648_RNA	MONOMER0-149	Metabolism
dld	EG10231_RNA	DLACTDEHYDROGFAD-MONOMER	Metabolism
dmlA	G6986_RNA	G6986-MONOMER	Metabolism
dmsA	EG10232_RNA	DMSA-MONOMER	Metabolism
dmsB	EG10233_RNA	DMSB-MONOMER	Metabolism
dmsC	EG10234_RNA	DMSC-MONOMER	Metabolism
dnaA	EG10235_RNA	PD03831	Transcription Regulation
dppA	EG10248_RNA	DPPA-MONOMER	Metabolism
dppB	EG12625_RNA	DPPB-MONOMER	Metabolism
dppC	EG12626_RNA	DPPC-MONOMER	Metabolism
dppD	EG12627_RNA	DPPD-MONOMER	Metabolism
dppF	EG12628_RNA	DPPF-MONOMER	Metabolism
dsdA	EG10249_RNA	DSERDEAM-MONOMER	Metabolism
dtpB	EG12232_RNA	YHIP-MONOMER	Metabolism
dtpD	G6378_RNA	B0709-MONOMER	Metabolism
dut	EG10251_RNA	DUTP-PYROP-MONOMER	Metabolism
dxr	EG12715_RNA	DXPREDISOM-MONOMER	Metabolism
dxs	G6237_RNA	DXS-MONOMER	Metabolism
eamA	EG11639_RNA	EG11639-MONOMER	Metabolism
eamB	EG12445_RNA	EG12445-MONOMER	Metabolism
eda	EG10256_RNA	KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER	Metabolism
edd	EG10257_RNA	PGLUCONDEHYDRAT-MONOMER	Metabolism
efeB	EG11735_RNA	EG11735-MONOMER	Metabolism
emrE	EG10629_RNA	EMRE-MONOMER	Metabolism
emtA	G6622_RNA	G6622-MONOMER	Metabolism
eno	EG10258_RNA	ENOLASE-MONOMER	Metabolism
entA	EG10259_RNA	ENTA-MONOMER	Metabolism
entC	EG10261_RNA	ENTC-MONOMER	Metabolism
entD	EG10262_RNA	ENTD-MONOMER	Metabolism
entE	EG10263_RNA	ENTE-MONOMER	Metabolism
epd	EG10368_RNA	ERYTH4PDEHYDROG-MONOMER	Metabolism
epmB	G7836_RNA	G7836-MONOMER	Metabolism
eptB	EG12267_RNA	EG12267-MONOMER	Metabolism
etk	EG11826_RNA	EG11826-MONOMER	Metabolism
etp	G6503_RNA	G6503-MONOMER	Metabolism
eutB	EG50006_RNA	EUTB-MONOMER	Metabolism
eutC	EG50007_RNA	EUTC-MONOMER	Metabolism
eutD	G7288_RNA	G7288-MONOMER	Metabolism
exuT	EG12738_RNA	EXUT-MONOMER	Metabolism
fabA	EG10273_RNA	FABA-MONOMER	Metabolism
fabB	EG10274_RNA	FABB-MONOMER	Metabolism
fabD	EG11317_RNA	MALONYL-COA-ACP-TRANSACYL-MONOMER	Metabolism
fabF	EG12606_RNA	3-OXOACYL-ACP-SYNTHII-MONOMER	Metabolism
fabG	EG11318_RNA	3-OXOACYL-ACP-REDUCT-MONOMER	Metabolism
fabH	EG10277_RNA	FABH-MONOMER	Metabolism
fabI	EG11528_RNA	ENOYL-ACP-REDUCT-NADH-MONOMER	Metabolism
fabZ	EG11284_RNA	FABZ-MONOMER	Metabolism
fadA	EG10278_RNA	FADA-MONOMER	Metabolism
fadB	EG10279_RNA	FADB-MONOMER	Metabolism
fadD	EG11530_RNA	ACYLCOASYN-MONOMER	Metabolism
fadE	G6105_RNA	ACYLCOADEHYDROG-MONOMER	Metabolism
fadI	G7213_RNA	G7213-MONOMER	Metabolism
fadJ	G7212_RNA	G7212-MONOMER	Metabolism
fadK	EG12357_RNA	EG12357-MONOMER	Metabolism
fadL	EG10280_RNA	EG10280-MONOMER	Metabolism
fadM	G6244_RNA	G6244-MONOMER	Metabolism
fau	EG11158_RNA	EG11158-MONOMER	Metabolism
fbaA	EG10282_RNA	FRUCTBISALD-CLASSII-MONOMER	Metabolism
fbaB	G7129_RNA	FRUCBISALD-CLASSI-MONOMER	Metabolism
fbp	EG10283_RNA	F16B-MONOMER	Metabolism
fdhF	EG10285_RNA	FORMATEDEHYDROGH-MONOMER	Metabolism
fdnG	EG11227_RNA	FDNG-MONOMER	Metabolism
fdnH	EG11228_RNA	FDNH-MONOMER	Metabolism
fdnI	EG11229_RNA	FDNI-MONOMER	Metabolism
fdoG	EG11858_RNA	FDOG-MONOMER	Metabolism
fdoH	EG11857_RNA	FDOH-MONOMER	Metabolism
fdoI	EG11856_RNA	FDOI-MONOMER	Metabolism
feaB	G7961_RNA	PHENDEHYD-MONOMER	Metabolism
feoB	EG12102_RNA	FEOB-MONOMER	Metabolism
fes	EG10299_RNA	EG10299-MONOMER	Metabolism
fieF	EG11873_RNA	YIIP-MONOMER	Metabolism
fis	EG10317_RNA	PD00196	Transcription Regulation
fklB	G7865_RNA	G7865-MONOMER	Metabolism
fkpA	G7716_RNA	G7716-MONOMER	Metabolism
fkpB	EG11080_RNA	EG11080-MONOMER	Metabolism
fliY	G7039_RNA	G7039-MONOMER	Metabolism
fmt	EG11268_RNA	EG11268-MONOMER	Metabolism
fnr	EG10325_RNA	PD00197	Transcription Regulation
focA	EG11258_RNA	FOCA-MONOMER	Metabolism
folA	EG10326_RNA	DIHYDROFOLATEREDUCT-MONOMER	Metabolism
folB	EG11673_RNA	H2NEOPTERINALDOL-MONOMER	Metabolism
folC	EG10327_RNA	FOLC-MONOMER	Metabolism
folD	EG10328_RNA	FOLD-MONOMER	Metabolism
folE	EG11375_RNA	GTP-CYCLOHYDRO-I-MONOMER	Metabolism
folK	EG11374_RNA	H2PTERIDINEPYROPHOSPHOKIN-MONOMER	Metabolism
folM	G6862_RNA	G6862-MONOMER	Metabolism
folP	EG50011_RNA	H2PTEROATESYNTH-MONOMER	Metabolism
folX	G7195_RNA	H2NTPEPIM-MONOMER	Metabolism
fpr	EG10628_RNA	FLAVONADPREDUCT-MONOMER	Metabolism
frc	G7237_RNA	G7237-MONOMER	Metabolism
frdA	EG10330_RNA	FUM-FLAVO	Metabolism
frdB	EG10331_RNA	FUM-FE-S	Metabolism
frdC	EG10332_RNA	FUM-MEMB1	Metabolism
frdD	EG10333_RNA	FUM-MEMB2	Metabolism
fre	EG10334_RNA	FMNREDUCT-MONOMER	Metabolism
frlB	G7723_RNA	G7723-MONOMER	Metabolism
frlC	G7724_RNA	G7724-MONOMER	Metabolism
frlD	G7726_RNA	G7726-MONOMER	Metabolism
frmA	EG50010_RNA	ADHC-MONOMER	Metabolism
frmB	G6208_RNA	G6208-MONOMER	Metabolism
ftsW	EG10344_RNA	EG10344-MONOMER	Metabolism
fucA	EG10348_RNA	FUCPALDOL-MONOMER	Metabolism
fucI	EG10349_RNA	FUCISOM-MONOMER	Metabolism
fucK	EG10350_RNA	FUCULOKIN-MONOMER	Metabolism
fucO	EG10351_RNA	LACTALDREDUCT-MONOMER	Metabolism
fucP	EG10352_RNA	FUCP-MONOMER	Metabolism
fucU	EG10355_RNA	EG10355-MONOMER	Metabolism
fumA	EG10356_RNA	FUMA-MONOMER	Metabolism
fumB	EG10357_RNA	FUMB-MONOMER	Metabolism
fumC	EG10358_RNA	FUMC-MONOMER	Metabolism
gabD	EG11329_RNA	SUCCSEMIALDDEHYDROG-MONOMER	Metabolism
gabP	EG11330_RNA	GABP-MONOMER	Metabolism
gabT	EG10361_RNA	GABATRANSAM-MONOMER	Metabolism
gadA	EG50009_RNA	GLUTDECARBOXA-MONOMER	Metabolism
gadB	EG11490_RNA	GLUTDECARBOXB-MONOMER	Metabolism
gadC	G6786_RNA	XASA-MONOMER	Metabolism
galE	EG10362_RNA	UDPGLUCEPIM-MONOMER	Metabolism
galK	EG10363_RNA	GALACTOKIN-MONOMER	Metabolism
galM	EG11698_RNA	ALDOSE1EPIM-MONOMER	Metabolism
galP	EG12148_RNA	GALP-MONOMER	Metabolism
galT	EG10366_RNA	GALACTURIDYLYLTRANS-MONOMER	Metabolism
gapA	EG10367_RNA	GAPDH-A-MONOMER	Metabolism
garK	EG11175_RNA	GKI-MONOMER	Metabolism
garL	EG10016_RNA	KDGALDOL-MONOMER	Metabolism
garR	EG11176_RNA	TSA-REDUCT-MONOMER	Metabolism
gatY	EG12419_RNA	TAGAALDOL2-MONOMER	Metabolism
gatZ	G7128_RNA	G7128-MONOMER	Metabolism
gcl	EG11583_RNA	GLYOCARBOLIG-MONOMER	Metabolism
gcvP	EG11810_RNA	GCVP-MONOMER	Metabolism
gcvT	EG11442_RNA	GCVT-MONOMER	Metabolism
gdhA	EG10372_RNA	GDHA-MONOMER	Metabolism
ghrA	G6539_RNA	G6539-MONOMER	Metabolism
ghrB	EG12272_RNA	MONOMER-43	Metabolism
glcA	G7542_RNA	B2975-MONOMER	Metabolism
glcD	G7545_RNA	G7545-MONOMER	Metabolism
glcE	G7544_RNA	G7544-MONOMER	Metabolism
glcF	G0-8601_RNA	MONOMER0-561	Metabolism
gldA	EG11904_RNA	GLYCDEH-MONOMER	Metabolism
glf	EG11981_RNA	GALPMUT-MONOMER	Metabolism
glgC	EG10379_RNA	GLUC1PADENYLTRANS-MONOMER	Metabolism
glk	EG12957_RNA	GLUCOKIN-MONOMER	Metabolism
glmM	EG11553_RNA	PHOSGLUCOSAMINEMUT-MONOMER	Metabolism
glmS	EG10382_RNA	L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER	Metabolism
glmU	EG11198_RNA	NAG1P-URIDYLTRANS-MONOMER	Metabolism
glnA	EG10383_RNA	GLUTAMINESYN-MONOMER	Metabolism
glnH	EG10386_RNA	GLNH-MONOMER	Metabolism
glnP	EG10388_RNA	GLNP-MONOMER	Metabolism
glnQ	EG10389_RNA	GLNQ-MONOMER	Metabolism
glnS	EG10390_RNA	GLNS-MONOMER	Metabolism
gloA	G6891_RNA	GLYOXI-MONOMER	Metabolism
gloB	G6099_RNA	GLYOXII-MONOMER	Metabolism
glpA	EG10391_RNA	ANGLYC3PDEHYDROGSUBUNITA-MONOMER	Metabolism
glpB	EG10392_RNA	ANGLYC3PDEHYDROGSUBUNITB-MONOMER	Metabolism
glpC	EG10393_RNA	ANGLYC3PDEHYDROGSUBUNITC-MONOMER	Metabolism
glpD	EG10394_RNA	AERGLYC3PDEHYDROG-MONOMER	Metabolism
glpE	EG10395_RNA	EG10395-MONOMER	Metabolism
glpF	EG10396_RNA	GLPF-MONOMER	Metabolism
glpK	EG10398_RNA	GLYCEROL-KIN-MONOMER	Metabolism
glpQ	EG10399_RNA	GLYCPDIESTER-PERI-MONOMER	Metabolism
glpX	EG11517_RNA	EG11517-MONOMER	Metabolism
gltA	EG10402_RNA	CITSYN-MONOMER	Metabolism
gltB	EG10403_RNA	GLUSYNLARGE-MONOMER	Metabolism
gltD	EG10404_RNA	GLUSYNSMALL-MONOMER	Metabolism
gltI	G6359_RNA	G6359-MONOMER	Metabolism
gltJ	EG12661_RNA	GLTJ-MONOMER	Metabolism
gltK	EG12662_RNA	GLTK-MONOMER	Metabolism
gltL	EG12663_RNA	GLTL-MONOMER	Metabolism
gltP	EG10405_RNA	GLTP-MONOMER	Metabolism
gltX	EG10407_RNA	GLURS-MONOMER	Metabolism
glxK	G6283_RNA	GLY3KIN-MONOMER	Metabolism
glxR	G6278_RNA	G6278-MONOMER	Metabolism
glyA	EG10408_RNA	GLYOHMETRANS-MONOMER	Metabolism
glyQ	EG10409_RNA	GLYQ-MONOMER	Metabolism
glyS	EG10410_RNA	GLYS-MONOMER	Metabolism
gmhB	EG11736_RNA	EG11736-MONOMER	Metabolism
gmk	EG10965_RNA	GUANYL-KIN-MONOMER	Metabolism
gnd	EG10411_RNA	6PGLUCONDEHYDROG-MONOMER	Metabolism
gntK	EG12629_RNA	GLUCONOKINII-MONOMER	Metabolism
gntP	EG12563_RNA	GNTP-MONOMER	Metabolism
gor	EG10412_RNA	GLUTATHIONE-REDUCT-NADPH-MONOMER	Metabolism
gpmA	EG11699_RNA	GPMA-MONOMER	Metabolism
gpmM	EG12296_RNA	PGMI-MONOMER	Metabolism
gpp	EG10413_RNA	PPPGPPHYDRO-MONOMER	Metabolism
gpsA	EG20091_RNA	GLYC3PDEHYDROGBIOSYN-MONOMER	Metabolism
gpt	EG10414_RNA	GPT-MONOMER	Metabolism
gshA	EG10418_RNA	GLUTCYSLIG-MONOMER	Metabolism
gshB	EG10419_RNA	GLUTATHIONE-SYN-MONOMER	Metabolism
gsiA	G6429_RNA	YLIA-MONOMER	Metabolism
gsiB	G6430_RNA	YLIB-MONOMER	Metabolism
gsiC	G6431_RNA	YLIC-MONOMER	Metabolism
gsiD	G6432_RNA	YLID-MONOMER	Metabolism
gsk	EG11102_RNA	GSK-MONOMER	Metabolism
gss	EG12882_RNA	GSP-MONOMER	Metabolism
guaA	EG10420_RNA	GMP-SYN-MONOMER	Metabolism
guaB	EG10421_RNA	IMP-DEHYDROG-MONOMER	Metabolism
guaC	EG10422_RNA	GMP-REDUCT-MONOMER	Metabolism
guaD	G7502_RNA	G7502-MONOMER	Metabolism
gutQ	EG10973_RNA	EG10973-MONOMER	Metabolism
hchA	G7055_RNA	G7055-MONOMER	Metabolism
hdhA	EG10425_RNA	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	Metabolism
hemA	EG10427_RNA	GLUTRNAREDUCT-MONOMER	Metabolism
hemB	EG10428_RNA	PORPHOBILSYNTH-MONOMER	Metabolism
hemC	EG10429_RNA	OHMETHYLBILANESYN-MONOMER	Metabolism
hemD	EG10430_RNA	UROGENIIISYN-MONOMER	Metabolism
hemE	EG11543_RNA	UROGENDECARBOX-MONOMER	Metabolism
hemF	EG12189_RNA	COPROGENOXI-MONOMER	Metabolism
hemG	EG11485_RNA	PROTOPORGENOXI-MONOMER	Metabolism
