"abbreviation"	"officialName"	"equation"	"reconstruction directionality"	"subSystem"	"proteinClass"	"geneAssociation"	"reaction with marvin charges (pH7)"	"reaction with marvin charges (pH 7.2)"	"delta G (pH 7)"	"mM delta G (pH 7)"	"min delta G (pH 7)"	"max delta G (pH 7)"	"delta G (pH 7.2)"	"uncertainty in delta G (pH 7 or pH 7.2)"	"mM delta G (pH 7.2)"	"min delta G (pH 7.2)"	"max delta G (pH 7.2)"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	" "	" "	"reconstruction directionality"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	
"12PPDStpp"	"(S)-Propane-1,2-diol facilitated transport (periplasm)"	"12ppd-S[p] <==> 12ppd-S[c]"	"reversible"	"Transport, Inner Membrane"			"12ppd-S[p] <==> 12ppd-S"	"12ppd-S[p] <==> 12ppd-S"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"		"total system reactions"			2381	
"14GLUCANabcpp"	"1,4-alpha-D-glucan transport via ABC system (periplasm)"	"14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c]"	"forward only"	"Transport, Inner Membrane"		"( b4034  and  b4033  and  b4032  and  b4035 )"	"14glucan[p] + atp + h2o --> 14glucan + adp + h + pi"	"14glucan[p] + atp + h2o --> 14glucan + adp + h + pi"	-6.7	-10.8	-23.5	0	-6.6	2.2	-10.7	-23.4	0.1	"reversible"	"reversible"		"reaction delta G - not calculated"			385	
"14GLUCANtexi"	"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible"	"14glucan[e] --> 14glucan[p]"	"forward only"	"Transport, Outer Membrane"		"b4036"	"14glucan[e] --> 14glucan[p]"	"14glucan[e] --> 14glucan[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"		"EX_ & DM_ reactions"			304	
"23CAMPtex"	"23cAMP transport via diffusion (extracellular to periplasm)"	"23camp[e] <==> 23camp[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23camp[e] <==> 23camp[p]"	"23camp[e] <==> 23camp[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"23CCMPtex"	"23cCMP transport via diffusion (extracellular to periplasm)"	"23ccmp[e] <==> 23ccmp[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23ccmp[e] <==> 23ccmp[p]"	"23ccmp[e] <==> 23ccmp[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"		"total reconstruction reactions"			2077	"percentage"
"23CGMPtex"	"23cGMP transport via diffusion (extracellular to periplasm)"	"23cgmp[e] <==> 23cgmp[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23cgmp[e] <==> 23cgmp[p]"	"23cgmp[e] <==> 23cgmp[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"		"reaction delta G - not calculated"			81	"4%"
"23CUMPtex"	"23cUMP transport via diffusion (extracellular to periplasm)"	"23cump[e] <==> 23cump[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23cump[e] <==> 23cump[p]"	"23cump[e] <==> 23cump[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"		"reaction delta G - calculated"			1996	"96%"
"23DAPPAt2pp"	"2,3-diaminopropionate transport in via proton symport"	"23dappa[p] + h[p] --> 23dappa[c] + h[c]"	"forward only"	"Transport, Inner Membrane"			"23dappa[p] + h[p] --> 23dappa + h"	"23dappa[p] + h[p] --> 23dappa + h"	0	-6.6	-12.1	-2.1	0	1.5	-6.6	-12.1	-2.1	"forward only"	"forward only"						
"23DAPPAtex"	"2,3-diaminopropionate transport via diffusion"	"23dappa[e] <==> 23dappa[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"23dappa[e] <==> 23dappa[p]"	"23dappa[e] <==> 23dappa[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"23PDE2pp"	"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)"	"[p] : 23cump + h2o --> 3ump + h"	"forward only"	"Nucleotide Salvage Pathway"	"3.1.4.16"	"b4213"	"[p] : 23cump[p] + h2o[p] --> 3ump[p]"	"[p] : 23cump[p] + h2o[p] --> 3ump[p]"	-6.9	-6.9	-12.4	-1.5	-6.9	6.3	-6.9	-12.4	-1.5	"forward only"	"reversible"						
"23PDE4pp"	"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)"	"[p] : 23ccmp + h2o --> 3cmp + h"	"forward only"	"Nucleotide Salvage Pathway"	"3.1.4.16"	"b4213"	"[p] : 23ccmp[p] + h2o[p] --> 3cmp[p]"	"[p] : 23ccmp[p] + h2o[p] --> 3cmp[p]"	-6.9	-6.9	-12.4	-1.5	-6.9	6.3	-6.9	-12.4	-1.5	"forward only"	"reversible"						
"23PDE7pp"	"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"	"[p] : 23camp + h2o --> 3amp + h"	"forward only"	"Nucleotide Salvage Pathway"	"3.1.4.16"	"b4213"	"[p] : 23camp[p] + h2o[p] --> 3amp[p]"	"[p] : 23camp[p] + h2o[p] --> 3amp[p]"	-6.9	-6.9	-12.4	-1.5	-6.9	6.3	-6.9	-12.4	-1.5	"forward only"	"reversible"						
"23PDE9pp"	"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)"	"[p] : 23cgmp + h2o --> 3gmp + h"	"forward only"	"Nucleotide Salvage Pathway"	"3.1.4.16"	"b4213"	"[p] : 23cgmp[p] + h2o[p] --> 3gmp[p]"	"[p] : 23cgmp[p] + h2o[p] --> 3gmp[p]"	-6.9	-6.9	-12.4	-1.5	-6.9	6.3	-6.9	-12.4	-1.5	"forward only"	"reversible"						
"26DAHtex"	"meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)"	"26dap-M[e] <==> 26dap-M[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"26dap-M[e] <==> 26dap-M[p]"	"26dap-M[e] <==> 26dap-M[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"2AGPA120tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)"	"2ddecg3p[p] --> 2ddecg3p[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2ddecg3p[p] --> 2ddecg3p"	"2ddecg3p[p] --> 2ddecg3p"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPA140tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)"	"2tdecg3p[p] --> 2tdecg3p[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2tdecg3p[p] --> 2tdecg3p"	"2tdecg3p[p] --> 2tdecg3p"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPA141tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)"	"2tdec7eg3p[p] --> 2tdec7eg3p[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2tdec7eg3p[p] --> 2tdec7eg3p"	"2tdec7eg3p[p] --> 2tdec7eg3p"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPA160tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)"	"2hdecg3p[p] --> 2hdecg3p[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2hdecg3p[p] --> 2hdecg3p"	"2hdecg3p[p] --> 2hdecg3p"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPA161tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)"	"2hdec9eg3p[p] --> 2hdec9eg3p[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2hdec9eg3p[p] --> 2hdec9eg3p"	"2hdec9eg3p[p] --> 2hdec9eg3p"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPA180tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)"	"2odecg3p[p] --> 2odecg3p[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2odecg3p[p] --> 2odecg3p"	"2odecg3p[p] --> 2odecg3p"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPA181tipp"	"2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)"	"2odec11eg3p[p] --> 2odec11eg3p[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2odec11eg3p[p] --> 2odec11eg3p"	"2odec11eg3p[p] --> 2odec11eg3p"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPE120tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)"	"2agpe120[p] --> 2agpe120[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe120[p] --> 2agpe120"	"2agpe120[p] --> 2agpe120"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"2AGPE140tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)"	"2agpe140[p] --> 2agpe140[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe140[p] --> 2agpe140"	"2agpe140[p] --> 2agpe140"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"2AGPE141tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)"	"2agpe141[p] --> 2agpe141[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe141[p] --> 2agpe141"	"2agpe141[p] --> 2agpe141"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"2AGPE160tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)"	"2agpe160[p] --> 2agpe160[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe160[p] --> 2agpe160"	"2agpe160[p] --> 2agpe160"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"2AGPE161tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)"	"2agpe161[p] --> 2agpe161[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe161[p] --> 2agpe161"	"2agpe161[p] --> 2agpe161"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"2AGPE180tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)"	"2agpe180[p] --> 2agpe180[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe180[p] --> 2agpe180"	"2agpe180[p] --> 2agpe180"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"2AGPE181tipp"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)"	"2agpe181[p] --> 2agpe181[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpe181[p] --> 2agpe181"	"2agpe181[p] --> 2agpe181"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"2AGPEAT120"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)"	"[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe120 + atp + ddca + h --> amp + pe120 + ppi"	"2agpe120 + atp + ddca + h --> amp + pe120 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPEAT140"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)"	"[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe140 + atp + h + ttdca --> amp + pe140 + ppi"	"2agpe140 + atp + h + ttdca --> amp + pe140 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPEAT141"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)"	"[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe141 + atp + h + ttdcea --> amp + pe141 + ppi"	"2agpe141 + atp + h + ttdcea --> amp + pe141 + ppi"	-5	-5	-18.5	8.5	-5.3	2.4	-5.3	-18.8	8.3	"reversible"	"reversible"						
"2AGPEAT160"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)"	"[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe160 + atp + h + hdca --> amp + pe160 + ppi"	"2agpe160 + atp + h + hdca --> amp + pe160 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPEAT161"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)"	"[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe161 + atp + h + hdcea --> amp + pe161 + ppi"	"2agpe161 + atp + h + hdcea --> amp + pe161 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPEAT180"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)"	"[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe180 + atp + h + ocdca --> amp + pe180 + ppi"	"2agpe180 + atp + h + ocdca --> amp + pe180 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPEAT181"	"2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)"	"[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpe181 + atp + h + ocdcea --> amp + pe181 + ppi"	"2agpe181 + atp + h + ocdcea --> amp + pe181 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPG120tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)"	"2agpg120[p] --> 2agpg120[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg120[p] --> 2agpg120"	"2agpg120[p] --> 2agpg120"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPG140tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)"	"2agpg140[p] --> 2agpg140[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg140[p] --> 2agpg140"	"2agpg140[p] --> 2agpg140"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPG141tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)"	"2agpg141[p] --> 2agpg141[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg141[p] --> 2agpg141"	"2agpg141[p] --> 2agpg141"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPG160tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)"	"2agpg160[p] --> 2agpg160[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg160[p] --> 2agpg160"	"2agpg160[p] --> 2agpg160"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPG161tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)"	"2agpg161[p] --> 2agpg161[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg161[p] --> 2agpg161"	"2agpg161[p] --> 2agpg161"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPG180tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)"	"2agpg180[p] --> 2agpg180[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg180[p] --> 2agpg180"	"2agpg180[p] --> 2agpg180"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPG181tipp"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)"	"2agpg181[p] --> 2agpg181[c]"	"forward only"	"Transport, Inner Membrane"		"b2835"	"2agpg181[p] --> 2agpg181"	"2agpg181[p] --> 2agpg181"	0	3.5	-2	8	0	1.5	3.5	-2	8	"reversible"	"reversible"						
"2AGPGAT120"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)"	"[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg120 + atp + ddca + h --> amp + pg120 + ppi"	"2agpg120 + atp + ddca + h --> amp + pg120 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPGAT140"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)"	"[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg140 + atp + h + ttdca --> amp + pg140 + ppi"	"2agpg140 + atp + h + ttdca --> amp + pg140 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPGAT141"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)"	"[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg141 + atp + h + ttdcea --> amp + pg141 + ppi"	"2agpg141 + atp + h + ttdcea --> amp + pg141 + ppi"	-5	-5	-18.5	8.5	-5.3	2.4	-5.3	-18.8	8.3	"reversible"	"reversible"						
"2AGPGAT160"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)"	"[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg160 + atp + h + hdca --> amp + pg160 + ppi"	"2agpg160 + atp + h + hdca --> amp + pg160 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPGAT161"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)"	"[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg161 + atp + h + hdcea --> amp + pg161 + ppi"	"2agpg161 + atp + h + hdcea --> amp + pg161 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPGAT180"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)"	"[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg180 + atp + h + ocdca --> amp + pg180 + ppi"	"2agpg180 + atp + h + ocdca --> amp + pg180 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2AGPGAT181"	"2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)"	"[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi"	"forward only"	"Glycerophospholipid Metabolism"	"2.3.1.40"	"b2836"	"2agpg181 + atp + h + ocdcea --> amp + pg181 + ppi"	"2agpg181 + atp + h + ocdcea --> amp + pg181 + ppi"	-5.9	-5.9	-19.4	7.7	-6.1	2.1	-6.1	-19.6	7.4	"reversible"	"reversible"						
"2DGLCNRx"	"2-dehydro-D-gluconate reductase (NADH)"	"[c] : 2dhglcn + h + nadh --> glcn + nad"	"forward only"	"Alternate Carbon Metabolism"		"b3553"	"2dhglcn + h + nadh --> glcn + nad"	"2dhglcn + h + nadh --> glcn + nad"	-6.1	-6.1	-15.2	2.9	-6.4	3.2	-6.4	-15.4	2.6	"reversible"	"reversible"						
"2DGLCNRy"	"2-dehydro-D-gluconate reductase (NADPH)"	"[c] : 2dhglcn + h + nadph --> glcn + nadp"	"forward only"	"Alternate Carbon Metabolism"	"1.1.1.215"	"b3553"	"2dhglcn + (2) h + nadph --> glcn + nadp"	"2dhglcn + h + nadph --> glcn + nadp"	-6.1	-6.1	-15.2	2.9	-6.7	3.2	-6.7	-15.7	2.3	"reversible"	"reversible"						
"2DGULRx"	"2-dehydro-L-gulonate reductase (NADH)"	"[c] : 2dhguln + h + nadh --> idon-L + nad"	"forward only"	"Alternate Carbon Metabolism"		"b3553"	"2dhguln + h + nadh --> idon-L + nad"	"2dhguln + h + nadh --> idon-L + nad"	-6.1	-6.1	-15.2	2.9	-6.4	3.2	-6.4	-15.4	2.6	"reversible"	"reversible"						
"2DGULRy"	"2-dehydro-L-gulonate reductase (NADPH)"	"[c] : 2dhguln + h + nadph --> idon-L + nadp"	"forward only"	"Alternate Carbon Metabolism"		"b3553"	"2dhguln + (2) h + nadph --> idon-L + nadp"	"2dhguln + h + nadph --> idon-L + nadp"	-6.1	-6.1	-15.2	2.9	-6.7	3.2	-6.7	-15.7	2.3	"reversible"	"reversible"						
