CPLX0-1962	3-hydroxy acid dehydrogenase	(("EG12345-MONOMER", 4))
GABATRANSAM-CPLX	4-aminobutyrate transaminase	(("GABATRANSAM-MONOMER", 2))
CPLX0-7672	MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator	(("CPLX0-7701", 2) ("G6420-MONOMER", 2) ("MN+2", 2))
CPLX0-7923	ATP independent periplasmic chaperone	(("G6939-MONOMER", 2))
PHENDEHYD-CPLX	phenylacetaldehyde dehydrogenase	(("PHENDEHYD-MONOMER", 2))
AROC-CPLX	chorismate synthase	(("AROC-MONOMER", 4))
GLUTAMATESYN-CPLX	glutamate synthase	(("GLUTAMATESYN-DIMER", 4) ("GLUSYNSMALL-MONOMER", 4) ("GLUSYNLARGE-MONOMER", 4))
DIMESULFREDUCT-CPLX	dimethyl sulfoxide reductase	(("DMSC-MONOMER", 1) ("DMSB-MONOMER", 1) ("DMSA-MONOMER", 1))
CPLX0-7797	FNR DNA-binding transcriptional dual regulator	(("PD00197", 2))
CPLX0-7465	alanine racemase 2, PLP-binding	(("ALARACECAT-MONOMER", 2))
COBU-CPLX	cobinamide-P guanylyltransferase / cobinamide kinase	(("COBU-MONOMER", 2))
DSBG-CPLX	periplasmic protein disulfide isomerase / protein disulfide oxidoreductase	(("DSBG-MONOMER", 2))
3-ISOPROPYLMALISOM-CPLX	isopropylmalate isomerase	(("LEUD-MONOMER", 1) ("LEUC-MONOMER", 1))
CPLX0-3461	ribonuclease E	(("EG10859-MONOMER", 4))
CPLX0-7879	NusB-NusE complex	(("EG10666-MONOMER", 1) ("EG10909-MONOMER", 1))
CPLX0-7913	tellurite methyltransferase	(("EG11884-MONOMER", 2))
PURK-CPLX	<i>N</i><sup>5</sup>-carboxyaminoimidazole ribonucleotide synthetase	(("PURK-MONOMER", 2))
NRFMULTI-CPLX	formate dependent nitrite reductase	(("CYTOCHROMEC552-MONOMER", 1) ("CYTOCHROMEC-MONOMER", 1) ("NRFC-MONOMER", 1) ("NRFD-MONOMER", 1))
DIHYDROOROT-CPLX	dihydroorotase	(("DIHYDROOROT-MONOMER", 2))
E2O	dihydrolipoyltranssuccinylase	(("E2O-MONOMER", 24))
CPLX0-7724	formate dehydrogenase formation protein	(("EG10284-MONOMER", 2))
MALIC-NAD-CPLX	malate dehydrogenase, NAD-requiring	(("MALIC-NAD-MONOMER", 4))
XANTHOSINEPHOSPHORY-CPLX	xanthosine phosphorylase	(("XANTHOSINEPHOSPHORY-MONOMER", 6))
HYDROPEROXIDI-CPLX	hydroperoxidase I	(("HYDROPEROXIDI-MONOMER", 4))
CPLX0-263	isoaspartyl dipeptidase / asparaginase III	(("MONOMER0-3", 2) ("MONOMER0-2", 2))
CPLX0-7657	BglG-phosphate	(("EG10116-MONOMER", 2))
ORNDECARBOX-BIO-CPLX	ornithine decarboxylase, biosynthetic	(("ORNDECARBOX-BIO-MONOMER", 2))
SEC-SECRETION-CPLX	Sec Translocation Complex	(("SECD-SECF-YAJC-YIDC-CPLX", 1) ("YIDC", 1) ("EG11096-MONOMER", 1) ("SECF", 1) ("SECD", 1) ("SECE-G-Y-CPLX", 1) ("SECE", 1) ("SECG", 1) ("SECY", 1) ("SECA", 1) ("SECB", 1))
CPLX0-3932	AcrAD-TolC multidrug efflux transport system	(("CPLX0-7964", 1) ("EG11009-MONOMER", 3) ("EG11703-MONOMER", 1) ("ACRD-MONOMER", 1))
CPLX0-7808	coproporphyrinogen III oxidase	(("COPROGENOXI-MONOMER", 2))
CPLX0-7870	AtoS sensory histidine kinase	(("ATOS-MONOMER", 2))
CPLX0-7667	NADP-dependent aldehyde reductase	(("G7564-MONOMER", 2))
CPLX0-2441	transcription termination factor Rho	(("EG10845-MONOMER", 6))
CPLX0-301	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	(("EG11396-MONOMER", 6))
ATPE-CPLX	ATP synthase F<sub>0</sub> complex - subunit c	(("ATPE-MONOMER", 10))
CPLX0-243	inorganic pyrophosphatase	(("INORGPYROPHOSPHAT-MONOMER", 6))
CPLX0-225	alkanesulfonate monooxygenase, FMNH<sub>2</sub>-dependent	(("MONOMER-162", 4))
CPLX0-7806	disulfide reductase	(("G7194-MONOMER", 2))
CPLX0-3241	NapGH, alternative quinol dehydrogenase	(("NAPH-MONOMER", 1) ("NAPG-MONOMER", 1))
ENOLASE-CPLX	enolase	(("ENOLASE-MONOMER", 2))
CPLX0-3803	DNA polymerase III, holoenzyme	(("CPLX0-7910", 4) ("EG11413-MONOMER", 4) ("EG11414-MONOMER", 4) ("CPLX0-3802", 1) ("CPLX0-3761", 2) ("EG10242-MONOMER", 4) ("CPLX0-3801", 1) ("EG10245-MONOMER", 5) ("EG11500-MONOMER", 1) ("EG11412-MONOMER", 1) ("CPLX0-2361", 3) ("EG10238-MONOMER", 3) ("EG10243-MONOMER", 3) ("EG11505-MONOMER", 3))
CPLX0-7668	predicted oxidoreductase	(("EG11134-MONOMER", 2))
CPLX0-7530	outer membrane porin E	(("MONOMER0-282", 3))
CPLX0-7837	PEP synthetase regulatory protein	(("EG11132-MONOMER", 4))
CPLX0-7628	outer membrane lipopolysaccharide transport and assembly complex	(("EG10855-MONOMER", 1) ("EG11569-MONOMER", 1))
CPLX0-4	hydroxylated aromatic carboxylic acid efflux transporter	(("G7685-MONOMER", 1) ("G7686-MONOMER", 1))
CPLX0-7760	aconitate hydratase 1	(("ACONITASE-MONOMER", 2))
CPLX0-7888	glutamate-pyruvate aminotransferase	(("G7184-MONOMER", 2))
CPLX0-7957	selenide, water dikinase	(("EG10943-MONOMER", 2))
GLUC1PADENYLTRANS-CPLX	glucose-1-phosphate adenylyltransferase	(("GLUC1PADENYLTRANS-MONOMER", 4))
ABC-6-CPLX	glutathione / L-cysteine  efflux transporter CydDC	(("CYDC-MONOMER", 2) ("CYDD-MONOMER", 2))
DIACYLGLYKIN-CPLX	diacylglycerol kinase	(("DIACYLGLYKIN-MONOMER", 3))
CPLX0-1221	ADP-sugar pyrophosphorylase	(("G7740-MONOMER", 2))
ATOA-CPLX	&beta; complex	(("ATOA-MONOMER", 2))
HCAMULTI-CPLX	3-phenylpropionate dioxygenase system	(("PHENYLPRODIOXY-MONOMER", 1) ("HCAA2-MONOMER", 1) ("HCAD-MONOMER", 1) ("HCAC-MONOMER", 1))
ACETYLORNTRANSAM-CPLX	<i>N</i>-succinyldiaminopimelate-aminotransferase / acetylornithine transaminase	(("ACETYLORNTRANSAM-MONOMER", 2))
CPLX0-230	isocitrate dehydrogenase phosphatase / isocitrate dehydrogenase kinase	(("ICITDEHASE-KIN-PHOSPHA", 2))
CPLX0-7694	glutaminase	(("G6261-MONOMER", 4))
METG-CPLX	methionyl-tRNA synthetase	(("METG-MONOMER", 2))
GLYC3PDEHYDROGBIOSYN-CPLX	glycerol-3-phosphate dehydrogenase, biosynthetic	(("GLYC3PDEHYDROGBIOSYN-MONOMER", 2))
UDHA-CPLX	pyridine nucleotide transhydrogenase	(("UDHA-MONOMER", 8))
ABC-53-CPLX	LptBFG ABC transporter	(("G7888-MONOMER", 1) ("YHBG-MONOMER", 2) ("G7889-MONOMER", 1))
CPLX0-1163	HslVU protease	(("CPLX0-1162", 2) ("EG11676-MONOMER", 12) ("CPLX0-1161", 2) ("EG11881-MONOMER", 12))
ACSERLYA-CPLX	cysteine synthase A	(("ACSERLYA-MONOMER", 2))
CPLX0-7425	HipB-HipA antitoxin/toxin complex and DNA-binding transcriptional repressor	(("EG10443-MONOMER", 2) ("CPLX0-7757", 1) ("EG10442-MONOMER", 2))
CARNDEHYDRA-CPLX	&gamma;-butyrobetainyl-CoA:carnitine CoA transferase	(("CARNDEHYDRA-MONOMER", 2))
CPLX0-7653	water channel AqpZ	(("AQPZ-MONOMER", 4))
ABC-20-CPLX	nickel ABC transporter	(("NIKA-MONOMER", 1) ("NIKC-MONOMER", 1) ("NIKB-MONOMER", 1) ("NIKE-MONOMER", 1) ("NIKD-MONOMER", 1))
TRANS-200-CPLX	MacAB-TolC macrolide efflux transport system	(("MACA", 1) ("MACB", 2) ("CPLX0-7964", 1) ("EG11009-MONOMER", 3))
FABA-CPLX	3-hydroxydecanoyl-[acp] dehydrase	(("FABA-MONOMER", 2))
CPLX0-7707	NikR-Ni DNA binding transcriptional repressor	(("MONOMER0-1781", 4) ("EG11519-MONOMER", 4) ("NI+2", 4))
ALPHAGALACTOSID-CPLX	&alpha;-galactosidase	(("ALPHAGALACTOSID-MONOMER", 2))
SUCC-DEHASE	succinate dehydrogenase	(("SDH-MEMB2", 1) ("SDH-MEMB1", 1) ("SDH-FE-S", 1) ("SDH-FLAVO", 1))
TPI	triose phosphate isomerase	(("TPI-MONOMER", 2))
CPLX0-7420	tRNA Um32 methyltransferase / tRNA Cm32 methyltransferase	(("G7327-MONOMER", 2))
CPLX0-2202	Colicin S4 Transport System	(("EG11124-MONOMER", 1) ("CPLX0-2201", 1) ("EG11007-MONOMER", 1) ("EG11010-MONOMER", 1) ("EG11011-MONOMER", 1) ("EG11008-MONOMER", 1) ("EG12854-MONOMER", 1) ("EG10684-MONOMER", 1))
CPLX0-5	EntS-TolC Enterobactin Efflux Transport System	(("CPLX0-7964", 1) ("EG11009-MONOMER", 3) ("YBDA-MONOMER", 1))
CPLX0-1721	copper / silver efflux transport system	(("YBDE-MONOMER", 3) ("G6321-MONOMER", 1) ("G6322-MONOMER", 6) ("G6320-MONOMER", 3))
CPLX0-7964	TolC outer membrane channel	(("EG11009-MONOMER", 3))
ASPKINIII-CPLX	aspartate kinase III	(("ASPKINIII-MONOMER", 2))
CPLX0-1881	predicted enamine/imine deaminase	(("G7877-MONOMER", 3))
CPLX0-3927	regulatory ATPase	(("EG11731-MONOMER", 6))
ENTMULTI-CPLX	enterobactin synthase	(("ENTE-CPLX", 1) ("ENTE-MONOMER", 2) ("ENTF-PANT", 1) ("ENTD-MONOMER", 1) ("ENTB-CPLX", 1) ("ENTB-MONOMER", 2))
ABC-70-CPLX	sulfate / thiosulfate / selenate / selenite ABC transporter CysAUWSbp	(("CYSA-MONOMER", 2) ("CYST-MONOMER", 1) ("CYSW-MONOMER", 1) ("SBP-MONOMER", 1))
ASPAMINOTRANS-DIMER	aspartate aminotransferase, PLP-dependent	(("ASPAMINOTRANS-MONOMER", 2))
CPLX0-861	glyoxalase III, Hsp31 molecular chaperone	(("G7055-MONOMER", 2))
CPLX0-7800	protein involved in threonylcarbamoyladenosine biosynthesis	(("EG11171-MONOMER", 2))
CPLX0-7990	dTDP-4-dehydro-6-deoxy-D-glucose transaminase	(("RFFTRANS-MONOMER", 4))
URPHOS-CPLX	uridine phosphorylase	(("URPHOS-MONOMER", 6))
ACSERLYB-CPLX	cysteine synthase B	(("ACSERLYB-MONOMER", 2))
CPLX0-7754	UhpA-Phosphorylated DNA-binding transcriptional activator	(("PHOSPHO-UHPA", 2))
CPLX0-1021	2-methylisocitrate lyase	(("G6196-MONOMER", 4))
ABC-54-CPLX	FtsE/FtsX ABC transporter	(("FTSX-MONOMER", 2) ("FTSE-MONOMER", 2))
CPLX0-3969	ferritin iron-storage complex	(("EG10921-MONOMER", 24))
CPLX0-2521	molybdopterin biosynthesis protein B	(("MONOMER0-1501", 6))
CPLX0-3681	ADP-L-glycero-D-mannoheptose-6-epimerase	(("EG10838-MONOMER", 5))
NQOR-CPLX	NADH dehydrogenase (quinone)	(("NQOR-MONOMER", 2))
ALKAPHOSPHA-CPLX	alkaline phosphatase	(("ALKAPHOSPHA-MONOMER", 2))
DETHIOBIOTIN-SYN-CPLX	dethiobiotin synthetase	(("DETHIOBIOTIN-SYN-MONOMER", 2))
ORNDECARBOXDEG-CPLX	ornithine decarboxylase, degradative	(("ORNDECARBOXDEG-MONOMER", 2))
HYDROPEROXIDII-CPLX	catalase II	(("HYDROPEROXIDII-MONOMER", 4))
TATABCE-CPLX	TatABCE protein export complex	(("TATA", 1) ("EG11305-MONOMER", 1) ("EG11479-MONOMER", 1) ("G7808-MONOMER", 1))
HYDROG3-CPLX	hydrogenase 3	(("HYCELARGE-MONOMER", 1) ("HYCBSMALL-MONOMER", 1) ("HYCG-MONOMER", 1) ("HYCF-MONOMER", 1) ("HYCC-MONOMER", 1) ("HYCD-MONOMER", 1))
ACETOLACTSYNI-CPLX	acetohydroxybutanoate synthase / acetolactate synthase	(("SMALLILVN-MONOMER", 2) ("LARGEILVB-MONOMER", 2))
CPLX0-321	pyridoxine 5'-phosphate synthase	(("PDXJ-MONOMER", 8))
CPLX0-2201	The Tol-Pal Cell Envelope Complex	(("EG10684-MONOMER", 1) ("EG12854-MONOMER", 1) ("EG11008-MONOMER", 1) ("EG11011-MONOMER", 1) ("EG11010-MONOMER", 1) ("EG11007-MONOMER", 1))
CPLX0-3958	<I>Eco</I>KI restriction-modification system	(("EG10460-MONOMER", 1) ("EG10459-MONOMER", 2) ("EG10458-MONOMER", 2))
ABC-16-CPLX	maltose ABC transporter	(("MALE-MONOMER", 1) ("MALG-MONOMER", 1) ("MALF-MONOMER", 1) ("MALK-MONOMER", 2))
CPLX0-2621	Gef dimer	(("MONOMER0-1564", 2))
CPLX0-7791	RelB-RelE antitoxin/toxin complex and DNA-binding transcriptional repressor	(("EG11131-MONOMER", 4) ("EG10836-MONOMER", 4))
LTARTDEHYDRA-CPLX	L-tartrate dehydratase	(("TTDB-CPLX", 1) ("TTDB-MONOMER", 2) ("TTDA-CPLX", 1) ("TTDA-MONOMER", 2))
CPLX0-7654	glycerol channel GlpF	(("GLPF-MONOMER", 4))
CPLX0-7708	CueR-Cu<sup>+</sup> DNA-binding transcriptional dual regulator	(("CPLX0-7702", 2) ("G6263-MONOMER", 2) ("CU+", 2))
CPLX0-1941	ferric enterobactin outer membrane transport complex	(("EG10293-MONOMER", 1) ("CPLX0-1923", 1) ("EG11012-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG10272-MONOMER", 1))
GAPDH-A-CPLX	glyceraldehyde 3-phosphate dehydrogenase-A complex	(("GAPDH-A-MONOMER", 4))
CPLX0-3922	primosome	(("EG10239-MONOMER", 1) ("EG10765-MONOMER", 1) ("EG10763-MONOMER", 1) ("CPLX0-3", 1) ("EG10764-MONOMER", 2) ("CPLX0-0", 1) ("EG10244-MONOMER", 3) ("CPLX0-3621", 1) ("EG10236-MONOMER", 6))
CPLX0-7910	DNA polymerase III, &psi;-&chi; subunit	(("EG11414-MONOMER", 1) ("EG11413-MONOMER", 1))
CPLX0-7788	NAD-dependent dihydropyrimidine dehydrogenase	(("EG11289-MONOMER", 2) ("G7145-MONOMER", 2))
CPLX0-7955	acetate / glycolate transporter	(("YJCG-MONOMER", 2))
CPLX0-2361	DNA polymerase III, core enzyme	(("EG11505-MONOMER", 1) ("EG10243-MONOMER", 1) ("EG10238-MONOMER", 1))
CPLX0-7608	GTP-binding protein with a role in modification of tRNA	(("EG10997-MONOMER", 2))
ABC-33-CPLX	xylose ABC transporter	(("XYLF-MONOMER", 1) ("XYLH-MONOMER", 2) ("XYLG-MONOMER", 2))
7-ALPHA-HYDROXYSTEROID-DEH-CPLX	7-&alpha;-hydroxysteroid dehydrogenase	(("7-ALPHA-HYDROXYSTEROID-DEH-MONOMER", 4))
CPLX0-2141	AcrEF-TolC multidrug efflux transport system	(("CPLX0-7964", 1) ("EG11009-MONOMER", 3) ("ACRF-MONOMER", 1) ("EG10266-MONOMER", 1))
CPLX0-1241	MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity	(("EG11249-MONOMER", 2))
ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX	aspartate semialdehyde dehydrogenase	(("ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER", 2))
CPLX0-2661	McrBC restriction endonuclease	(("EG10575-MONOMER", 1) ("EG10574-MONOMER", 1))
CPLX0-3021	isoaspartyl dipeptidase	(("G7925-MONOMER", 8))
DTDPGLUCDEHYDRAT-CPLX	dTDP-glucose 4,6-dehydratase	(("DTDPGLUCDEHYDRAT-MONOMER", 2))
SULFATE-ADENYLYLTRANS-CPLX	sulfate adenylyltransferase	(("CYSN-MONOMER", 1) ("CYSD-MONOMER", 1))
CPLX0-7686	cell division factor ZapB	(("EG11878-MONOMER", 2))
CPLX0-7789	macrodomain Ter protein	(("EG12855-MONOMER", 2))
CPLX0-1461	HF-I, host factor for RNA phage Q &beta; replication	(("EG10438-MONOMER", 6))
CPLX0-1821	oligoribonuclease	(("G7842-MONOMER", 2))
PHOR-CPLX	PhoR sensory histidine kinase	(("PHOR-MONOMER", 2))
ABC-62-CPLX	LolCDE ABC lipoprotein transporter	(("YCFU-MONOMER", 1) ("YCFV-MONOMER", 2) ("YCFW-MONOMER", 1))
6PFK-2-CPX	6-phosphofructokinase II	(("6PFK-2-MONOMER", 2))
CPLX0-2681	ClpXP protease specificity-enhancing factor	(("EG10978-MONOMER", 2))
CPLX0-841	MazE antitoxin of the MazF-MazE toxin-antitoxin system	(("EG10571-MONOMER", 2))
CPLX0-7747	lipid hydroperoxide peroxidase	(("G6660-MONOMER", 2))
CPLX0-7662	&beta;-D-glucuronidase	(("BETA-GLUCURONID-MONOMER", 4))
GLYS-CPLX	glycyl-tRNA synthetase	(("GLYQ-MONOMER", 2) ("GLYS-MONOMER", 2))
CFA-CPLX	cyclopropane fatty acyl phospholipid synthase	(("CFA-MONOMER", 2))
CPLX0-801	HdeA dimer, inactive form of acid-resistance protein	(("EG11398-MONOMER", 2))
CPLX0-3561	GTP hydrolase involved in nickel liganding into hydrogenases	(("EG10484-MONOMER", 2))
CPLX0-7648	anti-sigma factor	(("G7348-MONOMER", 2))
CPLX0-2881	DNA-binding, ATP-dependent protease La	(("EG10542-MONOMER", 4))
CPLX0-7725	CRISPR-associated complex for antiviral defense	(("G7426-MONOMER", 1) ("G7427-MONOMER", 1) ("G7428-MONOMER", 6) ("G7429-MONOMER", 2) ("G7430-MONOMER", 1))
DCTP-DEAM-CPLX	dCTP deaminase	(("DCTP-DEAM-MONOMER", 3))
CPLX0-7684	L-valine efflux transporter	(("G7406-MONOMER", 1) ("G7405-MONOMER", 1))
CPLX0-7417	IS2 insertion element repressor InsA	(("G6212-MONOMER", 2))
CPLX0-7835	predicted structural protein, ethanolamine utilization microcompartment	(("G7287-MONOMER", 6))
CPLX0-7838	cysteine sulfinate desulfinase	(("G7454-MONOMER", 2))
ASPARTASE-CPLX	aspartate ammonia-lyase	(("ASPARTASE-MONOMER", 4))
CPLX0-1121	23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase	(("G7845-MONOMER", 2))
ABC-8-CPLX	dipeptide ABC transporter	(("DPPA-MONOMER", 1) ("DPPC-MONOMER", 1) ("DPPB-MONOMER", 1) ("DPPF-MONOMER", 1) ("DPPD-MONOMER", 1))
ACETOLACTSYNIII-CPLX	acetolactate synthase / acetohydroxybutanoate synthase	(("ACETOLACTSYNIII-HCHAIN-MONOMER", 2) ("ACETOLACTSYNIII-ICHAIN-MONOMER", 2))
CYANLY-CPLX	cyanase dimer	(("CYANLY-MONOMER", 2))
CPLX0-254	methylmalonyl-CoA decarboxylase	(("G7516-MONOMER", 6))
CPLX0-7912	phosphate acetyltransferase	(("G7288-MONOMER", 2))
KDO-8PPHOSPHAT-CPLX	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase	(("G7663-MONOMER", 4))
CPLX0-3861	fructoselysine 3-epimerase	(("G7724-MONOMER", 8))
PC00084	RcsAB DNA-binding transcriptional dual regulator	(("PD02233", 1) ("RCSB-MONOMER", 1))
ABC-13-CPLX	glutamate / aspartate ABC transporter	(("GLTL-MONOMER", 1) ("GLTJ-MONOMER", 1) ("GLTK-MONOMER", 1) ("G6359-MONOMER", 1))
CPLX0-7985	mechanosensitive channel of miniconductance	(("G7840-MONOMER", 7))
CPLX-168	trehalose PTS permease	(("CRR-MONOMER", 1) ("TREB-MONOMER", 2))
FADA-CPLX	fatty acid oxidation complex, &beta; component	(("FADA-MONOMER", 2))
PYRUVOXID-CPLX	acetoin synthesis / pyruvate oxidase	(("PYRUVOXID-MONOMER", 4))
CPLX0-7564	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	(("EG11081-MONOMER", 2))
ALAS-CPLX	alanyl-tRNA synthetase and DNA-binding transcriptional repressor	(("ALAS-MONOMER", 2))
CPLX0-7934	FtsLBQ cell division complex	(("EG11086-MONOMER", 1) ("G7424-MONOMER", 1) ("EG10342-MONOMER", 1))
CPLX0-7962	L-amino acid N-acyltransferase	(("G6759-MONOMER", 2))
CPLX0-881	ClpA ATP-dependent protease specificity component and chaperone	(("EG10156-MONOMER", 6))
ASNSYNB-CPLX	asparagine synthetase B	(("ASNSYNB-MONOMER", 2))
NAD-SYNTH-CPLX	NAD synthetase, NH<sub>3</sub>-dependent	(("NAD-SYNTH-MONOMER", 2))
CPLX0-7960	chaperone, protecting proteins in response to oxidative stress	(("HMP-KIN-MONOMER", 2))
QOR-CPLX	quinone oxidoreductase	(("QOR-MONOMER", 2))
CPLX0-7646	ribose pyranase	(("EG10817-MONOMER", 10))
ECNAB-CPLX	entericidin toxin-antitoxin complex	(("MONOMER0-1562", 1) ("MONOMER0-1563", 1))
SECE-G-Y-CPLX	SecYEG translocase	(("SECY", 1) ("SECG", 1) ("SECE", 1))
CPLX0-3923	predicted monooxygenase	(("G6895-MONOMER", 2))
CPLX0-7678	ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator	(("CPLX0-7677", 2) ("EG11969-MONOMER", 2) ("ZN+2", 2))
KDPD-CPLX	KdpD sensory histidine kinase	(("KDPD-MONOMER", 2))
PORPHOBILSYNTH-CPLX	porphobilinogen synthase	(("PORPHOBILSYNTH-MONOMER", 8))
THRS-CPLX	threonyl-tRNA synthetase	(("THRS-MONOMER", 2))
CPLX0-7909	RnlA-RnlB toxin-antitoxin complex	(("G7365-MONOMER", 1) ("G7366-MONOMER", 1))
F-O-CPLX	ATP synthase F<sub>0</sub> complex	(("ATPB-MONOMER", 1) ("ATPF-CPLX", 1) ("ATPF-MONOMER", 2) ("ATPE-CPLX", 1) ("ATPE-MONOMER", 10))
CPLX0-7614	ATP phosphoribosyltransferase	(("ATPPHOSRIBOSTRANS-MONOMER", 2))
CPLX0-7726	23S rRNA m<sup>5</sup>C1962 methyltransferase	(("G6501-MONOMER", 2))
CPLX0-7466	xylulokinase	(("XYLULOKIN-MONOMER", 2))
ASNS-CPLX	asparaginyl-tRNA synthetase	(("ASNS-MONOMER", 2))
CPLX0-7817	glutaredoxin 4	(("EG12181-MONOMER", 2))
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	3-methyl-2-oxobutanoate hydroxymethyltransferase	(("3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER", 10))
AROF-CPLX	2-dehydro-3-deoxyphosphoheptonate aldolase	(("AROF-MONOMER", 2))
CPLX0-252	KASIII	(("FABH-MONOMER", 2))
CPLX0-7669	ArgP DNA-binding transcriptional activator	(("EG10490-MONOMER", 2))
FOLD-CPLX	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	(("FOLD-MONOMER", 2))
ABC-304-CPLX	leucine ABC transporter	(("LIVF-MONOMER", 1) ("LIVG-MONOMER", 1) ("LIVH-MONOMER", 1) ("LIVM-MONOMER", 1) ("LIVK-MONOMER", 1))
PGLYCDEHYDROG-CPLX	&alpha;-ketoglutarate reductase / D-3-phosphoglycerate dehydrogenase	(("PGLYCDEHYDROG-MONOMER", 4))
LACTALDREDUCT-CPLX	L-1,2-propanediol oxidoreductase	(("LACTALDREDUCT-MONOMER", 2))
CPLX0-7713	DsdC DNA-binding transcriptional dual regulator	(("PD00297", 2))
ABC-64-CPLX	taurine ABC transporter	(("TAUB-MONOMER", 2) ("TAUC-MONOMER", 2) ("TAUA-MONOMER", 1))
