"Metabolite Abbreviation"	"Metabolite Name"	"Neutral Formula"	"Charged Formula"	"Charge"	"Compartment"	"KEGG ID"	"CAS Number"	"Alternate Names"
"1tdecg3p[c]"	"1-tetradecanoyl-sn-glycerol 3-phosphate"	"C17H35O7P1"	"C17H33O7P1"	-2	"Cytosol"	"C00681"		"1-Acyl-sn-glycerol 3-phosphate (n-C14:0)"
"23dappa[c]"	"2,3-diaminopropionate"	"C3H8N2O2"	"C3H9N2O2"	1	"Cytosol"	"C06393"		"2,3-Diaminopropionic acid/ 2,3-Diaminopropanoate/ 2,3-Diaminopropanoic acid/ 2,3-Diaminopropionate"
"23ddhb[c]"	"2,3-Dihydro-2,3-dihydroxybenzoate"	"C7H8O4"	"C7H7O4"	-1	"Cytosol"	"C04171"		"2,3-Dihydroxy-2,3-dihydrobenzoate"
"23dhacoa[c]"	"2,3-dehydroadipyl-CoA"	"C27H42N7O19P3S"	"C27H37N7O19P3S"	-5	"Cytosol"	"C14144"	"138149-18-5"	
"23dhb[c]"	"2,3-Dihydroxybenzoate"	"C7H6O4"	"C7H5O4"	-1	"Cytosol"	"C00196"	"303-38-8"	"2,3-Dihydroxybenzoic acid"
"23dhba[c]"	"(2,3-Dihydroxybenzoyl)adenylate"	"C17H18N5O10P"	"C17H17N5O10P"	-1	"Cytosol"	"C04030"		
"23dhbzs[c]"	"2,3-dihydroxybenzoylserine"	"C10H11NO6"	"C10H10NO6"	-1	"Cytosol"	"C04204"		"N-(2,3-dihydroxybenzoyl)-L-serine/ 2-(2,3-dihydroxybenzoyl)amino-3-hydroxy-propanoic acid"
"23dhdp[c]"	"2,3-Dihydrodipicolinate"	"C7H7NO4"	"C7H5NO4"	-2	"Cytosol"	"C03340"		"Dihydrodipicolinic acid"
"23dhmb[c]"	"(R)-2,3-Dihydroxy-3-methylbutanoate"	"C5H10O4"	"C5H9O4"	-1	"Cytosol"	"C04272"		"(R)-2,3-Dihydroxy-isovaleric acid/ (R)-2,3-Dihydroxy-isovalerate"
"23dhmp[c]"	"(R)-2,3-Dihydroxy-3-methylpentanoate"	"C6H12O4"	"C6H11O4"	-1	"Cytosol"	"C06007"		"2,3-Dihydroxy-3-methylvalerate"
"23doguln[c]"	"2,3-Dioxo-L-gulonate"	"C6H8O7"	"C6H7O7"	-1	"Cytosol"	"C04575"		"diketogulonate/ 2,3-diketo-gulonic acid/ 2,3-diketogulonate/ DKG"
"25aics[c]"	"(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate"	"C13H19N4O12P"	"C13H15N4O12P"	-4	"Cytosol"	"C04823"		"1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole/ 1-(5'-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole/ 5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole"
"25dkglcn[c]"	"2,5-diketo-D-gluconate"	"C6H8O7"	"C6H7O7"	-1	"Cytosol"	"C02780"		"2,5-Didehydro-D-gluconate/ 2,5-Diketogluconic acid/ 2-Dehydro-L-idonate"
"25drapp[c]"	"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate"	"C9H16N5O8P"	"C9H14N5O8P"	-2	"Cytosol"	"C01304"		
"26dap-LL[c]"	"LL-2,6-Diaminoheptanedioate"	"C7H14N2O4"	"C7H14N2O4"	0	"Cytosol"	"C00666"	"583-93-7"	"LL-2,6-Diaminopimelic acid/ LL-2,6-Diaminopimelate"
"26dap-M[c]"	"meso-2,6-Diaminoheptanedioate"	"C7H14N2O4"	"C7H14N2O4"	0	"Cytosol"	"C00680"		"meso-2,6-Diaminopimelic acid/ meso-2,6-Diaminopimelate"
"2agpe120[c]"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)"	"C17H36NO7P1"	"C17H36NO7P1"	0	"Cytosol"	"C05973"		"L-1-Lysophosphatidylethanolamine/ 2-acyl-glycerophosphoethanolamine"
"2agpe140[c]"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)"	"C19H40NO7P1"	"C19H40NO7P1"	0	"Cytosol"	"C05973"		"L-1-Lysophosphatidylethanolamine/ 2-acyl-glycerophosphoethanolamine"
"2agpe141[c]"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)"	"C19H38NO7P1"	"C19H38NO7P1"	0	"Cytosol"	"C05973"		"L-1-Lysophosphatidylethanolamine/ 2-acyl-glycerophosphoethanolamine"
"2agpe160[c]"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)"	"C21H44NO7P1"	"C21H44NO7P1"	0	"Cytosol"	"C05973"		"L-1-Lysophosphatidylethanolamine/ 2-acyl-glycerophosphoethanolamine"
"2agpe161[c]"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)"	"C21H42NO7P1"	"C21H42NO7P1"	0	"Cytosol"	"C05973"		"L-1-Lysophosphatidylethanolamine/ 2-acyl-glycerophosphoethanolamine"
"2agpe180[c]"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)"	"C23H48NO7P1"	"C23H48NO7P1"	0	"Cytosol"	"C05973"		"L-1-Lysophosphatidylethanolamine/ 2-acyl-glycerophosphoethanolamine"
"2agpe181[c]"	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)"	"C23H46NO7P1"	"C23H46NO7P1"	0	"Cytosol"	"C05973"		"L-1-Lysophosphatidylethanolamine/ 2-acyl-glycerophosphoethanolamine"
"2agpg120[c]"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)"	"C18H37O9P1"	"C18H36O9P1"	-1	"Cytosol"			"2-acyl-glycerophosphoglycerol/ L-1-Lysophosphatidylglycerol"
"2agpg140[c]"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)"	"C20H41O9P1"	"C20H40O9P1"	-1	"Cytosol"			"2-acyl-glycerophosphoglycerol/ L-1-Lysophosphatidylglycerol"
"2agpg141[c]"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)"	"C20H39O9P1"	"C20H38O9P1"	-1	"Cytosol"			"2-acyl-glycerophosphoglycerol/ L-1-Lysophosphatidylglycerol"
"2agpg160[c]"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)"	"C22H45O9P1"	"C22H44O9P1"	-1	"Cytosol"			"L-1-Lysophosphatidylglycerol/ 2-acyl-glycerophosphoglycerol"
"2agpg161[c]"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)"	"C22H43O9P1"	"C22H42O9P1"	-1	"Cytosol"			"L-1-Lysophosphatidylglycerol/ 2-acyl-glycerophosphoglycerol"
"2agpg180[c]"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)"	"C24H49O9P1"	"C24H48O9P1"	-1	"Cytosol"			"2-acyl-glycerophosphoglycerol/ L-1-Lysophosphatidylglycerol"
"2agpg181[c]"	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)"	"C24H47O9P1"	"C24H46O9P1"	-1	"Cytosol"			"2-acyl-glycerophosphoglycerol/ L-1-Lysophosphatidylglycerol"
"2ahbut[c]"	"(S)-2-Aceto-2-hydroxybutanoate"	"C6H10O4"	"C6H9O4"	-1	"Cytosol"	"C06006"		
"2amsa[c]"	"2-Aminomalonate semialdehyde"	"C3H5NO3"	"C3H5NO3"	0	"Cytosol"	"C11822"		"2-Ammoniomalonate semialdehyde"
"2aobut[c]"	"L-2-Amino-3-oxobutanoate"	"C4H7NO3"	"C4H7NO3"	0	"Cytosol"	"C03508"		"L-2-Amino-acetoacetate"
"2cpr5p[c]"	"1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate"	"C12H16NO9P"	"C12H13NO9P"	-3	"Cytosol"	"C01302"		
"2dda7p[c]"	"2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate"	"C7H13O10P"	"C7H10O10P"	-3	"Cytosol"	"C04691"		
"2ddecg3p[c]"	"2-dodecanoyl-sn-glycerol 3-phosphate"	"C15H31O7P1"	"C15H30O7P1"	-1	"Cytosol"	"C03974"		"2-Acyl-sn-glycerol 3-phosphate (n-C12:0)"
"2ddg6p[c]"	"2-Dehydro-3-deoxy-D-gluconate 6-phosphate"	"C6H11O9P"	"C6H8O9P"	-3	"Cytosol"	"C04442"		"2-Dehydro-3-deoxy-6-phospho-D-gluconate/ 6-Phospho-2-dehydro-3-deoxy-D-gluconate/ 2-Keto-3-deoxy-6-phosphogluconate"
"2ddglcn[c]"	"2-Dehydro-3-deoxy-D-gluconate"	"C6H10O6"	"C6H9O6"	-1	"Cytosol"	"C00204"		"2-Keto-3-deoxy-D-gluconate"
"2dh3dgal[c]"	"2-Dehydro-3-deoxy-D-galactonate"	"C6H10O6"	"C6H9O6"	-1	"Cytosol"	"C01216"		
"2dh3dgal6p[c]"	"2-Dehydro-3-deoxy-D-galactonate 6-phosphate"	"C6H11O9P"	"C6H8O9P"	-3	"Cytosol"	"C01286"		
"2dhguln[c]"	"2-Dehydro-L-gulonate"	"C6H10O7"	"C6H9O7"	-1	"Cytosol"	"C06473"		
"2dhp[c]"	"2-Dehydropantoate"	"C6H10O4"	"C6H9O4"	-1	"Cytosol"	"C00966"		"alpha-ketopantoate"
"2dmmq8[c]"	"2-Demethylmenaquinone 8"	"C50H70O2"	"C50H70O2"	0	"Cytosol"	"C05818"		
"2dmmql8[c]"	"2-Demethylmenaquinol 8"	"C50H72O2"	"C50H72O2"	0	"Cytosol"			
"2dr1p[c]"	"2-Deoxy-D-ribose 1-phosphate"	"C5H11O7P"	"C5H9O7P"	-2	"Cytosol"	"C00672"		"Deoxy-ribose 1-phosphate"
"2dr5p[c]"	"2-Deoxy-D-ribose 5-phosphate"	"C5H11O7P"	"C5H9O7P"	-2	"Cytosol"	"C00673"	"102916-66-5"	
"2fe1s[c]"	"[2Fe-1S] desulfurated iron-sulfur cluster"	"SFe2"	"SFe2"	2	"Cytosol"			
"2fe2s[c]"	"[2Fe-2S] iron-sulfur cluster"	"S2Fe2"	"S2Fe2"	2	"Cytosol"			
"2h3oppan[c]"	"2-Hydroxy-3-oxopropanoate"	"C3H4O4"	"C3H3O4"	-1	"Cytosol"	"C01146"		"Tartronate semialdehyde"
"2hdec9eg3p[c]"	"2-hexadec-9-enoyl-sn-glycerol 3-phosphate"	"C19H37O7P1"	"C19H36O7P1"	-1	"Cytosol"	"C03974"		"2-Acyl-sn-glycerol 3-phosphate (n-C16:1)"
"2hdecg3p[c]"	"2-hexadecanoyl-sn-glycerol 3-phosphate"	"C19H39O7P1"	"C19H38O7P1"	-1	"Cytosol"	"C03974"		"2-Acyl-sn-glycerol 3-phosphate (n-C16:0)"
"2ippm[c]"	"2-Isopropylmaleate"	"C7H10O4"	"C7H8O4"	-2	"Cytosol"	"C02631"		"beta-isopropylmaleate"
"2mahmp[c]"	"2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate"	"C6H11N3O7P2"	"C6H8N3O7P2"	-3	"Cytosol"	"C04752"	"745-65-3"	"4-amino-2-methyl 5-hydroxymethylpyrimidine pyrophosphate/ HMP-PP"
"2mcacn[c]"	"cis-2-Methylaconitate"	"C7H8O6"	"C7H5O6"	-3	"Cytosol"	"C04225"	"99-98-9"	"(Z)-But-2-ene-1,2,3-tricarboxylate/ cis-2-Methylaconitate"
"2mcit[c]"	"2-Methylcitrate"	"C7H10O7"	"C7H7O7"	-3	"Cytosol"	"C02225"	"96-17-3"	
"2me4p[c]"	"2-C-methyl-D-erythritol 4-phosphate"	"C5H13O7P"	"C5H11O7P"	-2	"Cytosol"	"C11434"		
"2mecdp[c]"	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate"	"C5H12O9P2"	"C5H10O9P2"	-2	"Cytosol"	"C11453"		
"2obut[c]"	"2-Oxobutanoate"	"C4H6O3"	"C4H5O3"	-1	"Cytosol"	"C00109"	"600-18-0"	"2-Ketobutyric acid/ 2-Oxobutyric acid/ 2-Oxobutyrate/ 2-Oxobutanoic acid/ alpha-Ketobutyrate"
"2odec11eg3p[c]"	"2-octadec-11-enoyl-sn-glycerol 3-phosphate"	"C21H41O7P1"	"C21H40O7P1"	-1	"Cytosol"	"C03974"		"2-Acyl-sn-glycerol 3-phosphate (n-C18:1)"
"2odecg3p[c]"	"2-octadecanoyl-sn-glycerol 3-phosphate"	"C21H43O7P1"	"C21H42O7P1"	-1	"Cytosol"	"C03974"		"2-Acyl-sn-glycerol 3-phosphate (n-C18:0)"
"2ohph[c]"	"2-Octaprenyl-6-hydroxyphenol"	"C46H70O2"	"C46H70O2"	0	"Cytosol"	"C05811"		
"2ombzl[c]"	"2-Octaprenyl-6-methoxy-1,4-benzoquinol"	"C47H72O3"	"C47H72O3"	0	"Cytosol"			
"2omhmbl[c]"	"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol"	"C48H74O4"	"C48H74O4"	0	"Cytosol"			
"2ommbl[c]"	"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol"	"C48H74O3"	"C48H74O3"	0	"Cytosol"			
"2omph[c]"	"2-Octaprenyl-6-methoxyphenol"	"C47H72O2"	"C47H72O2"	0	"Cytosol"	"C05812"		
"2oph[c]"	"2-Octaprenylphenol"	"C46H70O"	"C46H70O"	0	"Cytosol"	"C05810"		
"2oxpaccoa[c]"	"2-oxepin-2(3H)-ylideneacetyl-CoA"	"C29H42N7O18P3S"	"C29H38N7O18P3S"	-4	"Cytosol"			
"2p4c2me[c]"	"2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol"	"C14H26N3O17P3"	"C14H22N3O17P3"	-4	"Cytosol"	"C11436"		"2C-methyl-D-erythritol 2,4-cyclodiphosphate"
"2pg[c]"	"D-Glycerate 2-phosphate"	"C3H7O7P"	"C3H4O7P"	-3	"Cytosol"	"C00631"		"2-Phospho-D-glycerate/ 2-phosphoglyceric acid"
"2pglyc[c]"	"2-Phosphoglycolate"	"C2H5O6P"	"C2H2O6P"	-3	"Cytosol"	"C00988"		"Phosphoglycolic acid/ 2-phosphoglycolic acid"
"2sephchc[c]"	"2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate"	"C14H16O9"	"C14H13O9"	-3	"Cytosol"	"C16519"		
"2shchc[c]"	"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"	"C11H12O6"	"C11H10O6"	-2	"Cytosol"	"C05817"		
"2tdec7eg3p[c]"	"2-tetradec-7-enoyl-sn-glycerol 3-phosphate"	"C17H33O7P1"	"C17H32O7P1"	-1	"Cytosol"	"C03974"		"2-Acyl-sn-glycerol 3-phosphate (n-C14:1)"
"2tdecg3p[c]"	"2-tetradecanoyl-sn-glycerol 3-phosphate"	"C17H35O7P1"	"C17H34O7P1"	-1	"Cytosol"	"C03974"		"2-Acyl-sn-glycerol 3-phosphate (n-C14:0)"
"2tpr3dpcoa[c]"	"2'-(5''-triphosphoribosyl)-3'-dephospho-CoA"	"C26H46N7O26P5S"	"C26H40N7O26P5S"	-6	"Cytosol"			
"34hpp[c]"	"3-(4-Hydroxyphenyl)pyruvate"	"C9H8O4"	"C9H7O4"	-1	"Cytosol"	"C01179"		"4-Hydroxyphenylpyruvate/ p-Hydroxyphenylpyruvic acid"
"35cgmp[c]"	"3',5'-Cyclic GMP"	"C10H12N5O7P"	"C10H11N5O7P"	-1	"Cytosol"	"C00942"	"7665-99-8"	"Guanosine 3',5'-cyclic phosphate/ Cyclic GMP/ Guanosine 3',5'-cyclic monophosphate"
"3amac[c]"	"3-Aminoacrylate"	"C3H5NO2"	"C3H4NO2"	-1	"Cytosol"			
"3c2hmp[c]"	"3-Carboxy-2-hydroxy-4-methylpentanoate"	"C7H12O5"	"C7H10O5"	-2	"Cytosol"	"C04411"		"3-Isopropylmalate/ 2-D-threo-hydroxy-3-carboxy-isocaproate"
"3c3hmp[c]"	"3-Carboxy-3-hydroxy-4-methylpentanoate"	"C7H12O5"	"C7H10O5"	-2	"Cytosol"	"C02504"		"2-Isopropylmalate/ 2-Isopropylmalic acid/ 3-Carboxy-3-hydroxy-isocaproate/ 3-Carboxy-3-hydroxyisocaproate"
"3c4mop[c]"	"3-Carboxy-4-methyl-2-oxopentanoate"	"C7H10O5"	"C7H8O5"	-2	"Cytosol"	"C04236"		"2-Oxo-4-methyl-3-carboxypentanoate/ (2S)-2-Isopropyl-3-oxosuccinate"
"3dhguln[c]"	"3-Dehydro-L-gulonate"	"C6H10O7"	"C6H9O7"	-1	"Cytosol"	"C00618"		"3-keto-L-gulonate"
"3dhgulnp[c]"	"3-keto-L-gulonate-6-phosphate"	"C6H11O10P"	"C6H8O10P"	-3	"Cytosol"	"C14899"		"3-dehydro-L-gulonate phosphate"
"3dhq[c]"	"3-Dehydroquinate"	"C7H10O6"	"C7H9O6"	-1	"Cytosol"	"C00944"		"5-Dehydroquinate/ 3-Dehydroquinic acid/ 5-Dehydroquinic acid"
"3dhsk[c]"	"3-Dehydroshikimate"	"C7H8O5"	"C7H7O5"	-1	"Cytosol"	"C02637"		
"3fe4s[c]"	"[3Fe-4S] damaged iron-sulfur cluster"	"S4Fe3"	"S4Fe3"	0	"Cytosol"			
"3haACP[c]"	"(3R)-3-Hydroxyacyl-[acyl-carrier protein]"	"C15H28N2O9PRS"	"C15H27N2O9PRS"	-1	"Cytosol"	"C01271"		"(R)-3-Hydroxyacyl-[acyl-carrier protein]"
"3hadpcoa[c]"	"(3S)-3-Hydroxyadipyl-CoA"	"C27H44N7O20P3S"	"C27H39N7O20P3S"	-5	"Cytosol"	"C14145"		
"3hbcoa[c]"	"(S)-3-Hydroxybutanoyl-CoA"	"C25H42N7O18P3S"	"C25H38N7O18P3S"	-4	"Cytosol"	"C01144"		"L-3-hydroxybutyryl-CoA/ (S)-3-Hydroxybutyryl-CoA"
"3hcddec5eACP[c]"	"(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]"	"C23H42N2O9PRS"	"C23H41N2O9PRS"	-1	"Cytosol"			
"3hcinnm[c]"	"3-hydroxycinnamic acid"	"C9H8O3"	"C9H7O3"	-1	"Cytosol"			"3-hydroxycinnamate"
"3hcmrs7eACP[c]"	"(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]"	"C25H46N2O9PRS"	"C25H45N2O9PRS"	-1	"Cytosol"			
"3hcpalm9eACP[c]"	"(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]"	"C27H50N2O9PRS"	"C27H49N2O9PRS"	-1	"Cytosol"			
"3hcvac11eACP[c]"	"(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]"	"C29H54N2O9PRS"	"C29H53N2O9PRS"	-1	"Cytosol"			
"3hdcoa[c]"	"(S)-3-Hydroxydecanoyl-CoA"	"C31H54N7O18P3S"	"C31H50N7O18P3S"	-4	"Cytosol"	"C05264"		"(S)-Hydroxydecanoyl-CoA"
"3hddcoa[c]"	"(S)-3-Hydroxydodecanoyl-CoA"	"C33H58N7O18P3S"	"C33H54N7O18P3S"	-4	"Cytosol"	"C05262"		
"3hddecACP[c]"	"(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]"	"C23H44N2O9PRS"	"C23H43N2O9PRS"	-1	"Cytosol"	"C05757"		"(R)-3-Hydroxydodecanoyl-[acp]/ D-3-Hydroxydodecanoyl-[acp]/ D-3-Hydroxydodecanoyl-[acyl-carrier protein]"
"3hdecACP[c]"	"(R)-3-Hydroxydecanoyl-[acyl-carrier protein]"	"C21H40N2O9PRS"	"C21H39N2O9PRS"	-1	"Cytosol"	"C04619"	"320-77-4"	"(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]"
"3hhcoa[c]"	"(S)-3-Hydroxyhexanoyl-CoA"	"C27H46N7O18P3S"	"C27H42N7O18P3S"	-4	"Cytosol"	"C05268"		"(S)-Hydroxyhexanoyl-CoA"
"3hhdcoa[c]"	"(S)-3-Hydroxyhexadecanoyl-CoA"	"C37H66N7O18P3S"	"C37H62N7O18P3S"	-4	"Cytosol"	"C05258"		
"3hhexACP[c]"	"(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]"	"C17H32N2O9PRS"	"C17H31N2O9PRS"	-1	"Cytosol"	"C05747"		"(R)-3-Hydroxyhexanoyl-[acp]/ D-3-Hydroxyhexanoyl-[acp]/ D-3-Hydroxyhexanoyl-[acyl-carrier protein]"
"3hmrsACP[c]"	"(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"	"C25H48N2O9PRS"	"C25H47N2O9PRS"	-1	"Cytosol"	"C04688"		"(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]/ HMA/ beta-Hydroxymyristyl-[acyl-carrier protein]"
"3hocoa[c]"	"(S)-3-Hydroxyoctanoyl-CoA"	"C29H50N7O18P3S"	"C29H46N7O18P3S"	-4	"Cytosol"	"C05266"		"(S)-Hydroxyoctanoyl-CoA"
"3hoctACP[c]"	"(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]"	"C19H36N2O9PRS"	"C19H35N2O9PRS"	-1	"Cytosol"	"C04620"		"(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]"
"3hoctaACP[c]"	"(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]"	"C29H56N2O9PRS"	"C29H55N2O9PRS"	-1	"Cytosol"	"C16220"		
"3hodcoa[c]"	"(S)-3-Hydroxyoctadecanoyl-CoA"	"C39H70N7O18P3S"	"C39H66N7O18P3S"	-4	"Cytosol"	"C16217"		
"3hpalmACP[c]"	"R-3-hydroxypalmitoyl-[acyl-carrier protein]"	"C27H52N2O9PRS"	"C27H51N2O9PRS"	-1	"Cytosol"	"C04633"		"(R)-3-Hydroxypalmitoyl-[acyl-carrier protein]/ (3R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein]/ (R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein]/ (3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]"
"3hpp[c]"	"3-Hydroxypropanoate"	"C3H6O3"	"C3H5O3"	-1	"Cytosol"	"C01013"	"503-66-2"	"3-Hydroxyisobutyric acid/ 3-Hydroxypropionic acid/ 3-Hydroxypropanoic acid/ 3-Hydroxypropionate/ 3-Hydroxyisobutyrate/ 3-Hydropropenoate/ Hydracrylic acid/ 3-Hydropropionic acid"
"3hpppn[c]"	"3-(3-hydroxy-phenyl)propionate"	"C9H10O3"	"C9H9O3"	-1	"Cytosol"	"C11457"		
"3htdcoa[c]"	"(S)-3-Hydroxytetradecanoyl-CoA"	"C35H62N7O18P3S"	"C35H58N7O18P3S"	-4	"Cytosol"	"C05260"		
