"E. coli CORE Biomass Objective Function"																																							
	"Notes"	"Macromolecule"	"overall wt%"	"overall wt% (wild type)"	"composition (molar fraction)"	"mmol/gDW (Calc.)"	"metabolite"	"location"	"type"	"formula"	"C"	"H"	"N"	"O"	"P"	"S"	"MW (mg/mmol)"	"difference b/w metabolite and structual component"	"MWcorr (mg/mmol)"	"mg (if total 1 mmol)"	"total wt (mg)"	"composition (weight fraction)"	"g/gDW"	"mmol/gDW"		"total mmols material"	"class"	"final wt%"		"g/gDW"	"g/gDW"	"g/gDW"	"consistency check"	"consistency check"		"Reference"			
	"NH pg. 96"				0.029	0.153686	"met-L"	"cytoplasm"	"AA"	"C5H11NO2S"	5	11	1	2	0	1	149.214	"h2o"	131.199	3.769937808		0.034800502	"2.02%"	0.154						0.022932059						"maintenance"			
	"NH pg. 96"				0.035	0.185265	"phe-L"	"cytoplasm"	"AA"	"C9H11NO2"	9	11	1	2	0	0	165.192	"h2o"	147.177	5.098042118		0.047060305	"2.73%"	0.185						0.030604289						"reactants"	31.171		
	"NH pg. 96"				0.041	0.221055	"pro-L"	"cytoplasm"	"AA"	"C5H9NO2"	5	9	1	2	0	0	115.132	"h2o"	97.117	4.013888998		0.037052428	"2.15%"	0.221						0.025450479						"products"	31.171		
	"NH pg. 96"				0.04	0.215792	"ser-L"	"cytoplasm"	"AA"	"C3H7NO3"	3	7	1	3	0	0	105.093	"h2o"	87.078	3.513282818		0.032431305	"1.88%"	0.216						0.022678184						"difference"	0		
	"NH pg. 96"				0.047	0.253687	"thr-L"	"cytoplasm"	"AA"	"C4H9NO3"	4	9	1	3	0	0	119.12	"h2o"	101.105	4.795572722		0.044268194	"2.56%"	0.254						0.030219157									
	"NH pg. 96"				0.011	0.056843	"trp-L"	"cytoplasm"	"AA"	"C11H12N2O2"	11	12	2	2	0	0	204.229	"h2o"	186.214	1.979050581		0.018268724	"1.06%"	0.057						0.011608919									
	"NH pg. 96"				0.026	0.137896	"tyr-L"	"cytoplasm"	"AA"	"C9H11NO3"	9	11	1	3	0	0	181.191	"h2o"	163.176	4.207056879		0.038835572	"2.25%"	0.138						0.024985528									
	"NH pg. 96"				0.079	0.423162	"val-L"	"cytoplasm"	"AA"	"C5H11NO2"	5	11	1	2	0	0	117.148	"h2o"	99.133	7.843232828		0.07240131	"4.19%"	0.423		5.348	"Protein"	0.579		0.049572583	0.675752742	"57.94%"	"-1.41929E-05"	"57.94%"					
	"GC content for E. coli K-12mg1655 (50.8%)"	"DNA"	0.0327	0.031	0.246	0.026166	"datp"	"cytoplasm"	"DNA"	"C10H12N5O12P3"	10	12	5	12	3	0	487.151	"ppi"	312.202	76.801692	307.433388	0.249815716	"0.82%"	0.0262						0.012746631									
	"GC content for E. coli K-12mg1655 (50.8%)"	" "			0.254	0.027017	"dctp"	"cytoplasm"	"DNA"	"C9H12N3O13P3"	9	10	3	13	3	0	461.109	"ppi"	286.16	72.68464		0.236424028	"0.77%"	0.027						0.01245759									
	"GC content for E. coli K-12mg1655 (50.8%)"	" "			0.254	0.027017	"dgtp"	"cytoplasm"	"DNA"	"C10H12N5O13P3"	10	12	5	13	3	0	503.15	"ppi"	328.201	83.363054		0.271158102	"0.89%"	0.027						0.013593394									
	"GC content for E. coli K-12mg1655 (50.8%)"	" "			0.246	0.026166	"dttp"	"cytoplasm"	"DNA"	"C10H13N2O14P3"	10	13	2	14	3	0	478.136	"ppi"	303.187	74.584002		0.242602154	"0.79%"	0.0262		0.1064	"DNA"	0.033		0.012510748	0.051308364	"3.27%"	"-8.01017E-07"	"3.27%"					
	"NH pg. 98"	"RNA"	0.216	0.205	0.2	0.133508	"ctp"	"cytoplasm"	"RNA"	"C9H12N3O14P3"	9	12	3	14	3	0	479.124	"ppi"	304.175	60.835	323.5768873	0.188007866	"4.06%"	0.1335						0.063966734									
	"NH pg. 98"				0.322	0.215096	"gtp"	"cytoplasm"	"RNA"	"C10H12N5O14P3"	10	12	5	14	3	0	519.149	"ppi"	344.2	110.9088889		0.342758996	"7.40%"	0.2151						0.111666722									
	"NH pg. 98"				0.216	0.144104	"utp"	"cytoplasm"	"RNA"	"C9H11N2O15P3"	9	11	2	15	3	0	480.108	"ppi"	305.159	65.87559365		0.203585597	"4.40%"	0.1441						0.069185257									
	"NH pg. 98"				0.262	0.174831	"atp**"	"cytoplasm"	"RNA"	"C10H12N5O13P3"	10	12	5	13	3	0	503.15	"ppi"	328.201	85.95740476		0.265647542	"5.74%"	0.1748		0.6675	"RNA"	0.216		0.087966463	0.332785177	"21.60%"	"-5.29112E-06"	"21.60%"					
	"NH pg. 4, see 'murein' worksheet"	"murein"	0.0263	0.025	1	0.013894	"murein5px4p"	"periplasm"	"murein"	"C77H117N15O40"	77	117	15	40	0	0	1892.848	"none"	1892.848	1892.848	1892.848	1	"2.63%"	0.014		0.0139	"murein"	0.026		0.0263		"2.63%"	"-6.44243E-07"	"2.63%"					
	"NH pg. 4, and NH pg 1041 (essentially all laboratory strains of E. coli K-12 lack O-antigen, a rough phenotype), pg 15 NH in table"	"LPS"	0.0358	0.034	1	0.019456	"kdo2lipid4"	"extra-cellular face"	"LPS"	"C84H148N2O37P2"	84	148	2	37	2	0	1840.033	"none"	1840.033	1840.033	1840.033	1	"3.58%"	0.019456173		0.019456173	"LPS"	0.0358		0.0358		"3.58%"	"-8.76954E-07"	"3.58%"					
	"NH pg. 4, see 'lipid' worksheet"	"lipid"	0.0959	0.091	0.459	0.063814	"pe160"	"cytoplasm / periplasm"	"lipid"	"C37H74N1O8P1"	37	74	1	8	1	0	691.972	"none"	691.972	317.615148	689.790688	0.460451487	"4.42%"	0.064						0.044157298									
	"NH pg. 4, see 'lipid' worksheet"	" "			0.541	0.075214	"pe161"	"cytoplasm / periplasm"	"lipid"	"C37H70N1O8P1"	37	70	1	8	1	0	687.94	"none"	687.94	372.17554		0.539548513	"5.17%"	0.075		0.139	"lipid"	"9.59%"		0.051742702		"9.59%"	"-2.34916E-06"	"9.59%"					
	"NH pg. 21, see 'ion' worksheet"	"inorganic ions"	0.0105	0.01	0.7143	0.177645	"k"	"cytoplasm"	"inorganic ions"	"K"							38.9637	"none"	38.9637	27.83121429	42.21914254	0.659208421	"0.69%"	0.178						0.006921688									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0476	0.011843	"nh4"	"cytoplasm"	"inorganic ions"	"H4N"	0	4	1	0	0	0	18.039	"none"	18.039	0.859		0.020346221	"0.02%"	0.012						0.000213635									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0317	0.007895	"mg2"	"cytoplasm"	"inorganic ions"	"Mg"							23.985	"none"	23.985	0.761428571		0.01803515	"0.02%"	0.008						0.000189369									
	"NH pg. 21, see 'ion' worksheet"	" "			0.019	0.004737	"ca2"	"cytoplasm"	"inorganic ions"	"Ca"							39.9626	"none"	39.9626	0.761192381		0.018029556	"0.02%"	0.005						0.00018931									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0286	0.007106	"fe2"	"cytoplasm"	"inorganic ions"	"Fe"							55.9349	"none"	55.9349	1.59814		0.037853445	"0.04%"	0.007						0.000397461									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0286	0.007106	"fe3"	"cytoplasm"	"inorganic ions"	"Fe"							55.9349	"none"	55.9349	1.59814		0.037853445	"0.04%"	0.007						0.000397461									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0127	0.003158	"cu2"	"cytoplasm"	"inorganic ions"	"Cu"							63.546	"none"	63.546	0.806933333		0.019112973	"0.02%"	0.003						0.000200686									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0127	0.003158	"mn2"	"cytoplasm"	"inorganic ions"	"Mn"							54.938	"none"	54.938	0.697625397		0.016523912	"0.02%"	0.003						0.000173501									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0127	0.003158	"mobd"	"cytoplasm"	"inorganic ions"	"MoO4"							159.94	"none"	159.94	2.030984127		0.048105764	"0.05%"	0.003						0.000505111									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0127	0.003158	"cobalt2"	"cytoplasm"	"inorganic ions"	"Co"							58.9332	"none"	58.9332	0.748358095		0.017725564	"0.02%"	0.003						0.000186118									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0127	0.003158	"zn2"	"cytoplasm"	"inorganic ions"	"Zn"							63.9291	"none"	63.9291	0.811798095		0.019228199	"0.02%"	0.003						0.000201896									
	"NH pg. 21, see 'ion' worksheet"	" "			0.019	0.004737	"cl"	"cytoplasm"	"inorganic ions"	"Cl"							34.9689	"none"	34.9689	0.666074286		0.015776594	"0.02%"	0.005						0.000165654									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0159	0.003948	"so4"	"cytoplasm"	"inorganic ions"	"O4S"	0	0	0	4	0	1	96.062	"none"	96.062	1.524793651		0.036116168	"0.04%"	0.004						0.00037922									
	"NH pg. 21, see 'ion' worksheet"	" "			0.0159	0.003948	"pi**"	"cytoplasm"	"inorganic ions"	"HO4P"	0	1	0	4	1	0	95.978	"none"	95.978	1.523460317		0.036084587	"0.04%"	0.004		0.245	"inorganic ions"	"1.05%"		0.000378888		"1.05%"	"-2.57207E-07"	"1.05%"					
		"soluble pool"	0.0034	0.029		0.000576	"coa"	"cytoplasm"	"cofactor"	"C21H32N7O16P3S"	21	32	7	16	3	1	763.508	"none"	763.508											0.000439933									
						0.001831	"nad"	"cytoplasm"	"cofactor"	"C21H26N7O14P2"	21	26	7	14	2	0	662.422	"none"	662.422											0.001213115									
						0.000447	"nadp"	"cytoplasm"	"cofactor"	"C21H25N7O17P3"	21	25	7	17	3	0	740.385	"none"	740.385											0.000330705									
						0.000223	"fad"	"cytoplasm"	"cofactor"	"C27H31N9O15P2"	27	31	9	15	2	0	783.541	"none"	783.541											0.000174991									
						0.000223	"thf"	"cytoplasm"	"cofactor"	"C19H21N7O6"	19	21	7	6	0	0	443.42	"none"	443.42											"9.90305E-05"									
						0.000223	"mlthf"	"cytoplasm"	"cofactor"	"C20H21N7O6"	20	21	7	6	0	0	455.431	"none"	455.431											0.000101713									
						0.000223	"10fthf"	"cytoplasm"	"cofactor"	"C20H21N7O7"	20	21	7	7	0	0	471.43	"none"	471.43											0.000105286									
						0.000223	"thmpp"	"cytoplasm"	"cofactor"	"C12H16N4O7P2S"	12	16	4	7	2	1	422.295	"none"	422.295											"9.43126E-05"									
						0.000223	"pydx5p"	"cytoplasm"	"cofactor"	"C8H8NO6P"	8	8	1	6	1	0	245.127	"none"	245.127											"5.4745E-05"									
						0.000223	"pheme"	"cytoplasm"	"cofactor"	"C34H30FeN4O4"	34	30	4	4	0	0	614.5729	"none"	614.5729											0.000137255									
						0.000223	"sheme"	"cytoplasm"	"cofactor"	"C42H36FeN4O16"	42	36	4	16	0	0	1355.912	"none"	1355.912											0.00030282									
						0.000055	"udcpdp"	"cytoplasm"	"cofactor"	"C55H89O7P2"	55	89	0	7	2	0	924.258	"none"	924.258											"5.11601E-05"									
						0.000223	"amet"	"cytoplasm"	"cofactor"	"C15H23N6O5S"	15	23	6	5	0	1	399.452	"none"	399.452											"8.92109E-05"									
						0.000223	"2ohph"	"cytoplasm"	"cofactor"	"C46H70O2"	46	70	0	2	0	0	655.064	"none"	655.064											0.000146079									
						0.000223	"ribflv"	"cytoplasm"	"cofactor"	"C17H20N4O6"	17	20	4	6	0	0	376.369	"none"	376.369											"8.40557E-05"		"0.34%"		"0.34%"					
	"maintenance"				1	59.81	"atp**"	"cytoplasm"	"maint"	"C10H12N5O13P5"	10	12	5	13	3	0	503.15													30.0934015									
	"maintenance"				1	59.81	"h2o**"	"cytoplasm"	"maint"	"H2O"	0	2	0	1	0	0	18.015													1.07747715									
	"RNA / maint"					59.984831	"atp**"	"cytoplasm"																															
	"AA difference / maint"					54.461527	"h2o**"	"cytoplasm"																															
																																		"100.00%"					
	"Products"																																						
	"maintenance"				1	59.81	"adp"	"cytoplasm"	"maint"	"C10H12N5O10P2"	10	12	5	10	2	0	424.179													25.37014599									
	"maintenance"				1	59.81	"h"	"cytoplasm"	"maint"	"H"	0	1	0	0	0	0	1.008													0.06028848									
	"maintenance"				1	59.81	"pi**"	"cytoplasm"	"maint"	"HO4P"	0	1	0	4	1	0	95.978													5.74044418									
	"sum of dNTPs"					0.1064	"ppi**"	"cytoplasm"	"sum of dNTPs"	"HO7P2"	0	1	0	7	2	0	174.949													0.018608364									
	"sum of NTPs"					0.6675	"ppi**"	"cytoplasm"	"sum of NTPs"	"HO7P2"	0	1	0	7	2	0	174.949													0.116785177									
	"sum of AA"					5.348	"h2o**"	"cytoplasm"	"sum of AA"	"H2O"	0	2	0	1	0	0	18.015													0.096352742									
	"NT difference / dNT difference"					0.773903	"ppi**"	"cytoplasm"	"sum of NTPs and dNTPs"	"HO4P"	0	1	0	4	1	0	95.978																						
	"maintenance / ions"					59.806052	"pi**"	"cytoplasm"	"inorganic ions"	"HO4P"	0	1	0	4	1	0	95.978																						
																																							
																																							
					"Maintenance"																																		
					"GAM (biosynthetic + other) ="	59.81																																	
					"biosynthetic costs ="	22.873																																	
					"unknown GAM costs ="	36.937																																	
																																							
	"WT CORE"																																						
	"Abbreviation"	"Equation"																																					
	"Ec_biomass_iAF1260_core_59p81M"	"0.000223 10fthf[c] + 0.000223 2ohph[c] + 0.513700 ala-L[c] + 0.000223 amet[c] + 0.295800 arg-L[c] + 0.241100 asn-L[c] + 0.241100 asp-L[c] + 59.984000 atp[c] + 0.004737 ca2[c] + 0.004737 cl[c] + 0.000576 coa[c] + 0.003158 cobalt2[c] + 0.133500 ctp[c] + 0.003158 cu2[c] + 0.091580 cys-L[c] + 0.026170 datp[c] + 0.027020 dctp[c] + 0.027020 dgtp[c] + 0.026170 dttp[c] + 0.000223 fad[c] + 0.007106 fe2[c] + 0.007106 fe3[c] + 0.263200 gln-L[c] + 0.263200 glu-L[c] + 0.612600 gly[c] + 0.215100 gtp[c] + 54.462000 h2o[c] + 0.094740 his-L[c] + 0.290500 ile-L[c] + 0.177600 k[c] + 0.019450 kdo2lipid4[e] + 0.450500 leu-L[c] + 0.343200 lys-L[c] + 0.153700 met-L[c] + 0.007895 mg2[c] + 0.000223 mlthf[c] + 0.003158 mn2[c] + 0.003158 mobd[c] + 0.013890 murein5px4p[p] + 0.001831 nad[c] + 0.000447 nadp[c] + 0.011843 nh4[c] + 0.022330 pe160[c] + 0.041480 pe160[p] + 0.026320 pe161[c] + 0.048890 pe161[p] + 0.175900 phe-L[c] + 0.000223 pheme[c] + 0.221100 pro-L[c] + 0.000223 pydx5p[c] + 0.000223 ribflv[c] + 0.215800 ser-L[c] + 0.000223 sheme[c] + 0.003948 so4[c] + 0.000223 thf[c] + 0.000223 thmpp[c] + 0.253700 thr-L[c] + 0.056840 trp-L[c] + 0.137900 tyr-L[c] + 0.000055 udcpdp[c] + 0.144100 utp[c] + 0.423200 val-L[c] + 0.003158 zn2[c]  -> 59.810000 adp[c] + 59.810000 h[c] + 59.806000 pi[c] + 0.773900 ppi[c]"																																					
