"Object ID"	"Gene Name"	"Names"	"Left-End-Position"	"Right-End-Position"
"EG11700"	EG11700	"pnuC" // "b0751" // "ECK0740"	783166	783885
"G6710"	G6710	"paaB" // "ynbF" // "b1389" // "ECK1386"	1454868	1455155
"EG11889"	EG11889	"dctR" // "yhiF" // "b3507" // "ECK3491"	3654683	3655213
"EG11978"	EG11978	"rfbA" // "rmlA" // "som" // "b2039" // "ECK2033"	2110138	2111019
"EG11464"	EG11464	"yigF" // "b3817" // "ECK3811"	4002419	4002799
"EG10835"	EG10835	"relA" // "RC" // "b2784" // "ECK2778"	2911417	2913651
"EG10771"	EG10771	"proV" // "osrA" // "proU" // "b2677" // "ECK2671"	2804815	2806017
"G6390"	G6390	"lysY" // "lysTg" // "lysTgamma" // "b0747" // "ECK0736"	781147	781222
"EG10932"	EG10932	"sdhB" // "dhsB" // "b0724" // "ECK0713"	757689	758405
"G7861"	G7861	"yjfY" // "b4199" // "ECK4195"	4424516	4424791
"EG10795"	EG10795	"purH" // "b4006" // "ECK3998"	4205943	4207532
"G6094"	G6094	"ldcC" // "ldc" // "ldcH" // "b0186" // "ECK0185"	209679	211820
"G7689"	G7689	"tldD" // "yhdO" // "b3244" // "ECK3233"	3390583	3392028
"EG30101"	EG30101	"thrT" // "b3979" // "ECK3970"	4175754	4175829
"G7349"	G7349	"yfiP" // "b2583" // "ECK2581"	2719223	2719921
"EG10220"	EG10220	"deoB" // "tlr" // "drm" // "thyR" // "b4383" // "ECK4375"	4619603	4620826
"EG10678"	EG10678	"oppF" // "b1247" // "ECK1241"	1305764	1306768
"EG30058"	EG30058	"metT" // "metTalpha" // "b0673" // "ECK0661"	697057	697133
"EG11858"	EG11858	"fdoG" // "b3894" // "ECK3887"	4082772	4085822
"G6994"	G6994	"yoaC" // "b1810" // "ECK1808"	1894133	1894432
"EG10361"	EG10361	"gabT" // "b2662" // "ECK2656"	2792735	2794015
"EG12286"	EG12286	"sgbU" // "yiaR" // "b3582" // "ECK3571"	3749232	3750092
"G7571"	G7571	"mqsA" // "ygiT" // "b3021" // "ECK3012"	3167851	3168246
"EG30042"	EG30042	"hisR" // "hisT" // "b3797" // "ECK3790"	3982509	3982585
"G6668"	G6668	"ynaJ" // "b1332" // "ECK1328"	1397365	1397622
"EG11329"	EG11329	"gabD" // "b2661" // "ECK2655"	2791273	2792721
"G7341"	G7341	"yphE" // "b2547" // "ECK2544"	2676850	2678361
"EG30024"	EG30024	"aspU" // "b0206" // "ECK0206"	228928	229004
"EG12656"	EG12656	"mdaB" // "mda66" // "b3028" // "ECK3019"	3172530	3173111
"G6331"	G6331	"ybdN" // "b0602" // "ECK0596"	635349	636569
"EG12386"	EG12386	"csiR" // "ygaE" // "gabC" // "b2664" // "ECK2658"	2795674	2796336
"EG11845"	EG11845	"yihS" // "squS" // "b3880" // "ECK3873"	4070515	4071756
"EG11390"	EG11390	"uspA" // "b3495" // "ECK3480"	3640111	3640545
"EG30008"	EG30008	"alaT" // "talA" // "b3853" // "ECK3845"	4037260	4037335
"EG12421"	EG12421	"ybiI" // "b0803" // "ECK0792"	838190	838456
"G7502"	G7502	"guaD" // "ygfP" // "b2883" // "ECK2879"	3025766	3027085
"EG12801"	EG12801	"mlaF" // "vpsA(S.f.)" // "yrbF" // "b3195" // "ECK3184"	3339256	3340065
"EG30114"	EG30114	"valY" // "valUgamma" // "b2403" // "ECK2397"	2521173	2521248
"EG11801"	EG11801	"hybC" // "b2994" // "ECK2988"	3141286	3142989
"EG11807"	EG11807	"yebF" // "b1847" // "ECK1848"	1930034	1930390
"G7293"	G7293	"maeB" // "ypfF" // "b2463" // "ECK2458"	2576098	2578377
"EG10350"	EG10350	"fucK" // "b2803" // "ECK2798"	2937468	2938886
"G6749"	G6749	"hicB" // "ydcQ" // "b1438" // "ECK1432"	1509508	1509924
"EG30095"	EG30095	"serV" // "supD" // "b2695" // "ECK2690"	2818553	2818645
"EG11155"	EG11155	"ygdB" // "b2824" // "ECK2820"	2962749	2963156
"G7040"	G7040	"yedL" // "b1932" // "ECK1931"	2010600	2011079
"EG11959"	EG11959	"alsA" // "yjcW" // "b4087" // "ECK4080"	4309448	4310980
"EG30055"	EG30055	"lysT" // "supL" // "supG" // "sua" // "lysTalpha" // "Su[beta]" // "b0743" // "ECK0732"	780554	780629
"EG10469"	EG10469	"hyaB" // "b0973" // "ECK0964"	1033254	1035047
"G7746"	G7746	"yhgF" // "b3407" // "ECK3394"	3537385	3539706
"EG12164"	EG12164	"ytjC" // "gpmB" // "b4395" // "ECK4387"	4633797	4634444
"G7723"	G7723	"frlB" // "yhfN" // "b3371" // "ECK3359"	3501268	3502290
"G6337"	G6337	"rnk" // "b0610" // "ECK0603"	643557	643967
"EG30039"	EG30039	"glyW" // "ins" // "mutC" // "suA58" // "suA78" // "b1911" // "ECK1910"	1992042	1992117
"G7261"	G7261	"yfeS" // "b2420" // "ECK2415"	2537749	2538483
"EG11699"	EG11699	"gpmA" // "gpm" // "b0755" // "ECK0744"	786843	787595
"EG10558"	EG10558	"malK" // "malB" // "b4035" // "ECK4027"	4246784	4247899
"EG30021"	EG30021	"asnU" // "b1986" // "ECK1981"	2059851	2059926
"EG11228"	EG11228	"fdnH" // "b1475" // "ECK1469"	1550461	1551345
"G6955"	G6955	"ynjH" // "b1760" // "ECK1758"	1841863	1842135
"EG11685"	EG11685	"yicI" // "b3656" // "ECK3646"	3832219	3834537
"G6986"	G6986	"dmlA" // "ttuC" // "yeaU" // "b1800" // "ECK1798"	1881912	1882997
"EG10949"	EG10949	"sfsA" // "sfs" // "sfs1" // "b0146" // "ECK0145"	160782	161486
"EG30111"	EG30111	"valV" // "b1665" // "ECK1661"	1746435	1746511
"G6624"	G6624	"ymgE" // "tag" // "b1195" // "ECK1183"	1244728	1244982
"EG11517"	EG11517	"glpX" // "b3925" // "ECK3917"	4114569	4115579
"G6800"	G6800	"lsrA" // "ego" // "ydeX" // "b1513" // "ECK1506"	1601490	1603025
"EG30092"	EG30092	"selC" // "fdhC" // "b3658" // "ECK3648"	3836222	3836316
"G7429"	G7429	"casB" // "ygcK" // "cse2" // "b2759" // "ECK2754"	2882155	2882637
"G6194"	G6194	"yahO" // "b0329" // "ECK0327"	346484	346759
"EG11447"	EG11447	"csrA" // "zfiA" // "b2696" // "ECK2691"	2818961	2819146
"G6653"	G6653	"ycjS" // "b1315" // "ECK1310"	1376832	1377887
"G7715"	G7715	"yheO" // "b3346" // "ECK3333"	3475718	3476440
"EG30052"	EG30052	"leuW" // "feeB" // "b0672" // "ECK0660"	696963	697047
"EG12225"	EG12225	"yhiJ" // "b3488" // "ECK3473"	3630968	3632590
"EG11245"	EG11245	"yggF" // "yggK" // "b2930" // "ECK2926"	3075217	3076182
"EG12627"	EG12627	"dppD" // "b3541" // "ECK3528"	3702865	3703848
"EG30036"	EG30036	"glyT" // "sumA" // "sup15B" // "supA36" // "b3978" // "ECK3969"	4175673	4175747
"EG11398"	EG11398	"hdeA" // "yhiB" // "yhhC" // "b3510" // "ECK3494"	3656408	3656740
"EG11749"	EG11749	"yadE" // "b0130" // "ECK0129"	145081	146310
"EG11239"	EG11239	"ybhA" // "b0766" // "ECK0755"	797613	798431
"EG12734"	EG12734	"uxaA" // "ygjW" // "b3091" // "ECK3082"	3241827	3243314
"EG11731"	EG11731	"ravA" // "yieN" // "b3746" // "ECK3740"	3929597	3931093
"EG30018"	EG30018	"argY" // "argVbeta" // "b2693" // "ECK2688"	2818198	2818274
"EG11127"	EG11127	"yciG" // "b1259" // "ECK1253"	1315856	1316035
"EG10948"	EG10948	"maeA" // "sfcA" // "b1479" // "ECK1473"	1553972	1555669
"EG11630"	EG11630	"potG" // "b0855" // "ECK0846"	894991	896124
"G7991"	G7991	"cysT" // "b1910" // "ECK1909"	1991914	1991987
"G7426"	G7426	"casE" // "ygcH" // "cse3" // "cas6e" // "b2756" // "ECK2751"	2879788	2880387
"G7651"	G7651	"yhbT" // "b3157" // "ECK3145"	3300752	3301276
"EG10759"	EG10759	"ppsA" // "pps" // "b1702" // "ECK1700"	1784734	1787112
"EG11957"	EG11957	"alsE" // "yjcU" // "b4085" // "ECK4078"	4307783	4308478
"G7595"	G7595	"aer" // "yqjJ" // "air" // "b3072" // "ECK3062"	3217556	3219076
"EG30108"	EG30108	"tyrV" // "tyrTbeta" // "b1230" // "ECK1225"	1287244	1287328
"G7180"	G7180	"yfbN" // "b2273" // "ECK2267"	2387710	2388426
"EG10703"	EG10703	"pgk" // "b2926" // "ECK2922"	3071459	3072622
"EG10452"	EG10452	"hisP" // "b2306" // "ECK2300"	2423736	2424509
"EG30066"	EG30066	"proK" // "proV" // "b3545" // "ECK3532"	3708616	3708692
"EG10571"	EG10571	"mazE" // "chpAI" // "chpR" // "b2783" // "ECK2777"	2911091	2911339
"G6928"	G6928	"ydiY" // "b1722" // "ECK1720"	1805325	1806083
"EG10702"	EG10702	"pgi" // "b4025" // "ECK4017"	4233758	4235407
"EG11708"	EG11708	"glvG" // "yidM" // "b3681" // "ECK3673"	3861349	3861987
"EG11431"	EG11431	"yfeC" // "b2398" // "ECK2392"	2518467	2518811
"EG30049"	EG30049	"leuT" // "b3798" // "ECK3791"	3982606	3982692
"G6549"	G6549	"ymdA" // "b1044" // "ECK1030"	1105414	1105725
"EG10688"	EG10688	"pck" // "pckA" // "b3403" // "ECK3390"	3532818	3534440
"G6752"	G6752	"ydcT" // "b1441" // "ECK1435"	1512817	1513830
"EG30033"	EG30033	"gltU" // "tgtC" // "b3757" // "ECK3751"	3943435	3943510
"EG12634"	EG12634	"cas3" // "ygcB" // "b2761" // "ECK2756"	2884553	2887219
"G0-16640"	G0-16640	"ytiA" // "b4715" // "ECK4572"	4563668	4563925
"EG10576"	EG10576	"mdh" // "b3236" // "ECK3225"	3383330	3384268
"EG10016"	EG10016	"garL" // "yhaF" // "b3126" // "ECK3114"	3272787	3273557
"G6936"	G6936	"cedA" // "ydjP" // "b1731" // "ECK1729"	1813421	1813663
"EG30015"	EG30015	"argV" // "argValpha" // "b2694" // "ECK2689"	2818473	2818549
"EG12119"	EG12119	"ychJ" // "b1233" // "ECK1228"	1288674	1289132
"EG10374"	EG10374	"ggt" // "b3447" // "ECK3431"	3585081	3586823
"EG12347"	EG12347	"tcyN" // "yecC" // "b1917" // "ECK1916"	1997062	1997814
"EG30105"	EG30105	"trpT" // "su7" // "su8" // "su9" // "supU" // "supV" // "b3761" // "ECK3755"	3946957	3947032
"G7430"	G7430	"casA" // "ygcL" // "cse1" // "b2760" // "ECK2755"	2882630	2884138
"EG11662"	EG11662	"yedK" // "yedG" // "b1931" // "ECK1930"	2009821	2010489
"EG10368"	EG10368	"epd" // "gapB" // "gap2" // "b2927" // "ECK2923"	3072672	3073691
"G6721"	G6721	"paaY" // "ydbZ" // "b1400" // "ECK1397"	1464471	1465061
"G6444"	G6444	"rcdA" // "ybjK" // "b0846" // "ECK0836"	887423	887959
"EG30062"	EG30062	"metZ" // "metZalpha" // "b2814" // "ECK2810"	2947387	2947463
"G7604"	G7604	"ygjP" // "b3085" // "ECK3075"	3235960	3236463
"EG10367"	EG10367	"gapA" // "gad" // "gap1" // "b1779" // "ECK1777"	1862771	1863766
"EG10295"	EG10295	"fepC" // "b0588" // "ECK0581"	619384	620199
"EG30046"	EG30046	"ileX" // "b3069" // "ECK3059"	3215598	3215673
"G7427"	G7427	"casD" // "ygcI" // "cas5e" // "b2757" // "ECK2752"	2880374	2881048
"G7152"	G7152	"yfaP" // "b2225" // "ECK2218"	2327367	2328143
"EG10283"	EG10283	"fbp" // "fdp" // "b4232" // "ECK4227"	4454611	4455609
"EG12419"	EG12419	"gatY" // "yegF" // "b2096" // "ECK2089"	2176350	2177204
"EG20044"	EG20044	"dctA" // "b3528" // "ECK3513"	3682161	3683447
"EG30030"	EG30030	"glnW" // "glnU-beta" // "glnUbeta" // "b0668" // "ECK0658"	696756	696830
"G6844"	G6844	"ynfD" // "b1586" // "ECK1581"	1657565	1657870
"EG10258"	EG10258	"eno" // "b2779" // "ECK2773"	2906643	2907941
"G6429"	G6429	"gsiA" // "yliA" // "b0829" // "ECK0819"	867520	869391
"EG30012"	EG30012	"alaX" // "alaWbeta" // "b2396" // "ECK2390"	2518041	2518116
"EG11250"	EG11250	"chpS" // "chpBI" // "yjfB" // "b4224" // "ECK4220"	4448447	4448698
"G6469"	G6469	"ycaP" // "b0906" // "ECK0897"	956762	957454
"EG11162"	EG11162	"fumE" // "yggD" // "b2929" // "ECK2925"	3074686	3075195
"EG12253"	EG12253	"kdgK" // "yhjI" // "b3526" // "ECK3511"	3679419	3680348
"G6391"	G6391	"lysZ" // "b0748" // "ECK0737"	781369	781444
"EG12865"	EG12865	"ydcH" // "b1426" // "ECK1419"	1498651	1498875
"EG12304"	EG12304	"sapD" // "trkE" // "b1291" // "ECK1286"	1352636	1353628
"G7947"	G7947	"yjjQ" // "b4365" // "ECK4355"	4603477	4604202
"EG30102"	EG30102	"thrU" // "b3976" // "ECK3967"	4175388	4175463
"G0-9121"	G0-9121	"yoeB" // "b4539" // "ECK2011"	2089211	2089465
"EG11999"	EG11999	"yehM" // "yehO" // "yehN" // "b2120" // "ECK2112"	2205695	2207974
"EG11733"	EG11733	"yieP" // "b3755" // "ECK3749"	3940635	3941327
"EG10971"	EG10971	"srlD" // "gutD" // "b2705" // "ECK2700"	2827737	2828516
"EG30059"	EG30059	"metU" // "metT-beta" // "metTbeta" // "b0666" // "ECK0657"	696664	696740
"EG11659"	EG11659	"yedD" // "b1928" // "ECK1927"	2007677	2008090
"G6266"	G6266	"fetA" // "ybbL" // "b0490" // "ECK0484"	515919	516596
"G7656"	G7656	"obgE" // "yhbZ" // "cgtA" // "obg" // "b3183" // "ECK3172"	3330582	3331754
"EG30043"	EG30043	"ileT" // "tilA" // "b3852" // "ECK3844"	4037141	4037217
"EG12844"	EG12844	"yefM" // "b2017" // "ECK2012"	2089462	2089713
"G7471"	G7471	"ygeG" // "b2851" // "ECK2849"	2991268	2991759
"G7467"	G7467	"yqeI" // "b2847" // "ECK2845"	2988502	2989311
"EG10700"	EG10700	"pfkB" // "b1723" // "ECK1721"	1806370	1807299
"EG30025"	EG30025	"aspV" // "b0216" // "ECK0216"	236931	237007
"G7025"	G7025	"yecM" // "yecL" // "b1875" // "ECK1876"	1959280	1959846
"EG12078"	EG12078	"nikD" // "hydD" // "hydC" // "b3479" // "ECK3463"	3617015	3617779
"EG11356"	EG11356	"fliZ" // "yedH" // "b1921" // "ECK1920"	2000473	2001024
"EG30009"	EG30009	"alaU" // "talD" // "b3276" // "ECK3263"	3426958	3427033
"G7428"	G7428	"casC" // "ygcJ" // "cse4" // "cas7" // "b2758" // "ECK2753"	2881051	2882142
"G6809"	G6809	"yneG" // "b1523" // "ECK1516"	1611966	1612325
"EG12151"	EG12151	"cobT" // "b1991" // "ECK1986"	2063388	2064467
"G7919"	G7919	"nanS" // "yjhS" // "b4309" // "ECK4300"	4536614	4537594
"EG31117"	EG31117	"metW" // "b2815" // "ECK2811"	2947497	2947573
"G6371"	G6371	"chiQ" // "ybfN" // "b0682" // "ECK0670"	709790	710116
"EG10713"	EG10713	"phnC" // "b4106" // "ECK4099"	4324377	4325165
"EG10128"	EG10128	"btuD" // "b1709" // "ECK1707"	1792809	1793558
"EG30096"	EG30096	"serW" // "b0883" // "ECK0874"	925884	925971
"EG11244"	EG11244	"yggE" // "b2922" // "ECK2918"	3067340	3068080
"EG12605"	EG12605	"yacL" // "b0119" // "ECK0118"	134388	134750
"EG13238"	EG13238	"cobU" // "b1993" // "ECK1988"	2065219	2065764
"G6718"	G6718	"paaJ" // "ydbW" // "b1397" // "ECK1394"	1460893	1462098
"EG30056"	EG30056	"lysV" // "supN" // "b2404" // "ECK2398"	2521253	2521328
"EG11903"	EG11903	"yijF" // "b3944" // "ECK3936"	4137040	4137657
"EG12837"	EG12837	"yhdZ" // "b3271" // "ECK3258"	3422436	3423194
"EG10130"	EG10130	"btuR" // "cobA" // "b1270" // "ECK1264"	1327767	1328357
"EG30040"	EG30040	"glyX" // "glyVbeta" // "b4164" // "ECK4160"	4392472	4392547
"G6334"	G6334	"uspG" // "UP12" // "yzzU" // "ybdQ" // "b0607" // "ECK0601"	641439	641867
"EG11537"	EG11537	"yceH" // "b1067" // "ECK1052"	1126157	1126804
"G6349"	G6349	"cobC" // "phpB" // "b0638" // "ECK0631"	669296	669907
"EG20049"	EG20049	"dgoA" // "b3692 (obsolete)" // "yidU" // "b4477" // "ECK3685"	3872995	3873612
"EG30022"	EG30022	"asnV" // "b1989" // "ECK1984"	2062260	2062335
"G7870"	G7870	"ytfI" // "b4215" // "ECK4211"	4437707	4438645
"EG12010"	EG12010	"yehX" // "b2129" // "ECK2122"	2216481	2217407
"EG12150"	EG12150	"cobS" // "b1992" // "ECK1987"	2064479	2065222
"EG11268"	EG11268	"fmt" // "ftm" // "yhdD" // "b3288" // "ECK3274"	3434214	3435161
"EG12845"	EG12845	"cas2" // "ygbF" // "b2754" // "ECK2749"	2878569	2878853
"G7357"	G7357	"yfjF" // "ratB" // "b2618" // "ECK2614"	2754008	2754298
"EG10127"	EG10127	"btuC" // "b1711" // "ECK1709"	1794172	1795152
"EG11868"	EG11868	"rhaB" // "b3904" // "ECK3897"	4095979	4097448
"EG30112"	EG30112	"valW" // "b1666" // "ECK1662"	1746516	1746592
"G7001"	G7001	"yebO" // "b1825" // "ECK1823"	1908261	1908548
"EG10592"	EG10592	"mglA" // "mglP" // "mgl" // "b2149" // "ECK2142"	2237769	2239289
"G0-9941"	G0-9941	"sgrS" // "ryaA" // "b4577" // "ECK0071"	77367	77593
"EG30093"	EG30093	"serT" // "divE" // "b0971" // "ECK0962"	1031625	1031712
"EG11933"	EG11933	"pspG" // "yjbO" // "b4050" // "ECK4042"	4262840	4263082
"G6705"	G6705	"ydbL" // "b1383" // "ECK1380"	1445880	1446206
"G0-9606"	G0-9606	"rdlB" // "b4422" // "ECK1207"	1269858	1269923
"EG11101"	EG11101	"aes" // "ybaC" // "b0476" // "ECK0470"	499014	499973
"EG30053"	EG30053	"leuX" // "Su-6" // "supP" // "b4270" // "ECK4263"	4496405	4496489
"G6351"	G6351	"ybeQ" // "b0644" // "ECK0637"	675570	676547
"G6951"	G6951	"ynjD" // "b1756" // "ECK1754"	1838747	1839400
"G0-9608"	G0-9608	"rdlC" // "b4424" // "ECK1209"	1270393	1270460
"EG30037"	EG30037	"glyU" // "supT" // "suA36" // "sufD" // "sumA" // "sumB" // "b2864" // "ECK2860"	2998984	2999057
"EG10181"	EG10181	"cyoD" // "b0429" // "ECK0423"	447717	448046
"EG12422"	EG12422	"ybiJ" // "b0802" // "ECK0791"	837665	837925
"G0-9581"	G0-9581	"sokC" // "sof" // "b4413" // "ECK0019"	16952	17006
"EG10616"	EG10616	"mtlD" // "b3600" // "ECK3589"	3774424	3775572
"EG30019"	EG30019	"argZ" // "argVgamma" // "b2692" // "ECK2687"	2818059	2818135
"EG11830"	EG11830	"yihD" // "b3858" // "ECK3850"	4042069	4042338
"EG12628"	EG12628	"dppF" // "dppE" // "b3540" // "ECK3527"	3701864	3702868
"G0-9611"	G0-9611	"sokB" // "b4429" // "ECK1414"	1492119	1492174
"EG30109"	EG30109	"valT" // "valTa" // "valTalpha" // "b0744" // "ECK0733"	780765	780840
"EG10648"	EG10648	"narZ" // "chlZ" // "b1468" // "ECK1462"	1538850	1542590
"EG11287"	EG11287	"ygbA" // "b2732" // "ECK2727"	2856453	2856806
"G0-9603"	G0-9603	"rdlA" // "b4420" // "ECK1205"	1269323	1269389
"M014"	M014	"mhpF" // "b0351" // "ECK0348"	372921	373871
"EG30067"	EG30067	"proL" // "proW" // "b2189" // "ECK2183"	2286211	2286287
"G7838"	G7838	"yjeN" // "b4157" // "ECK4153"	4385393	4385707
"EG11657"	EG11657	"ybbA" // "b0495" // "ECK0489"	519733	520419
"EG10262"	EG10262	"entD" // "b0583" // "ECK0575"	609459	610079
"EG30050"	EG30050	"leuU" // "b3174" // "ECK3163"	3322072	3322158
"EG10333"	EG10333	"frdD" // "b4151" // "ECK4147"	4379007	4379366
"G7267"	G7267	"yfeY" // "b2432" // "ECK2427"	2550641	2551216
"EG10259"	EG10259	"entA" // "b0596" // "ECK0589"	628551	629297
"G7892"	G7892	"idnO" // "yjgU" // "b4266" // "ECK4259"	4492587	4493351
"EG30034"	EG30034	"gltV" // "tgtE" // "b4008" // "ECK4000"	4209774	4209849
"G6978"	G6978	"yeaO" // "b1792" // "ECK1790"	1876909	1877256
"EG10536"	EG10536	"livF" // "b3454" // "ECK3438"	3592724	3593437
"EG10263"	EG10263	"entE" // "b0594" // "ECK0587"	626070	627680
"EG30016"	EG30016	"argW" // "b2348" // "ECK2342"	2466309	2466383
"EG10330"	EG10330	"frdA" // "b4154" // "ECK4150"	4380510	4382318
"G6633"	G6633	"yciU" // "b1248" // "ECK1242"	1306821	1307150
"EG10261"	EG10261	"entC" // "fepF" // "b0593" // "ECK0586"	624885	626060
"G7336"	G7336	"hcaD" // "hcaa4" // "phdA" // "yfhY" // "b2542" // "ECK2539"	2672047	2673249
"G7069"	G7069	"asnW" // "b1984" // "ECK1979"	2058027	2058102
"G6216"	G6216	"yaiS" // "b0364" // "ECK0361"	384059	384616
"EG12340"	EG12340	"afuC" // "fbpC" // "yagC" // "b0262" // "ECK0264"	277756	278802
"EG11105"	EG11105	"entH" // "ybdB" // "b0597" // "ECK0590"	629300	629713
"EG30106"	EG30106	"tyrT" // "tyrTalpha" // "supFsupO" // "Su-3" // "Su-4" // "su(c)" // "suIII" // "supC" // "b1231" // "ECK1226"	1287538	1287622
"EG10232"	EG10232	"dmsA" // "b0894" // "ECK0885"	940959	943403
"EG12374"	EG12374	"yhfG" // "ficA" // "b3362" // "ECK3350"	3491453	3491620
"EG11673"	EG11673	"folB" // "ygiG" // "b3058" // "ECK3048"	3204221	3204589
"G6714"	G6714	"paaF" // "ydbR" // "ydbS" // "b1393" // "ECK1390"	1457497	1458264
"EG30064"	EG30064	"pheU" // "pheR" // "pheW" // "b4134" // "ECK4128"	4362551	4362626
"EG11763"	EG11763	"yibG" // "b3596" // "ECK3585"	3768177	3768638
"G6270"	G6270	"ybbP" // "b0496" // "ECK0490"	520416	522830
"EG11374"	EG11374	"folK" // "b0142" // "ECK0141"	157253	157732
"EG30047"	EG30047	"leuP" // "leuV-beta" // "leuVbeta" // "b4369" // "ECK4360"	4606200	4606286
"EG11379"	EG11379	"appB" // "cbdB" // "cyxB" // "b0979" // "ECK0970"	1039296	1040432
"EG11136"	EG11136	"yebB" // "b1862" // "ECK1863"	1946251	1946853
"EG10682"	EG10682	"pabA" // "b3360" // "ECK3348"	3490266	3490829
"EG11402"	EG11402	"treC" // "treE" // "olgH" // "b4239" // "ECK4234"	4463054	4464709
"EG30031"	EG30031	"glnX" // "supE" // "glnV-beta" // "glnVbeta" // "b0664" // "ECK0655"	696430	696504
"G7667"	G7667	"yrbL" // "b3207" // "ECK3196"	3348452	3349084
"G7889"	G7889	"lptG" // "yjgQ" // "b4262" // "ECK4255"	4487318	4488400
"EG50011"	EG50011	"folP" // "dhpS" // "b3177" // "ECK3166"	3324063	3324911
"EG30013"	EG30013	"argQ" // "argVdelta" // "b2691" // "ECK2686"	2817784	2817860
"EG10644"	EG10644	"narV" // "chlZ" // "b1465" // "ECK1459"	1535937	1536617
"G7200"	G7200	"yfcL" // "b2325" // "ECK2319"	2443891	2444169
"EG11375"	EG11375	"folE" // "b2153" // "ECK2146"	2242984	2243652
"EG11074"	EG11074	"xylA" // "b3565" // "ECK3554"	3729443	3730765
"G6392"	G6392	"lysQ" // "b0749" // "ECK0738"	781577	781652
"G6929"	G6929	"ydiZ" // "b1724" // "ECK1722"	1807400	1807690
"EG10683"	EG10683	"pabB" // "b1812" // "ECK1810"	1894805	1896166
"EG30103"	EG30103	"thrV" // "b3273" // "ECK3260"	3423580	3423655
"EG10173"	EG10173	"cydA" // "cyd-1" // "b0733" // "ECK0721"	771458	773026
"G6579"	G6579	"ymfA" // "b1122" // "ECK1108"	1181264	1181725
"G7877"	G7877	"ridA" // "yjgF" // "b4243" // "ECK4238"	4470527	4470913
"EG11493"	EG11493	"pabC" // "b1096" // "ECK1082"	1153300	1154109
"EG10577"	EG10577	"melA" // "mel-7" // "b4119" // "ECK4112"	4341911	4343266
