pathwayId	pathwayName	genes	reactions
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	["EG11487", "EG10368", "G6237", "EG10693", "G0-9461", "EG10946", "EG10691"]	["RXN-13179", "PSERTRANSAMPYR-RXN", "ERYTHRON4PDEHYDROG-RXN", "PDXJ-RXN", "DXS-RXN", "ERYTH4PDEHYDROG-RXN", "PNPOXI-RXN"]
PWY-5667	CDP-diacylglycerol biosynthesis I	["EG10139", "EG11377", "EG10740", "EG20091"]	["GLYC3PDEHYDROGBIOSYN-RXN", "RXN-1381", "RXN-1623", "CDPDIGLYSYN-RXN"]
PWY-5966	fatty acid biosynthesis initiation II	["EG12606", "EG10274", "EG10277", "EG50003"]	["ACP-S-ACETYLTRANSFER-RXN", "3-OXOACYL-ACP-SYNTH-BASE-RXN"]
KDOSYN-PWY	Kdo transfer to lipid IV<sub>A</sub> I	["EG10520"]	["KDOTRANS2-RXN", "KDOTRANS-RXN"]
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase	["G6479", "G6477"]	["RXN0-280", "RXN-12444"]
PWY0-43	conversion of succinate to propanoate	["EG11444", "G7516", "G7517"]	["RXN0-268", "RXN0-310", "METHYLMALONYL-COA-MUT-RXN"]
PWY0-1264	biotin-carboxyl carrier protein assembly	["EG10123", "EG10276", "EG11647", "EG10217"]	["RXN0-5055", "BIOTIN-CARBOXYL-RXN", "RXN-7101", "BIOTINLIG-RXN"]
PWY0-661	PRPP biosynthesis II	["EG10220", "EG10723"]	["RXN0-1401", "PPENTOMUT-RXN", "RXN0-1402"]
PWY0-1569	autoinducer AI-2 degradation	["G6804", "G6798", "G6805"]	["RXN-15216", "RXN0-5461", "RXN-15943"]
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	["EG11402", "EG12957"]	["GLUCOKIN-RXN", "TRE6PHYDRO-RXN"]
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	["EG11746", "G6239", "EG10495", "EG11675", "EG10922", "EG11190", "EG12312", "EG10004", "EG11747"]	["ASPDECARBOX-RXN", "P-PANTOCYSLIG-RXN", "P-PANTOCYSDECARB-RXN", "DEPHOSPHOCOAKIN-RXN", "PANTEPADENYLYLTRAN-RXN", "PANTOTHENATE-KIN-RXN", "3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN", "2-DEHYDROPANTOATE-REDUCT-RXN", "PANTOATE-BETA-ALANINE-LIG-RXN"]
ORNDEG-PWY	superpathway of ornithine degradation	["EG10964", "G6755", "G7596", "G6645", "EG10036", "EG11822", "G6644"]	["RXN-6423", "RXN0-3901", "RXN0-3921", "RXN0-3922", "RXN0-3942", "PUTTRANSAM-RXN", "AMINOBUTDEHYDROG-RXN", "ORNDECARBOX-RXN"]
VALSYN-PWY	L-valine biosynthesis	["EG10496", "EG10497", "EG10495", "EG10494", "EG10502", "G8221", "EG10501", "EG10500", "EG10499"]	["ACETOLACTSYN-RXN", "ACETOLACTREDUCTOISOM-RXN", "BRANCHED-CHAINAMINOTRANSFERVAL-RXN", "DIHYDROXYISOVALDEHYDRAT-RXN"]
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	["EG10348", "EG10350", "EG10349", "EG10355", "EG11866", "EG11868", "EG11867", "EG11865", "EG10035", "EG11963", "EG10351"]	["LACTALDREDUCT-RXN", "L-LACTDEHYDROGFMN-RXN", "LACTALDDEHYDROG-RXN", "RXN0-5306", "RXN-15356", "RHAMNISOM-RXN", "RHAMNULOKIN-RXN", "RHAMNULPALDOL-RXN", "RXN0-5298", "FUCISOM-RXN", "FUCULOKIN-RXN", "FUCPALDOL-RXN"]
PWY0-1498	ZraSR Two-Component Signal Transduction System	["EG10482", "EG10008"]	["HYDH-RXN", "HYDG-RXN"]
PROUT-PWY-I	proline degradation	["EG10801"]	["RXN0-7008", "SPONTPRO-RXN", "RXN-14116"]
