"Reactions"	"Object ID"	"EC-Number"	"Enzymatic-Reaction"
RXN-17792	"RXN-17792"	EC-1.3.8	ENZRXN0-8247
RXN-17809	"RXN-17809"	EC-4.6.1.17	ENZRXN-24879
3.1.11.2-RXN	"3.1.11.2-RXN"	EC-3.1.11.2	ENZRXN0-6299
RXN-15878	"RXN-15878"	EC-1.17.7.3	ENZRXN0-7890
TRANS-RXN0-279	"TRANS-RXN0-279"		ENZRXN0-6602
RXN-14570	"RXN-14570"	EC-2.3.1.234	ENZRXN0-7984
RXN-8655	"RXN-8655"		ENZRXN0-1085
RXN-13039	"RXN-13039"		
RXN-15915	"RXN-15915"		
TRANS-RXN-146	"TRANS-RXN-146"		TRANS-ENZRXN-146
EXOPOLYPHOSPHATASE-RXN	"EXOPOLYPHOSPHATASE-RXN"	EC-3.6.1.11	PPX-ENZRXN
AMINOPROPDEHYDROG-RXN	"AMINOPROPDEHYDROG-RXN"	EC-1.1.1.75	AMINOPROPDEHYDROG-ENZRXN
DIHYDROXYMETVALDEHYDRAT-RXN	"DIHYDROXYMETVALDEHYDRAT-RXN"	EC-4.2.1.9	DIHYDROXYMETVALDEHYDRAT-ENZRXN
ACETOOHBUTREDUCTOISOM-RXN	"ACETOOHBUTREDUCTOISOM-RXN"	EC-1.1.1.86	ACETOOHBUTREDUCTOISOM-ENZRXN
KETOGLUTREDUCT-RXN	"KETOGLUTREDUCT-RXN"	EC-1.1.1.399	KETOGLUTREDUCT-ENZRXN
P-PANTOCYSLIG-RXN	"P-PANTOCYSLIG-RXN"	EC-6.3.2.5	P-PANTOCYSLIG-ENZRXN
P-PANTOCYSDECARB-RXN	"P-PANTOCYSDECARB-RXN"	EC-4.1.1.36	P-PANTOCYSDECARB-ENZRXN
RXN-15743	"RXN-15743"	EC-1.1.1	ENZRXN-23022
DLACTDEHYDROGFAD-RXN	"DLACTDEHYDROGFAD-RXN"	EC-1.1.5.12	DLACTDEHYDROGFAD-ENZRXN
GLYOXIII-RXN	"GLYOXIII-RXN"	EC-4.2.1.130	ENZRXN0-8125 // GLYOXIII-ENZRXN
DLACTDEHYDROGNAD-RXN	"DLACTDEHYDROGNAD-RXN"	EC-1.1.1.28	DLACTDEHYDROGNAD-ENZRXN
TRANS-RXN0-515	"TRANS-RXN0-515"		ENZRXN0-7560 // ENZRXN0-7558
TRANS-RXN0-278	"TRANS-RXN0-278"		
1.1.1.83-RXN	"1.1.1.83-RXN"	EC-1.1.1.83	ENZRXN0-6288
TRANS-RXN0-451	"TRANS-RXN0-451"		ENZRXN0-7346
METHYLMALONYL-COA-EPIM-RXN	"METHYLMALONYL-COA-EPIM-RXN"	EC-5.1.99.1	METHYLMALONYL-COA-EPIM-ENZRXN
METHYLMALONYL-COA-MUT-RXN	"METHYLMALONYL-COA-MUT-RXN"	EC-5.4.99.2	METHYLMALONYL-COA-MUT-ENZRXN
RXN0-310	"RXN0-310"	EC-4.1.1	ENZRXN0-249
RXN-12752	"RXN-12752"	EC-5.1.99.6	ENZRXN0-7484
RXN-13142	"RXN-13142"	EC-5.1.99.6	ENZRXN-20099
2-DEHYDROPANTOATE-REDUCT-RXN	"2-DEHYDROPANTOATE-REDUCT-RXN"	EC-1.1.1.169	ENZRXN0-7696 // 2-DEHYDROPANTOATE-REDUCT-ENZRXN
1.1.1.168-RXN	"1.1.1.168-RXN"	EC-1.1.1.358 // EC-1.1.1.168 // EC-1.1.1.214	DEHYDROPANTLACRED-ENZRXN
PANTOTHENATE-KIN-RXN	"PANTOTHENATE-KIN-RXN"	EC-2.7.1.33	PANTOTHENATE-KIN-ENZRXN
TRANS-RXN0-467	"TRANS-RXN0-467"		
GLYOXI-RXN	"GLYOXI-RXN"	EC-4.4.1.5	GLYOXI-ENZRXN
GLYOXII-RXN	"GLYOXII-RXN"	EC-3.1.2.6	ENZRXN0-7926 // ENZRXN0-6200 // GLYOXII-ENZRXN
ALLANTOINASE-RXN	"ALLANTOINASE-RXN"	EC-3.5.2.5	ENZRXN0-268
TRANS-RXN0-444	"TRANS-RXN0-444"		
SPONTPRO-RXN	"SPONTPRO-RXN"		
PYRROLINECARBDEHYDROG-RXN	"PYRROLINECARBDEHYDROG-RXN"		
RXN0-7005	"RXN0-7005"		
RXN-4821	"RXN-4821"	EC-3.5.99	
RXN-14014	"RXN-14014"	EC-1.17.1.8	DIHYDROPICRED-ENZRXN
TETHYDPICSUCC-RXN	"TETHYDPICSUCC-RXN"	EC-2.3.1.117	TETHYDPICSUCC-ENZRXN
RXN-6081	"RXN-6081"		
RXN0-7227	"RXN0-7227"		ENZRXN0-8160
TRANS-RXN0-622	"TRANS-RXN0-622"		ENZRXN0-8162 // ENZRXN0-8161
RXN-16701	"RXN-16701"	EC-1.1.1.399	ENZRXN-23884
RXN0-5364	"RXN0-5364"	EC-1.1.3	ENZRXN0-6527
RXN-6201	"RXN-6201"	EC-4.1.1.97	
RXN-17797	"RXN-17797"	EC-4.2.1.17	ENZRXN0-8269 // ENZRXN0-8262
RXN0-5393	"RXN0-5393"	EC-4.2.1.17	ENZRXN0-8273 // ENZRXN0-8258 // ENOYL-COA-HYDRAT-ENZRXN
RXN-14393	"RXN-14393"	EC-1.1.1.211	ENZRXN0-8280 // ENZRXN0-7691
RXN-17793	"RXN-17793"	EC-4.2.1.17	ENZRXN0-8270 // ENZRXN0-8261
RXN-17776	"RXN-17776"	EC-4.2.1.17	ENZRXN0-8275 // ENZRXN0-8256
RXN-17777	"RXN-17777"	EC-1.1.1.35	ENZRXN0-8282 // ENZRXN0-8263
RXN-14251	"RXN-14251"		ENZRXN-23127
GSAAMINOTRANS-RXN	"GSAAMINOTRANS-RXN"	EC-5.4.3.8	GSAAMINOTRANS-ENZRXN
GLUTRNAREDUCT-RXN	"GLUTRNAREDUCT-RXN"	EC-1.2.1.70	GLUTRNAREDUCT-ENZRXN
RXN-13460	"RXN-13460"		
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	"2-OXOPENT-4-ENOATE-HYDRATASE-RXN"	EC-4.2.1.80	MHPDHYDROL-ENZRXN
MHPELY-RXN	"MHPELY-RXN"	EC-4.1.3.39	MHPELY-ENZRXN
3.5.2.17-RXN	"3.5.2.17-RXN"	EC-3.5.2.17	ENZRXN0-8143
RXN0-6554	"RXN0-6554"	EC-1.3.5.2	ENZRXN0-7419
RXN0-6491	"RXN0-6491"	EC-1.3.5.2	DIHYDROOROTOX-ENZRXN
DIHYDROOROTATE-DEHYDROGENASE-RXN	"DIHYDROOROTATE-DEHYDROGENASE-RXN"	EC-1.3.5.2	ENZRXN-24877
DIHYDROOROT-RXN	"DIHYDROOROT-RXN"	EC-3.5.2.3	DIHYDROOROT-ENZRXN
LACTALDDEHYDROG-RXN	"LACTALDDEHYDROG-RXN"	EC-1.2.1.22	LACTALDDEHYDROG-ENZRXN
1.1.1.283-RXN	"1.1.1.283-RXN"	EC-1.1.1.283	METHYLGLYREDUCT-ENZRXN
RXN-15744	"RXN-15744"	EC-1.1.1	ENZRXN-23023
L-LACTDEHYDROGFMN-RXN	"L-LACTDEHYDROGFMN-RXN"		L-LACTDEHYDROGFMN-ENZRXN
TRANS-RXN-104	"TRANS-RXN-104"		ENZRXN0-7508 // TRANS-ENZRXN-104
FUMHYDR-RXN	"FUMHYDR-RXN"	EC-4.2.1.2	ENZRXN0-8344 // ENZRXN0-8343 // FUMARA-ENZRXN // FUMARB-ENZRXN // FUMARC-ENZRXN
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	"MALATE-DEHYDROGENASE-ACCEPTOR-RXN"	EC-1.1.5.4	ENZRXN0-282
1.1.1.39-RXN	"1.1.1.39-RXN"	EC-1.1.1.38 // EC-1.1.1.39	MALIC-NAD-ENZRXN
MALATE-DEH-RXN	"MALATE-DEH-RXN"	EC-1.1.1.37	MALATE-DEH-ENZRXN
MALIC-NADP-RXN	"MALIC-NADP-RXN"	EC-1.1.1.40	MALIC-NADP-ENZRXN
TRANS-RXN-121A	"TRANS-RXN-121A"		TRANS-ENZRXN-121A
RXN-13141	"RXN-13141"	EC-4.2.1.136	ENZRXN-20098
LACTALDREDUCT-RXN	"LACTALDREDUCT-RXN"	EC-1.1.1.77	LACTALDREDUCT-ENZRXN
RXN-8632	"RXN-8632"		ENZRXN0-6324
URUR-RXN	"URUR-RXN"	EC-3.5.3.26	ENZRXN0-7320
UREIDOGLYCOLATE-LYASE-RXN	"UREIDOGLYCOLATE-LYASE-RXN"	EC-4.3.2.3	ENZRXN0-271
R165-RXN	"R165-RXN"	EC-1.1.1.154	
RXN0-7024	"RXN0-7024"	EC-1.1.1.350	ENZRXN0-270
RXN-12895	"RXN-12895"	EC-3.5.1.110	
RXN-12896	"RXN-12896"		ENZRXN-20210
RXN0-6461	"RXN0-6461"		ENZRXN0-7363
RXN-12894	"RXN-12894"	EC-3.5.1.110	
RXN0-6460	"RXN0-6460"		ENZRXN0-7362
RXN0-6450	"RXN0-6450"		
RXN0-6487	"RXN0-6487"	EC-1.1.1	ENZRXN0-7378
RXN-9311	"RXN-9311"	EC-3.1.2.28	ENZRXN0-7693
RXN0-4621	"RXN0-4621"	EC-2.7.1.170	ENZRXN0-5901
TRANS-RXN0-587	"TRANS-RXN0-587"		ENZRXN0-7846
RXN0-7275	"RXN0-7275"		ENZRXN0-8370
PGPPHOSPHA-RXN	"PGPPHOSPHA-RXN"	EC-3.1.3.27	ENZRXN0-7431 // PGPPHOSPHAB-ENZRXN // PGPPHOSPHAA-ENZRXN
PRIBFAICARPISOM-RXN	"PRIBFAICARPISOM-RXN"	EC-5.3.1.16	PRIBFAICARPISOM-ENZRXN
HISTCYCLOHYD-RXN	"HISTCYCLOHYD-RXN"	EC-3.5.4.19	HISTCYCLOHYD-ENZRXN
ATPPHOSPHORIBOSYLTRANS-RXN	"ATPPHOSPHORIBOSYLTRANS-RXN"	EC-2.4.2.17	ENZRXN0-6423
HISTPRATPHYD-RXN	"HISTPRATPHYD-RXN"	EC-3.6.1.31	HISTPRATPHYD-ENZRXN
RXN-17701	"RXN-17701"	EC-3.2.1.199	ENZRXN0-8142
RIBOSYLNICOTINAMIDE-KINASE-RXN	"RIBOSYLNICOTINAMIDE-KINASE-RXN"	EC-2.7.1.22	ENZRXN0-5281
RXN0-7092	"RXN0-7092"	EC-2.4.2	ENZRXN0-7835
TRANS-RXN0-481	"TRANS-RXN0-481"		ENZRXN0-7478
IGPSYN-RXN	"IGPSYN-RXN"	EC-4.1.1.48	IGPSYN-ENZRXN
RXN0-6973	"RXN0-6973"	EC-1.14.14.5	
GST-RXN	"GST-RXN"	EC-2.5.1.18	ENZRXN0-6272 // GST-ENZRXN
THIAZOLSYN2-RXN	"THIAZOLSYN2-RXN"	EC-2.8.1.10	ENZRXN0-6183
RXN0-7196	"RXN0-7196"	EC-2.8.1.10	
TRANS-RXN0-448	"TRANS-RXN0-448"		
RXN-18739	"RXN-18739"	EC-1.14.11.33	ENZRXN0-8373
RXN0-7280	"RXN0-7280"	EC-1.14.11.33	ENZRXN0-8374
TRANS-RXN0-473	"TRANS-RXN0-473"		
RXN-17024	"RXN-17024"	EC-2.3.1.51	ENZRXN0-7993
RXN0-6705	"RXN0-6705"	EC-2.3.1.51	ENZRXN0-7462
RXN-17023	"RXN-17023"	EC-2.3.1.51	
FORMYLTHFGLUSYNTH-RXN	"FORMYLTHFGLUSYNTH-RXN"	EC-6.3.2.17	FORMYLTHFGLUSYNTH-ENZRXN
RXN-15607	"RXN-15607"	EC-1.1.1	ENZRXN0-7857
RXN0-5408	"RXN0-5408"	EC-3.1.3.25	ENZRXN0-247
RXN-7253	"RXN-7253"	EC-3.1.3.25	ENZRXN0-8180
RXN-17944	"RXN-17944"	EC-1.10.3	ENZRXN0-8308
PORPHOBILSYNTH-RXN	"PORPHOBILSYNTH-RXN"	EC-4.2.1.24	PORPHOBILSYNTH-ENZRXN
RIBOFLAVIN-SYN-RXN	"RIBOFLAVIN-SYN-RXN"	EC-2.5.1.9	RIBOFLAVIN-SYN-ENZRXN
PEROXID-RXN	"PEROXID-RXN"	EC-1.11.1.7	
RXN0-6722	"RXN0-6722"	EC-1.6.5	ENZRXN0-7477
QOR-RXN	"QOR-RXN"	EC-1.6.5.5	QOR-ENZRXN
RXN-17897	"RXN-17897"	EC-1.18.1.2	ENZRXN0-8306
FERREDOXIN--NAD+-REDUCTASE-RXN	"FERREDOXIN--NAD+-REDUCTASE-RXN"	EC-1.18.1.3	
NITRATE-REDUCTASE-CYTOCHROME-RXN	"NITRATE-REDUCTASE-CYTOCHROME-RXN"	EC-1.9.6.1	ENZRXN0-4882
RXN-7101	"RXN-7101"		
ACETYL-COA-ACETYLTRANSFER-RXN	"ACETYL-COA-ACETYLTRANSFER-RXN"	EC-2.3.1.9	ACETYL-COA-ACETYLTRANSFER-ENZRXN
CARDIOLIPSYN-RXN	"CARDIOLIPSYN-RXN"	EC-2.7.8	ENZRXN0-266 // CARDIOLIPSYN-ENZRXN
RXN-19630	"RXN-19630"	EC-2.7.8	ENZRXN0-8457
RXN-14107	"RXN-14107"	EC-1.10.2.2	ENZRXN-25586
RXN-19617	"RXN-19617"	EC-1.7.2.3	
RXN-18584	"RXN-18584"	EC-1.10.2.2	ENZRXN-25587
RXN-18604	"RXN-18604"	EC-1.10.2.2	ENZRXN0-8361
RXN0-5268	"RXN0-5268"	EC-1.10.3.10	CYT-O-UBIOX-ENZRXN
RXN0-5266	"RXN0-5266"	EC-1.10.3.14	ENZRXN0-7492 // CYT-D-UBIOX-ENZRXN
BTUR2-RXN	"BTUR2-RXN"	EC-2.5.1.17	BTUR2-ENZRXN
RXN-19343	"RXN-19343"		
RXN-13202	"RXN-13202"	EC-6.3.4.16	
CARBPSYN-RXN	"CARBPSYN-RXN"	EC-6.3.5.5	CARBPSYN-ENZRXN
RXN0-2501	"RXN0-2501"		ENZRXN0-3521
RXN-19341	"RXN-19341"		
RXN-19334	"RXN-19334"		
R170-RXN	"R170-RXN"	EC-1.16.1	ENZRXN0-267
DALADALALIG-RXN	"DALADALALIG-RXN"	EC-6.3.2.4	DALADALALIGB-ENZRXN // DALADALALIGA-ENZRXN
RXN0-6941	"RXN0-6941"	EC-1.16.1.9	ENZRXN0-7503
RXN0-6555	"RXN0-6555"	EC-1.16.1.9	ENZRXN0-7423
RXN-12541	"RXN-12541"		
RXN-15293	"RXN-15293"		
RXN-15292	"RXN-15292"		
PRODISULFREDUCT-RXN	"PRODISULFREDUCT-RXN"	EC-1.8.4.2	
PRODISULFREDUCT-A-RXN	"PRODISULFREDUCT-A-RXN"		
GLUTATHIONE-REDUCT-NADPH-RXN	"GLUTATHIONE-REDUCT-NADPH-RXN"	EC-1.8.1.7	GLUTATHIONE-REDUCT-NADPH-ENZRXN
RXN-19629	"RXN-19629"	EC-1.8.4.2	
GLYOCARBOLIG-RXN	"GLYOCARBOLIG-RXN"	EC-4.1.1.47	GLYOCARBOLIG-ENZRXN
RXN0-5359	"RXN0-5359"	EC-2.7.7.65	ENZRXN0-8316 // ENZRXN0-7998 // ENZRXN0-7787 // ENZRXN0-6592 // ENZRXN0-6591 // ENZRXN0-6528 // ENZRXN0-6521
RXN-16456	"RXN-16456"	EC-2.7.7.77	ENZRXN-23639
TRANS-RXN-218	"TRANS-RXN-218"		
MVHMETH-RXN	"MVHMETH-RXN"		ENZRXN0-4523
RXN0-5255	"RXN0-5255"		
RXN-16420	"RXN-16420"	EC-1.12.99.6	ENZRXN0-7920
CATAL-RXN	"CATAL-RXN"	EC-1.11.1.6 // EC-1.11.1.21	ENZRXN0-7807 // ENZRXN0-7634 // HYDROPEROXIDII-ENZRXN
RXN-10981	"RXN-10981"		
RXN-3521	"RXN-3521"		
RXN-12440	"RXN-12440"	EC-1.11.1.11	
RXN-12869	"RXN-12869"		
GLUTAMATESYN-RXN	"GLUTAMATESYN-RXN"	EC-1.4.1.13	GLUTAMATESYN-ENZRXN
RXN-3523	"RXN-3523"		
TRANS-RXN-130	"TRANS-RXN-130"		TRANS-ENZRXN-130
TRANS-RXN-122	"TRANS-RXN-122"		TRANS-ENZRXN-124
R621-RXN	"R621-RXN"	EC-1.14.12.17	ENZRXN-802
ACETOLACTSYN-RXN	"ACETOLACTSYN-RXN"	EC-2.2.1.6	ACETOLACTSYNIII-ENZRXN // ACETOLACTSYNII-ENZRXN // ACETOLACTSYNI-ENZRXN
2.8.1.6-RXN	"2.8.1.6-RXN"	EC-2.8.1.6	BIOTIN-SYN-ENZRXN
RXN0-949	"RXN0-949"	EC-2.8.1.8	ENZRXN0-1087
RXN0-6366	"RXN0-6366"	EC-2.8.4.4	ENZRXN0-7308
RXN-11586	"RXN-11586"	EC-2.1.1.192	ENZRXN0-6495
RXN0-5437	"RXN0-5437"	EC-2.1.1	
RXN0-7007	"RXN0-7007"	EC-2.1.1	ENZRXN0-7602
HEMN-RXN	"HEMN-RXN"	EC-1.3.98.3	HEMN-ENZRXN
RXN0-5063	"RXN0-5063"	EC-2.8.4.3	ENZRXN0-6171
RXN-13403	"RXN-13403"	EC-2.1.1.107	ENZRXN0-8124
RXN-10851	"RXN-10851"		
SUPEROX-DISMUT-RXN	"SUPEROX-DISMUT-RXN"	EC-1.15.1.1	ENZRXN0-4861 // SUPEROX-DISMUTFE-ENZRXN // SUPEROX-DISMUTMN-ENZRXN
RXN-16312	"RXN-16312"	EC-1.10.3	ENZRXN0-7915
2.7.7.61-RXN	"2.7.7.61-RXN"	EC-2.7.7.61	ENZRXN0-4141
RXN-15140	"RXN-15140"		
ADDALT-RXN	"ADDALT-RXN"	EC-3.5.4.4	ADDALT-ENZRXN
DEOXYADENPHOSPHOR-RXN	"DEOXYADENPHOSPHOR-RXN"	EC-2.4.2.1	DEOXYADENPHOSPHOR-ENZRXN
RXN-14524	"RXN-14524"	EC-3.1.3.34	ENZRXN0-7759
TRANS-RXN-108C	"TRANS-RXN-108C"		TRANS-ENZRXN-108C
CYTIDEAM-RXN	"CYTIDEAM-RXN"	EC-3.5.4.5	CYTIDEAM-ENZRXN
RXN-14522	"RXN-14522"	EC-3.1.3.34	ENZRXN0-7763
TRANS-RXN-108D	"TRANS-RXN-108D"		TRANS-ENZRXN-108D
DEOXYGUANPHOSPHOR-RXN	"DEOXYGUANPHOSPHOR-RXN"	EC-2.4.2.1	DEOXYGUANPHOSPHOR-ENZRXN
RXN-14525	"RXN-14525"	EC-3.1.3.34	ENZRXN0-7762
DEOXYINOPHOSPHOR-RXN	"DEOXYINOPHOSPHOR-RXN"	EC-2.4.2.1	DEOXYINOPHOSPHOR-ENZRXN
TRANS-RXN-108E	"TRANS-RXN-108E"		ENZRXN0-7490
DURIDKI-RXN	"DURIDKI-RXN"	EC-2.7.1.145 // EC-2.7.1.21	DURIDKI-ENZRXN
URA-PHOSPH-RXN	"URA-PHOSPH-RXN"	EC-2.4.2.3 // EC-2.4.2.2	URA-PHOSPH-ENZRXN
RXN-14523	"RXN-14523"	EC-3.1.3.34	ENZRXN0-7761
TRANS-RXN-108F	"TRANS-RXN-108F"		TRANS-ENZRXN-108F
4.3.1.15-RXN	"4.3.1.15-RXN"	EC-4.3.1.15	ENZRXN0-2002
RXN-12073	"RXN-12073"	EC-1.13.11.16	ENZRXN-18612
RXN-19445	"RXN-19445"	EC-6.2.1	ENZRXN-23156
RXN0-2943	"RXN0-2943"		ENZRXN0-4103
RXN0-7105	"RXN0-7105"		ENZRXN0-7863
RXN-12870	"RXN-12870"		
RIBOFLAVINSYNDEAM-RXN	"RIBOFLAVINSYNDEAM-RXN"	EC-3.5.4.26	RIBOFLAVINSYNDEAM-ENZRXN
RXN0-6510	"RXN0-6510"	EC-5.3.3.18	ENZRXN0-7386
RXN-12508	"RXN-12508"		
RXN-16002	"RXN-16002"		
RXN-15124	"RXN-15124"		
RXN-8899	"RXN-8899"		
2.7.7.60-RXN	"2.7.7.60-RXN"	EC-2.7.7.60	ENZRXN0-272
DXPREDISOM-RXN	"DXPREDISOM-RXN"	EC-1.1.1.267	DXPREDISOM-ENZRXN
RXN-12871	"RXN-12871"		
4.1.2.28-RXN	"4.1.2.28-RXN"	EC-4.1.2.28	ENZRXN0-7796 // ENZRXN0-7795
DEHYDDEOXGALACTKIN-RXN	"DEHYDDEOXGALACTKIN-RXN"	EC-2.7.1.178 // EC-2.7.1.58	DEHYDDEOXGALACTKIN-ENZRXN
DEHYDDEOXPHOSGALACT-ALDOL-RXN	"DEHYDDEOXPHOSGALACT-ALDOL-RXN"	EC-4.1.2.55 // EC-4.1.2.21	DEHYDDEOXPHOSGALACT-ALDOL-ENZRXN
DHDOGALDOL-RXN	"DHDOGALDOL-RXN"	EC-4.1.2.51	ENZRXN0-7471
DEOXYGLUCONOKIN-RXN	"DEOXYGLUCONOKIN-RXN"	EC-2.7.1.178 // EC-2.7.1.45	DEOXYGLUCONOKIN-ENZRXN
1.1.1.127-RXN	"1.1.1.127-RXN"	EC-1.1.1.127	ENZRXN0-7859
KDPGALDOL-RXN	"KDPGALDOL-RXN"	EC-4.1.2.55 // EC-4.1.2.14	KDPGALDOL-ENZRXN
TRANS-RXN-113	"TRANS-RXN-113"		TRANS-ENZRXN-113
RXN-18392	"RXN-18392"		
RXN0-5433	"RXN0-5433"	EC-4.1.2.53	ENZRXN0-6589
D-PPENTOMUT-RXN	"D-PPENTOMUT-RXN"	EC-5.4.2.7	D-PPENTOMUT
3.1.3.68-RXN	"3.1.3.68-RXN"	EC-3.1.3.68	ENZRXN0-8159 // ENZRXN0-6253
TRANS-RXN0-540	"TRANS-RXN0-540"	EC-2.7.1.199	ENZRXN0-7636
DEOXYRIBOSE-P-ALD-RXN	"DEOXYRIBOSE-P-ALD-RXN"	EC-4.1.2.4	DEOXYRIBOSE-P-ALD-ENZRXN
KDUD-RXN	"KDUD-RXN"	EC-1.1.1.125	
RXN0-6957	"RXN0-6957"	EC-3.6.1.56	ENZRXN0-441
RXN0-7103	"RXN0-7103"	EC-3.1.2	ENZRXN0-7861
RXN0-6256	"RXN0-6256"		ENZRXN0-7434 // ENZRXN0-7207
RXN-8645	"RXN-8645"	EC-1.1.1	
RXN-13329	"RXN-13329"		
RXN-15123	"RXN-15123"	EC-3.5.99	
RXN-15127	"RXN-15127"	EC-3.5.99.10	
QUINOLINATE-SYNTHA-RXN	"QUINOLINATE-SYNTHA-RXN"	EC-2.5.1.72	QUINOLINATE-SYNTHA-ENZRXN
3-ISOPROPYLMALISOM-RXN	"3-ISOPROPYLMALISOM-RXN"		
