"Object ID"	"Compounds"	"Synonyms"	"Molecular-Weight"
"CPD0-2108"	CPD0-2108	"(2<i>E</i>)-octenoyl-CoA" // "<i>trans</i>-2-octenoyl-coenzyme A" // "<i>trans</i>-oct-2-enoyl-CoA"	887.685
"CPD-10262"	CPD-10262	"<i>trans</i>-2,3-dihydro-stearenoyl-CoA" // "<i>trans</i>-octadec-2-enoyl-CoA"	1027.953
"CPD-19163"	CPD-19163	"18:2-&Delta;2,&Delta;11-CoA" // "2-trans,11-cis-octadecenoyl-CoA"	1025.937
"CPD-19150"	CPD-19150	"12:2-&Delta;2,&Delta;5-CoA" // "2-trans,5-cis-dodecenoyl-CoA"	941.776
"CPD0-1162"	CPD0-1162	"2-trans,5-cis-tetradecenoyl-CoA" // "14:2-&Delta;2,&Delta;5-CoA" // "2-<i>trans</i>,5-<i>cis</i>-tetradecadienoyl-CoA"	969.83
"FARNESYL-PP"	FARNESYL-PP	"2-<i>trans</i>,6-<i>trans</i>-farnesyl diphosphate" // "2-trans,6-trans-farnesyl diphosphate" // "FPP" // "<i>trans, trans</i>-farnesyl diphosphate" // "farnesyl-PP" // "farnesyl pyrophosphate" // "&omega;,<i>E,E</i>-farnesyl diphosphate" // "farnesyl diphosphate" // "(<i>E,E</i>)-farnesyl diphosphate" // "<i>all-trans</i>-farnesyl diphosphate" // "C<sub>15</sub>-PP"	379.306
"CPD-12587"	CPD-12587	"2,6,10-dodecatrien-1-ol, 3,7,11-trimethyl-, dihydrogen phosphate, (<i>2E,6E</i>)-" // "2,6,10-dodecatrien-1-ol, 3,7,11-trimethyl-, dihydrogen phosphate, (<i>E,E</i>)" // "(<i>E,E</i>)-farnesyl monophosphate" // "(<i>E,E</i>)-farnesyl phosphate" // "(<i>trans, trans</i>)-farnesyl monophosphate" // "2-<i>trans</i>,-6-<i>trans</i>-farnesyl monophosphate" // "2-<i>trans</i>,-6-<i>trans</i>-farnesyl phosphate"	300.334
"CPD-19170"	CPD-19170	"16:2-&Delta;2,&Delta;7-CoA" // "2-trans,7-cis-hexadecenoyl-CoA"	997.883
"CPD-19161"	CPD-19161	"14:2-&Delta;2,&Delta;7-CoA" // "2-trans,7-cis-tetradecenoyl-CoA"	969.83
"CPD-19162"	CPD-19162	"16:2-&Delta;2,&Delta;9-CoA" // "2-trans,9-cis-hexadecenoyl-CoA"	997.883
"CPD-19172"	CPD-19172	"18:2-&Delta;2,&Delta;9-CoA" // "2-trans,9-cis-octadecenoyl-CoA"	1025.937
"CPD-13357"	CPD-13357	"(<i>R</i>)-2,3-dihydroxy-3-methylbutanoate" // "(<i>R</i>)-2,3-dihydroxy-isovalerate"	133.124
"CPD-16503"	CPD-16503	"(2R)-2-hydroxy-3-oxopropane 1-sulfonate" // "D-3-sulfolactaldehyde"	153.129
"CPD0-1530"	CPD0-1530		208.189
"CPD-618"	CPD-618	"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate" // "methylisocitric acid" // "methylisocitrate" // "<i>threo</i>-Ds-2-methylisocitrate"	203.128
"2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE"	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	"2-D-threo-hydroxy-3-carboxy-isocaproate" // "3-carboxy-2-hydroxy-4-methylpentanoate" // "&beta;-isopropylmalate" // "3-isopropylmalate"	174.153
"CPD0-1536"	CPD0-1536		206.198
"CPD0-1533"	CPD0-1533		208.189
"CPD-10774"	CPD-10774	"(<i>R</i>)-THMF" // "AI-2 (salmonella)" // "autoinducer 2 (salmonella)"	150.131
"CPD-10773"	CPD-10773	"(<i>R</i>)-DHMF"	132.116
"2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE"	2-AMINO-3-OXO-4-PHOSPHONOOXYBUTYRATE	"2-amino-3-oxo-4-phosphooxybutyrate" // "L-2-amino-3-oxo-4-phosphooxybutyrate"	211.068
"CPD-19411"	CPD-19411	"(2S)-2-amino-4-pent-4-enoate" // "L-allylglycine"	115.132
"CPD-7100"	CPD-7100	"2-isopropyl-3-oxosuccinate"	172.137
"3-CARBOXY-3-HYDROXY-ISOCAPROATE"	3-CARBOXY-3-HYDROXY-ISOCAPROATE	"3-hydroxy-4-methyl-3-carboxypentanoate" // "3-carboxy-3-hydroxy-4-methylpentanoate" // "3-carboxy-3-hydroxy-isocaproate" // "&alpha;-isopropylmalate"	174.153
"L-THREO-3-METHYL-ASPARTATE"	L-THREO-3-METHYL-ASPARTATE	"&beta;-methylaspartate" // "L-<i>threo</i>-3-methylaspartate" // "L-<i>threo</i>-3-methyl-aspartate"	146.122
"CPD-13353"	CPD-13353	"aminoethoxyvinylglycine" // "Aviglycine" // "L-2-amino-4-(2-aminoethoxy)-<i>trans</i>-3-butenoic acid" // "L-<i>trans</i>-2-amino-4-(2-aminoethoxy)-3-butenoic acid" // "(<i>S</i>-(<i>E</i>))-2-amino-4-(2-aminoethoxy)-3-butenoic acid" // "L-2-amino-4-(2'-aminoethoxy)-<i>trans</i>-3-butenoic acid"	161.18
"CPD0-1535"	CPD0-1535		206.198
"CPD0-1501"	CPD0-1501	"(2S,3R,6S)-3-fluoro-2,6-diaminopimelic acid"	208.189
"DIHYDRO-DIOH-BENZOATE"	DIHYDRO-DIOH-BENZOATE		155.13
"2-KETO-3-DEOXY-D-GLUCARATE"	2-KETO-3-DEOXY-D-GLUCARATE	"3-deoxy-L-<i>allo</i>-hex-2-ulosarate"	190.109
"CPD-622"	CPD-622	"(2<i>S</i>,3<i>S</i>)-2-hydroxybutane-1,2,3-tricarboxylate"	203.128
"CPD0-1532"	CPD0-1532		208.189
"CPD-10776"	CPD-10776	"AI-2 precursor" // "(<i>S</i>)-THMF" // "Pro-AI-2 (vibrio)"	150.131
"CPD-10775"	CPD-10775	"Pro-AI-2 (vibrio)" // "(<i>S</i>)-DHMF"	132.116
"CPD-14443"	CPD-14443	"(4<i>S</i>)-4-hydroxy-2,3,4,5-tetrahydro-(2<i>S</i>)-dipicolinate"	185.136
"CPD-14442"	CPD-14442		131.108
"CPD-15056"	CPD-15056		100.097
"CPD-14447"	CPD-14447		113.093
"CPD-157"	CPD-157	"(2<i>Z</i>,4<i>E</i>)-2-hydroxy-6-oxo-nona-2,4-diene 1,9-dicarboxylate" // "(2<i>Z</i>,4<i>E</i>)-2-hydroxy-6-ketononadienedioic acid" // "(2<i>Z</i>,4<i>E</i>)-2-hydroxy-6-ketononadienedicarboxylate" // "(2<i>Z</i>,4<i>E</i>)-2-hydroxy-6-ketonona-2,4-dienedioate" // "(2<i>Z</i>,4<i>E</i>)-2-hydroxy-6-oxonona-2,4-dienedioate"	212.159
"CPD0-2184"	CPD0-2184	"2-hydroxy-6-oxononatrienedioate" // "2-hydroxy-6-oxonona-2,4,7-trienedioic acid" // "2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid" // "2-hydroxy-6-ketononatrienedioate" // "2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate"	210.143
"CPD-14441"	CPD-14441		113.093
"CPD0-1158"	CPD0-1158	"3-<i>trans</i>,5-<i>cis</i>-tetradecadienoyl-CoA"	969.83
"CPD0-1159"	CPD0-1159	"(3E,5Z)-tetradecadi-3,5-enoate" // "3-<i>trans</i>,5-<i>cis</i>-tetradecadi-3,5-enoate"	223.334
"3OH-4P-OH-ALPHA-KETOBUTYRATE"	3OH-4P-OH-ALPHA-KETOBUTYRATE	"3-hydroxy-4-phospho-hydroxy-&alpha;-ketobutyrate" // "2-oxo-3-hydroxy-4-phosphobutanoate"	211.045
"CPD-650"	CPD-650	"3-OH-butyryl-CoA" // "OH-butyryl-CoA" // "&beta;-hydroxybutyryl-<i>S</i>-CoA" // "D-3-hydroxybutyryl-CoA" // "hydroxy-butyryl-CoA" // "&beta;-hydroxybutyryl-CoA" // "3-hydroxybutyryl-CoA" // "(3R)-3-Hydroxybutanoyl-CoA" // "3-hydroxybutanoyl-CoA"	849.593
"3-HYDROXYADIPYL-COA"	3-HYDROXYADIPYL-COA		906.621
"CPD-14925"	CPD-14925	"3-<i>cis</i>-decenoyl-CoA" // "10:1(n-7)-CoA" // "10:1-&Delta;3-CoA" // "(3Z)-decenoyl-CoA"	915.738
"CPD-7221"	CPD-7221	"12:1(n-9)" // "12:1 <i>cis</i>-3" // "<i>cis</i>-3-dodecenoyl-CoA" // "3-<i>cis</i>-dodecenoyl-CoA" // "(3Z)-dodecenoyl-CoA"	943.792
"HYDRPHENYLAC-CPD"	HYDRPHENYLAC-CPD	"HPAL"	136.15
"4-HYDROXYPHENYLACETATE"	4-HYDROXYPHENYLACETATE	"4-HPA" // "p-hydroxyphenylacetic acid" // "benzeneacetic acid, 4-hydroxy-" // "DL-para-hydroxyphenylacetic acid" // "4-hydroxyphenylacetic acid" // "4-hydroxyphenyl acetate" // "p-hydroxyphenylacetate"	151.141
"D-4-HYDROXY-2-KETO-GLUTARATE"	D-4-HYDROXY-2-KETO-GLUTARATE	"D-4-hydroxy-2-ketoglutarate" // "(R)-2-hydroxy-4-oxopentanedioate" // "D-4-hydroxy-2-oxoglutarate" // "D-4-hydroxy-2-keto-glutarate"	160.083
"CPD-15016"	CPD-15016	"L-4-hydroxy-2-oxoglutarate" // "L-4-hydroxy-2-ketoglutarate" // "(S)-2-hydroxy-4-oxopentanedioate"	160.083
"CPD-804"	CPD-804	"4-hydroxy-2-ketoheptane-1,7-dioate" // "2-oxo-4-hydroxyhepta-1,7-dioate" // "4-hydroxy-2-oxo-heptanedioate" // "4-hydroxy-2-ketopimelate" // "2-keto-4-hydroxypimelate"	188.137
"CPD-10551"	CPD-10551	"(4S)-4-hydroxy-2,3-pentanedione 5-phosphate" // "(2S)-2-hydroxy-3,4-diketopentyl phosphate"	210.08
"CPD-19148"	CPD-19148	"12:1-&Delta;5-CoA" // "cis-5-dodecenoyl-CoA" // "12:1(n-7)-CoA" // "(5Z)-dodec-5-enoyl-CoA"	943.792
"CPD-15436"	CPD-15436	"<i>cis</i>-tetradec-5-enoyl-CoA" // "14:1 <i>cis</i>-5" // "14:1(n-9)" // "(5Z)-tetradec-5-enoyl-CoA"	971.845
"6R-6-FLUORO-EPSP"	6R-6-FLUORO-EPSP	"(6R)-6-fluoro-EPSP"	337.175
"6-PYRUVOYL-5678-TETRAHYDROPTERIN"	6-PYRUVOYL-5678-TETRAHYDROPTERIN	"(6R)-6-pyruvoyl tetrahydropterin" // "6-(1,2-dioxopropyl)-5,6,7,8-tetrahydropterin" // "pyruvoyl-H<SUB>4</SUB>-pterin" // "PPH4"	237.218
"5-FORMYL-THF"	5-FORMYL-THF	"n5-formyltetrahydrofolate monoglutamate" // "n5-formyl-thf monoglutamate" // "<i>N</i><sup>5</sup>-formyl-THF monoglutamate" // "5-formyl-H4F monoglutamate" // "5-formyl-THF monoglutamate" // "folinic acid monoglutamate" // "5-CHO-THF monoglutamate" // "folinate" // "formyl-H4F monoglutamate" // "citrovorum factor" // "<i>N</i><sup>5</sup>-formyl-H4F monoglutamate" // "<i>N</i><sup>5</sup>-formyl-H<sub>4</sub>PteGlu<sub>1</sub>" // "(6S)-leucovorin"	471.429
"6S-6-FLUORO-EPSP"	6S-6-FLUORO-EPSP	"(6S)-6-fluoro-EPSP"	337.175
"DIHYDROPTERIN-CH2OH-PP"	DIHYDROPTERIN-CH2OH-PP	"6-hydroxymethyl-dihydropterin pyrophosphate" // "6-hydroxymethyl-dihydropterin diphosphate" // "6-hydroxymethyl-7,8-dihydropterin diphosphate"	352.116
"CPD-19144"	CPD-19144	"<i>cis</i>-hexadec-7-enoyl-CoA" // "(7Z)-hexadec-7-enoyl-CoA" // "16:1 <i>cis</i>-7" // "16:1(n-9)"	999.899
"CPD-19147"	CPD-19147	"14:1-&Delta;7-CoA" // "cis-7-tetradecenoyl-CoA" // "14:1(n-7)-CoA" // "(7Z)-tetradec-7-enoyl-CoA"	971.845
"CPD-19179"	CPD-19179	"3',8-cH2GTP"	519.151
"TRANS-2-HEXENAL"	TRANS-2-HEXENAL	"trans-2-hexenal"	98.144
"MONOMETHYL-ESTER-OF-TRANS-ACONITATE"	MONOMETHYL-ESTER-OF-TRANS-ACONITATE	"E-3-carboxy-2-pentenedioate 6-methyl ester" // "monomethyl-ester-of-trans-aconitate"	186.121
"CPD-16989"	CPD-16989		84.118
"HYDROXY-METHYL-BUTENYL-DIP"	HYDROXY-METHYL-BUTENYL-DIP	"(<i>E</i>)-4-hydroxy-3-methylbut 2-en-1-yl diphosphate" // "HMBDP" // "1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate"	259.069
"CPD0-1664"	CPD0-1664	"delta-MFMA" // "(<i>E</i>)-&alpha;-monofluoromethyl-3,4-dehydroarginine"	205.212
"GLUTACONATE"	GLUTACONATE	"<i>trans</i>-glutaconic acid" // "<i>trans</i>-glutaconate" // "(<i>E</i>)-glutaconic acid"	128.084
"CPD-13322"	CPD-13322	"butylideneacetone" // "3-hepten-2-one" // "methyl pentenyl ketone" // "(3<i>E</i>)-3-hepten-2-one"	112.171
"C55-PP-GLCNAC-MANNACA-FUC4NAC"	C55-PP-GLCNAC-MANNACA-FUC4NAC	"C55-PP-GlcNAc-ManNAcA-Fuc4NAc" // "ManNAcA-GlcNAc-Fuc4NAc-pyrophosphorylundecaprenol" // "ManNAcA-GlcNAc-Fuc4NAc-PP-lipid" // "<i>N</i>-acetyl-&alpha;-D-fucosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-mannosaminouronyl-(1&rarr;4)-<i>N</i>-acetyl-&alpha;-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol"	1531.819
"CPD0-2135"	CPD0-2135		2138.378
"CPD0-2139"	CPD0-2139		2744.938
"CPD0-2294"	CPD0-2294		6232.103
"CPD0-2138"	CPD0-2138		3351.497
"CPD0-930"	CPD0-930	"heptosyl<sub>2</sub>-Kdo<sub>2</sub>-lipid A" // "heptosyl-heptosyl-Kdo<sub>2</sub>-lipidA"	2617.032
"INDOLE_PYRUVATE"	INDOLE_PYRUVATE	"indole-pyr" // "indolepyruvic acid" // "indole-3-pyruvate" // "indolepyruvate" // "3-(indol-3-yl)pyruvate" // "3-indole-2-oxopropanoate" // "IPA"	202.189
"KDO2-LIPID-IVA-COLD"	KDO2-LIPID-IVA-COLD	"cold adapted Kdo(2)-lipid (A)" // "Kdo<SUB>2</SUB>-(palmitoleoyl-myristoyl)-lipid A" // "Kdo<SUB>2</SUB>-lipid A, cold adapted"	2286.787
"CPD0-915"	CPD0-915	"L-aspartyl-adenylate"	461.304
"SERYL-AMP"	SERYL-AMP	"L-seryl-AMP" // "L-seryl-adenylate"	434.302
"CPD-15435"	CPD-15435		490.322
"LIPOYL-AMP"	LIPOYL-AMP	"lipoyl-AMP" // "lipoyl-adenylate"	534.518
"CPD-15424"	CPD-15424		389.241
"CPD0-2279"	CPD0-2279	"&rarr;2)-&beta;-D-Galf-(1&rarr;6)-&alpha;-D-Glcp- (1&rarr;3)-&alpha;-L-Rhap-(1&rarr;3)-&alpha;-D-GlcpNAc-(1-&rarr;"	1803.059
"CPD0-2268"	CPD0-2268		2680.86
"CPD0-2280"	CPD0-2280		3558.66
"CPD0-2214"	CPD0-2214		4436.46
"CPD0-2249"	CPD0-2249		7682.379
"R--ALLANTOIN"	R--ALLANTOIN	"<i>R</i>-allantoin"	158.116
"1-AMINO-PROPAN-2-OL"	1-AMINO-PROPAN-2-OL	"(<i>R</i>)-1-aminopropanol" // "D-1-amino-2-propanol" // "D-1-aminopropan-2-ol"	76.118
"1-KETO-2-METHYLVALERATE"	1-KETO-2-METHYLVALERATE	"(<i>R</i>)-2,3-dihydroxy-3-methylvalerate"	147.15
"CPD0-1952"	CPD0-1952	"D-&alpha;-amino-<i>N</i>-butyrate" // "D-2-aminobutyrate" // "D-&alpha;-aminobutyric acid" // "(R)-2-aminobutanoic acid" // "D-(-)-2-aminobutyric acid" // "D-2-aminobutyric acid" // "D-2-aminobutanoate"	103.121
"CPD-12253"	CPD-12253	"D-2-hydroxybutyric acid" // "(<i>R</i>)-2-hydroxybutyrate" // "D-&alpha;-hydroxybutyrate" // "D-2-hydroxybutyrate"	103.097
"R-2-HYDROXYGLUTARATE"	R-2-HYDROXYGLUTARATE	"(<i>R</i>)-2-hydroxyglutaric acid" // "(<i>R</i>)-2-hydroxypentanedioic acid"	146.099
"CPD-6982"	CPD-6982	"R(+)-(3,4-dihydroxyphenyl)lactic acid" // "(2R)-3-(3,4-dihydroxyphenyl)-2-hydroxypropanoate"	197.167
"CPD-335"	CPD-335	"D-3-hydroxybutyrate" // "D-&beta;-hydroxybutyrate" // "(R)-3-hydroxybutanoic acid" // "(R)-3-hydroxybutyric acid" // "&beta;-hydroxybutyric acid" // "b-hydroxybutyric acid" // "(<i>R</i>)-3-hydroxybutyrate"	103.097
"CPD-14916"	CPD-14916	"(R)-3-hydroxyoctanoyl-CoA" // "(3<i>R</i>)-3-hydroxyoctanoyl-CoA"	905.7
"4-P-PANTOTHENATE"	4-P-PANTOTHENATE	"4'-phosphopantothenate" // "4'-P-Pantothenate" // "D-4'-phosphopantothenate"	296.193
"R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE"	R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	"(R)-4'-phospho-N-pantothenoyl-L-cysteine" // "4-P-N-pantothenoylcysteine" // "4'-P-N-pantothenoylcysteine" // "N-((R)-4-phosphopantothenoyl)-L-cysteine" // "4'-phosphopantothenoylcysteine" // "4'-phospho-N-pantothenoylcysteine" // "(R)-4'-phosphopantothenoyl-L-cysteine" // "N-[(R)-4'-phosphopantothenoyl]-L-cysteine" // "PPC"	399.332
"CPD-1125"	CPD-1125	"(R)-amygdaloside" // "(R)-laenitrile" // "amygdalin" // "(R)-&alpha;-((6-O-&beta;-D-glucopyranosyl-&beta;-D- glucopyranosyl)oxy)benzeneacetonitrile" // "D(-)-mandelonitrile-&beta;-D-gentiobioside" // "D-amygdalin" // "D-mandelonitrile-&beta;-D-glucosido-6-&beta;-D-glucoside" // "vitamin B17" // "mandelonitrile-&beta;-gentiobioside"	457.433
"CPD0-1032"	CPD0-1032	"3,6-diaminohexanoate" // "D-&beta;-lysine"	147.197
"CPD-31"	CPD-31	"(R)-2-methylmalic acid" // "(3R)-citramalate" // "(3R)-citramalic acid" // "(3R)-&alpha;-hydroxypyrotartaric acid" // "D-citramalate" // "D-citramalic acid" // "D-&alpha;-hydroxypyrotartaric acid" // "(R)-2-methylmalate" // "(R)-(-)-citramalic acid"	146.099
"CPD-358"	CPD-358	"D-lactaldehyde" // "D-2-hydroxy-propionaldehyde"	74.079
"D-LACTATE"	D-LACTATE	"(<i>R</i>)-2-hydroxypropanate" // "D-lactate"	89.071
"LIPOIC-ACID"	LIPOIC-ACID	"&alpha;-liponic acid" // "5-(1,2-dithiolan-3-yl)-pentanoate" // "lipoic acid" // "6,8-thioctic acid" // "6,8-thioctate" // "DL-thioctic acid" // "DL-thioctate"	205.309
"CPD-660"	CPD-660	"D-malate" // "D-malic acid" // "D-(+)-malic acid"	132.073
"METHYL-MALONYL-COA"	METHYL-MALONYL-COA	"L-methylmalonyl-CoA" // "methylmalonyl-CoA" // "methyl-malonyl-coenzyme A" // "CH3-malonyl-CoA"	862.568
"CPD0-2472"	CPD0-2472	"(6<i>R</i>)-6-&beta;-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide"	681.445
"CPD-14133"	CPD-14133		759.41
"L-PANTOATE"	L-PANTOATE	"pantoate" // "L-pantoate"	147.15
"PANTOYL-LACTONE"	PANTOYL-LACTONE	"(3<i>R</i>)-dihydro-3-hydroxy-4,4-dimethyl-2(3H)-furanone" // "(<i>R</i>)-pantoyl lactone" // "D-pantolactone" // "(R)-pantoyl lactone" // "(3R)-dihydro-3-hydroxy-4,4-dimethyl-2(3H)-furanone"	130.143
"PANTOTHENATE"	PANTOTHENATE	"vitamin B<SUB>5</SUB>" // "(<i>R</i>)-pantothenic acid" // "D-pantothenic acid"	218.229
"CPD-8891"	CPD-8891	"D-1,2-propanediol"	76.095
"CPD0-2554"	CPD0-2554		399.444
"S-LACTOYL-GLUTATHIONE"	S-LACTOYL-GLUTATHIONE	"S-D-lactoylglutathione" // "D-lactoylglutathione"	378.376
"BUTANEDIOL"	BUTANEDIOL	"D(-)-2,3-butanediol" // "2,3-butylene glycol" // "2,3-butanediol" // "butanediol" // "(R,R)-butane-2,3-diol" // "(R,R)-2,3-butylene glycol"	90.122
"S-ALLANTOIN"	S-ALLANTOIN	"<i>S</i>-allantoin"	158.116
"L-DELTA1-PYRROLINE_5-CARBOXYLATE"	L-DELTA1-PYRROLINE_5-CARBOXYLATE	"pyrroline 5-carboxylate" // "L-&Delta;<SUP>1</SUP>-pyrroline-5-carboxylate" // "1-pyrroline-5-carboxylate" // "L-1-pyrroline-5-carboxylate" // "&delta;-1-pyrroline-5-carboxylic acid" // "&delta;-1-pyrroline-5-carboxylate"	112.108
"DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE"	DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	"2,3,4,5-tetrahydrodipicolinate" // "(<i>S</i>)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate" // "&Delta;<SUP>1</SUP>-piperideine-2,6-dicarboxylate" // "tetrahydrodipicolinate" // "tetrahydropyridine-2,6-dicarboxylate" // "L-2,3,4,5-tetrahydrodipicolinate"	169.137
"2-ACETO-2-HYDROXY-BUTYRATE"	2-ACETO-2-HYDROXY-BUTYRATE	"(<i>S</i>)-2-aceto-2-hydroxy-butyrate" // "(<i>S</i>)-2-hydroxy-2-ethyl-3-oxobutanoate"	145.135
"2-ACETO-LACTATE"	2-ACETO-LACTATE	"(<i>S</i>)-2-hydroxy-2-methyl-3-oxobutanoate" // "&alpha;-acetolactate" // "(2<i>S</i>)-2-hydroxy-2-methyl-3-oxobutanoate"	131.108
"CPD0-1942"	CPD0-1942	"L-&alpha;-amino-n-butyric acid" // "(-)-2-aminobutyric acid" // "L-2-aminobutyrate" // "L-(+)-2-aminobutyric acid" // "L-butyrine" // "L-2-aminobutyric acid" // "L-&alpha;-amino-n-butyrate" // "L-&alpha;-aminobutyric acid" // "L-&alpha;-aminobutyrate"	103.121
"CPD-3564"	CPD-3564	"L-2-hydroxybutyric acid" // "L-2-hydroxybutyrate" // "L-&alpha;-hydroxybutyrate" // "a-hydroxybutyric acid" // "(S)-2-hydroxybutyrate"	103.097
"CPD-381"	CPD-381	"L-2-hydroxyglutarate" // "(<i>S</i>)-2-hydroxyglutaric acid" // "(2S)-2-hydroxypentanedioic acid" // "L-2-hydroxyglutaric acid"	146.099
"CPD-5821"	CPD-5821	"(<i>S</i>)-5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H imidazole-5-carboxylate" // "(<i>S</i>)-OHCU" // "4-(carbamoylamino)-5-hydroxy-2-oxo-2,5-dihydro-1H-imidazole-5-carboxylate"	201.118
"CPD-19159"	CPD-19159	"(S)-3-hydroxy-18:1-&Delta;11-CoA" // "(S)-3-hydroxy-11-cis-octadecenoyl-CoA"	1043.952
"CPD-19151"	CPD-19151	"(S)-3-hydroxy-12:1-&Delta;5-CoA" // "(S)-3-hydroxy-5-cis-dodecenoyl-CoA"	959.791
