# Modified from EV table 6-2 (https://www.embopress.org/action/downloadSupplement?doi=10.15252%2Fmsb.20167402&file=msb167402-sup-0007-TableEV6.xlsx)
Metabolite name	 M9 galactose 2g per L	 M9 acetate 3.6g per L	 M9 mannose 2g per L	 M9 pyruvate 5g per L	 M9 lactate 5g per L	 M9 glycerol 2g per L	 M9 sorbitol 2g per L	 M9 fructose 2g per L	 M9 succinate 2g per L	 M9 glcNAc 2g per L	 M9 mannitol 2g per L	 M9 gluconate 2g per L	 M9 glucose 2g per L first experiment	 M9 G6P 2g per L	 M9 glucose 2g per L plus CAA 2g per L	 M9 glucose 0 mueM Chloramphenicol	 M9 glucose 0.75 mueM Chloramphenicol	 M9 glucose 1 mueM Chloramphenicol	 M9 glucose 2 mueM Chloramphenicol	 M9 glucose 4 mueM Chloramphenicol	 M9 glucose 6 mueM Chloramphenicol	 M9 glucose 8 mueM Chloramphenicol	 M9 glucose 10 mueM Chloramphenicol
Acetyl-CoA	0.348	1.086	0.492	1.353	1.107	0.474	0.734	0.808	0.263	1.039	0.782	1.056	1.000	1.135	0.526	0.890	1.139	1.310	1.664	1.902	1.683	1.679	1.521
Citrate/Isocitrate	0.720	4.107	0.662	1.155	0.850	1.025	0.843	1.449	0.931	1.043	1.157	1.205	1.000	1.358	0.893	1.745	1.671	1.478	1.601	1.579	1.677	1.596	1.707
Aconitate	1.307	8.913	1.298	1.906	1.764	1.407	1.665	1.596	1.232	1.306	1.822	1.596	1.000	1.988	2.326	1.039	1.163	0.931	0.929	1.264	1.492	2.140	2.967
Alpha ketoglutarate	0.565	0.881	0.887	2.256	1.709	1.171	0.976	1.306	2.072	1.155	1.268	1.313	1.000	1.272	2.603	-1.000	1.902	2.140	2.211	2.475	2.186	3.574	3.121
Succinate	0.470	1.101	0.612	0.771	0.584	0.837	0.750	1.315	-1.000	1.073	0.881	1.089	1.000	2.647	6.697	0.664	0.783	0.742	0.792	1.082	1.190	1.452	1.661
Fumarate	0.209	1.223	0.309	2.406	0.754	0.568	0.575	0.949	-1.000	0.823	0.658	1.181	1.000	1.644	3.523	0.851	1.135	1.043	0.877	0.940	0.689	0.693	0.664
Malate	0.251	1.355	0.377	0.627	0.417	0.667	0.567	0.913	4.830	0.851	0.662	1.154	1.000	1.570	1.584	0.964	1.128	1.072	0.919	0.879	0.806	0.732	0.707
AMP	0.915	0.883	0.944	0.768	0.823	0.831	1.141	0.948	0.795	0.822	0.940	0.920	1.000	0.852	0.768	0.505	0.866	1.149	1.058	1.336	1.251	1.101	1.181
ADP	0.957	0.910	0.929	0.797	0.834	0.871	1.152	1.013	0.851	0.875	0.981	0.949	1.000	0.870	0.887	0.912	1.085	1.352	1.373	1.519	1.427	1.336	1.395
ATP	1.011	0.932	0.970	0.815	0.853	0.838	1.197	0.987	0.888	0.942	0.997	0.947	1.000	0.874	1.119	1.077	1.118	1.229	1.336	1.366	1.308	1.227	1.230
GMP	1.282	0.840	0.925	1.238	0.609	0.744	0.879	0.802	0.743	0.826	1.100	0.794	1.000	1.048	1.559	0.697	0.822	1.160	1.143	1.058	1.206	1.066	1.251
GDP	0.563	0.676	0.642	0.701	0.625	0.366	1.061	0.509	0.403	0.623	0.865	0.682	1.000	0.909	1.061	0.771	1.107	1.513	1.440	0.889	0.759	0.538	0.502
GTP	0.828	0.601	0.704	0.619	0.537	0.764	1.027	0.974	0.842	0.808	0.888	1.094	1.000	0.795	1.363	0.869	0.907	1.179	1.299	1.956	2.224	1.603	1.989
IMP	0.848	0.779	0.772	0.664	0.729	0.667	1.120	0.908	0.915	0.825	0.897	0.886	1.000	0.777	0.751	0.780	0.930	1.498	1.468	1.696	1.471	1.244	1.429
NAD	1.242	1.346	1.025	1.110	1.364	1.114	1.077	1.133	1.141	1.031	0.925	1.135	1.000	1.071	0.653	0.969	1.280	1.260	1.239	1.595	1.741	2.006	2.418
NADH	2.551	2.223	1.078	1.052	1.266	1.845	2.241	1.214	1.279	0.926	1.691	3.103	1.000	1.472	0.450	1.010	1.280	1.315	1.278	1.029	1.093	1.591	1.127
NADP	0.760	0.999	0.983	1.153	1.054	1.194	1.307	1.641	1.107	1.148	1.353	0.998	1.000	1.026	0.701	0.867	0.939	0.918	0.987	0.935	1.035	1.048	1.131
NADPH	0.685	1.051	1.148	0.296	0.896	1.190	1.243	1.275	1.020	0.859	0.882	0.971	1.000	1.336	0.822	1.453	1.368	1.085	1.300	1.894	2.345	2.409	2.711
GTTred	0.839	1.173	1.283	1.539	1.686	1.258	1.170	1.175	0.640	1.059	1.025	1.176	1.000	1.053	1.205	0.970	1.133	1.245	1.359	1.798	2.034	2.286	2.501
GTTox	0.692	1.688	1.731	2.422	4.024	1.715	2.162	1.630	0.441	1.264	1.130	1.668	1.000	0.976	1.145	1.427	1.677	1.987	2.074	4.242	5.123	6.887	7.973
Asparagine	0.971	0.851	1.157	1.144	1.993	1.089	1.044	1.243	1.062	1.026	0.910	1.267	1.000	1.065	-1.000	0.913	0.905	0.985	0.968	1.041	0.992	1.115	1.194
Aspartate	0.851	1.581	0.973	0.914	1.611	1.242	0.868	1.033	2.333	1.019	0.853	1.569	1.000	1.919	0.499	1.118	1.022	1.039	0.901	0.979	0.991	1.144	1.312
Arginine	0.505	3.613	0.854	3.890	3.352	1.038	1.026	1.009	1.311	1.437	1.006	1.460	1.000	1.550	0.530	1.672	2.934	2.275	3.239	3.000	3.571	4.689	6.922
Glutamine	0.737	1.086	0.982	1.435	2.960	1.294	1.085	1.163	1.724	1.068	1.037	1.520	1.000	1.551	1.498	0.986	1.014	1.024	0.860	0.939	0.937	1.083	1.253
Glutamate	0.448	0.827	1.355	1.995	3.679	1.575	1.619	1.534	2.089	1.086	1.311	1.478	1.000	1.255	2.144	1.063	0.947	0.822	0.624	0.836	1.043	1.403	2.189
Phenylalanine	0.944	1.166	1.080	0.873	1.257	1.784	1.112	1.265	1.308	1.005	0.991	1.419	1.000	1.420	-1.000	1.016	1.097	1.323	1.400	1.583	1.566	1.842	2.111
Tyrosine	1.168	1.120	1.134	1.381	1.944	1.516	1.211	1.492	1.327	0.942	1.116	1.210	1.000	1.367	-1.000	0.879	0.941	1.047	1.156	1.417	1.500	1.838	2.266
Panthothenate	2.069	1.607	1.445	1.204	1.403	1.315	0.861	0.916	1.280	0.918	0.592	1.097	1.000	0.687	0.132	0.755	1.159	1.285	1.210	1.558	1.318	1.390	1.357
UDP-hexose	1.568	1.203	1.373	1.313	2.013	1.259	1.090	1.028	1.359	0.914	0.955	1.100	1.000	1.227	1.510	1.382	1.214	1.274	1.196	1.191	1.119	1.225	1.350
cAMP	5.350	7.299	4.470	2.455	1.591	3.437	3.123	3.764	1.909	1.038	1.357	0.964	1.000	0.304	0.439	0.352	0.534	0.462	0.587	0.678	0.839	1.025	1.148
