# Modified from EV table 6-1 (https://www.embopress.org/action/downloadSupplement?doi=10.15252%2Fmsb.20167402&file=msb167402-sup-0007-TableEV6.xlsx)
Metabolite name	 M9 galactose 2g per L	 M9 acetate 3.6g per L	 M9 mannose 2g per L	 M9 pyruvate 5g per L	 M9 lactate 5g per L	 M9 glycerol 2g per L	 M9 sorbitol 2g per L	 M9 fructose 2g per L	 M9 succinate 2g per L	 M9 glcNAc 2g per L	 M9 mannitol 2g per L	 M9 gluconate 2g per L	 M9 glucose 2g per L first experiment	 M9 G6P 2g per L	 M9 glucose 2g per L plus CAA 2g per L	 M9 glucose 0 mueM Chloramphenicol	 M9 glucose 0.75 mueM Chloramphenicol	 M9 glucose 1 mueM Chloramphenicol	 M9 glucose 2 mueM Chloramphenicol	 M9 glucose 4 mueM Chloramphenicol	 M9 glucose 6 mueM Chloramphenicol	 M9 glucose 8 mueM Chloramphenicol	 M9 glucose 10 mueM Chloramphenicol
S7P	0.088	0.070	0.098	0.044	0.086	0.026	0.106	0.021	0.100	0.070	0.078	0.151	0.092	0.198	0.092	0.098	0.113	0.121	0.123	0.107	0.109	0.102	0.080
Lactate	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Acetyl-CoA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Citrate/Isocitrate	0.365	2.081	0.335	0.585	0.430	0.519	0.427	0.734	0.472	0.529	0.586	0.610	0.507	0.688	0.452	0.884	0.846	0.749	0.811	0.800	0.850	0.809	0.865
Aconitate	0.013	0.086	0.013	0.018	0.017	0.014	0.016	0.015	0.012	0.013	0.018	0.015	0.010	0.019	0.022	0.010	0.011	0.009	0.009	0.012	0.014	0.021	0.029
Alpha ketoglutarate	0.149	0.232	0.234	0.594	0.450	0.308	0.257	0.344	0.546	0.304	0.334	0.346	0.263	0.335	0.686	-1.000	0.501	0.564	0.582	0.652	0.576	0.941	0.822
Succinate	0.295	0.691	0.385	0.484	0.367	0.526	0.471	0.826	-1.000	0.674	0.553	0.684	0.628	1.662	4.205	0.417	0.492	0.466	0.497	0.679	0.747	0.912	1.043
Fumarate	0.096	0.562	0.142	1.106	0.346	0.261	0.264	0.436	-1.000	0.378	0.302	0.543	0.459	0.755	1.619	0.391	0.521	0.479	0.403	0.432	0.317	0.319	0.305
Malate	0.540	2.915	0.811	1.350	0.898	1.435	1.219	1.966	10.394	1.832	1.425	2.483	2.152	3.379	3.409	2.075	2.428	2.307	1.977	1.892	1.734	1.575	1.522
AMP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADP	0.645	0.613	0.626	0.537	0.562	0.587	0.776	0.682	0.573	0.590	0.661	0.639	0.674	0.586	0.598	0.615	0.731	0.911	0.925	1.023	0.961	0.900	0.940
ATP	1.326	1.222	1.272	1.069	1.119	1.099	1.569	1.294	1.164	1.236	1.308	1.241	1.311	1.147	1.467	1.412	1.466	1.611	1.752	1.791	1.715	1.610	1.613
GMP	0.032	0.021	0.023	0.031	0.015	0.019	0.022	0.020	0.019	0.021	0.027	0.020	0.025	0.026	0.039	0.017	0.020	0.029	0.028	0.026	0.030	0.027	0.031
GDP	0.312	0.375	0.356	0.389	0.347	0.203	0.588	0.282	0.223	0.346	0.480	0.378	0.555	0.504	0.589	0.428	0.614	0.839	0.799	0.493	0.421	0.299	0.278
GTP	0.968	0.702	0.823	0.723	0.627	0.893	1.201	1.138	0.984	0.945	1.037	1.279	1.169	0.929	1.594	1.016	1.060	1.378	1.519	2.286	2.599	1.874	2.324
IMP	1.691	1.554	1.538	1.323	1.454	1.330	2.233	1.809	1.824	1.644	1.790	1.767	1.994	1.549	1.498	1.555	1.854	2.988	2.927	3.383	2.934	2.481	2.849
NAD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NADH	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NADP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NADPH	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GTTred	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GTTox	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Asparagine	0.256	0.225	0.305	0.302	0.526	0.287	0.275	0.328	0.280	0.271	0.240	0.334	0.264	0.281	-1.000	0.241	0.239	0.260	0.256	0.275	0.262	0.294	0.315
Aspartate	0.827	1.537	0.946	0.888	1.566	1.207	0.844	1.004	2.268	0.991	0.829	1.525	0.972	1.865	0.485	1.086	0.993	1.010	0.875	0.952	0.963	1.111	1.275
Arginine	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Glutamine	1.360	2.004	1.812	2.647	5.462	2.387	2.002	2.145	3.180	1.971	1.913	2.804	1.845	2.861	2.764	1.819	1.871	1.889	1.587	1.732	1.730	1.999	2.311
Glutamate	7.545	13.924	22.815	33.603	61.955	26.524	27.256	25.839	35.180	18.283	22.084	24.895	16.840	21.126	36.097	17.896	15.948	13.844	10.504	14.079	17.557	23.634	36.859
Phenylalanine	0.053	0.065	0.060	0.049	0.070	0.100	0.062	0.071	0.073	0.056	0.055	0.079	0.056	0.079	-1.000	0.057	0.061	0.074	0.078	0.088	0.087	0.103	0.118
Tyrosine	0.060	0.058	0.058	0.071	0.100	0.078	0.062	0.077	0.068	0.048	0.057	0.062	0.051	0.070	-1.000	0.045	0.048	0.054	0.059	0.073	0.077	0.094	0.116
Panthothenate	0.055	0.043	0.038	0.032	0.037	0.035	0.023	0.024	0.034	0.024	0.016	0.029	0.027	0.018	0.004	0.020	0.031	0.034	0.032	0.041	0.035	0.037	0.036
UDP-hexose	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
cAMP	0.009	0.013	0.008	0.004	0.003	0.006	0.005	0.006	0.003	0.002	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.002
