# Created from running fit_sim_data_1.py with the --optimize-trna-charging option, on Sun Sep 11 16:41:13 2022.
"Synthetase"	"k_cat (1/units.s)"	"K_A (units.umol/units.L)"	"K_T"	"f basal"	"f with_aa"
"LEUS-MONOMER[c]"	167.93686188978052	194.85854314197206	{"leuP-tRNA[c]": 6.412543468546468, "leuQ-tRNA[c]": 6.412543468546468, "leuT-tRNA[c]": 6.412543468546468, "leuU-tRNA[c]": 7.345044919781868, "leuV-tRNA[c]": 6.412543468546468, "leuW-tRNA[c]": 22.54683869100607, "leuX-tRNA[c]": 25.76446921480688, "leuZ-tRNA[c]": 14.694086021089753}	{"leuP-tRNA[c]": 0.09346829657076633, "leuQ-tRNA[c]": 0.09346829657076633, "leuT-tRNA[c]": 0.09346829657076633, "leuU-tRNA[c]": 0.1086122880633484, "leuV-tRNA[c]": 0.09346829657076633, "leuW-tRNA[c]": 0.30516485725890646, "leuX-tRNA[c]": 0.06855033933414341, "leuZ-tRNA[c]": 0.14161404681429937}	{"leuP-tRNA[c]": 0.1181704179745316, "leuQ-tRNA[c]": 0.1181704179745316, "leuT-tRNA[c]": 0.1181704179745316, "leuU-tRNA[c]": 0.11631070574478812, "leuV-tRNA[c]": 0.1181704179745316, "leuW-tRNA[c]": 0.3652841851669978, "leuX-tRNA[c]": 0.0868098259424933, "leuZ-tRNA[c]": 0.19288914536424587}
"LYSS-CPLX[c]"	177.56688650739102	345.35076360957095	{"lysT-tRNA[c]": 15.53297627424967, "lysV-tRNA[c]": 15.53297627424967, "lysW-tRNA[c]": 15.53297627424967, "RNA0-301[c]": 15.53297627424967, "RNA0-302[c]": 15.53297627424967, "RNA0-303[c]": 15.53297627424967}	{"lysT-tRNA[c]": 0.27767588781541735, "lysV-tRNA[c]": 0.27767588781541735, "lysW-tRNA[c]": 0.27767588781541735, "RNA0-301[c]": 0.27767588781541735, "RNA0-302[c]": 0.27767588781541735, "RNA0-303[c]": 0.27767588781541735}	{"lysT-tRNA[c]": 0.2934700004812158, "lysV-tRNA[c]": 0.2934700004812158, "lysW-tRNA[c]": 0.2934700004812158, "RNA0-301[c]": 0.2934700004812158, "RNA0-302[c]": 0.2934700004812158, "RNA0-303[c]": 0.2934700004812158}
"METG-CPLX[c]"	72.90649097317569	42.364208533136015	{"metT-tRNA[c]": 2.749394750792937, "metU-tRNA[c]": 2.749394750792937, "RNA0-306[c]": 18.08640249646952, "metY-tRNA[c]": 18.08640249646952, "metZ-tRNA[c]": 18.08640249646952, "metW-tRNA[c]": 18.08640249646952}	{"metT-tRNA[c]": 0.19127613032571353, "metU-tRNA[c]": 0.19127613032571353, "RNA0-306[c]": 0.0966003353450995, "metY-tRNA[c]": 0.0966003353450995, "metZ-tRNA[c]": 0.0966003353450995, "metW-tRNA[c]": 0.0966003353450995}	{"metT-tRNA[c]": 0.25912521911758696, "metU-tRNA[c]": 0.25912521911758696, "RNA0-306[c]": 0.1315105031650691, "metY-tRNA[c]": 0.1315105031650691, "metZ-tRNA[c]": 0.1315105031650691, "metW-tRNA[c]": 0.1315105031650691}
"PHES-CPLX[c]"	260.57834860941125	80.89510937746029	{"pheU-tRNA[c]": 8.884317948248405, "pheV-tRNA[c]": 8.884317948248405}	{"pheU-tRNA[c]": 0.2522307978087633, "pheV-tRNA[c]": 0.2522307978087633}	{"pheU-tRNA[c]": 0.3841226693788468, "pheV-tRNA[c]": 0.3841226693788468}
"PROS-CPLX[c]"	76.46084959257374	79.97262408348197	{"proK-tRNA[c]": 3.6464628194440056, "proL-tRNA[c]": 13.005956275245214, "proM-tRNA[c]": 2.8784991235783126}	{"proK-tRNA[c]": 0.1472799999433996, "proL-tRNA[c]": 0.2565271159849577, "proM-tRNA[c]": 0.17937199312477403}	{"proK-tRNA[c]": 0.2654161254078517, "proL-tRNA[c]": 0.3609361793254839, "proM-tRNA[c]": 0.30075167392216645}
"SERS-CPLX[c]"	94.78981403975254	434.8168006138311	{"serT-tRNA[c]": 26.7907137841911, "serU-tRNA[c]": 47.792596601692274, "serV-tRNA[c]": 9.047609613182951, "serW-tRNA[c]": 2.4373510052675225, "serX-tRNA[c]": 2.4373510052675225}	{"serT-tRNA[c]": 0.14442512221622736, "serU-tRNA[c]": 0.1289896556730808, "serV-tRNA[c]": 0.14883966887425584, "serW-tRNA[c]": 0.09663276740786628, "serX-tRNA[c]": 0.09663276740786628}	{"serT-tRNA[c]": 0.20402017975198003, "serU-tRNA[c]": 0.18201353133201537, "serV-tRNA[c]": 0.23109252530348837, "serW-tRNA[c]": 0.1346779412741444, "serX-tRNA[c]": 0.1346779412741444}
"THRS-CPLX[c]"	283.9955670410095	1706.4866602931872	{"thrT-tRNA[c]": 2.5644161858273717, "thrU-tRNA[c]": 18.276846890354957, "thrV-tRNA[c]": 2.5644161858273717, "thrW-tRNA[c]": 33.94457435524468}	{"thrT-tRNA[c]": 0.14035087983324357, "thrU-tRNA[c]": 0.2306016605624451, "thrV-tRNA[c]": 0.14035087983324357, "thrW-tRNA[c]": 0.23659169080580977}	{"thrT-tRNA[c]": 0.1722026590104954, "thrU-tRNA[c]": 0.22142217908886502, "thrV-tRNA[c]": 0.1722026590104954, "thrW-tRNA[c]": 0.23243888701486448}
"TRPS-CPLX[c]"	66.96243484596022	0.07987930724342501	{"trpT-tRNA[c]": 8.748818600874776}	{"trpT-tRNA[c]": 0.1578682483663103}	{"trpT-tRNA[c]": 0.17674780062713852}
"TYRS-CPLX[c]"	164.5078787877322	180.61998154612445	{"tyrT-tRNA[c]": 13.6292863286603, "tyrU-tRNA[c]": 13.6292863286603, "tyrV-tRNA[c]": 13.6292863286603}	{"tyrT-tRNA[c]": 0.2707716689670495, "tyrU-tRNA[c]": 0.2707716689670495, "tyrV-tRNA[c]": 0.2707716689670495}	{"tyrT-tRNA[c]": 0.23090781996820384, "tyrU-tRNA[c]": 0.23090781996820384, "tyrV-tRNA[c]": 0.23090781996820384}
"VALS-MONOMER[c]"	97.12488650440689	264.7216131616943	{"valT-tRNA[c]": 8.521013448366638, "valU-tRNA[c]": 8.521013448366638, "valV-tRNA[c]": 3.1591400245897647, "valW-tRNA[c]": 3.1591400245897647, "valX-tRNA[c]": 8.521013448366638, "valY-tRNA[c]": 8.521013448366638, "RNA0-300[c]": 8.521013448366638}	{"valT-tRNA[c]": 0.1294216476605258, "valU-tRNA[c]": 0.1294216476605258, "valV-tRNA[c]": 0.15003796133603636, "valW-tRNA[c]": 0.15003796133603636, "valX-tRNA[c]": 0.1294216476605258, "valY-tRNA[c]": 0.1294216476605258, "RNA0-300[c]": 0.1294216476605258}	{"valT-tRNA[c]": 0.12373379190665776, "valU-tRNA[c]": 0.12373379190665776, "valV-tRNA[c]": 0.1692491189827509, "valW-tRNA[c]": 0.1692491189827509, "valX-tRNA[c]": 0.12373379190665776, "valY-tRNA[c]": 0.12373379190665776, "RNA0-300[c]": 0.12373379190665776}
