"molecule id"	"mean flux (units.dmol / units.L / units.s)"	"mean log10 flux (units.dmol / units.L / units.s)"	"standard deviation (units.dmol / units.L / units.s)"
"GLUTATHIONE[c]"	3.38998253674e-05	-4.46994019133	8.54207224708e-07
"GLYCERATE[c]"	2.79186602395e-06	-5.55424501641	7.08462846023e-08
"GLYCEROL-3P[c]"	9.82414400457e-08	-7.00923219694	8.21881575726e-09
"GLY[c]"	0.000235209917755	-3.62901355818	1.09230737326e-05
"GMP[c]"	-4.60735537403e-05	-4.35237777311	1.25490323738e-05
"GTP[c]"	0.000128956601632	-3.88983632023	4.63694952698e-06
"GUANINE[c]"	3.79069423691e-07	-6.42150173794	1.20728418325e-08
"GUANOSINE[c]"	3.20296123621e-09	-8.35705247075	7.43671217703e-09
"HISTIDINOL[c]"	2.58406975353e-08	-7.60969878288	7.59633212825e-09
"HIS[c]"	5.50891123441e-05	-4.25952792505	2.87648160012e-06
"HOMO-CYS[c]"	7.37960516404e-07	-6.13212955169	2.0207014997e-08
"ILE[c]"	0.000164648528321	-3.78387996087	7.38829090539e-06
"K+[c]"	0.000160791390078	-3.79387487889	4.05186050724e-06
"L-ALPHA-ALANINE[c]"	0.000295436218685	-3.52996025487	1.304117338e-05
"L-ASPARTATE[c]"	0.000176909074951	-3.75273444984	8.35041730865e-06
"L-CITRULLINE[c]"	2.79162943252e-06	-5.55428143368	7.07326187966e-08
"L-ORNITHINE[c]"	2.00179918955e-08	-7.74086764363	7.47798210407e-09
"L-SELENOCYSTEINE[c]"	2.21296747454e-23	-25.0	8.82097618244e-22
"LEU[c]"	0.000246420937441	-3.60881557534	1.1727154504e-05
"LYS[c]"	0.000183503470447	-3.7367977199	8.27483294124e-06
"MALONYL-COA[c]"	6.98436439274e-08	-7.15850177837	7.62562806785e-09
"MAL[c]"	3.38968938893e-06	-5.46997942807	8.59244132549e-08
"METHYLENE-THF[c]"	1.58330780111e-07	-6.80103929242	8.33866114726e-09
"MET[c]"	7.37762389856e-05	-4.13252829571	3.33689764512e-06
"MG+2[c]"	7.14640805371e-06	-5.14605031389	1.80382185085e-07
"MN+2[c]"	5.69989393165e-07	-6.24430462868	1.60189130292e-08
"MN+2[p]"	1.99547743431e-07	-6.70038382371	8.86423646935e-09
"N-ACETYL-D-GLUCOSAMINE-1-P[c]"	1.63508259997e-07	-6.78703888983	8.42729760862e-09
"N-ALPHA-ACETYLORNITHINE[c]"	8.57288286645e-08	-7.06863930994	7.68575968639e-09
"NADH[c]"	1.65402057909e-07	-6.78200458686	8.28022286554e-09
"NADPH[c]"	2.39210278416e-07	-6.62158338666	9.76941871629e-09
"NADP[c]"	4.33869459984e-09	-8.33273090626	7.34853008694e-09
"NAD[c]"	5.18463331852e-06	-5.28541986542	1.30762958171e-07
"NI+2[c]"	2.65763868771e-07	-6.57579950771	9.7922984313e-09
"NI+2[p]"	1.99504818627e-07	-6.70049253653	9.02395594376e-09
"PHENYL-PYRUVATE[c]"	1.7955708703e-07	-6.74629558708	8.58675383613e-09
"PHE[c]"	9.75612539489e-05	-4.01122166203	4.67190833791e-06
"PHOSPHO-ENOL-PYRUVATE[c]"	3.5897918118e-07	-6.44516520457	1.17853068402e-08
"PPI[c]"	-0.000442524915721	-3.35518487036	3.1373300458e-05
"PROPIONYL-COA[c]"	1.05560461125e-08	-8.08587085589	7.45352759451e-09
"PROTOHEME[c]"	1.69128955531e-07	-6.77232732418	8.45765193686e-09
"PROTON[c]"	-0.000169246853286	-3.78649594142	4.49490463431e-05
"PRO[c]"	0.000108063113322	-3.96681167502	5.12339887953e-06
"PUTRESCINE[c]"	2.52434886989e-05	-4.59798833031	6.36204229416e-07
"PYRIDOXAL_PHOSPHATE[c]"	1.53296188291e-07	-6.81510571503	8.28799010035e-09
"Pi[c]"	9.96894631768e-07	-6.00150112812	2.62457706564e-08
"QUINOLINATE[c]"	2.39124186493e-08	-7.64794238054	7.53921180637e-09
"REDUCED-MENAQUINONE[c]"	1.69239894491e-07	-6.77206100633	8.6067995144e-09
"RIBOFLAVIN[c]"	3.79568203851e-08	-7.42991615532	7.57263117595e-09
"S-ADENOSYLMETHIONINE[c]"	3.62100565173e-07	-6.44148739159	1.38908574665e-08
"SER[c]"	0.000150019812915	-3.82437603008	7.36758257019e-06
"SHIKIMATE[c]"	2.78461662865e-08	-7.57288316113	7.41816954095e-09
"SIROHEME[c]"	1.69284019537e-07	-6.77196306573	8.71967375703e-09
"SPERMIDINE[c]"	5.11709540139e-06	-5.29111435592	1.29038399218e-07
"SUC-COA[c]"	4.58733811886e-07	-6.33863955176	1.3929705817e-08
"SUC[c]"	1.13652702222e-06	-5.94456666906	2.95316302705e-08
"TDP[c]"	7.57815342563e-07	-6.12059445302	2.04413454049e-08
"THF[c]"	1.57074057964e-07	-6.80452961905	8.46451562851e-09
"THIAMINE-PYROPHOSPHATE[c]"	1.54154326957e-07	-6.81267136712	8.26735845486e-09
"THR[c]"	0.000166665423018	-3.77866357959	8.05656764915e-06
"TRP[c]"	2.75537206939e-05	-4.56054318085	1.58825154983e-06
"TTP[c]"	1.91968166548e-05	-4.75273622764	6.74299024721e-06
"TYR[c]"	8.14508400655e-05	-4.08968047173	4.18833156106e-06
"UDP-GLUCURONATE[c]"	1.13670542182e-06	-5.94450075574	2.97612761021e-08
"UDP-N-ACETYL-D-GLUCOSAMINE[c]"	1.83459061331e-05	-4.73659861652	4.62492249862e-07
"UDP[c]"	3.58917790024e-06	-5.44514367186	9.07655651293e-08
"UMP[c]"	-3.85513834535e-05	-4.42847514141	1.00452963675e-05
"UNDECAPRENYL-DIPHOSPHATE[c]"	4.15990291917e-08	-7.3883797889	7.51750250064e-09
"URIDINE[c]"	4.18746018656e-06	-5.37818793223	1.05885586404e-07
"UTP[c]"	0.000103244785128	-3.9863850777	3.53085349529e-06
"VAL[c]"	0.000230351235411	-3.63801812762	9.98663547042e-06
"WATER[c]"	0.0825430643532	-1.08346534685	0.00214129788149
"ZN+2[c]"	2.80584291854e-07	-6.55223720827	1.04300431833e-08
"ZN+2[p]"	1.99317236748e-07	-6.70090096403	9.01383948693e-09
"glycogen-monomer[c]"	0.000109709231208	-3.95989450434	2.76468045315e-06
