# Created with runscripts/reconstruction/metabolite_concentrations/merge_files.py reconstruction/ecoli/flat/metaboliteConcentrations.tsv runscripts/reconstruction/metabolite_concentrations/out/park_concentrations.tsv runscripts/reconstruction/metabolite_concentrations/out/lempp_concentrations.tsv runscripts/reconstruction/metabolite_concentrations/out/kochanowski_concentrations.tsv on Thu May 21 20:38:55 2020
"Metabolite"	"Bennett Concentration (units.mol/units.L)"	"Park Concentration (units.mol/units.L)"	"Lempp Concentration (units.mol/units.L)"	"Kochanowski Concentration (units.mol/units.L)"
"CARBAMYUL-L-ASPARTATE"	5.90e-4	5.90e-4	NaN	NaN
"CARBON-DIOXIDE"	NaN	7.52e-5	NaN	NaN
"CDP"	NaN	NaN	3.07e-5	NaN
"CIS-ACONITATE"	1.60e-5	1.61e-5	NaN	1.00e-5
"CIT"	2.00e-3	1.96e-3	1.71e-3	NaN
"CMP"	3.60e-4	3.60e-4	7.88e-4	NaN
"CO-A"	1.40e-3	1.37e-3	1.05e-4	NaN
"CPD-12575"	2.50e-3	2.50e-3	NaN	NaN
"CPD-13469"	1.20e-3	1.15e-3	NaN	NaN
"CPD-2961"	3.80e-3	3.77e-3	NaN	3.84e-4
#unable to produce in metabolism# "CPD0-2032"	NaN	2.71e-4	NaN	NaN
"CTP"	2.70e-3	2.73e-3	8.62e-4	NaN
"CYTIDINE"	2.60e-6	2.59e-6	1.09e-6	NaN
"CYTOSINE"	1.40e-5	1.41e-5	4.85e-6	NaN
"D-ALA-D-ALA"	NaN	NaN	1.03e-4	NaN
"D-SEDOHEPTULOSE-7-P"	NaN	8.82e-4	1.62e-4	9.20e-5
"DAMP"	8.80e-6	8.84e-6	NaN	NaN
"DATP"	1.60e-5	1.55e-5	NaN	NaN
"DCTP"	3.50e-5	3.45e-5	NaN	NaN
"DEOXY-RIBOSE-5P"	NaN	3.03e-4	NaN	NaN
"DEOXYADENOSINE"	2.80e-6	2.82e-6	NaN	NaN
"DEOXYGUANOSINE"	5.20e-7	5.22e-7	NaN	NaN
"DGMP"	5.10e-5	5.07e-5	NaN	NaN
"DI-H-OROTATE"	1.20e-5	1.19e-5	3.88e-3	NaN
"DIHYDROXY-ACETONE-PHOSPHATE"	3.70e-4	3.06e-3	1.67e-3	9.28e-4
"DPG"	NaN	1.65e-5	NaN	1.50e-5
"ERYTHROSE-4P"	NaN	4.90e-5	4.84e-5	NaN
"FAD"	1.70e-4	1.73e-4	NaN	NaN
"FMN"	NaN	5.37e-5	NaN	NaN
"FRUCTOSE-16-DIPHOSPHATE"	1.50e-2	1.52e-2	2.54e-3	1.38e-3
"FRUCTOSE-6P"	NaN	2.52e-3	NaN	3.18e-4
"FUM"	1.20e-4	2.88e-4	1.50e-3	4.59e-4
"G3P"	1.50e-3	1.54e-3	NaN	NaN
"GDP"	6.80e-4	6.76e-4	1.89e-5	5.55e-4
"GLC-6-P"	NaN	7.88e-3	NaN	9.87e-4
#unable to produce in metabolism# "GLC-D-LACTONE"	1.00e-3	1.04e-3	NaN	NaN
"GLN"	3.80e-3	3.81e-3	3.81e-3	1.85e-3
"GLT"	9.60e-2	9.60e-2	3.30e-2	1.68e-2
"GLUCONATE"	4.20e-5	4.16e-5	NaN	NaN
"GLUTATHIONE"	1.70e-2	1.66e-2	6.92e-3	NaN
"GLY"	NaN	NaN	4.32e-4	NaN
"GLYCERATE"	1.40e-3	1.41e-3	NaN	NaN
"GLYCEROL-3P"	4.90e-5	4.90e-5	NaN	3.00e-4
"GMP"	2.40e-5	2.37e-5	4.13e-6	2.50e-5
"GTP"	4.90e-3	4.87e-3	3.65e-4	1.17e-3
"GUANINE"	1.90e-4	1.88e-4	4.03e-6	NaN
"GUANOSINE"	1.60e-6	1.62e-6	5.22e-7	NaN
"HIS"	6.80e-5	6.76e-5	6.97e-5	NaN
"HISTIDINOL"	1.30e-5	1.28e-5	1.07e-5	NaN
"HOMO-CYS"	3.70e-4	3.70e-4	NaN	NaN
"HOMO-SER"	NaN	NaN	2.38e-4	NaN
"HYPOXANTHINE"	NaN	NaN	7.70e-7	NaN
#unable to produce in metabolism# "IDP"	NaN	2.38e-5	NaN	NaN
"ILE"	NaN	1.52e-4	NaN	NaN
"IMP"	NaN	2.72e-4	5.04e-5	1.99e-3
"INOSINE"	NaN	NaN	7.00e-7	NaN
#unable to produce in metabolism# "ITP"	NaN	2.05e-4	NaN	NaN
"L-ALPHA-ALANINE"	2.60e-3	2.55e-3	3.96e-4	NaN
"L-ARGININO-SUCCINATE"	NaN	NaN	1.76e-4	NaN
"L-ASPARTATE"	4.20e-3	4.23e-3	2.00e-3	9.72e-4
"L-CITRULLINE"	1.40e-3	1.35e-3	1.76e-4	NaN
"L-ORNITHINE"	1.00e-5	1.01e-5	NaN	NaN
"LEU"	NaN	1.52e-4	NaN	NaN
"LL-DIAMINOPIMELATE"	NaN	NaN	1.08e-4	NaN
"LYS"	4.10e-4	4.05e-4	6.67e-4	NaN
"MAL"	1.70e-3	1.68e-3	2.12e-3	2.15e-3
"MALONYL-COA"	3.50e-5	3.54e-5	NaN	NaN
"MET"	1.50e-4	1.45e-4	5.50e-5	NaN
#unable to produce in metabolism# "MYO-INOSITOL"	5.70e-6	5.72e-6	NaN	NaN
"N-ACETYL-D-GLUCOSAMINE-1-P"	8.20e-5	8.19e-5	NaN	NaN
"N-ALPHA-ACETYLORNITHINE"	4.30e-5	4.33e-5	NaN	NaN
"NAD"	2.60e-3	2.55e-3	2.12e-3	NaN
"NADH"	8.30e-5	8.36e-5	2.59e-5	NaN
"NADP"	2.10e-6	2.08e-6	2.19e-4	NaN
"NADPH"	1.20e-4	1.21e-4	1.80e-4	NaN
"OROTATE"	NaN	NaN	5.47e-3	NaN
"OXALACETIC_ACID"	NaN	4.87e-7	NaN	NaN
"OXIDIZED-GLUTATHIONE"	NaN	2.37e-3	3.25e-4	NaN
"PANTOTHENATE"	NaN	NaN	6.59e-5	2.70e-5
"PHE"	1.80e-5	1.82e-5	1.03e-4	5.60e-5
"PHENYL-PYRUVATE"	9.00e-5	8.98e-5	NaN	NaN
"PHOSPHO-ENOL-PYRUVATE"	1.80e-4	1.84e-4	1.44e-4	4.90e-5
"PRO"	3.90e-4	3.85e-4	3.90e-4	NaN
"PROPIONYL-COA"	5.30e-6	5.32e-6	NaN	NaN
"PRPP"	NaN	2.58e-4	NaN	NaN
"PYRUVATE"	NaN	3.66e-3	NaN	NaN
"QUINOLINATE"	1.20e-5	1.15e-5	NaN	NaN
"RIBOFLAVIN"	1.90e-5	1.90e-5	NaN	NaN
"RIBOSE-1P"	NaN	NaN	NaN	3.00e-6
"RIBOSE-5P"	NaN	7.87e-4	NaN	1.93e-4
"RIBULOSE-5P"	NaN	1.12e-4	NaN	3.44e-4
"S-ADENOSYLMETHIONINE"	1.80e-4	1.84e-4	NaN	NaN
"SER"	6.80e-5	1.13e-3	4.50e-4	NaN
"SHIKIMATE"	1.40e-5	1.41e-5	NaN	NaN
"SUC"	5.70e-4	5.69e-4	2.18e-4	6.28e-4
"SUC-COA"	2.30e-4	2.33e-4	NaN	NaN
"TDP"	3.80e-4	3.78e-4	NaN	NaN
"THR"	1.80e-4	1.26e-3	NaN	NaN
"THREO-DS-ISO-CITRATE"	NaN	3.67e-5	NaN	5.07e-4
"TRP"	1.20e-5	1.21e-5	2.44e-5	NaN
"TTP"	4.60e-3	4.62e-3	NaN	NaN
"TYR"	2.90e-5	2.89e-5	2.16e-4	5.10e-5
"UDP"	1.80e-3	1.79e-3	1.21e-4	NaN
"UDP-GLUCURONATE"	5.70e-4	5.66e-4	NaN	NaN
"UDP-N-ACETYL-D-GLUCOSAMINE"	9.20e-3	9.24e-3	6.71e-4	NaN
"UMP"	NaN	NaN	7.09e-5	NaN
"URIDINE"	2.10e-3	2.09e-3	NaN	NaN
"UTP"	8.30e-3	8.29e-3	1.14e-3	NaN
"VAL"	4.00e-3	4.02e-3	5.66e-4	NaN
"XYLULOSE-5-PHOSPHATE"	NaN	1.81e-4	NaN	1.58e-4
