# Created with runscripts/reconstruction/metabolite_concentrations/convert_to_flat.py on Thu May 21 20:47:41 2020
Metabolite	minimal	minimal_acetate	minimal_succinate	minimal_galactose	minimal_mannose	minimal_pyruvate	minimal_lactate	minimal_glycerol	minimal_sorbitol	minimal_fructose	minimal_glcNAc	minimal_mannitol	minimal_gluconate	minimal_g6p	minimal_plus_cas_amino_acids
"GLUTATHIONE"	1.0	1.173	0.64	0.839	1.283	1.539	1.686	1.258	1.17	1.175	1.059	1.025	1.176	1.053	1.205
"GLYCEROL-3P"	1.0	0.99	0.897	1.01	0.996	0.898	0.813	15.498	1.221	1.167	0.983	1.047	0.993	1.103	1.523
"GMP"	1.0	0.84	0.743	1.282	0.925	1.238	0.609	0.744	0.879	0.802	0.826	1.1	0.794	1.048	1.559
"GTP"	1.0	0.601	0.842	0.828	0.704	0.619	0.537	0.764	1.027	0.974	0.808	0.888	1.094	0.795	1.363
"IMP"	1.0	0.779	0.915	0.848	0.772	0.664	0.729	0.667	1.12	0.908	0.825	0.897	0.886	0.777	0.751
"L-ASPARTATE"	1.0	1.581	2.333	0.851	0.973	0.914	1.611	1.242	0.868	1.033	1.019	0.853	1.569	1.919	0.499
"Lactate"	1.0	1.702	1.16	1.916	1.223	NaN	NaN	1.151	0.847	0.991	1.461	1.404	1.177	4.26	1.552
"MAL"	1.0	1.355	4.83	0.251	0.377	0.627	0.417	0.667	0.567	0.913	0.851	0.662	1.154	1.57	1.584
"NAD"	1.0	1.346	1.141	1.242	1.025	1.11	1.364	1.114	1.077	1.133	1.031	0.925	1.135	1.071	0.653
"NADH"	1.0	2.223	1.279	2.551	1.078	1.052	1.266	1.845	2.241	1.214	0.926	1.691	3.103	1.472	0.45
"NADP"	1.0	0.999	1.107	0.76	0.983	1.153	1.054	1.194	1.307	1.641	1.148	1.353	0.998	1.026	0.701
"NADPH"	1.0	1.051	1.02	0.685	1.148	0.296	0.896	1.19	1.243	1.275	0.859	0.882	0.971	1.336	0.822
"OXIDIZED-GLUTATHIONE"	1.0	1.688	0.441	0.692	1.731	2.422	4.024	1.715	2.162	1.63	1.264	1.13	1.668	0.976	1.145
"PANTOTHENATE"	1.0	1.607	1.28	2.069	1.445	1.204	1.403	1.315	0.861	0.916	0.918	0.592	1.097	0.687	0.132
"PHE"	1.0	1.166	1.308	0.944	1.08	0.873	1.257	1.784	1.112	1.265	1.005	0.991	1.419	1.42	NaN
"PHOSPHO-ENOL-PYRUVATE"	1.0	7.981	15.443	4.112	3.728	6.588	6.176	4.677	1.291	1.725	0.756	1.081	2.434	2.351	2.64
"RIBOSE-1P"	1.0	1.409	1.129	2.332	1.35	2.588	1.045	1.856	1.12	0.838	0.954	1.035	1.318	2.618	2.474
"RIBOSE-5P"	1.0	0.29	0.382	0.521	0.454	0.094	0.211	0.312	0.592	0.263	0.604	0.607	1.78	1.933	1.342
"RIBULOSE-5P"	1.0	0.273	0.36	0.602	0.45	0.082	0.183	0.332	0.594	0.258	0.61	0.65	1.719	2.512	0.782
"SUC"	1.0	1.101	NaN	0.47	0.612	0.771	0.584	0.837	0.75	1.315	1.073	0.881	1.089	2.647	6.697
"THREO-DS-ISO-CITRATE"	1.0	4.107	0.931	0.72	0.662	1.155	0.85	1.025	0.843	1.449	1.043	1.157	1.205	1.358	0.893
"TYR"	1.0	1.12	1.327	1.168	1.134	1.381	1.944	1.516	1.211	1.492	0.942	1.116	1.21	1.367	NaN
"XYLULOSE-5-PHOSPHATE"	1.0	0.299	0.357	0.564	0.405	0.056	0.177	0.249	0.538	0.22	0.713	0.606	1.914	2.27	0.865
