# Generated by runscripts/reconstruction/metabolism_kinetics/convert_to_flat.py on Tue Feb  4 16:51:54 2020
reactionID	enzymeID	substrateIDs	Temp	rateEquationType	direction	kcat (1/units.s)	kM (units.umol/units.L)	kI (units.umol/units.L)	customRateEquation	customParameters	customParameterConstants	customParameterConstantValues	customParameterVariables	Pubmed ID
"3.5.1.88-RXN"	"EG11440-MONOMER"	["FORMYL-L-METHIONYL-PEPTIDE"]	37	"standard"		[270]	[2100]	[]						"10373378"
"3.5.1.88-RXN"	"EG11440-MONOMER"	["FORMYL-L-METHIONYL-PEPTIDE"]		"standard"		[1320]	[2640]	[]						"10651644"
"3.5.1.88-RXN"	"EG11440-MONOMER"	["FORMYL-L-METHIONYL-PEPTIDE"]	25	"standard"		[103]	[9100]	[]						"12538898"
"3.5.1.88-RXN"	"EG11440-MONOMER"	["FORMYL-L-METHIONYL-PEPTIDE"]	25	"standard"		[64]	[5300]	[]						"22411989"
"3.6.1.41-RXN"	"EG10048-MONOMER"	["ADENOSYL-P4"]	37	"standard"		[250]	[12]	[]						"2986688"
"325-BISPHOSPHATE-NUCLEOTIDASE-RXN"	"EG10043-MONOMER"	["3-5-ADP"]	37	"standard"		[11.4]	[240]	[]						"17616624"
"325-BISPHOSPHATE-NUCLEOTIDASE-RXN"	"EG10043-MONOMER"	["CPD0-1187"]	37	"standard"		[13.2]	[140]	[]						"17616624"
"4-NITROPHENYLPHOSPHATASE-RXN"	"ALKAPHOSPHA-CPLX"	["CPD-194"]	25	"standard"		[80.5]	[21.1]	[]						"7703848"
"4-NITROPHENYLPHOSPHATASE-RXN"	"ALKAPHOSPHA-CPLX"	["CPD-194"]	25	"standard"		[80.5]	[21.1]	[]						"11099386"
"4-NITROPHENYLPHOSPHATASE-RXN"	"ALKAPHOSPHA-CPLX"	["CPD-194"]	25	"standard"		[74.7]	[21.8]	[]						"12707276"
"4.3.1.15-RXN"	"CPLX0-1401"	["23-Diaminopropanoate"]		"standard"		[58.6]	[170]	[]						"12821154"
"5-NUCLEOTID-RXN"	"EG12115-MONOMER"	["UMP"]	37	"standard"		[34.2]	[660]	[]						"15489502"
"5-NUCLEOTID-RXN"	"EG12115-MONOMER"	["TMP"]	37	"standard"		[30.4]	[510]	[]						"15489502"
"5-NUCLEOTID-RXN"	"EG11817-MONOMER"	["GMP"]	37	"standard"		[11]	[260]	[]						"15489502"
"5-NUCLEOTID-RXN"	"EG11817-MONOMER"	["AMP"]	37	"standard"		[4.9]	[320]	[]						"15489502"
"5-NUCLEOTID-RXN"	"CPLX0-7625"	["CPD-194"]	37	"standard"		[0.56]	[2090]	[]						"15489502"
"5-NUCLEOTID-RXN"	"EG11817-MONOMER"	["CPD-194"]	37	"standard"		[3.55]	[2490]	[]						"15489502"
"5-NUCLEOTID-RXN"	"EG12115-MONOMER"	["CPD-194"]	37	"standard"		[4.10]	[17800]	[]						"15489502"
"5-NUCLEOTID-RXN"	"EG11817-MONOMER"	["AMP"]	25	"custom"		[750]	[74]	[23000]	"kcat*E*S/Km + (1+S/Ki)*S"	["kcat","Km","Ki","E","S"]	["kcat","Km","Ki"]	[750,74,23000]	{"E":"EG11817-MONOMER","S":"AMP"}	"15709736"
"5-NUCLEOTID-RXN"	"EG12115-MONOMER"	["UMP"]		"standard"		[25]	[2400]	[]						"16990279"
"5-NUCLEOTID-RXN"	"EG12115-MONOMER"	["TMP"]		"standard"		[31]	[2800]	[]						"16990279"
"5-NUCLEOTID-RXN"	"EG12115-MONOMER"	["AMP"]		"standard"		[1.3]	[1800]	[]						"16990279"
"5-NUCLEOTID-RXN"	"EG12115-MONOMER"	["DGMP"]		"standard"		[2.1]	[2800]	[]						"16990279"
"5-NUCLEOTID-RXN"	"EG12115-MONOMER"	["FRUCTOSE-6P"]		"standard"		[0.18]	[2100]	[]						"16990279"
"5-NUCLEOTID-RXN"	"EG12115-MONOMER"	["CPD-2961"]		"standard"		[0.88]	[5300]	[]						"16990279"
"5.4.2.10-RXN"	"PHOSGLUCOSAMINEMUT-MONOMER"	["GLUCOSAMINE-1P"]	37	"standard"		[7.9]	[80]	[]						"10231382"
"6PFRUCTPHOS-RXN"	"6PFK-1-CPX"	["FRUCTOSE-6P", "ATP"]	30	"custom"		[111]	[110]	[]	"kcat*E*(S_1^H/(S_1^H+k_M_1^H))*(S_2/(S_2+k_M_2))"	["kcat","k_M_1","H","k_M_2","E","S_1","S_2"]	["kcat","k_M_1","H","k_M_2"]	[110.7,90,2.11,110]	{"E":"6PFK-1-CPX","S_1":"FRUCTOSE-6P","S_2":"ATP"}	"1429704"
"6PFRUCTPHOS-RXN"	"6PFK-1-CPX"	["ATP"]	30	"standard"		[88]	[]	[]						"11300773"
"6PFRUCTPHOS-RXN"	"6PFK-1-CPX"	["FRUCTOSE-6P"]	8.5	"standard"		[61]	[]	[]						"12767227"
"6PFRUCTPHOS-RXN"	"6PFK-2-CPX"	["FRUCTOSE-6P","ATP"]		"standard"		[62]	[18,12]	[]						"20887711"
"6PFRUCTPHOS-RXN"	"6PFK-1-CPX"	["FRUCTOSE-6P"]	37	"standard"		[185]	[]	[]						"Kruger, N.J. Effects of temperature on the kinetic properties of phosphofructokinase from Escherichia coli Biochem. Soc. Trans. 17 760-761 1989 Escherichia coli ; 0 0"
"7-ALPHA-HYDROXYSTEROID-DEH-RXN"	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX"	["CHOLATE"]	37	"standard"		[3798]	[1200]	[]						"2007545"
"7-ALPHA-HYDROXYSTEROID-DEH-RXN"	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX"	["CPD-15189"]	37	"standard"		[491]	[430]	[]						"2007545"
"7-ALPHA-HYDROXYSTEROID-DEH-RXN"	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX"	["CPD-7283"]	37	"standard"		[206]	[190]	[]						"2007545"
"7-ALPHA-HYDROXYSTEROID-DEH-RXN"	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX"	["CHOLATE","NAD"]		"standard"		[151]	[361,279]	[]						"9722677"
"7KAPSYN-RXN"	"7KAPSYN-CPLX"	["L-ALPHA-ALANINE","CPD-558"]		"standard"		[0.05]	[900,70]	[]						"9765987"
"ACETALD-DEHYDROG-RXN"	"MHPF-MONOMER"	["ACETALD","CO-A","NAD"]	25	"custom"	"forward"	[17.5]	[38000,90000,250]	[265000]	"kcat*E*(S_1/(k_M_1*(1+S_1/k_i_1)+S_1)*(S_2/(k_M_2+S_2)*(S_3/(k_M_3+S_3)"	["kcat","k_M_1","k_M_2","k_M_3","k_i_1","E","S_1","S_2","S_3"]	["kcat","k_M_1","k_M_2","k_M_3","k_i_1"]	[17.5,38000,90000,250,265000]	{"E":"MHPF-MONOMER","S_1":"ACETALD","S_2":"CO-A","S_3":"NAD"}	"23237860"
"ACETOLACTREDUCTOISOM-RXN"	"CPLX0-7643"	["2-ACETO-LACTATE","NADPH"]	25	"standard"	"reverse"	[1.8]	[14,2]	[]						"2189496"
"ACETOLACTREDUCTOISOM-RXN"	"CPLX0-7643"	["CPD-13357"]	25	"standard"	"forward"	[4.2]	[]	[]						"2189496"
"ACETOLACTREDUCTOISOM-RXN"	"CPLX0-7643"	["NADPH"]	22	"standard"	"reverse"	[0.12]	[7.3]	[]						"9015391"
"ACETOLACTREDUCTOISOM-RXN"	"CPLX0-7643"	["NADP"]	22	"custom"	"forward"	[0.052]	[4.2]	[1.2]	"kcat*E*(S_1/(S_1+k_M*(1+S_2/k_i_1)))"	["kcat","k_M","k_i_1","E","S_1","S_2"]	["kcat","k_M","k_i_1"]	[0.052,4.2,1.2]	{"E":"CPLX0-7643","S_1":"NADP","S_2":"NADPH"}	"9015391"
"ACETOLACTREDUCTOISOM-RXN"	"CPLX0-7643"	["2-ACETO-LACTATE","NADPH"]	37	"standard"	"reverse"	[2.231]	[247,2.53]	[]						"15654896"
"ACETOLACTSYN-RXN"	"ACETOLACTSYNII-CPLX"	["PYRUVATE"]	37	"standard"		[23.3]	[5200]	[]						"15640355"
"ACETOLACTSYN-RXN"	"ACETOLACTSYNII-CPLX"	["PYRUVATE"]	37	"standard"		[47]	[5000]	[]						"15895677"
"ACETOLACTSYN-RXN"	"ACETOLACTSYNII-CPLX"	["PYRUVATE"]	37	"standard"		[40.3]	[6600]	[]						"20504042"
"ACETOLACTSYN-RXN"	"ACETOLACTSYNII-CPLX"	["PYRUVATE"]	37	"standard"		[40.3]	[6600]	[]						"21370850"
"ACETOLACTSYN-RXN"	"ACETOLACTSYNI-CPLX"	["PYRUVATE"]	37	"standard"		[71.3]	[4800]	[]						"22443469"
"ACETOOHBUTSYN-RXN"	"ACETOLACTSYNII-CPLX"	["PYRUVATE"]	37	"standard"		[66.7]	[2600]	[]						"9581571"
"ACETYLESTERASE-RXN"	"CPLX0-8033"	["CPD0-2413"]		"standard"		[29]	[170]	[]						"23132590"
"ACETYLORNDEACET-RXN"	"ACETYLORNDEACET-CPLX"	["N-ALPHA-ACETYLORNITHINE"]	25	"standard"		[3800]	[1200]	[]						"16201833"
"ACETYLORNDEACET-RXN"	"ACETYLORNDEACET-CPLX"	["N-ALPHA-ACETYLORNITHINE"]	25	"standard"		[3800]	[1200]	[]						"17333302"
"ACETYLORNDEACET-RXN"	"ACETYLORNDEACET-CPLX"	["N-ALPHA-ACETYLORNITHINE"]	25	"standard"		[3800]	[1200]	[]						"22459917"
"ACETYLORNTRANSAM-RXN"	"ACETYLORNTRANSAM-CPLX"	["N-ALPHA-ACETYLORNITHINE"]	25	"standard"		[0.62]	[150]	[]						"10074354"
"ACETYLORNTRANSAM-RXN"	"SUCCORNTRANSAM-CPLX"	["N-ALPHA-ACETYLORNITHINE"]		"standard"		[4.7]	[338]	[]						"23484010"
"ACETYLORNTRANSAM-RXN"	"SUCCORNTRANSAM-CPLX"	["N-ALPHA-ACETYLORNITHINE"]		"standard"		[0.61]	[150]	[]						"23484010"
"ACNEULY-RXN"	"ACNEULY-CPLX"	["N-ACETYLNEURAMINATE"]	25	"standard"		[4.33]	[4400]	[]						"15897188"
"ACNEULY-RXN"	"ACNEULY-CPLX"	["N-ACETYLNEURAMINATE"]	25	"standard"		[10.5]	[2600]	[]						"15967977"
"ACNEULY-RXN"	"ACNEULY-CPLX"	["N-ACETYLNEURAMINATE"]	30	"standard"		[6.75]	[4100]	[]						"19646958"
"ACNEULY-RXN"	"ACNEULY-CPLX"	["N-ACETYLNEURAMINATE"]	25	"standard"		[4.33]	[4400]	[]						"20826162"
"ACYL-COA-HYDROLASE-RXN"	"EG11121-MONOMER"	["ACETYL-COA"]	25	"standard"		[0.55]	[167]	[]						"18247525"
"ACYL-COA-HYDROLASE-RXN"	"EG11121-MONOMER"	["BUTYRYL-COA"]	25	"standard"		[6.7]	[68]	[]						"18247525"
"ACYL-COA-HYDROLASE-RXN"	"EG11121-MONOMER"	["CPD-10267"]	25	"standard"		[17]	[13]	[]						"18247525"
"ACYL-COA-HYDROLASE-RXN"	"EG11121-MONOMER"	["LAUROYLCOA-CPD"]	25	"standard"		[9.6]	[20]	[]						"18247525"
"ACYL-COA-HYDROLASE-RXN"	"EG11121-MONOMER"	["OLEOYL-COA"]	25	"standard"		[13]	[11]	[]						"18247525"
"ACYL-COA-HYDROLASE-RXN"	"EG11121-MONOMER"	["PALMITYL-COA"]	25	"standard"		[3.7]	[33]	[]						"18247525"
"ACYL-COA-HYDROLASE-RXN"	"EG11121-MONOMER"	["3-METHYL-CROTONYL-COA"]	25	"standard"		[0.1]	[290]	[]						"18247525"
"ACYL-COA-HYDROLASE-RXN"	"EG11121-MONOMER"	["CPD-207"]	25	"standard"		[9.4]	[16]	[]						"18247525"
"ACYLCOASYN-RXN"	"ACYLCOASYN-CPLX"	["ATP"]	37	"standard"		[0.029]	[130]	[]						"12034706"
"ACYLPHOSPHATASE-RXN"	"G6502-MONOMER"	["Acyl-Phosphates","Pi"]	25	"custom"	"forward"	[94]	[540]	[1440]	"kcat*E*S/(km*(1+I/ki)+S)"	["kcat","km","ki","E","S","I"]	["kcat","km","ki"]	[94,540,1440]	["Acyl-Phosphates","Pi"]	"17134700"
"ADENINE-DEAMINASE-RXN"	"CPLX0-1683"	["ADENINE"]	30	"standard"		[200]	[400]	[]						"21247091"
"ADENINE-DEAMINASE-RXN"	"CPLX0-1683"	["ADENINE"]	30	"standard"		[200]	[400]	[]						"21998098"
"ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN"	"CPLX0-1541"	["ADENOSYL-HOMO-CYS"]	22	"standard"		[2.6]	[1.3]	[]						"16101288"
"ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN"	"CPLX0-1541"	["ADENOSYL-HOMO-CYS"]	25	"standard"		[2.1]	[1.3]	[]						"17059210"
"ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN"	"CPLX0-1541"	["ADENOSYL-HOMO-CYS"]		"standard"		[0.45]	[5.30]	[]						"18453700"
"ADENPHOSPHOR-RXN"	"DEOD-CPLX"	["ADENOSINE"]	25	"standard"		[3.32]	[46]	[]						"12937174"
"ADENPRIBOSYLTRAN-RXN"	"ADENPRIBOSYLTRAN-CPLX"	["ADENINE","PRPP"]	37	"standard"		[9.33]	[20,125]	[]						"357906"
"ADENYLATECYC-RXN"	"ADENYLATECYC-MONOMER"	["ATP", "ATP","ADP","GTP","PPI"]	37	"standard"		[1.67]	[1000]	[1500,2000,1200,180]						"6300054"
