"id"	"common_name"	"synonyms"	"chemical_formula"	"mw"	
"1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA"	"a 1-phosphatidyl-1D-myo-inositol 5-phosphate"	["PtdIns5P", "2,3-bis(alkanoyloxy)propyl (1R,2R,3R,4R,5S,6R)-2,3,4,6-tetrahydroxy-5-(phosphonatooxy)cyclohexyl phosphate", "1-phosphatidyl-1D-myo-inositol 5-phosphate trianion", "PI(5)P"]	null	null	
"1-Phosphatidyl-2-O-D-Ala-Glycerol"	"2-<i>O</i>-D-alanyl-1-<i>O</i>-phosphatidylglycerol"	["PG-D-Ala"]	null	null	
"1-PHOSPHATIDYL-MYO-INOSITOL-2-MANNOSE"	"a 2-<i>O</i>-(&alpha;-D-mannosyl)-1-phosphatidyl-1D-myo-inositol"	["PIM1"]	null	null	
"1-RADYL-2-ACYL-SN-GLYCERO-3-PHOSPHOLIPID"	"a 1-organyl-2-lyso-<i>sn</i>-glycero-3-phospholipid"	["a 1-radyl-2-acyl-<i>sn</i>-glycero-3-phospholipid"]	null	null	
"1-stearidonoyl-2-acyl-glycerolipids"	"a 1-stearidonoyl 2-acyl-[glycerolipid]"	[]	null	null	
"1-stearidonoyl-L-Phosphatidate"	"a 1-stearidonoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	
"10-FORMYL-DIHYDROFOLATE-GLU-N"	"an <i>N</i><sup>10</sup>-formyl-7,8-dihydrofolate"	[]	null	null	
"10-FORMYL-THF"	"10-formyl-tetrahydrofolate mono-L-glutamate"	["N<sup>10</sup>-formyl-tetrahydrofolate mono-L-glutamate", "N<sup>10</sup>-formyl-THF mono-L-glutamate", "N<sup>10</sup>-formyl-H<sub>4</sub>F mono-L-glutamate", "10-formyl-THF mono-L-glutamate", "10-formyl-H<sub>4</sub>PteGlu<sub>1</sub>", "<i>N</i><sup>10</sup>-formyl-H<sub>4</sub>PteGlu<sub>1</sub>"]	"C20H21N7O7"	471.429	
"11-13-Eicosadienoates"	"an 11,13-icosadienoate"	["11,13-eicosadienoic acid", "an 11,13-eicosadienoate"]	"C20H35O2"	null	
"11-Beta-Hydroxysteroids1"	"an 11-&beta;-hydroxysteroid"	[]	null	null	
"11-Cis-Retinyl-Esters"	"an 11-<i>cis</i>-retinyl ester"	[]	null	null	
"11-DEOXY-CORTISOL"	"11-desoxycortisol"	["substance S, Reichstein's", "11-desoxycortisone", "cortexolone", "Reichstein's substance S", "cortodoxone"]	"C21H30O4"	346.466	
"11-DEOXYCORTICOSTERONE"	"11-deoxycorticosterone"	["deoxycorticosterone", "cortexone", "21-hydroxy-4-pregnene-3,20-dione"]	"C21H30O3"	330.466	
"11-Hydroxyjasmonates"	"an 11-hydroxyjasmonate"	["an 11-OHJA", "an 11-hydroxyjasmonic acid", "an 11-hydroxy-JA"]	"C12H17O4"	225.264	
"11-Oxosteroids"	"an 11-oxosteroid"	[]	null	null	
"12-apo-Carotenals"	"a 12'-apo-carotenal"	[]	null	null	
"12-carboxyjasmonoyl-L-amino-acids"	"a 12-hydroxy-12-oxojasmonoyl-L-amino acid"	[]	null	null	
"12-DAG-alpha-D-GAL-alpha-D-Glc"	"a 1,2-diacyl-3-<i>O</i>-(&alpha;-D-galactopyranosyl-(1&rarr;2)-<i>O</i>-&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol"	[]	null	null	
"12-DIACYL-3-3-ETCETERA-GLYCEROL"	"a 1,2-diacyl-3-[3-(<i>N</i>-acetyl-&alpha;-D-neuraminyl)-&beta;-D-galactosyl]-<i>sn</i>-glycerol"	[]	null	null	
"12-DIACYL-3-O-ALPHA-D-GLUCOPYRANOSYL"	"a 1,2-diacyl-3-O-(&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol"	["1,2-diacyl-3-<i>O</i>-(&alpha;-D-glucosyl)-<i>sn</i>-glycerol", "a 1,2-diacyl-3-<i>O</i>-(&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol"]	null	null	
"12-DIACYL-3-O-ALPHA-D-GLUCOPYRANOSYL1"	"a 1,2-diacyl-3-O-(&alpha;-D-glucopyranosyl(1->2)-O-&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol"	[]	null	null	
"12-Epoxybutane"	"1,2-epoxybutane"	[]	"C4H8O"	72.107	
"12-EPOXYPROPANE"	"1,2-epoxypropane"	["propylene oxide", "methyloxirane"]	"C3H6O"	58.08	
"12-Hydroxyjasmonate-Sulfates"	"a 12-hydroxyjasmonate sulfate"	["a 12-OHJA sulfate", "a 12-hydroxyjasmonic acid sulfate", "a SO4-hydroxy-JA", "a 12-hydroxy-JA sulfate"]	"C12H16O7S"	304.314	
"12-Hydroxyjasmonates"	"tuberonic acid"	["12-OHJA", "12-hydroxyjasmonic acid", "12-hydroxy-JA", "(+/-)-12-hydroxyjasmonate", "12-hydroxy epi-jasmonic acid", "12-hydroxyjasmonate", "{(1R,2R)-2-[(2Z)-5-hydroxypent-2-enyl]-3-oxo-cyclopentyl}acetate"]	"C12H17O4"	225.264	
"12-oxojasmonoyl-L-amino-acids"	"a 12-oxojasmonoyl-L-amino acid"	[]	null	null	
"13-14-Mixed-Xylan"	"a mix-linked (1&rarr;3/1&rarr;4)-&beta;-D-xylan"	["xylan type X<sub>m</sub>", "a mix-linked (&beta;-1&rarr;3/&beta;1&rarr;4)-D-xylan", "(&beta;-1&rarr;3/&beta;1&rarr;4)-linked D-xylan"]	null	null	
"13-and-16-Sial-Gal-N-glycans"	"a {&alpha;-D-Sial-(2&rarr;6)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;2)-[&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)]-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Sial-(2&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;2)-[&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcNAc}-<i>N</i>-Asn-[protein]"	[]	null	null	
"13-BETA-D-GALACTOSYL-N-ACETYL-D-GLU"	"a lactotetraosylceramide"	["a &beta;-D-galactosyl-(1&rarr;3)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-&beta;-D-glucosyl-(1&harr;1)ceramide", "a &beta;-D-galactosyl-(1,3)-N-acetyl-&beta;-D-glucosaminyl-(1,3)-&beta;-D-galactosyl-(1,4)-&beta;-D-glucosyl-(1&harr;1)-ceramide"]	null	null	
"13-BETA-D-XYLANS"	"a (1->3)-&beta;-D-xylan"	["xylan type X<sub>3</sub>"]	null	null	
"13-Sial-Gal-N-glycans"	"a {&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;2)-[&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)]-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Sial-(2&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;2)-[&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcNAc}-<i>N</i>-Asn-[protein]"	[]	null	null	
"14-alpha-methylsteroids"	"a 14&alpha;-methylsteroid"	[]	null	null	
"14a-formylsteroids"	"a 14&alpha;-formylsteroid"	[]	null	null	
"14a-Hydroxymethylsteroids"	"a 14&alpha;-hydroxymethylsteroid"	[]	null	null	
"15-ANHYDRO-D-GLUCITOL"	"1,5-anhydro-D-glucitol"	["1,5-anhydro-D-sorbitol", "1,5-anhydroglucitol", "1-deoxy-D-glucopyranose"]	"C6H12O5"	164.158	
"15-DIDEOXY-15-IMINO-D-GALACTITOL"	"1,5-dideoxy-1,5-imino-D-galactitol"	["1-deoxygalactonojirimycin"]	"C6H14NO4"	164.181	
"16-alpha-D-Mannosyloligosaccharides"	"a 1,6-&alpha;-D-mannosyloligosaccharide"	["a (1->6)-&alpha;-D-mannose-(1->6)&alpha;-D-mannosyl-oligosaccharide"]	null	null	
"16S-rRNA-2-O-methylcytidine1402"	"a 2'-<i>O</i>-methylcytidine<sup>1402</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-2-O-methylcytidine1409"	"a 2'-<i>O</i>-methylcytidine<sup>1409</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-5-O-methylcytosine1407"	"a 5-methylcytosine<sup>1407</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-5-O-methylcytosine967"	"a 5-methylcytosine<sup>967</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-7-methylguanine1405"	"an <i>N</i><sup>7</sup>-methylguanine<sup>1405</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-adenine1408"	"adenine<sup>1408</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-adenine1518-adenine1519"	"adenine<sup>1518</sup>/adenine<sup>1519</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-Adenines"	"an adenine in 16S rRNA"	["16S -rRNA adenine"]	null	null	
"16S-rRNA-cytidine1402"	"a cytidine<sup>1402</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-cytidine1409"	"a cytidine<sup>1409</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-Cytidines"	"a cytidine in 16S rRNA"	["a 16S rRNA cytidine"]	null	null	
"16S-rRNA-cytosine1407"	"a cytosine<sup>1407</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-cytosine967"	"a cytosine<sup>967</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-Cytosines"	"a cytosine is 16S rRNA"	["16S rRNA cytosine"]	null	null	
"16S-rRNA-guanine-1207"	"a guanine<sup>1207</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-guanine-1405"	"a guanine<sup>1405</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-guanine-1516"	"a guanine<sup>1516</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-guanine-527"	"a guanine<sup>527</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-guanine-966"	"a guanine<sup>966</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-guanine1516"	"a guanine<sup>1516</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-Guanines"	"a guanine in 16S rRNA"	["16S rRNA guanine"]	null	null	
"16S-rRNA-N1-methyladenine1408"	"N<sup>1</sup>-methyladenine<sup>1408</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-N2-methylguanine1207"	"an <i>N</i><sup>2</sup>-methylguanine<sup>1207</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-N2-methylguanine1516"	"an <i>N</i><sup>2</sup>-methylguanine<sup>1516</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-N2-methylguanine966"	"an <i>N</i><sup>2</sup>-methylguanine<sup>966</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-N2methylguanine1516"	"an <i>N</i><sup>2</sup>-methylguanine<sup>1516</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-N3-methyluracil1498"	"an <i>N</i><sup>3</sup>-methyluracil<sup>1498</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-N3-MethylUs"	"an  N<sup>3</sup>-methyluridine in 16S rRNA"	["16S rRNA containing N<sup>3</sup>-methylated uridine"]	null	null	
"16S-rRNA-N4-methylcytidine1402"	"an <i>N</i><sup>4</sup>-methylcytidine<sup>1402</sup>  in 16S rRNA"	[]	null	null	
"16S-rRNA-N6-dimethyladenine1518-1519"	"N<sup>6</sup>-dimethyladenine<sup>1518</sup>/N<sup>6</sup>-dimethyladenine<sup>1519</sup>in 16S rRNA"	[]	null	null	
"16S-rRNA-N7-methylguanine527"	"an <i>N</i><sup>7</sup>-methylguanine<sup>527</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-pseudouridine516"	"a 16S rRNA pseudouridine<sup>516</sup>"	[]	null	null	
"16S-rRNA-Uracil"	"a uracil in 16S rRNA"	["16S rRNA uracil"]	null	null	
"16S-rRNA-uracil1498"	"a uracil<sup>1498</sup> in 16S rRNA"	[]	null	null	
"16S-rRNA-uridine516"	"a uridine<sup>516</sup> in 16S rRNA"	["a 16S rRNA uridine<sup>516</sup>"]	null	null	
"16S-rRNA-uridines"	"a uridine in 16S rRNA"	["16S rRNA uridine"]	null	null	
"16S-rRNAs-Pseudouridines"	"a 16S rRNA pseudouridine"	["a pseudouridine in 16S rRNA"]	null	null	
"17-Alpha-Hydroxysteroids"	"a 17-&alpha;-hydroxysteroid"	[]	"C19H32O2"	292.461	
"17-BETA-HYDROXYANDROSTAN-3-ONE"	"17-&beta;-hydroxyandrostan-3-one"	[]	"C19H30O2"	290.445	
"17-beta-Hydroxysteroids"	"a 17-&beta;-hydroxysteroid"	[]	"C19H32O2"	292.461	
"17-DIAMINOHEPTANE"	"1,7-diaminoheptane"	[]	"C7H20N2"	132.248	
"17a-hydroxy-C21-steroids"	"a 17&alpha;-hydroxy-C<sub>21</sub>-steroid"	[]	null	null	
"18S-rRNA-adenine1779-adenine1780"	"an adenine<sup>1779</sup>/adenine<sup>1780</sup> in 18S rRNA"	["an 18S rRNA adenine<sup>1779</sup>/adenine<sup>1780</sup>"]	null	null	
"18s-rRNA-Adenines"	"an adenine in 18S rRNA"	["18s rRNA adenine"]	null	null	
"18S-rRNA-N1-methylpseudouridine-1191"	"an 18S rRNA <i>N</i><sup>1</sup>-methylpseudouridine<sup>1191</sup>"	["an 18S rRNA containing <i>N</i><sup>1</sup>-methylpseudouridine at position 1191", "an <i>N</i><sup>1</sup>-methylpseudouridine<sup>1191</sup> in 18S rRNA"]	null	null	
"18S-rRNA-N6-dimethyladenine1779-1780"	"an N<sup>6</sup>-dimethyladenine<sup>1779</sup>/N<sup>6</sup>-dimethyladenine<sup>1780</sup> in 18S rRNA"	["an 18S rRNA N<sup>6</sup>-dimethyladenine<sup>1779</sup>/N<sup>6</sup>-dimethyladenine<sup>1780</sup>"]	null	null	
"18S-rRNA-pseudouridine-1191"	"an 18S rRNA pseudouridine<sup>1191</sup>"	["an 18S rRNA containing pseudouridine at position 1191", "a pseudouridine<sup>1191</sup> in 18S rRNA"]	null	null	
"18S-rRNAs-Pseudouridines"	"a 18S rRNA pseudouridine"	["a pseudouridine in 18S rRNA"]	null	null	
"1iNisup6sup-ethenoadenine-in-DNA"	"1,<i>N</i><sup>6</sup>-ethenoadenine in DNA"	[]	null	null	
"2-2-HYDROXYACYLSPHINGOSINE"	"a 2-(2-hydroxyacyl)sphingosine"	["a <i>N</i>-(2-hydroxyacyl)sphing-4-enine"]	null	null	
"2-2-N-linked-Glycan"	"Man<sub>3</sub>GlcNAc<sub>4</sub>-[protein]"	["GnGn-GP", "GnGn-glycopeptide", "{<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,3)-[<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,2)-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl}-<i>N</i>-Asn-[protein]", "a {&beta;-D-GlcNAc-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&beta;-D-GlcNAc-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcNAc}-<i>N</i>-Asn-[protein]", "2,2 <i>N</i>-linked glycan"]	null	null	
"2-3-4-Saturated-L-Phosphatidates"	"a 2,3,4-saturated 1,2-diacyl-<i>sn</i>-glycerol 3-phosphate"	["a 2,3,4-saturated L-phosphatidate"]	null	null	
"2-3-Butanediols"	"a 2,3-butanediol"	["a butane-2,3-diol", "a 2,3-butylene glycol"]	"C4H10O2"	90.122	
"2-3-CARBOXY-3-AMINOPROPYL-L-HISTIDINE"	"a 2-[(3S)-3-amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2]"	["diphthine intermediate in eEF-2", "a 2-(3-carboxy-3-aminopropyl)-L-histidine in eEF-2"]	null	null	
