"id"	"symbol"	"synonyms"	"left_end_pos"	"right_end_pos"	"direction"	"rna_id"
"EG10033"	"agp"	["agp", "b1002", "ECK0993"]	1065585	1066826	"+"	"EG10033_RNA"
"EG10034"	"alaS"	["alaS", "act", "ala-act", "lovB", "b2697", "ECK2692"]	2819381	2822011	"-"	"EG10034_RNA"
"EG10035"	"aldA"	["aldA", "ald", "b1415", "ECK1408"]	1488232	1489671	"+"	"EG10035_RNA"
"EG10036"	"puuC"	["puuC", "aldH", "b1300", "ECK1295"]	1362743	1364230	"+"	"EG10036_RNA"
"EG10037"	"alkB"	["alkB", "aidD", "b2212", "ECK2204"]	2308691	2309341	"-"	"EG10037_RNA"
"EG10039"	"amn"	["amn", "b1982", "ECK1977"]	2055061	2056515	"+"	"EG10039_RNA"
"EG10040"	"ampC"	["ampC", "ampA", "b4150", "ECK4146"]	4377811	4378944	"-"	"EG10040_RNA"
"EG10041"	"ampD"	["ampD", "b0110", "ECK0109"]	118733	119284	"+"	"EG10041_RNA"
"EG10042"	"ampE"	["ampE", "b0111", "ECK0110"]	119281	120135	"+"	"EG10042_RNA"
"EG10043"	"cysQ"	["cysQ", "amt", "amtA", "b4214", "ECK4210"]	4436755	4437495	"+"	"EG10043_RNA"
"EG10044"	"osmE"	["osmE", "anr", "b1739", "ECK1737"]	1821918	1822256	"-"	"EG10044_RNA"
"EG10045"	"ansA"	["ansA", "b1767", "ECK1765"]	1850860	1851876	"+"	"EG10045_RNA"
"EG10046"	"ansB"	["ansB", "b2957", "ECK2952"]	3099682	3100728	"-"	"EG10046_RNA"
"EG10047"	"apaG"	["apaG", "b0050", "ECK0051"]	51229	51606	"-"	"EG10047_RNA"
"EG10048"	"apaH"	["apaH", "cfcB", "b0049", "ECK0050"]	50380	51222	"-"	"EG10048_RNA"
"EG10049"	"appA"	["appA", "b0980", "ECK0971"]	1040617	1041915	"+"	"EG10049_RNA"
"EG10050"	"appY"	["appY", "b0564", "ECK0556"]	583681	584430	"+"	"EG10050_RNA"
"EG10051"	"apt"	["apt", "b0469", "ECK0463"]	491412	491963	"+"	"EG10051_RNA"
"EG10052"	"araA"	["araA", "b0062", "ECK0063"]	66835	68337	"-"	"EG10052_RNA"
"EG10053"	"araB"	["araB", "b0063", "ECK0064"]	68348	70048	"-"	"EG10053_RNA"
"EG10054"	"araC"	["araC", "b0064", "ECK0065"]	70387	71265	"+"	"EG10054_RNA"
"EG10055"	"araD"	["araD", "b0061", "ECK0062"]	65855	66550	"-"	"EG10055_RNA"
"EG10056"	"araE"	["araE", "b2841", "ECK2839"]	2980764	2982182	"-"	"EG10056_RNA"
"EG10057"	"araF"	["araF", "b1901", "ECK1899"]	1985139	1986128	"-"	"EG10057_RNA"
"EG10058"	"araG"	["araG", "b1900", "ECK1898"]	1983555	1985069	"-"	"EG10058_RNA"
"EG10059"	"araH"	["araH", "b1898", "b1899", "b4460", "ECK1897"]	1982554	1983540	"-"	"EG10059_RNA"
"EG10060"	"araJ"	["araJ", "araT", "b0396", "ECK0390"]	411297	412481	"-"	"EG10060_RNA"
"EG10061"	"arcA"	["arcA", "sfrA", "cpxC", "dye", "fexA", "msp", "seg", "b4401", "ECK4393"]	4639590	4640306	"-"	"EG10061_RNA"
"EG10062"	"arcB"	["arcB", "b3210", "ECK3200"]	3350689	3353025	"-"	"EG10062_RNA"
"EG10063"	"argA"	["argA", "Arg2", "Arg1", "b2818", "ECK2814"]	2949242	2950573	"+"	"EG10063_RNA"
"EG10064"	"argB"	["argB", "b3959", "ECK3950"]	4156013	4156789	"+"	"EG10064_RNA"
"EG10065"	"argC"	["argC", "Arg2", "b3958", "ECK3949"]	4155001	4156005	"+"	"EG10065_RNA"
"EG10066"	"argD"	["argD", "Arg1", "dapC", "dtu", "b3359", "ECK3347"]	3488960	3490180	"-"	"EG10066_RNA"
"EG10067"	"argF"	["argF", "b0273", "ECK0274"]	289301	290305	"-"	"EG10067_RNA"
"EG10068"	"argG"	["argG", "b3172", "ECK3161"]	3318637	3319980	"+"	"EG10068_RNA"
"EG10069"	"argI"	["argI", "b4254", "ECK4247"]	4477307	4478311	"-"	"EG10069_RNA"
"EG10070"	"argR"	["argR", "Rarg", "xerA", "b3237", "ECK3226"]	3384703	3385173	"+"	"EG10070_RNA"
"EG10071"	"argS"	["argS", "lov", "lov-1", "b1876", "ECK1877"]	1960062	1961795	"+"	"EG10071_RNA"
"EG10072"	"argT"	["argT", "b2310", "ECK2304"]	2427009	2427791	"-"	"EG10072_RNA"
"EG10073"	"aroA"	["aroA", "b0908", "ECK0899"]	958812	960095	"+"	"EG10073_RNA"
"EG10074"	"aroB"	["aroB", "b3389", "ECK3376"]	3517398	3518486	"-"	"EG10074_RNA"
"EG10075"	"aroC"	["aroC", "b2329", "ECK2323"]	2446388	2447473	"-"	"EG10075_RNA"
"EG10076"	"aroD"	["aroD", "b1693", "ECK1691"]	1774686	1775444	"+"	"EG10076_RNA"
"EG10077"	"aroE"	["aroE", "b3281", "ECK3268"]	3430020	3430838	"-"	"EG10077_RNA"
"EG10078"	"aroF"	["aroF", "b2601", "ECK2598"]	2740080	2741150	"-"	"EG10078_RNA"
"EG10079"	"aroG"	["aroG", "b0754", "ECK0743"]	785633	786685	"+"	"EG10079_RNA"
"EG10080"	"aroH"	["aroH", "b1704", "ECK1702"]	1788435	1789481	"+"	"EG10080_RNA"
"EG10081"	"aroK"	["aroK", "b3390", "ECK3377"]	3518543	3519064	"-"	"EG10081_RNA"
"EG10082"	"aroL"	["aroL", "b0388", "ECK0383"]	406405	406929	"+"	"EG10082_RNA"
"EG10083"	"aroM"	["aroM", "b0390", "ECK0385"]	407428	408105	"+"	"EG10083_RNA"
"EG10084"	"aroP"	["aroP", "aroR", "b0112", "ECK0111"]	120178	121551	"-"	"EG10084_RNA"
"EG10085"	"ascB"	["ascB", "sac", "b2716", "ECK2711"]	2840990	2842414	"+"	"EG10085_RNA"
"EG10086"	"ascF"	["ascF", "sac", "b2715", "ECK2710"]	2839524	2840981	"+"	"EG10086_RNA"
"EG10087"	"ascG"	["ascG", "sac", "b2714", "ECK2709"]	2838254	2839264	"-"	"EG10087_RNA"
"EG10088"	"asd"	["asd", "dap", "hom", "b3433", "ECK3419"]	3573775	3574878	"-"	"EG10088_RNA"
"EG10089"	"aslA"	["aslA", "gppB", "atsA", "b3801", "ECK3794"]	3984352	3986007	"-"	"EG10089_RNA"
"EG10090"	"aslB"	["aslB", "gppB", "atsB", "b3800", "ECK3793"]	3982958	3984193	"+"	"EG10090_RNA"
"EG10091"	"asnA"	["asnA", "b3744", "ECK3738"]	3927155	3928147	"+"	"EG10091_RNA"
"EG10092"	"asnB"	["asnB", "b0674", "ECK0662"]	697513	699177	"-"	"EG10092_RNA"
"EG10093"	"asnC"	["asnC", "b3743", "ECK3737"]	3926545	3927003	"-"	"EG10093_RNA"
"EG10094"	"asnS"	["asnS", "lcs", "tss", "b0930", "ECK0921"]	987585	988985	"-"	"EG10094_RNA"
"EG10095"	"aspA"	["aspA", "b4139", "ECK4133"]	4366891	4368327	"-"	"EG10095_RNA"
"EG10096"	"aspC"	["aspC", "b0928", "ECK0919"]	984519	985709	"-"	"EG10096_RNA"
"EG10097"	"aspS"	["aspS", "tls", "b1866", "ECK1867"]	1948750	1950522	"-"	"EG10097_RNA"
"EG10098"	"atpA"	["atpA", "papA", "uncA", "b3734", "ECK3727"]	3918316	3919857	"-"	"EG10098_RNA"
"EG10099"	"atpB"	["atpB", "papD", "uncB", "b3738", "ECK3731"]	3921236	3922051	"-"	"EG10099_RNA"
"EG10100"	"atpC"	["atpC", "papG", "uncC", "b3731", "ECK3724"]	3915553	3915972	"-"	"EG10100_RNA"
"EG10101"	"atpD"	["atpD", "papB", "uncD", "b3732", "ECK3725"]	3915993	3917375	"-"	"EG10101_RNA"
"EG10102"	"atpE"	["atpE", "papH", "uncE", "b3737", "ECK3730"]	3920950	3921189	"-"	"EG10102_RNA"
"EG10103"	"atpF"	["atpF", "papF", "uncF", "b3736", "ECK3729"]	3920418	3920888	"-"	"EG10103_RNA"
"EG10104"	"atpG"	["atpG", "papC", "uncG", "b3733", "ECK3726"]	3917402	3918265	"-"	"EG10104_RNA"
"EG10105"	"atpH"	["atpH", "papE", "uncH", "b3735", "ECK3728"]	3919870	3920403	"-"	"EG10105_RNA"
"EG10106"	"atpI"	["atpI", "uncI", "b3739", "ECK3732"]	3922060	3922440	"-"	"EG10106_RNA"
"EG10107"	"avtA"	["avtA", "b3572", "ECK3561"]	3739705	3740958	"+"	"EG10107_RNA"
"EG10108"	"bcp"	["bcp", "b2480", "ECK2476"]	2600478	2600948	"+"	"EG10108_RNA"
"EG10109"	"betA"	["betA", "b0311", "ECK0309"]	325577	327247	"-"	"EG10109_RNA"
"EG10110"	"betB"	["betB", "b0312", "ECK0310"]	327261	328733	"-"	"EG10110_RNA"
"EG10111"	"betI"	["betI", "b0313", "ECK0311"]	328747	329334	"-"	"EG10111_RNA"
"EG10112"	"betT"	["betT", "b0314", "ECK0312"]	329463	331496	"+"	"EG10112_RNA"
"EG10113"	"bfr"	["bfr", "b3336", "ECK3323"]	3466249	3466725	"-"	"EG10113_RNA"
"EG10114"	"bglB"	["bglB", "blgA", "b3721", "ECK3714"]	3902289	3903701	"-"	"EG10114_RNA"
"EG10115"	"bglF"	["bglF", "bglS", "b3722", "ECK3715"]	3903720	3905597	"-"	"EG10115_RNA"
"EG10116"	"bglG"	["bglG", "bglC", "b3723", "ECK3716"]	3905731	3906567	"-"	"EG10116_RNA"
"EG10117"	"bioA"	["bioA", "b0774", "ECK0763"]	807968	809257	"-"	"EG10117_RNA"
"EG10118"	"bioB"	["bioB", "b0775", "ECK0764"]	809344	810384	"+"	"EG10118_RNA"
"EG10119"	"bioC"	["bioC", "b0777", "ECK0766"]	811522	812277	"+"	"EG10119_RNA"
"EG10120"	"bioD"	["bioD", "b0778", "ECK0767"]	812270	812947	"+"	"EG10120_RNA"
"EG10121"	"bioF"	["bioF", "b0776", "ECK0765"]	810381	811535	"+"	"EG10121_RNA"
"EG10122"	"bioH"	["bioH", "bioB", "b3412", "ECK3399"]	3544074	3544844	"-"	"EG10122_RNA"
"EG10123"	"birA"	["birA", "bioR", "dhbB", "b3973", "ECK3965"]	4173082	4174047	"+"	"EG10123_RNA"
"EG10124"	"bisC"	["bisC", "b3551", "ECK3538"]	3714061	3716394	"-"	"EG10124_RNA"
"EG10125"	"bolA"	["bolA", "b0435", "ECK0429"]	454472	454789	"+"	"EG10125_RNA"
"EG10126"	"btuB"	["btuB", "bfe", "cer", "b3966", "ECK3958"]	4163639	4165483	"+"	"EG10126_RNA"
"EG10127"	"btuC"	["btuC", "b1711", "ECK1709"]	1794172	1795152	"-"	"EG10127_RNA"
"EG10128"	"btuD"	["btuD", "b1709", "ECK1707"]	1792809	1793558	"-"	"EG10128_RNA"
"EG10129"	"btuE"	["btuE", "b1710", "ECK1708"]	1793558	1794109	"-"	"EG10129_RNA"
"EG10130"	"btuR"	["btuR", "cobA", "b1270", "ECK1264"]	1327767	1328357	"-"	"EG10130_RNA"
"EG10131"	"cadA"	["cadA", "ldcI", "b4131", "ECK4125"]	4356470	4358617	"-"	"EG10131_RNA"
"EG10132"	"cadB"	["cadB", "b4132", "ECK4126"]	4358697	4360031	"-"	"EG10132_RNA"
"EG10133"	"cadC"	["cadC", "b4133", "ECK4127"]	4360396	4361934	"-"	"EG10133_RNA"
"EG10134"	"carA"	["carA", "arg", "cap", "pyrA", "b0032", "ECK0033"]	29651	30799	"+"	"EG10134_RNA"
"EG10135"	"carB"	["carB", "cap", "pyrA", "b0033", "ECK0034"]	30817	34038	"+"	"EG10135_RNA"
"EG10136"	"cca"	["cca", "b3056", "ECK3046"]	3201891	3203129	"+"	"EG10136_RNA"
"EG10137"	"cdd"	["cdd", "b2143", "ECK2136"]	2231844	2232728	"+"	"EG10137_RNA"
"EG10138"	"cdh"	["cdh", "b3918", "ECK3910"]	4109930	4110685	"+"	"EG10138_RNA"
"EG10139"	"cdsA"	["cdsA", "cds", "b0175", "ECK0174"]	195677	196534	"+"	"EG10139_RNA"
"EG10140"	"chbB"	["chbB", "celA", "b1738", "ECK1736"]	1821299	1821619	"-"	"EG10140_RNA"
"EG10141"	"chbC"	["chbC", "celB", "hic", "b1737", "ECK1735"]	1819856	1821214	"-"	"EG10141_RNA"
"EG10142"	"chbA"	["chbA", "celC", "b1736", "ECK1734"]	1819455	1819805	"-"	"EG10142_RNA"
"EG10143"	"chbR"	["chbR", "celD", "b1735", "ECK1733"]	1818605	1819447	"-"	"EG10143_RNA"
"EG10144"	"chbF"	["chbF", "ydjD", "celF", "b1734", "ECK1732"]	1817148	1818500	"-"	"EG10144_RNA"
"EG10145"	"creD"	["creD", "refII", "cet", "b4400", "ECK4392"]	4638178	4639530	"+"	"EG10145_RNA"
"EG10146"	"cheA"	["cheA", "b1888", "ECK1889"]	1973360	1975324	"-"	"EG10146_RNA"
"EG10147"	"cheB"	["cheB", "b1883", "ECK1884"]	1967452	1968501	"-"	"EG10147_RNA"
"EG10148"	"cheR"	["cheR", "cheX", "b1884", "ECK1885"]	1968504	1969364	"-"	"EG10148_RNA"
"EG10149"	"cheW"	["cheW", "b1887", "ECK1888"]	1972836	1973339	"-"	"EG10149_RNA"
"EG10150"	"cheY"	["cheY", "b1882", "ECK1883"]	1967048	1967437	"-"	"EG10150_RNA"
"EG10151"	"cheZ"	["cheZ", "b1881", "ECK1882"]	1966393	1967037	"-"	"EG10151_RNA"
"EG10152"	"modC"	["modC", "chlD", "narD", "b0765", "ECK0754"]	796554	797612	"+"	"EG10152_RNA"
"EG10153"	"moeA"	["moeA", "bisB", "chlE", "narE", "b0827", "ECK0817"]	865129	866364	"-"	"EG10153_RNA"
"EG10154"	"moeB"	["moeB", "chlN", "b0826", "ECK0816"]	864380	865129	"-"	"EG10154_RNA"
"EG10155"	"cirA"	["cirA", "cir", "feuA", "b2155", "ECK2148"]	2244778	2246769	"-"	"EG10155_RNA"
"EG10156"	"clpA"	["clpA", "lopD", "b0882", "ECK0873"]	923264	925540	"+"	"EG10156_RNA"
"EG10157"	"clpB"	["clpB", "htpM", "b2592", "ECK2590"]	2731600	2734173	"-"	"EG10157_RNA"
"EG10158"	"clpP"	["clpP", "lopP", "b0437", "ECK0431"]	456677	457300	"+"	"EG10158_RNA"
"EG10159"	"clpX"	["clpX", "lopC", "b0438", "ECK0432"]	457426	458700	"+"	"EG10159_RNA"
"EG10160"	"cpdB"	["cpdB", "b4213", "ECK4209"]	4434622	4436565	"-"	"EG10160_RNA"
"EG10161"	"cpsB"	["cpsB", "rfbM", "manC", "mni", "b2049", "ECK2043"]	2123084	2124520	"-"	"EG10161_RNA"
"EG10162"	"cpsG"	["cpsG", "rfbK", "manB", "b2048", "ECK2042"]	2121609	2122979	"-"	"EG10162_RNA"
"EG10163"	"cpxA"	["cpxA", "rssE", "ecfB", "eup", "ssd", "ecf", "b3911", "ECK3904"]	4103602	4104975	"-"	"EG10163_RNA"
"EG10164"	"crp"	["crp", "cap", "csm", "gurB", "b3357", "ECK3345"]	3486120	3486752	"+"	"EG10164_RNA"
"EG10165"	"crr"	["crr", "treD", "gsr", "iex", "tgs", "b2417", "ECK2412"]	2535834	2536343	"+"	"EG10165_RNA"
"EG10166"	"cspA"	["cspA", "b3556", "ECK3543"]	3720049	3720261	"+"	"EG10166_RNA"
"EG10167"	"cstA"	["cstA", "ybdC", "b0598", "ECK0591"]	629894	631999	"+"	"EG10167_RNA"
"EG10168"	"lnt"	["lnt", "cutE", "b0657", "ECK0649"]	689343	690881	"-"	"EG10168_RNA"
"EG10169"	"cvpA"	["cvpA", "dedE", "b2313", "ECK2307"]	2430275	2430763	"-"	"EG10169_RNA"
"EG10170"	"cyaA"	["cyaA", "cya", "b3806", "ECK3800"]	3991153	3993699	"+"	"EG10170_RNA"
"EG10172"	"cybB"	["cybB", "b1418", "ECK1410"]	1490902	1491432	"+"	"EG10172_RNA"
"EG10173"	"cydA"	["cydA", "cyd-1", "b0733", "ECK0721"]	771458	773026	"+"	"EG10173_RNA"
"EG10174"	"cydB"	["cydB", "cyd-2", "b0734", "ECK0722"]	773042	774181	"+"	"EG10174_RNA"
"EG10175"	"cynS"	["cynS", "cnt", "cyaN", "b0340", "ECK0337"]	359489	359959	"+"	"EG10175_RNA"
"EG10176"	"cynT"	["cynT", "b0339", "ECK0336"]	358799	359458	"+"	"EG10176_RNA"
"EG10177"	"cynX"	["cynX", "b0341", "ECK0338"]	359992	361146	"+"	"EG10177_RNA"
"EG10178"	"cyoA"	["cyoA", "b0432", "ECK0426"]	450663	451610	"-"	"EG10178_RNA"
"EG10179"	"cyoB"	["cyoB", "b0431", "ECK0425"]	448650	450641	"-"	"EG10179_RNA"
"EG10180"	"cyoC"	["cyoC", "b0430", "ECK0424"]	448046	448660	"-"	"EG10180_RNA"
"EG10181"	"cyoD"	["cyoD", "b0429", "ECK0423"]	447717	448046	"-"	"EG10181_RNA"
"EG10182"	"cyoE"	["cyoE", "b0428", "ECK0422"]	446815	447705	"-"	"EG10182_RNA"
"EG10183"	"cysA"	["cysA", "b2422", "ECK2417"]	2539717	2540814	"-"	"EG10183_RNA"
"EG10184"	"cysB"	["cysB", "b1275", "ECK1269"]	1333855	1334829	"+"	"EG10184_RNA"
"EG10185"	"cysC"	["cysC", "b2750", "ECK2745"]	2873387	2873992	"-"	"EG10185_RNA"
"EG10186"	"cysD"	["cysD", "b2752", "ECK2747"]	2875421	2876329	"-"	"EG10186_RNA"
"EG10187"	"cysE"	["cysE", "b3607", "ECK3597"]	3781741	3782562	"-"	"EG10187_RNA"
"EG10188"	"cysG"	["cysG", "b3368", "ECK3356"]	3497828	3499201	"+"	"EG10188_RNA"
"EG10189"	"cysH"	["cysH", "b2762", "ECK2757"]	2887578	2888312	"-"	"EG10189_RNA"
"EG10190"	"cysI"	["cysI", "b2763", "ECK2758"]	2888387	2890099	"-"	"EG10190_RNA"
"EG10191"	"cysJ"	["cysJ", "b2764", "ECK2759"]	2890099	2891898	"-"	"EG10191_RNA"
"EG10192"	"cysK"	["cysK", "ssi5", "b2414", "ECK2409"]	2532409	2533380	"+"	"EG10192_RNA"
"EG10193"	"cysM"	["cysM", "b2421", "ECK2416"]	2538672	2539583	"-"	"EG10193_RNA"
"EG10194"	"cysN"	["cysN", "b2751", "ECK2746"]	2873992	2875419	"-"	"EG10194_RNA"
"EG10195"	"cysP"	["cysP", "b2425", "ECK2420"]	2542512	2543528	"-"	"EG10195_RNA"
"EG10196"	"cysS"	["cysS", "syc", "b0526", "ECK0519"]	554611	555996	"+"	"EG10196_RNA"
"EG10197"	"cysU"	["cysU", "cysT", "b2424", "ECK2419"]	2541679	2542512	"-"	"EG10197_RNA"
"EG10198"	"cysW"	["cysW", "b2423", "ECK2418"]	2540804	2541679	"-"	"EG10198_RNA"
"EG10200"	"cytR"	["cytR", "b3934", "ECK3926"]	4123431	4124456	"-"	"EG10200_RNA"
"EG10201"	"dacA"	["dacA", "pfv", "b0632", "ECK0625"]	662752	663963	"-"	"EG10201_RNA"
"EG10202"	"dacB"	["dacB", "b3182", "ECK3171"]	3328963	3330396	"+"	"EG10202_RNA"
"EG10203"	"dacC"	["dacC", "b0839", "ECK0829"]	880727	881929	"+"	"EG10203_RNA"
"EG10204"	"dam"	["dam", "b3387", "ECK3374"]	3515077	3515913	"-"	"EG10204_RNA"
"EG10205"	"dapA"	["dapA", "b2478", "ECK2474"]	2598882	2599760	"-"	"EG10205_RNA"
"EG10206"	"dapB"	["dapB", "b0031", "ECK0032"]	28374	29195	"+"	"EG10206_RNA"
"EG10207"	"dapD"	["dapD", "ssa", "b0166", "ECK0164"]	185123	185947	"-"	"EG10207_RNA"
"EG10208"	"dapE"	["dapE", "msgB", "b2472", "ECK2467"]	2591607	2592734	"+"	"EG10208_RNA"
"EG10209"	"dapF"	["dapF", "b3809", "ECK3804"]	3994762	3995586	"+"	"EG10209_RNA"
"EG10210"	"dbpA"	["dbpA", "rhlC", "b1343", "ECK1340"]	1409511	1410884	"+"	"EG10210_RNA"
"EG10211"	"dcm"	["dcm", "mec", "b1961", "ECK1959"]	2030899	2032317	"-"	"EG10211_RNA"
"EG10212"	"dcp"	["dcp", "b1538", "ECK1531"]	1625335	1627380	"-"	"EG10212_RNA"
"EG10213"	"ddlA"	["ddlA", "b0381", "ECK0376"]	399829	400923	"-"	"EG10213_RNA"
"EG10214"	"ddlB"	["ddlB", "ddl", "b0092", "ECK0093"]	102233	103153	"+"	"EG10214_RNA"
"EG10215"	"deaD"	["deaD", "csdA", "mssB", "rhlD", "b3162", "ECK3150"]	3305971	3307860	"-"	"EG10215_RNA"
"EG10216"	"dedA"	["dedA", "b2317", "ECK2311"]	2434082	2434741	"-"	"EG10216_RNA"
"EG10217"	"accD"	["accD", "dedB", "usg", "b2316", "ECK2310"]	2433012	2433926	"-"	"EG10217_RNA"
"EG10218"	"dedD"	["dedD", "b2314", "ECK2308"]	2431022	2431684	"-"	"EG10218_RNA"
"EG10219"	"deoA"	["deoA", "TP", "tpp", "ttg", "b4382", "ECK4374"]	4618229	4619551	"+"	"EG10219_RNA"
"EG10220"	"deoB"	["deoB", "tlr", "drm", "thyR", "b4383", "ECK4375"]	4619603	4620826	"+"	"EG10220_RNA"
"EG10221"	"deoC"	["deoC", "tlr", "dra", "thyR", "b4381", "ECK4373"]	4617323	4618102	"+"	"EG10221_RNA"
"EG10222"	"deoD"	["deoD", "pup", "b4384", "ECK4376"]	4620883	4621602	"+"	"EG10222_RNA"
"EG10223"	"deoR"	["deoR", "nucR", "b0840", "ECK0830"]	881976	882734	"-"	"EG10223_RNA"
"EG10224"	"dgkA"	["dgkA", "b4042", "ECK4034"]	4256637	4257005	"+"	"EG10224_RNA"
"EG10225"	"dgt"	["dgt", "optA", "b0160", "ECK0159"]	179237	180754	"+"	"EG10225_RNA"
"EG10226"	"dicA"	["dicA", "ftsT", "b1570", "ECK1564"]	1647934	1648341	"+"	"EG10226_RNA"
"EG10227"	"dicB"	["dicB", "ftsT", "b1575", "ECK1569"]	1649609	1649797	"+"	"EG10227_RNA"
"EG10228"	"dicC"	["dicC", "ftsT", "b1569", "ECK1563"]	1647620	1647850	"-"	"EG10228_RNA"
"EG10229"	"flk"	["flk", "div", "b2321", "ECK2315"]	2437950	2438945	"+"	"EG10229_RNA"
"EG10230"	"dksA"	["dksA", "msmA", "b0145", "ECK0144"]	160149	160604	"-"	"EG10230_RNA"
"EG10231"	"dld"	["dld", "ldh", "b2133", "ECK2126"]	2222185	2223900	"+"	"EG10231_RNA"
"EG10232"	"dmsA"	["dmsA", "b0894", "ECK0885"]	940959	943403	"+"	"EG10232_RNA"
"EG10233"	"dmsB"	["dmsB", "b0895", "ECK0886"]	943414	944031	"+"	"EG10233_RNA"
"EG10234"	"dmsC"	["dmsC", "b0896", "ECK0887"]	944033	944896	"+"	"EG10234_RNA"
"EG10235"	"dnaA"	["dnaA", "b3702", "ECK3694"]	3882326	3883729	"-"	"EG10235_RNA"
"EG10236"	"dnaB"	["dnaB", "groP", "grpA", "grpD", "b4052", "ECK4044"]	4264314	4265729	"+"	"EG10236_RNA"
"EG10237"	"dnaC"	["dnaC", "dnaD", "b4361", "ECK4351"]	4600238	4600975	"-"	"EG10237_RNA"
"EG10238"	"dnaE"	["dnaE", "sdgC", "polC", "b0184", "ECK0183"]	205126	208608	"+"	"EG10238_RNA"
"EG10239"	"dnaG"	["dnaG", "dnaP", "parB", "sdgA", "b3066", "ECK3056"]	3211107	3212852	"+"	"EG10239_RNA"
"EG10240"	"dnaJ"	["dnaJ", "groP", "grpC", "b0015", "ECK0015"]	14168	15298	"+"	"EG10240_RNA"
"EG10241"	"dnaK"	["dnaK", "groPF", "groPC", "seg", "grpF", "grpC", "groPAB", "b0014", "ECK0014"]	12163	14079	"+"	"EG10241_RNA"
"EG10242"	"dnaN"	["dnaN", "b3701", "ECK3693"]	3881221	3882321	"-"	"EG10242_RNA"
"EG10243"	"dnaQ"	["dnaQ", "mutD", "b0215", "ECK0215"]	236067	236798	"+"	"EG10243_RNA"
"EG10244"	"dnaT"	["dnaT", "b4362", "ECK4352"]	4600978	4601517	"-"	"EG10244_RNA"
