# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:53:47
"id"	"stoichiometry"	"common_name"
"CPLX0-7761_RXN"	{"CPLX0-7761": 1, "CPD-7": -2, "ACONITATEDEHYDRB-MONOMER": -2}	"bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase"
"CPLX0-8026_RXN"	{"CPLX0-8026": 1, "5-METHYLTHIOADENOSINE": null, "PD04032": null}	"MetJ-MTA"
"CPLX0-8027_RXN"	{"CPLX0-8027": 1, "ADENINE": null, "PD04032": null}	"MetJ-adenine"
"CPLX0-8048_RXN"	{"CPLX0-8048": 1, "EG12694-MONOMER": null, "TARTRATE": null}	"Dan-L-tartrate DNA-binding transcriptional activator"
"CPLX0-8051_RXN"	{"CPLX0-8051": 1, "CPLX0-7740": null, "CYTIDINE": null}	"CytR-cytidine"
"CPLX0-8055_RXN"	{"CPLX0-8055": 1, "EG12116-MONOMER": null, "CPD0-1938": null}	"AcrR-ethidium"
"CPLX0-8056_TREHALOSE-6P_RXN"	{"CPLX0-8056": 1, "TREHALOSE-6P": null, "EG12202-MONOMER": null}	"TreR-trehalose 6-phosphate"
"CPLX0-8057_RXN"	{"CPLX0-8057": 1, "PD03576": null, "GLYCEROL": null}	"GlpR-glycerol"
"CPLX0-8058_RXN"	{"CPLX0-8058": 1, "PD01352": null, "THYMINE": null}	"RutR-thymine"
"CPLX0-8060_RXN"	{"CPLX0-8060": 1, "PD00339": null, "GLY": null}	"GcvA-gly"
"CPLX0-8061_RXN"	{"CPLX0-8061": 1, "EG11320-MONOMER": null, "ZN+2": null}	"NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor"
"CPLX0-8062_RXN"	{"CPLX0-8062": 1, "CPLX0-7666": null, "CARNITINE": null}	"CaiF-L-carnitine DNA-binding Transcriptional Activator"
"CPLX0-8069_RXN"	{"CPLX0-8069": 1, "G7594-MONOMER": null, "NI+2": null}	"NfeR-nickel"
"CPLX0-8070_RXN"	{"CPLX0-8070": 1, "EG10230-MONOMER": null, "GUANOSINE-5DP-3DP": null}	"DksA-ppGpp"
"CPLX0-8071_R--ALLANTOIN_RXN"	{"CPLX0-8071": 1, "R--ALLANTOIN": null, "G6276-MONOMER": null}	"AllR-allantoin"
"CPLX0-8071_S-ALLANTOIN_RXN"	{"CPLX0-8071": 1, "S-ALLANTOIN": null, "G6276-MONOMER": null}	"AllR-allantoin"
"CPLX0-8074_RXN"	{"CPLX0-8074": 1, "G6569-MONOMER": null, "CU+": null}	"ComR-Cu(I)"
"CPLX0-8083_RXN"	{"CPLX0-8083": 1, "CPD-6": null, "G7326-MONOMER": null}	"IscR-2Fe-2S DNA-binding transcriptional repressor"
"CPLX0-8085_RXN"	{"CPLX0-8085": 1, "EG12431-MONOMER": null, "PUTRESCINE": null}	"PuuR-putrescine"
"CPLX0-8088_RXN"	{"CPLX0-8088": 1, "G6799-MONOMER": null, "CPD-10774": null}	"LsrR-AI-2"
"CPLX0-8162_RXN"	{"CPLX0-8162": 1, "EG12860-MONOMER": null, "2-KETO-3-DEOXY-6-P-GLUCONATE": null}	"YebK-2-dehydro-3-deoxy-D-gluconate 6-phosphate"
"CPLX0-8209_RXN"	{"CPLX0-8209": 1, "CPD-14488": null, "EG20249-MONOMER": null, "CPD-12523": null}	"UxuR-&alpha;-D-galacturonate,&alpha;-D-glucuronate"
"CPLX0-8210_RXN"	{"CPLX0-8210": 1, "PD03270": null, "CPD-12523": null}	"ExuR-&alpha;-D-galacturonate, &alpha;-D-glucuronate-DNA-binding transcriptional repressor"
"CPLX0-8235_RXN"	{"CPLX0-8235": 1, "CPLX0-8234": null, "FORMALDEHYDE": null}	"FrmR-formol"
"CPLX0-8246_RXN"	{"CPLX0-8246": 1, "PD03270": null, "CPD-14488": null}	"ExuR-&alpha;-D-glucuronate"
"CPLX0-8257_RXN"	{"CPLX0-8257": 1, "G6144-MONOMER": null, "D-XYLONATE": null}	"XynR-D-xylonate"
"CPLX0-8258_RXN"	{"CPLX0-8258": 1, "CPLX0-8595": null, "CPD0-2705": null}	"ChbR-<i>N</i>-monoacetylchitobiose 6'-phosphate"
"CPLX0-8286_CPD-21685_RXN"	{"CPLX0-8286": 1, "CPD-21685": null, "EG11849-MONOMER": null}	"CsqR-6-sulfo-D-quinovose"
"CPLX0-8287_RXN"	{"CPLX0-8287": 1, "CPLX0-8578": null, "D-GALACTONATE": null}	"DgoR-D-galactonate"
"CPLX0-8293_RXN"	{"CPLX0-8293": 1, "EG12386-MONOMER": null, "GLUTARATE": null}	"GlaR-glutarate"
"CPLX0-8309_RXN"	{"CPLX0-8309": 1, "G7244-MONOMER": null, "PYRUVATE": null}	"PyrR-BTS"
"CPLX0-8577_RXN"	{"CPLX0-8577": 1, "CPLX0-8576": null, "FRUCTOSELYSINE-6-PHOSPHATE": null}	"FrlR-N<sup>6</sup>-(6-phospho-D-fructosyl)-L-lysine"
"CPLX0-8579_RXN"	{"CPLX0-8579": 1, "CPLX0-7418": null, "CPD-110": null}	"MprA-salicylate"
"MONOMER-2720_RXN"	{"MONOMER-2720": 1, "G7071-MONOMER": null, "APS": null}	"Cbl-APS"
"MONOMER-47_CPD0-1112_RXN"	{"MONOMER-47": 1, "CPD0-1112": null, "PD00222": null}	"RhaR-L-rhamnose DNA-binding transcriptional activator"
"MONOMER-47_RHAMNOSE_RXN"	{"MONOMER-47": 1, "RHAMNOSE": null, "PD00222": null}	"RhaR-L-rhamnose DNA-binding transcriptional activator"
"MONOMER-48_RXN"	{"MONOMER-48": 1, "BIOTINLIG-MONOMER": null, "BIO-5-AMP": null}	"BirA-bio-5'-AMP DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase"
"MONOMER-51_3-KETO-ADIPYL-COA_RXN"	{"MONOMER-51": 1, "3-KETO-ADIPYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_3-OXOPALMITOYL-COA_RXN"	{"MONOMER-51": 1, "3-OXOPALMITOYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_ACETOACETYL-COA_RXN"	{"MONOMER-51": 1, "ACETOACETYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_BUTYRYL-COA_RXN"	{"MONOMER-51": 1, "BUTYRYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-10260_RXN"	{"MONOMER-51": 1, "CPD-10260": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-10267_RXN"	{"MONOMER-51": 1, "CPD-10267": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-10269_RXN"	{"MONOMER-51": 1, "CPD-10269": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-10284_RXN"	{"MONOMER-51": 1, "CPD-10284": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-14916_RXN"	{"MONOMER-51": 1, "CPD-14916": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-14925_RXN"	{"MONOMER-51": 1, "CPD-14925": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-15244_RXN"	{"MONOMER-51": 1, "CPD-15244": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-15436_RXN"	{"MONOMER-51": 1, "CPD-15436": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-18346_RXN"	{"MONOMER-51": 1, "CPD-18346": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19144_RXN"	{"MONOMER-51": 1, "CPD-19144": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19147_RXN"	{"MONOMER-51": 1, "CPD-19147": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19148_RXN"	{"MONOMER-51": 1, "CPD-19148": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19151_RXN"	{"MONOMER-51": 1, "CPD-19151": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19153_RXN"	{"MONOMER-51": 1, "CPD-19153": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19154_RXN"	{"MONOMER-51": 1, "CPD-19154": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19155_RXN"	{"MONOMER-51": 1, "CPD-19155": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19157_RXN"	{"MONOMER-51": 1, "CPD-19157": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19158_RXN"	{"MONOMER-51": 1, "CPD-19158": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19159_RXN"	{"MONOMER-51": 1, "CPD-19159": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19160_RXN"	{"MONOMER-51": 1, "CPD-19160": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19167_RXN"	{"MONOMER-51": 1, "CPD-19167": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19168_RXN"	{"MONOMER-51": 1, "CPD-19168": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19169_RXN"	{"MONOMER-51": 1, "CPD-19169": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-19171_RXN"	{"MONOMER-51": 1, "CPD-19171": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-196_RXN"	{"MONOMER-51": 1, "CPD-196": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-22313_RXN"	{"MONOMER-51": 1, "CPD-22313": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-650_RXN"	{"MONOMER-51": 1, "CPD-650": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-7221_RXN"	{"MONOMER-51": 1, "CPD-7221": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD-9965_RXN"	{"MONOMER-51": 1, "CPD-9965": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD0-1163_RXN"	{"MONOMER-51": 1, "CPD0-1163": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD0-2105_RXN"	{"MONOMER-51": 1, "CPD0-2105": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD0-2106_RXN"	{"MONOMER-51": 1, "CPD0-2106": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD0-2107_RXN"	{"MONOMER-51": 1, "CPD0-2107": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD0-2123_RXN"	{"MONOMER-51": 1, "CPD0-2123": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD0-2171_RXN"	{"MONOMER-51": 1, "CPD0-2171": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD0-2232_RXN"	{"MONOMER-51": 1, "CPD0-2232": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD0-2244_RXN"	{"MONOMER-51": 1, "CPD0-2244": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_CPD0-2253_RXN"	{"MONOMER-51": 1, "CPD0-2253": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_HEXANOYL-COA_RXN"	{"MONOMER-51": 1, "HEXANOYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_K-HEXANOYL-COA_RXN"	{"MONOMER-51": 1, "K-HEXANOYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_LAUROYLCOA-CPD_RXN"	{"MONOMER-51": 1, "LAUROYLCOA-CPD": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_OH-HEXANOYL-COA_RXN"	{"MONOMER-51": 1, "OH-HEXANOYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_OLEOYL-COA_RXN"	{"MONOMER-51": 1, "OLEOYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_PALMITYL-COA_RXN"	{"MONOMER-51": 1, "PALMITYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_PROPIONYL-COA_RXN"	{"MONOMER-51": 1, "PROPIONYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_S-3-HYDROXYBUTANOYL-COA_RXN"	{"MONOMER-51": 1, "S-3-HYDROXYBUTANOYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_STEAROYL-COA_RXN"	{"MONOMER-51": 1, "STEAROYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-51_TETRADECANOYL-COA_RXN"	{"MONOMER-51": 1, "TETRADECANOYL-COA": null, "PD01520": null}	"FadR-acyl-CoA"
"MONOMER-52_ALPHA-D-GALACTOSE_RXN"	{"MONOMER-52": 1, "ALPHA-D-GALACTOSE": null, "PD03028": null}	"GalR-galactose"
"MONOMER-52_CPD-15590_RXN"	{"MONOMER-52": 1, "CPD-15590": null, "PD03028": null}	"GalR-galactose"
"MONOMER-52_CPD0-2485_RXN"	{"MONOMER-52": 1, "CPD0-2485": null, "PD03028": null}	"GalR-galactose"
"MONOMER-52_CPD0-2486_RXN"	{"MONOMER-52": 1, "CPD0-2486": null, "PD03028": null}	"GalR-galactose"
"MONOMER-52_GALACTOSE_RXN"	{"MONOMER-52": 1, "GALACTOSE": null, "PD03028": null}	"GalR-galactose"
"MONOMER-53_ALPHA-D-GALACTOSE_RXN"	{"MONOMER-53": 1, "ALPHA-D-GALACTOSE": null, "PD00261": null}	"GalS-galactose"
"MONOMER-53_CPD-15590_RXN"	{"MONOMER-53": 1, "CPD-15590": null, "PD00261": null}	"GalS-galactose"
"MONOMER-53_CPD0-2485_RXN"	{"MONOMER-53": 1, "CPD0-2485": null, "PD00261": null}	"GalS-galactose"
"MONOMER-53_CPD0-2486_RXN"	{"MONOMER-53": 1, "CPD0-2486": null, "PD00261": null}	"GalS-galactose"
"MONOMER-53_GALACTOSE_RXN"	{"MONOMER-53": 1, "GALACTOSE": null, "PD00261": null}	"GalS-galactose"
"MONOMER-54_RXN"	{"MONOMER-54": 1, "PD03576": null, "GLYCEROL-3P": null}	"GlpR-glycerol-3-phosphate"
"MONOMER-55_RXN"	{"MONOMER-55": 1, "PD03585": null, "GLUCONATE": null}	"GntR-gluconate"
"MONOMER-56_RXN"	{"MONOMER-56": 1, "PD00283": null, "SORBITOL": null}	"GutR-sorbitol"
"MONOMER-58_RXN"	{"MONOMER-58": 1, "PD00364": null, "CPD-110": null}	"MarR-salicylate"
"MONOMER-59_RXN"	{"MONOMER-59": 1, "EG11088-MONOMER": null, "PYRUVATE": null}	"PdhR-pyruvate"
"MONOMER-60_CPD-10330_RXN"	{"MONOMER-60": 1, "CPD-10330": null, "PD03867": null}	"RbsR-D-ribose"
"MONOMER-60_CPD-15818_RXN"	{"MONOMER-60": 1, "CPD-15818": null, "PD03867": null}	"RbsR-D-ribose"
"MONOMER-60_CPD-15829_RXN"	{"MONOMER-60": 1, "CPD-15829": null, "PD03867": null}	"RbsR-D-ribose"
"MONOMER-60_CPD0-1108_RXN"	{"MONOMER-60": 1, "CPD0-1108": null, "PD03867": null}	"RbsR-D-ribose"
"MONOMER-60_CPD0-1110_RXN"	{"MONOMER-60": 1, "CPD0-1110": null, "PD03867": null}	"RbsR-D-ribose"
"MONOMER0-1301_RXN"	{"MONOMER0-1301": 1, "G7891-MONOMER": null, "5-DEHYDROGLUCONATE": null}	"IdnR-5-ketogluconate DNA-binding transcriptional dual regulator"
"MONOMER0-1441_RXN"	{"MONOMER0-1441": 1, "G6201-MONOMER": null, "3-HYDROXYPHENYL-PROPIONATE": null}	"MhpR-3HPP DNA-binding transcriptional activator"
"MONOMER0-155_RXN"	{"MONOMER0-155": 1, "PD00353": null, "LEU": null}	"Lrp-Leucine DNA-binding transcriptional dual regulator"
"MONOMER0-157_RXN"	{"MONOMER0-157": 1, "S-ADENOSYLMETHIONINE": null, "PD04032": null}	"MetJ-S-adenosylmethionine"
"MONOMER0-158_RXN"	{"MONOMER0-158": 1, "PD00237": null, "MALTOTRIOSE": null, "ATP": null}	"MalT-Maltotriose-ATP DNA-binding transcriptional activator"
"MONOMER0-159_RXN"	{"MONOMER0-159": 1, "PD00763": null, "ALLOLACTOSE": null}	"LacI-allolactose"
"MONOMER0-160_RXN"	{"MONOMER0-160": 1, "PD03831": null, "ATP": null}	"DnaA-ATP DNA-binding transcriptional dual regulator"
"MONOMER0-161_RXN"	{"MONOMER0-161": 1, "PD00208": null, "MELIBIOSE": null}	"MelR-Melibiose transcriptional activator"
"MONOMER0-162_RXN"	{"MONOMER0-162": 1, "PD00413": null, "TYR": null}	"TyrR-Tyrosine DNA-binding transcriptional repressor"
"MONOMER0-163_RXN"	{"MONOMER0-163": 1, "PD00413": null, "PHE": null}	"TyrR-Phenylalanine DNA-binding transcriptional repressor"
"MONOMER0-164_RXN"	{"MONOMER0-164": 1, "PD00291": null, "CPD-69": null}	"CynR-Cyanate DNA-binding transcriptional dual regulator"
"MONOMER0-165_RXN"	{"MONOMER0-165": 1, "EG20253-MONOMER": null, "XYLOSE": null}	"XylR-Xylose DNA-binding transcriptional dual regulator"
"MONOMER0-1781_RXN"	{"MONOMER0-1781": 1, "EG11519-MONOMER": null, "NI+2": null}	"NikR-Ni transcriptional repressor"
"MONOMER0-183_RXN"	{"MONOMER0-183": 1, "PD02936": null, "FORMATE": null}	"FhlA-Formate DNA-binding transcriptional activator"
"MONOMER0-2081_RXN"	{"MONOMER0-2081": 1, "G7331-MONOMER": null, "3-PHENYLPROPIONATE": null}	"HcaR-HCA DNA-binding transcriptional dual regulator"
"MONOMER0-2101_CPD-12537_RXN"	{"MONOMER0-2101": 1, "CPD-12537": null, "EG20249-MONOMER": null}	"UxuR-fructuronate"
"MONOMER0-2162_RXN"	{"MONOMER0-2162": 1, "G7854-MONOMER": null, "L-ASCORBATE-6-PHOSPHATE": null}	"UlaR-L-ascorbate-6P"
"MONOMER0-2201_RXN"	{"MONOMER0-2201": 1, "G6276-MONOMER": null, "GLYOX": null}	"AllR-glyox"
"MONOMER0-2221_R--ALLANTOIN_RXN"	{"MONOMER0-2221": 1, "R--ALLANTOIN": null, "G6274-MONOMER": null}	"AllS-allantoin DNA-binding transcriptional activator"
"MONOMER0-2221_S-ALLANTOIN_RXN"	{"MONOMER0-2221": 1, "S-ALLANTOIN": null, "G6274-MONOMER": null}	"AllS-allantoin DNA-binding transcriptional activator"
"MONOMER0-2261_CPD-16168_RXN"	{"MONOMER0-2261": 1, "CPD-16168": null, "PD00266": null}	"NagC-NAcGlc-6-P"
"MONOMER0-2341_CPD0-1122_RXN"	{"MONOMER0-2341": 1, "CPD0-1122": null, "CPLX0-8593": null}	"NanR-NANA"
"MONOMER0-2341_CPD0-1123_RXN"	{"MONOMER0-2341": 1, "CPD0-1123": null, "CPLX0-8593": null}	"NanR-NANA"
"MONOMER0-2341_CPD0-2701_RXN"	{"MONOMER0-2341": 1, "CPD0-2701": null, "CPLX0-8593": null}	"NanR-NANA"
"MONOMER0-2421_RXN"	{"MONOMER0-2421": 1, "G6195-MONOMER": null, "CPD-622": null}	"PrpR-2-methylcitrate DNA-binding transcriptional dual regulator"
"MONOMER0-2482_CPD-15629_RXN"	{"MONOMER0-2482": 1, "CPD-15629": null, "G7821-MONOMER": null}	"AlsR-allose"
"MONOMER0-46_RXN"	{"MONOMER0-46": 1, "PD00474": null, "NA+": null}	"NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator"
"MONOMER0-49_RXN"	{"MONOMER0-49": 1, "PD00251": null, "CHOLINE": null}	"BetI-choline"
"MONOMER0-562_RXN"	{"MONOMER0-562": 1, "G7546-MONOMER": null, "GLYCOLLATE": null}	"GlcC-Glycolate DNA-binding transcriptional dual regulator"
"MONOMER0-941_RXN"	{"MONOMER0-941": 1, "EG11149-MONOMER": null, "GLY": null}	"GcvR-gly"
