"id"	"stoichiometry"	"common_name"	
"ABC-13-CPLX_RXN"	{"ABC-13-CPLX":1,"G6359-MONOMER":-1,"GLTK-MONOMER":-1,"GLTJ-MONOMER":-1,"GLTL-MONOMER":-2}	"glutamate / aspartate ABC transporter"	
"ABC-14-CPLX_RXN"	{"ABC-14-CPLX":1,"HISP-MONOMER":-2,"HISM-MONOMER":-1,"HISQ-MONOMER":-1,"HISJ-MONOMER":-1}	"histidine ABC transporter"	
"ABC-15-CPLX_RXN"	{"ABC-15-CPLX":1,"LIVF-MONOMER":-1,"LIVG-MONOMER":-1,"LIVH-MONOMER":-1,"LIVM-MONOMER":-1,"LIVJ-MONOMER":-1}	"branched chain amino acid / phenylalanine ABC transporter"	
"ABC-16-CPLX_RXN"	{"ABC-16-CPLX":1,"MALK-MONOMER":-2,"MALF-MONOMER":-1,"MALG-MONOMER":-1,"MALE-MONOMER":-1}	"maltose ABC transporter"	
"ABC-18-CPLX_RXN"	{"ABC-18-CPLX":1,"MGLA-MONOMER":-1,"MGLC-MONOMER":-2,"MGLB-MONOMER":-1}	"D-galactose / methyl-&beta;-D-galactoside ABC transporter"	
"ABC-19-CPLX_RXN"	{"ABC-19-CPLX":1,"MODC-MONOMER":-1,"MODB-MONOMER":-2,"MODA-MONOMER":-1}	"molybdate ABC transporter"	
"ABC-2-CPLX_RXN"	{"ABC-2-CPLX":1,"ARAG-MONOMER":-2,"ARAH-MONOMER":-2,"ARAF-MONOMER":-1}	"arabinose ABC transporter"	
"ABC-20-CPLX_RXN"	{"ABC-20-CPLX":1,"NIKD-MONOMER":-1,"NIKE-MONOMER":-1,"NIKB-MONOMER":-1,"NIKC-MONOMER":-1,"NIKA-MONOMER":-1}	"Ni(2+) ABC transporter"	
"ABC-21-CPLX_RXN"	{"ABC-21-CPLX":1,"YADG-MONOMER":-1,"YADH-MONOMER":-1}	"putative transport complex, ABC superfamily"	
"ABC-22-CPLX_RXN"	{"ABC-22-CPLX":1,"OPPC-MONOMER":-1,"OPPD-MONOMER":-1,"OPPF-MONOMER":-1,"OPPB-MONOMER":-1,"OPPA-MONOMER":-1}	"oligopeptide ABC transporter"	
"ABC-23-CPLX_RXN"	{"ABC-23-CPLX":1,"PHNC-MONOMER":-2,"PHNE-MONOMER":-2,"PHND-MONOMER":-1}	"cryptic phosphonate/phosphate ABC transporter"	
"ABC-24-CPLX_RXN"	{"ABC-24-CPLX":1,"POTA-MONOMER":-2,"POTB-MONOMER":-1,"POTC-MONOMER":-1,"POTD-MONOMER":-1}	"spermidine preferential ABC transporter"	
"ABC-25-CPLX_RXN"	{"ABC-25-CPLX":1,"POTG-MONOMER":-2,"POTH-MONOMER":-1,"POTI-MONOMER":-1,"POTF-MONOMER":-1}	"putrescine ABC transporter"	
"ABC-26-CPLX_RXN"	{"ABC-26-CPLX":1,"PROV-MONOMER":-2,"PROW-MONOMER":-2,"PROX-MONOMER":-1}	"glycine betaine ABC transporter"	
"ABC-27-CPLX_RXN"	{"ABC-27-CPLX":1,"PSTB-MONOMER":-2,"PSTA-MONOMER":-1,"PSTC-MONOMER":-1,"PSTS-MONOMER":-1}	"phosphate ABC transporter"	
"ABC-28-CPLX_RXN"	{"ABC-28-CPLX":1,"RBSA-MONOMER":-1,"RBSC-MONOMER":-2,"RBSB-MONOMER":-1}	"ribose ABC transporter"	
"ABC-29-CPLX_RXN"	{"ABC-29-CPLX":1,"SAPF-MONOMER":-1,"SAPC-MONOMER":-1,"SAPB-MONOMER":-1,"SAPD-MONOMER":-1}	"putrescine ABC exporter"	
"ABC-3-CPLX_RXN"	{"ABC-3-CPLX":1,"HISQ-MONOMER":-1,"HISP-MONOMER":-2,"HISM-MONOMER":-1,"ARGT-MONOMER":-1}	"lysine / arginine / ornithine ABC transporter"	
"ABC-304-CPLX_RXN"	{"ABC-304-CPLX":1,"LIVK-MONOMER":-1,"LIVM-MONOMER":-1,"LIVH-MONOMER":-1,"LIVG-MONOMER":-1,"LIVF-MONOMER":-1}	"leucine / L-phenylalanine ABC transporter"	
"ABC-32-CPLX_RXN"	{"ABC-32-CPLX":1,"SFUC-MONOMER":-2,"SFUB-MONOMER":-2,"SFUA-MONOMER":-1}	"thiamine ABC transporter"	
"ABC-33-CPLX_RXN"	{"ABC-33-CPLX":1,"XYLG-MONOMER":-1,"XYLH-MONOMER":-2,"XYLF-MONOMER":-1}	"xylose ABC transporter"	
"ABC-34-CPLX_RXN"	{"ABC-34-CPLX":1,"UGPC-MONOMER":-2,"UGPA-MONOMER":-1,"UGPE-MONOMER":-1,"UGPB-MONOMER":-1}	"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter"	
"ABC-35-CPLX_RXN"	{"ABC-35-CPLX":1,"CCMC-MONOMER":-1,"EG12169-MONOMER":-1,"CCME-MONOMER":-1}	"CcmCDE complex"	
"ABC-4-CPLX_RXN"	{"ABC-4-CPLX":1,"ARTJ-MONOMER":-1,"ARTQ-MONOMER":-1,"ARTM-MONOMER":-1,"ARTP-MONOMER":-2}	"L-arginine ABC transporter"	
"ABC-40-CPLX_RXN"	{"ABC-40-CPLX":1,"YEHZ-MONOMER":null,"YEHY-MONOMER":null,"YEHX-MONOMER":null,"YEHW-MONOMER":null}	"glycine betaine ABC transporter, non-osmoregulatory"	
"ABC-41-CPLX_RXN"	{"ABC-41-CPLX":1,"YEJF-MONOMER":-1,"YEJB-MONOMER":-1,"YEJE-MONOMER":-1,"YEJA-MONOMER":-1}	null	
"ABC-42-CPLX_RXN"	{"ABC-42-CPLX":1,"YJCW-MONOMER":-1,"YJCV-MONOMER":-2,"YJCX-MONOMER":-1}	null	
"ABC-45-CPLX_RXN"	{"ABC-45-CPLX":1,"G7658-MONOMER":-2,"EG12799-MONOMER":-6,"YRBE-MONOMER":-2,"YRBF-MONOMER":-2}	"intermembrane phospholipid transport system"	
"ABC-46-CPLX_RXN"	{"ABC-46-CPLX":1,"YJFF-MONOMER":-1,"YTFR-MONOMER":-1,"YTFT-MONOMER":-1,"YTFQ-MONOMER":-1}	"galactofuranose ABC transporter"	
"ABC-48-CPLX_RXN"	{"ABC-48-CPLX":1,"YNJC-MONOMER":null,"YNJD-MONOMER":null,"G6949-MONOMER":null}	"putative transport complex, ABC superfamily"	
"ABC-49-CPLX_RXN"	{"ABC-49-CPLX":1,"YLIA-MONOMER":-1,"YLIB-MONOMER":-1,"YLID-MONOMER":-1,"YLIC-MONOMER":-1}	"glutathione ABC transporter"	
"ABC-5-CPLX_RXN"	{"ABC-5-CPLX":1,"BTUD-MONOMER":-2,"BTUC-MONOMER":-2,"EG12334-MONOMER":-1}	"vitamin B<sub>12</sub> ABC transporter"	
"ABC-51-CPLX_RXN"	{"ABC-51-CPLX":1,"YDCS-MONOMER":-1,"YDCT-MONOMER":-1,"YDCV-MONOMER":-1,"YDCU-MONOMER":-1}	"putative transport complex, ABC superfamily"	
"ABC-52-CPLX_RXN"	{"ABC-52-CPLX":1,"YHDZ-MONOMER":-1,"YHDY-MONOMER":-1,"YHDX-MONOMER":-1,"YHDW-MONOMER":-1}	"putative transport complex, ABC superfamily"	
"ABC-54-CPLX_RXN"	{"ABC-54-CPLX":1,"FTSE-MONOMER":-2,"FTSX-MONOMER":-1}	"divisome protein complex FtsEX"	
"ABC-55-CPLX_RXN"	{"ABC-55-CPLX":1,"YCJP-MONOMER":-1,"YCJO-MONOMER":-1,"YCJN-MONOMER":-1,"YCJV-MONOMER":-1}	"putative transport complex, ABC superfamily"	
"ABC-56-CPLX_RXN"	{"ABC-56-CPLX":1,"G6478-MONOMER":-1,"YCBM-MONOMER":-2,"YCBE-MONOMER":-2}	"aliphatic sulfonate ABC transporter"	
"ABC-57-CPLX_RXN"	{"ABC-57-CPLX":1,"YBHS-MONOMER":-1,"YBHR-MONOMER":-1,"YBHF-MONOMER":-1}	"ABC exporter YbhFSR"	
"ABC-58-CPLX_RXN"	{"ABC-58-CPLX":1,"YNEA-MONOMER":-1,"YDEZ-MONOMER":-1,"YDEY-MONOMER":-1,"YDEX-MONOMER":-2}	null	
"ABC-59-CPLX_RXN"	{"ABC-59-CPLX":1,"YDDR-MONOMER":-1,"YDDQ-MONOMER":-1,"YDDS-MONOMER":-1,"YDDP-MONOMER":-1,"YDDO-MONOMER":-1}	"putative D,D-dipeptide ABC transporter"	
"ABC-6-CPLX_RXN"	{"ABC-6-CPLX":1,"CYDD-MONOMER":-1,"CYDC-MONOMER":-1}	"glutathione / L-cysteine ABC exporter CydDC"	
"ABC-60-CPLX_RXN"	{"ABC-60-CPLX":1,"YPHD-MONOMER":null,"G7342-MONOMER":null,"YPHE-MONOMER":null}	"putative transport complex, ABC superfamily"	
"ABC-61-CPLX_RXN"	{"ABC-61-CPLX":1,"YBBP-MONOMER":-1,"YBBA-MONOMER":-1}	"putative transport complex, ABC superfamily"	
"ABC-62-CPLX_RXN"	{"ABC-62-CPLX":1,"YCFW-MONOMER":-1,"YCFV-MONOMER":-2,"YCFU-MONOMER":-1}	"lipoprotein release complex"	
"ABC-63-CPLX_RXN"	{"ABC-63-CPLX":1,"ZNUC-MONOMER":-2,"ZNUB-MONOMER":-2,"ZNUA-MONOMER":-1}	null	
"ABC-64-CPLX_RXN"	{"ABC-64-CPLX":1,"TAUA-MONOMER":-1,"TAUC-MONOMER":-2,"TAUB-MONOMER":-2}	null	
"ABC-7-CPLX_RXN"	{"ABC-7-CPLX":1,"CYSA-MONOMER":-2,"CYSW-MONOMER":-1,"CYST-MONOMER":-1,"CYSP-MONOMER":-1}	"thiosulfate/sulfate ABC transporter"	
"ABC-70-CPLX_RXN"	{"ABC-70-CPLX":1,"SBP-MONOMER":-1,"CYSW-MONOMER":-1,"CYST-MONOMER":-1,"CYSA-MONOMER":-2}	"sulfate/thiosulfate ABC transporter"	
"ABC-8-CPLX_RXN"	{"ABC-8-CPLX":1,"DPPD-MONOMER":-1,"DPPF-MONOMER":-1,"DPPB-MONOMER":-1,"DPPC-MONOMER":-1,"DPPA-MONOMER":-1}	"dipeptide ABC transporter"	
"ABC-9-CPLX_RXN"	{"ABC-9-CPLX":1,"FECE-MONOMER":-2,"FECC-MONOMER":-1,"FECD-MONOMER":-1,"FECB-MONOMER":-1}	"ferric citrate ABC transporter"	
"ACETOACETYL-COA-TRANSFER-CPLX_RXN"	{"ACETOACETYL-COA-TRANSFER-CPLX":1,"ATOA-CPLX":-1,"ATOD-CPLX":-1}	null	
"ACETOLACTSYNI-CPLX_RXN"	{"ACETOLACTSYNI-CPLX":1,"LARGEILVB-MONOMER":-2,"SMALLILVN-MONOMER":-2}	null	
"ACETOLACTSYNII-CPLX_RXN"	{"ACETOLACTSYNII-CPLX":1,"G8221-MONOMER":null,"SMALLILVM-MONOMER":null}	null	
"ACETOLACTSYNIII-CPLX_RXN"	{"ACETOLACTSYNIII-CPLX":1,"ACETOLACTSYNIII-ICHAIN-MONOMER":-2,"ACETOLACTSYNIII-HCHAIN-MONOMER":-2}	null	
"ACETYL-COA-ACETYLTRANSFER-CPLX_RXN"	{"ACETYL-COA-ACETYLTRANSFER-CPLX":1,"ACETYL-COA-ACETYLTRANSFER-MONOMER":-4}	null	
"ACETYL-COA-CARBOXYLMULTI-CPLX_RXN"	{"ACETYL-COA-CARBOXYLMULTI-CPLX":1,"ACETYL-COA-CARBOXYLTRANSFER-CPLX":-1,"BIOTIN-CARBOXYL-CPLX":-1,"BCCP-CPLX":-1}	"acetyl-CoA carboxylase complex"	
"ACETYL-COA-CARBOXYLTRANSFER-CPLX_RXN"	{"ACETYL-COA-CARBOXYLTRANSFER-CPLX":1,"CARBOXYL-TRANSFERASE-ALPHA-MONOMER":-2,"CARBOXYL-TRANSFERASE-BETA-MONOMER":-2}	null	
"ACETYLGLUTKIN-CPLX_RXN"	{"ACETYLGLUTKIN-CPLX":1,"ACETYLGLUTKIN-MONOMER":-2}	"acetylglutamate kinase"	
"ACETYLORNDEACET-CPLX_RXN"	{"ACETYLORNDEACET-CPLX":1,"ACETYLORNDEACET-MONOMER":-2}	null	
"ACETYLORNTRANSAM-CPLX_RXN"	{"ACETYLORNTRANSAM-CPLX":1,"ACETYLORNTRANSAM-MONOMER":-2}	"<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase"	
"ACNEULY-CPLX_RXN"	{"ACNEULY-CPLX":1,"ACNEULY-MONOMER":-4}	null	
"ACSERLYA-CPLX_RXN"	{"ACSERLYA-CPLX":1,"ACSERLYA-MONOMER":-2}	"cysteine synthase A"	
"ACSERLYB-CPLX_RXN"	{"ACSERLYB-CPLX":1,"ACSERLYB-MONOMER":-2}	"cysteine synthase B"	
"ACYLCOASYN-CPLX_RXN"	{"ACYLCOASYN-CPLX":1,"ACYLCOASYN-MONOMER":-2}	"long-chain-fatty-acid&mdash;CoA ligase"	
"ADCLY-CPLX_RXN"	{"ADCLY-CPLX":1,"ADCLY-MONOMER":-2}	null	
"ADENPRIBOSYLTRAN-CPLX_RXN"	{"ADENPRIBOSYLTRAN-CPLX":1,"ADENPRIBOSYLTRAN-MONOMER":-2}	null	
"ADENYLOSUCCINATE-SYN-DIMER_RXN"	{"ADENYLOSUCCINATE-SYN-DIMER":1,"ADENYLOSUCCINATE-SYN-MONOMER":-2}	"adenylosuccinate synthetase"	
"ADENYLYLSULFKIN-CPLX_RXN"	{"ADENYLYLSULFKIN-CPLX":1,"ADENYLYLSULFKIN-MONOMER":-2}	null	
"ADHC-CPLX_RXN"	{"ADHC-CPLX":1,"ADHC-MONOMER":-2}	null	
"ADHE-CPLX_RXN"	{"ADHE-CPLX":1,"ADHE-MONOMER":-40}	"fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenase"	
"AERGLYC3PDEHYDROG-CPLX_RXN"	{"AERGLYC3PDEHYDROG-CPLX":1,"AERGLYC3PDEHYDROG-MONOMER":-2}	null	
"AGMATIN-CPLX_RXN"	{"AGMATIN-CPLX":1,"AGMATIN-MONOMER":-2}	null	
"AIRS-CPLX_RXN"	{"AIRS-CPLX":1,"AIRS-MONOMER":-2}	null	
"AKBLIG-CPLX_RXN"	{"AKBLIG-CPLX":1,"AKBLIG-MONOMER":-2}	null	
"ALAS-CPLX_RXN"	{"ALAS-CPLX":1,"ALAS-MONOMER":-2}	"alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor"	
"ALD-CPLX_RXN"	{"ALD-CPLX":1,"LACTALDDEHYDROG-MONOMER":-4}	"aldehyde dehydrogenase A, NAD-linked"	
"ALKAPHOSPHA-CPLX_RXN"	{"ALKAPHOSPHA-CPLX":1,"ALKAPHOSPHA-MONOMER":-2}	"alkaline phosphatase"	
"ALPHA-SUBUNIT-CPLX_RXN"	{"ALPHA-SUBUNIT-CPLX":1,"FDNI-MONOMER":-1,"FDNH-MONOMER":-1,"FDNG-MONOMER":-1}	"formate dehydrogenase N, subcomplex"	
"ALPHAGALACTOSID-CPLX_RXN"	{"ALPHAGALACTOSID-CPLX":1,"ALPHAGALACTOSID-MONOMER":-2}	null	
"AMINEOXID-CPLX_RXN"	{"AMINEOXID-CPLX":1,"AMINEOXID-MONOMER":-2}	"copper-containing amine oxidase"	
"AMP-NUCLEOSID-CPLX_RXN"	{"AMP-NUCLEOSID-CPLX":1,"AMP-NUCLEOSID-MONOMER":-6}	null	
"ANGLYC3PDEHYDROG-CPLX_RXN"	{"ANGLYC3PDEHYDROG-CPLX":1,"ANGLYC3PDEHYDROGSUBUNITA-MONOMER":-1,"ANGLYC3PDEHYDROGSUBUNITB-MONOMER":-1,"ANGLYC3PDEHYDROGSUBUNITC-MONOMER":-1}	"anaerobic glycerol-3-phosphate dehydrogenase"	
"ANSA-CPLX_RXN"	{"ANSA-CPLX":1,"ANSA-MONOMER":-4}	"L-asparaginase 1"	
"ANSB-CPLX_RXN"	{"ANSB-CPLX":1,"ANSB-MONOMER":-4}	"L-asparaginase 2"	
"ANTHRANSYN-CPLX_RXN"	{"ANTHRANSYN-CPLX":1,"ANTHRANSYNCOMPI-MONOMER":-2,"ANTHRANSYNCOMPII-MONOMER":-2}	null	
"APHA-CPLX_RXN"	{"APHA-CPLX":1,"APHA-MONOMER":-4}	"acid phosphatase / phosphotransferase"	
"APORNAP-CPLX_RXN"	{"APORNAP-CPLX":1,"EG10893-MONOMER":-2,"RPOC-MONOMER":-1,"RPOB-MONOMER":-1}	"RNA polymerase, core enzyme"	
"APP-UBIOX-CPLX_RXN"	{"APP-UBIOX-CPLX":1,"APPC-MONOMER":-1,"APPB-MONOMER":-1}	"cytochrome <i>bd</i>-II ubiquinol oxidase"	
"ARABISOM-CPLX_RXN"	{"ARABISOM-CPLX":1,"ARABISOM-MONOMER":-6}	"L-arabinose isomerase"	
"ARGDECARBOXBIO-CPLX_RXN"	{"ARGDECARBOXBIO-CPLX":1,"ARGDECARBOXBIO-MONOMER":-4}	null	
"ARGDECARBOXDEG-CPLX_RXN"	{"ARGDECARBOXDEG-CPLX":1,"ARGDECARBOXDEG-MONOMER":-10}	null	
"AROC-CPLX_RXN"	{"AROC-CPLX":1,"AROC-MONOMER":-4}	null	
"AROD-CPLX_RXN"	{"AROD-CPLX":1,"AROD-MONOMER":-2}	null	
"AROF-CPLX_RXN"	{"AROF-CPLX":1,"AROF-MONOMER":-2}	null	
"AROG-CPLX_RXN"	{"AROG-CPLX":1,"AROG-MONOMER":-4}	null	
"AROH-CPLX_RXN"	{"AROH-CPLX":1,"AROH-MONOMER":-2}	null	
"ASNS-CPLX_RXN"	{"ASNS-CPLX":1,"ASNS-MONOMER":-2}	null	
"ASNSYNA-CPLX_RXN"	{"ASNSYNA-CPLX":1,"ASNSYNA-MONOMER":-2}	"asparagine synthetase A"	
"ASNSYNB-CPLX_RXN"	{"ASNSYNB-CPLX":1,"ASNSYNB-MONOMER":-2}	"asparagine synthetase B"	
"ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX_RXN"	{"ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX":1,"ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER":-2}	null	
"ASPAMINOTRANS-DIMER_RXN"	{"ASPAMINOTRANS-DIMER":1,"ASPAMINOTRANS-MONOMER":-2}	"aspartate aminotransferase"	
"ASPARTASE-CPLX_RXN"	{"ASPARTASE-CPLX":1,"ASPARTASE-MONOMER":-4}	null	
"ASPCARBCAT-TRIMER_RXN"	{"ASPCARBCAT-TRIMER":1,"ASPCARBCAT-MONOMER":-3}	"aspartate carbamoyltransferase catalytic subunit"	
"ASPCARBREG-DIMER_RXN"	{"ASPCARBREG-DIMER":1,"ASPCARBREG-MONOMER":-2}	"aspartate carbamoyltransferase, regulatory subunit"	
"ASPCARBTRANS-CPLX_RXN"	{"ASPCARBTRANS-CPLX":1,"ASPCARBCAT-TRIMER":-2,"ASPCARBREG-DIMER":-3}	null	
"ASPKINIHOMOSERDEHYDROGI-CPLX_RXN"	{"ASPKINIHOMOSERDEHYDROGI-CPLX":1,"ASPKINIHOMOSERDEHYDROGI-MONOMER":-4}	"fused aspartate kinase/homoserine dehydrogenase 1"	
"ASPKINIIHOMOSERDEHYDROGII-CPLX_RXN"	{"ASPKINIIHOMOSERDEHYDROGII-CPLX":1,"ASPKINIIHOMOSERDEHYDROGII-MONOMER":-2}	"fused aspartate kinase/homoserine dehydrogenase 2"	
"ASPKINIII-CPLX_RXN"	{"ASPKINIII-CPLX":1,"ASPKINIII-MONOMER":-2}	"aspartate kinase III"	
"ASPS-CPLX_RXN"	{"ASPS-CPLX":1,"ASPS-MONOMER":-2}	null	
"ATOA-CPLX_RXN"	{"ATOA-CPLX":1,"ATOA-MONOMER":-2}	"&beta; complex"	
"ATOD-CPLX_RXN"	{"ATOD-CPLX":1,"ATOD-MONOMER":-2}	"&alpha; complex"	
"ATPA-CPLX_RXN"	{"ATPA-CPLX":1,"ATPA-MONOMER":-3}	"ATP synthase F<sub>1</sub> complex subunit &alpha;"	
"ATPASE-1-CPLX_RXN"	{"ATPASE-1-CPLX":1,"MONOMER0-12":-1,"EG10513-MONOMER":-1,"KDPB-MONOMER":-1,"EG10515-MONOMER":-1}	"K<sup>+</sup> transporting P-type ATPase"	
"ATPD-CPLX_RXN"	{"ATPD-CPLX":1,"ATPD-MONOMER":-3}	"ATP synthase F<sub>1</sub> complex subunit &beta;"	
"ATPE-CPLX_RXN"	{"ATPE-CPLX":1,"ATPE-MONOMER":-10}	"ATP synthase F<sub>o</sub> complex - subunit c"	
"ATPF-CPLX_RXN"	{"ATPF-CPLX":1,"ATPF-MONOMER":-2}	"ATP synthase F<sub>o</sub> complex - subunit b"	
"ATPSYN-CPLX_RXN"	{"ATPSYN-CPLX":1,"F-O-CPLX":-1,"F-1-CPLX":-1}	null	
"B1-CPLX_RXN"	{"B1-CPLX":1,"NRDA-MONOMER":-2}	"ribonucleoside-diphosphate reductase 1, &alpha; subunit dimer"	
"B2-CPLX_RXN"	{"B2-CPLX":1,"NRDB-MONOMER":-2}	"ribonucleoside-diphosphate reductase 1, &beta; subunit dimer"	
"BADH-CPLX_RXN"	{"BADH-CPLX":1,"BADH-MONOMER":-4}	null	
"BCCP-CPLX_RXN"	{"BCCP-CPLX":1,"BCCP-BIOTIN":-2}	"biotin carboxyl carrier protein (dimer)"	
"BETAGALACTOSID-CPLX_RXN"	{"BETAGALACTOSID-CPLX":1,"BETAGALACTOSID-MONOMER":-4}	"&beta;-galactosidase"	
"BIOTIN-CARBOXYL-CPLX_RXN"	{"BIOTIN-CARBOXYL-CPLX":1,"BIOTIN-CARBOXYL-MONOMER":-2}	null	
"BIOTIN-SYN-CPLX_RXN"	{"BIOTIN-SYN-CPLX":1,"BIOTIN-SYN-MONOMER":-2}	"biotin synthase"	
"BRANCHED-CHAINAMINOTRANSFER-CPLX_RXN"	{"BRANCHED-CHAINAMINOTRANSFER-CPLX":1,"BRANCHED-CHAINAMINOTRANSFER-MONOMER":-6}	"branched-chain-amino-acid aminotransferase"	
"CARBODEHYDRAT-CPLX_RXN"	{"CARBODEHYDRAT-CPLX":1,"CARBODEHYDRAT-MONOMER":-2}	"carbonic anhydrase 1"	
"CARBPSYN-CPLX_RXN"	{"CARBPSYN-CPLX":1,"CARBPSYN-LARGE":-2,"CARBPSYN-SMALL":-2}	null	
"CARNDEHYDRA-CPLX_RXN"	{"CARNDEHYDRA-CPLX":1,"CARNDEHYDRA-MONOMER":-2}	null	
"CFA-CPLX_RXN"	{"CFA-CPLX":1,"CFA-MONOMER":-2}	null	
"CHEZ-CPLX_RXN"	{"CHEZ-CPLX":1,"CHEZ-MONOMER":-2}	"chemotaxis protein CheZ"	
"CHORISMUTPREPHENDEHYDRAT-CPLX_RXN"	{"CHORISMUTPREPHENDEHYDRAT-CPLX":1,"CHORISMUTPREPHENDEHYDRAT-MONOMER":-2}	"fused chorismate mutase/prephenate dehydratase"	
"CHORISMUTPREPHENDEHYDROG-CPLX_RXN"	{"CHORISMUTPREPHENDEHYDROG-CPLX":1,"CHORISMUTPREPHENDEHYDROG-MONOMER":-2}	"fused chorismate mutase/prephenate dehydrogenase"	
"CITLY-CPLX_RXN"	{"CITLY-CPLX":1,"ACPSUB-CPLX":-1,"CITTRANS-CPLX":-1,"CITRYLY-CPLX":-1}	"citrate lyase, inactive"	
"CITRATE-SI-SYNTHASE_RXN"	{"CITRATE-SI-SYNTHASE":1,"CITSYN-MONOMER":-6}	null	
"CITRYLY-CPLX_RXN"	{"CITRYLY-CPLX":1,"CITRYLY-MONOMER":-6}	"citrate lyase, citryl-acyl carrrier protein lyase component"	
"CITTRANS-CPLX_RXN"	{"CITTRANS-CPLX":1,"CITTRANS-MONOMER":-6}	"citrate lyase, citrate-acyl carrier protein transferase component"	
"COADTRI-CPLX_RXN"	{"COADTRI-CPLX":1,"PANTEPADENYLYLTRAN-MONOMER":-6}	null	
"COBU-CPLX_RXN"	{"COBU-CPLX":1,"COBU-MONOMER":-2}	null	
"CPLX-153_RXN"	{"CPLX-153":1,"ASCF-MONOMER":-2}	"&beta;-glucoside specific PTS enzyme II"	
"CPLX-154_RXN"	{"CPLX-154":1,"BGLF-MONOMER":-2}	"&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase"	
"CPLX-155_RXN"	{"CPLX-155":1,"CELC-MONOMER":-1,"CELB-MONOMER":-1,"CELA-MONOMER":-1}	"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II"	
"CPLX-156_RXN"	{"CPLX-156":1,"CMTB-MONOMER":-1,"CMTA-MONOMER":-1}	"mannitol-specific PTS enzyme II CmtBA"	
"CPLX-157_RXN"	{"CPLX-157":1,"PTSG-MONOMER":-2,"CRR-MONOMER":-1}	"glucose-specific PTS enzyme II"	
"CPLX-158_RXN"	{"CPLX-158":1,"FRUB-MONOMER":-1,"FRUA-MONOMER":-2}	"fructose-specific PTS enzyme II"	
"CPLX-159_RXN"	{"CPLX-159":1,"FRVB-MONOMER":-1,"FRVA-MONOMER":-1}	"putative PTS enzyme II FrvAB"	
"CPLX-160_RXN"	{"CPLX-160":1,"FRWC-MONOMER":-1,"FRWB-MONOMER":-1,"EG11912-MONOMER":-1,"EG11906-MONOMER":-1}	"putative PTS enzyme II FrwCBDPtsA"	
