"id"	"ourLocation"	"comments"	"ecocycLocations"
"EG11967-MONOMER"	["j"]	"Location information from Han 2011."	["s"]
"PROTEIN-PII2"	["c"]	"Location information from Han 2011."	["x"]
"MONOMER-43"	["c"]	"Location information from Han 2011."	["i"]
"G6847-MONOMER"	["i"]	"Location information from Han 2011."	["x"]
"G6665-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"FLIG-FLAGELLAR-SWITCH-PROTEIN"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"CYSA-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"NUOG-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7350-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"DPPF-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG11735-MONOMER"	["p"]	"Location information from Han 2011."	["z"]
"YLIA-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"DMSA-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"PHENYLPRODIOXY-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"NIKE-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G6093-MONOMER"	["i"]	"Location information from Lopez Campistrous 2005."	["e"]
"G7320-MONOMER"	["o"]	"Location information from Lopez Campistrous 2005."	["e"]
"G6303-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"EG10461-MONOMER"	["c"]	"Location information from Lopez Campistrous 2005."	["i"]
"HYCG-MONOMER"	["p"]	"Location information from Han 2011."	["c"]
"ZNUC-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG10322-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"G7711-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG11305-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7875-MONOMER"	["i"]	"Location information from Han 2011."	["s"]
"GTP-CYCLOHYDRO-II-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"CFA-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"ATOD-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"ACYLCOASYN-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G6109-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"EG12391-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"EG11656-MONOMER"	["c"]	"Localization generated from unambiguous Ecocyc data."	["s"]
"G6320-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"G7658-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"ATPH-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7236-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"EG10997-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"FEPB-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"MONOMER0-145"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["i"]
"MONOMER0-144"	["i"]	"Location information from Han 2011."	["p"]
"G6156-MONOMER"	["c"]	"Location information from Han 2011."	["p"]
"HCAC-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"LIVG-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"METG-MONOMER"	["o"]	"Location information from Lopez Campistrous 2005."	["c"]
"PHOSPHASERSYN-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"RPOH-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"ANGLYC3PDEHYDROGSUBUNITA-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"FLGI-FLAGELLAR-P-RING"	["p"]	"Location information from Han 2011."	["s"]
"EG10252-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"G6710-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"EG10528-MONOMER"	["o"]	"Location information from Lopez Campistrous 2005."	["e"]
"G6846-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"G7262-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"G6274-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"DHHB-METHYLTRANSFER-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG10855-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"LARGEILVG-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"FABZ-MONOMER"	["i"]	"Location information from Lopez Campistrous 2005."	["c"]
"YDCT-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7706-MONOMER"	["i"]	"Location information from Han 2011."	["x"]
"ENTE-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG10292-MONOMER"	["c"]	"Location information from Han 2011."	["p"]
"CRR-MONOMER"	["c"]	"Location information from Lopez Campistrous 2005."	["i"]
"EG10670-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"YHBG-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"PHNE-MONOMER"	["i"]	"Localization generated from unambiguous Ecocyc data."	["x"]
"SAPA-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"YBBA-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG10597-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7292-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"G6543-MONOMER"	["o"]	"Location information from Han 2011."	["s"]
"EG10321-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"RBSB-MONOMER"	["p"]	"Location information from Lopez Campistrous 2005."	["i"]
"G7874-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"YDDO-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG11685-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"G7703-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"BIOTIN-SYN-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"DIOHBUTANONEPSYN-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"YNEA-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"G7708-MONOMER"	["i"]	"Location information from Han 2011."	["x"]
"EG10311-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"YJCX-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"G6478-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"NUOF-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"PD00763"	["i"]	"Location information from Han 2011."	["c"]
"OPPA-MONOMER"	["p"]	"Location information from Lopez Campistrous 2005."	["i"]
"DPPD-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"MONOMER-162"	["c"]	"Location information from Han 2011."	["x"]
"UGPC-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G6673-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"DPPA-MONOMER"	["p"]	"Location information from Lopez Campistrous 2005."	["i"]
"YBHF-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"SECA"	["c"]	"Location information from Han 2011."	["i"]
"FLIN-FLAGELLAR-C-RING-SWITCH"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"HYAB-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"G378-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"PPK-MONOMER"	["c"]	"Location information from Han 2011."	["s"]
"FLGF-FLAGELLAR-MOTOR-ROD-PROTEIN"	["j"]	"Location information from Han 2011."	["s"]
"FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN"	["c"]	"Location information from Han 2011."	["s"]
"G6155-MONOMER"	["i"]	"Location information from Han 2011."	["z"]
"LSERINEDEAM3-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"PPX-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"YHDW-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"ENTD-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"NIKD-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"LIPIDADISACCHARIDESYNTH-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG11126-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"YCBE-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"FLIF-FLAGELLAR-MS-RING"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"BTUD-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"ANGLYC3PDEHYDROGSUBUNITB-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"OPPD-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"YEJA-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"EG10302-MONOMER"	["o"]	"Location information from Lopez Campistrous 2005."	["e"]
"ATPC-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"YLIB-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"EG10306-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"EG11545-MONOMER"	["j"]	"Location information from Han 2011."	["s"]
"MONOMER0-185"	["c"]	"Location information from Han 2011."	["i"]
"POTG-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"E1P-MONOMER"	["i"]	"Location information from Lopez Campistrous 2005."	["c"]
"YHDZ-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"ARAF-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"TAGAALDOL2-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"GLTL-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["i"]
"EG11952-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"G7865-MONOMER"	["c"]	"Location information from Lopez Campistrous 2005."	["z"]
"G7250-MONOMER"	["p"]	"Location information from Han 2011."	["c"]
"G7352-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"EG10684-MONOMER"	["o"]	"Location information from Lopez Campistrous 2005."	["e"]
"GLYCPDIESTER-PERI-MONOMER"	["o"]	"Location information from Han 2011."	["p"]
"PD04413"	["c"]	"Location information from Han 2011."	["i"]
"EG12193-MONOMER"	["i"]	"Location information from Han 2011."	["c"]
"EG11975-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"EG11171-MONOMER"	["e"]	"Location information from Han 2011."	["c"]
"EG10735-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"FLGH-FLAGELLAR-L-RING"	["j"]	"Location information from Han 2011."	["s"]
"EG12845-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["c"]
"EG11976-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"G6714-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["i"]
"EG11224-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"EG10841-MONOMER"	["e"]	"Localization generated from unambiguous Ecocyc data."	["s"]
"G7366-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["c"]
"PROV-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7485-MONOMER"	["i"]	"Location information from Han 2011."	["c"]
"PYRUVOXID-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG10436-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG11977-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"EG11086-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"PSTS-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"BETACOMP-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"EG10308-MONOMER"	["e"]	"Location information from Han 2011."	["s"]
"FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN"	["j"]	"Location information from Han 2011."	["s"]
"G7128-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"PD00521"	["i"]	"Location information from Han 2011."	["c"]
"DALADEHYDROGA-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7544-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"NUOE-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"PROTEIN-CHEA"	["c"]	"Localization generated from unambiguous Ecocyc data."	["i"]
"EG10455-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"FLIM-FLAGELLAR-C-RING-SWITCH"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["s"]
"PD03831"	["c"]	"Location information from Han 2011."	["i"]
"YDDP-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7707-MONOMER"	["i"]	"Location information from Han 2011."	["x"]
"MALE-MONOMER"	["p"]	"Location information from Lopez Campistrous 2005."	["i"]
"EG10293-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"EG10313-MONOMER"	["e"]	"Location information from Han 2011."	["s"]
"ATPG-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG10686-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"YEHX-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7642-MONOMER"	["p"]	"Location information from Han 2011."	["e"]
"G7058-MONOMER"	["e"]	"Location information from Han 2011."	["p"]
"EG10346-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"G7429-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"G7430-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"MONOMER0-341"	["o"]	"Location information from Han 2011."	["e"]
"G7107-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"FORMATEDEHYDROGH-MONOMER"	["p"]	"Location information from Han 2011."	["z"]
"EG10463-MONOMER"	["c"]	"Location information from Lopez Campistrous 2005."	["i"]
"PD02366"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"FADB-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"EG12844-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"HYCELARGE-MONOMER"	["i"]	"Location information from Han 2011."	["c"]
"GLYOCARBOLIG-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"PD00338"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"HYCF-MONOMER"	["p"]	"Location information from Han 2011."	["c"]
"G6322-MONOMER"	["i"]	"Location information from Han 2011."	["p"]
"FEPC-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"UGPB-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"SFUC-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"YEHZ-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"G7039-MONOMER"	["p"]	"Localization generated from unambiguous Ecocyc data."	["i"]
"EG12096-MONOMER"	["m"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["c"]
"EG11236-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"G7271-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"ASPCARBREG-MONOMER"	["i"]	"Location information from Lopez Campistrous 2005."	["c"]
"ALPHACOMP-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"NUOC-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG11652-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"G6810-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"CHEZ-MONOMER"	["c"]	"Location information from Han 2011."	["s"]
"XYLG-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["i"]
"G7629-MONOMER"	["c"]	"Location information from Han 2011."	["x"]
"YTFQ-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"DMSB-MONOMER"	["i"]	"Location information from Han 2011."	["x"]
"G7426-MONOMER"	["c"]	"Location calculated to be either CCO-CYTOSOL or CCO-MEMBRANE based on GRAVY."	["x"]
"EG10158-MONOMER"	["o"]	"Location information from Lopez Campistrous 2005."	["c"]
"EG10952-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"PHOSACETYLTRANS-MONOMER"	["i"]	"Location information from Han 2011."	["c"]
"EG10286-MONOMER"	["o"]	"Location information from Lopez Campistrous 2005."	["e"]
"G6565-MONOMER"	["p"]	"Location information from Han 2011."	["e"]
"FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN"	["j"]	"Location information from Han 2011."	["s"]
"PUTA-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG11569-MONOMER"	["o"]	"Location information from Han 2011."	["e"]
"LIVF-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"NIKA-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"POTA-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"YNJD-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"POTF-MONOMER"	["p"]	"Location information from Han 2011."	["i"]
"SAPF-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
"EG11396-MONOMER"	["c"]	"Location information from Han 2011."	["i"]
