"name"	"comments"	"mw"	"location"	"reactionId"	"id"
"fatty acyl-CoA synthetase"		[0.0, 0.0, 0.0, 0.0, 0.0, 124618.354, 0.0, 0.0, 0.0]	["i"]	"ACYLCOASYN-CPLX_RXN"	"ACYLCOASYN-CPLX"
"aminodeoxychorismate lyase"		[0.0, 0.0, 0.0, 0.0, 0.0, 59424.398, 0.0, 0.0, 0.0]	["c"]	"ADCLY-CPLX_RXN"	"ADCLY-CPLX"
"adenine phosphoribosyltransferase"		[0.0, 0.0, 0.0, 0.0, 0.0, 39709.814, 0.0, 0.0, 0.0]	["c"]	"ADENPRIBOSYLTRAN-CPLX_RXN"	"ADENPRIBOSYLTRAN-CPLX"
"adenylosuccinate synthetase"		[0.0, 0.0, 0.0, 0.0, 0.0, 94670.110, 0.0, 0.0, 0.0]	["c"]	"ADENYLOSUCCINATE-SYN-DIMER_RXN"	"ADENYLOSUCCINATE-SYN-DIMER"
"adenylylsulfate kinase"		[0.0, 0.0, 0.0, 0.0, 0.0, 44630.700, 0.0, 0.0, 0.0]	["c"]	"ADENYLYLSULFKIN-CPLX_RXN"	"ADENYLYLSULFKIN-CPLX"
"formaldehyde dehydrogenase, glutathione-dependent"		[0.0, 0.0, 0.0, 0.0, 0.0, 78702.236, 0.0, 0.0, 0.0]	["c"]	"ADHC-CPLX_RXN"	"ADHC-CPLX"
"pyruvate formate-lyase deactivase [multifunctional]"		[0.0, 0.0, 0.0, 0.0, 0.0, 3844823.000, 0.0, 0.0, 0.0]	["c"]	"ADHE-CPLX_RXN"	"ADHE-CPLX"
"glycerol-3-phosphate dehydrogenase, aerobic"		[0.0, 0.0, 0.0, 0.0, 0.0, 113499.510, 0.0, 0.0, 0.0]	["i"]	"AERGLYC3PDEHYDROG-CPLX_RXN"	"AERGLYC3PDEHYDROG-CPLX"
"agmatinase"		[0.0, 0.0, 0.0, 0.0, 0.0, 67086.172, 0.0, 0.0, 0.0]	["c"]	"AGMATIN-CPLX_RXN"	"AGMATIN-CPLX"
"phosphoribosylformylglycinamide cyclo-ligase"		[0.0, 0.0, 0.0, 0.0, 0.0, 73607.982, 0.0, 0.0, 0.0]	["c"]	"AIRS-CPLX_RXN"	"AIRS-CPLX"
"2-amino-3-ketobutyrate CoA ligase"		[0.0, 0.0, 0.0, 0.0, 0.0, 86216.338, 0.0, 0.0, 0.0]	["c"]	"AKBLIG-CPLX_RXN"	"AKBLIG-CPLX"
"alanyl-tRNA synthetase and DNA-binding transcriptional repressor"		[0.0, 0.0, 0.0, 0.0, 0.0, 192019.182, 0.0, 0.0, 0.0]	["c"]	"ALAS-CPLX_RXN"	"ALAS-CPLX"
"aldehyde dehydrogenase A, NAD-linked"		[0.0, 0.0, 0.0, 0.0, 0.0, 209035.596, 0.0, 0.0, 0.0]	["c"]	"ALD-CPLX_RXN"	"ALD-CPLX"
"alkaline phosphatase"		[0.0, 0.0, 0.0, 0.0, 0.0, 98797.266, 0.0, 0.0, 0.0]	["p"]	"ALKAPHOSPHA-CPLX_RXN"	"ALKAPHOSPHA-CPLX"
"trimer complex of formate dehydrogenase-N &alpha;, &beta; and &gamma; subunits"		[0.0, 0.0, 0.0, 0.0, 0.0, 170570.385, 0.0, 0.0, 0.0]	["i"]	"ALPHA-SUBUNIT-CPLX_RXN"	"ALPHA-SUBUNIT-CPLX"
"&alpha;-galactosidase"		[0.0, 0.0, 0.0, 0.0, 0.0, 101282.428, 0.0, 0.0, 0.0]	["c"]	"ALPHAGALACTOSID-CPLX_RXN"	"ALPHAGALACTOSID-CPLX"
"copper-containing amine oxidase"		[0.0, 0.0, 0.0, 0.0, 0.0, 168719.650, 0.0, 0.0, 0.0]	["p"]	"AMINEOXID-CPLX_RXN"	"AMINEOXID-CPLX"
"AMP nucleosidase"		[0.0, 0.0, 0.0, 0.0, 0.0, 323910.126, 0.0, 0.0, 0.0]	["c"]	"AMP-NUCLEOSID-CPLX_RXN"	"AMP-NUCLEOSID-CPLX"
"glycerol-3-phosphate-dehydrogenase, anaerobic"		[0.0, 0.0, 0.0, 0.0, 0.0, 148421.239, 0.0, 0.0, 0.0]	["i"]	"ANGLYC3PDEHYDROG-CPLX_RXN"	"ANGLYC3PDEHYDROG-CPLX"
"asparaginase I"		[0.0, 0.0, 0.0, 0.0, 0.0, 148465.224, 0.0, 0.0, 0.0]	["c"]	"ANSA-CPLX_RXN"	"ANSA-CPLX"
"asparaginase II"		[0.0, 0.0, 0.0, 0.0, 0.0, 147395.212, 0.0, 0.0, 0.0]	["c"]	"ANSB-CPLX_RXN"	"ANSB-CPLX"
"anthranilate synthase"		[0.0, 0.0, 0.0, 0.0, 0.0, 228677.414, 0.0, 0.0, 0.0]	["c"]	"ANTHRANSYN-CPLX_RXN"	"ANTHRANSYN-CPLX"
"acid phosphatase / phosphotransferase"		[0.0, 0.0, 0.0, 0.0, 0.0, 104414.536, 0.0, 0.0, 0.0]	["p"]	"APHA-CPLX_RXN"	"APHA-CPLX"
"RNA polymerase, core enzyme"		[0.0, 0.0, 0.0, 0.0, 0.0, 378700.837, 0.0, 0.0, 0.0]	["c"]	"APORNAP-CPLX_RXN"	"APORNAP-CPLX"
"cytochrome bd-II terminal oxidase"		[0.0, 0.0, 0.0, 0.0, 0.0, 100347.267, 0.0, 0.0, 0.0]	["i"]	"APP-UBIOX-CPLX_RXN"	"APP-UBIOX-CPLX"
"L-arabinose isomerase"		[0.0, 0.0, 0.0, 0.0, 0.0, 336385.110, 0.0, 0.0, 0.0]	["c"]	"ARABISOM-CPLX_RXN"	"ARABISOM-CPLX"
"ArcB sensory histidine kinase"		[0.0, 0.0, 0.0, 0.0, 0.0, 175899.976, 0.0, 0.0, 0.0]	["i"]	"ARCB-CPLX_RXN"	"ARCB-CPLX"
"arginine decarboxylase, biosynthetic"		[0.0, 0.0, 0.0, 0.0, 0.0, 295425.776, 0.0, 0.0, 0.0]	["p"]	"ARGDECARBOXBIO-CPLX_RXN"	"ARGDECARBOXBIO-CPLX"
"arginine decarboxylase, degradative"		[0.0, 0.0, 0.0, 0.0, 0.0, 843913.440, 0.0, 0.0, 0.0]	["c"]	"ARGDECARBOXDEG-CPLX_RXN"	"ARGDECARBOXDEG-CPLX"
"chorismate synthase"		[0.0, 0.0, 0.0, 0.0, 0.0, 156526.264, 0.0, 0.0, 0.0]	["c"]	"AROC-CPLX_RXN"	"AROC-CPLX"
"3-dehydroquinate dehydratase"		[0.0, 0.0, 0.0, 0.0, 0.0, 54915.402, 0.0, 0.0, 0.0]	["c"]	"AROD-CPLX_RXN"	"AROD-CPLX"
"2-dehydro-3-deoxyphosphoheptonate aldolase"		[0.0, 0.0, 0.0, 0.0, 0.0, 77588.134, 0.0, 0.0, 0.0]	["c"]	"AROF-CPLX_RXN"	"AROF-CPLX"
"2-dehydro-3-deoxyphosphoheptonate aldolase"		[0.0, 0.0, 0.0, 0.0, 0.0, 152018.636, 0.0, 0.0, 0.0]	["c"]	"AROG-CPLX_RXN"	"AROG-CPLX"
"2-dehydro-3-deoxyphosphoheptonate aldolase"		[0.0, 0.0, 0.0, 0.0, 0.0, 77464.430, 0.0, 0.0, 0.0]	["c"]	"AROH-CPLX_RXN"	"AROH-CPLX"
"asparaginyl-tRNA synthetase"		[0.0, 0.0, 0.0, 0.0, 0.0, 105111.036, 0.0, 0.0, 0.0]	["c"]	"ASNS-CPLX_RXN"	"ASNS-CPLX"
"asparagine synthetase A"		[0.0, 0.0, 0.0, 0.0, 0.0, 73275.174, 0.0, 0.0, 0.0]	["c"]	"ASNSYNA-CPLX_RXN"	"ASNSYNA-CPLX"
"asparagine synthetase B"		[0.0, 0.0, 0.0, 0.0, 0.0, 125282.276, 0.0, 0.0, 0.0]	["c"]	"ASNSYNB-CPLX_RXN"	"ASNSYNB-CPLX"
"aspartate semialdehyde dehydrogenase"		[0.0, 0.0, 0.0, 0.0, 0.0, 80022.020, 0.0, 0.0, 0.0]	["c"]	"ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX_RXN"	"ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX"
"aspartate aminotransferase, PLP-dependent"		[0.0, 0.0, 0.0, 0.0, 0.0, 87132.954, 0.0, 0.0, 0.0]	["c"]	"ASPAMINOTRANS-DIMER_RXN"	"ASPAMINOTRANS-DIMER"
"aspartate ammonia-lyase"		[0.0, 0.0, 0.0, 0.0, 0.0, 209369.112, 0.0, 0.0, 0.0]	["c"]	"ASPARTASE-CPLX_RXN"	"ASPARTASE-CPLX"
"aspartate carbamoyltransferase, catalytic subunit"		[0.0, 0.0, 0.0, 0.0, 0.0, 103267.383, 0.0, 0.0, 0.0]	["c"]	"ASPCARBCAT-TRIMER_RXN"	"ASPCARBCAT-TRIMER"
"aspartate carbamoyltransferase, regulatory subunit"		[0.0, 0.0, 0.0, 0.0, 0.0, 34241.414, 0.0, 0.0, 0.0]	["c"]	"ASPCARBREG-DIMER_RXN"	"ASPCARBREG-DIMER"
"aspartate transcarbamylase"		[0.0, 0.0, 0.0, 0.0, 0.0, 309259.008, 0.0, 0.0, 0.0]	["c"]	"ASPCARBTRANS-CPLX_RXN"	"ASPCARBTRANS-CPLX"
"aspartate kinase / homoserine dehydrogenase"		[0.0, 0.0, 0.0, 0.0, 0.0, 356414.044, 0.0, 0.0, 0.0]	["c"]	"ASPKINIHOMOSERDEHYDROGI-CPLX_RXN"	"ASPKINIHOMOSERDEHYDROGI-CPLX"
"aspartate kinase / homoserine dehydrogenase"		[0.0, 0.0, 0.0, 0.0, 0.0, 177727.660, 0.0, 0.0, 0.0]	["c"]	"ASPKINIIHOMOSERDEHYDROGII-CPLX_RXN"	"ASPKINIIHOMOSERDEHYDROGII-CPLX"
"aspartate kinase III"		[0.0, 0.0, 0.0, 0.0, 0.0, 97029.568, 0.0, 0.0, 0.0]	["c"]	"ASPKINIII-CPLX_RXN"	"ASPKINIII-CPLX"
"aspartyl-tRNA synthetase"		[0.0, 0.0, 0.0, 0.0, 0.0, 131803.306, 0.0, 0.0, 0.0]	["c"]	"ASPS-CPLX_RXN"	"ASPS-CPLX"
"&beta; complex"		[0.0, 0.0, 0.0, 0.0, 0.0, 45909.500, 0.0, 0.0, 0.0]	["c"]	"ATOA-CPLX_RXN"	"ATOA-CPLX"
"&alpha; complex"		[0.0, 0.0, 0.0, 0.0, 0.0, 47038.516, 0.0, 0.0, 0.0]	["c"]	"ATOD-CPLX_RXN"	"ATOD-CPLX"
"ATP synthase F1 complex - alpha subunit"		[0.0, 0.0, 0.0, 0.0, 0.0, 165648.726, 0.0, 0.0, 0.0]	["i"]	"ATPA-CPLX_RXN"	"ATPA-CPLX"
"K+ transporting ATPase"		[0.0, 0.0, 0.0, 0.0, 0.0, 154695.843, 0.0, 0.0, 0.0]	["i"]	"ATPASE-1-CPLX_RXN"	"ATPASE-1-CPLX"
"ATP synthase F1 complex - beta subunit"		[0.0, 0.0, 0.0, 0.0, 0.0, 150916.383, 0.0, 0.0, 0.0]	["i"]	"ATPD-CPLX_RXN"	"ATPD-CPLX"
"ATP synthase F0 complex - subunit c"		[0.0, 0.0, 0.0, 0.0, 0.0, 82541.610, 0.0, 0.0, 0.0]	["i"]	"ATPE-CPLX_RXN"	"ATPE-CPLX"
"ATP synthase F0 complex - b subunit"		[0.0, 0.0, 0.0, 0.0, 0.0, 34461.904, 0.0, 0.0, 0.0]	["i"]	"ATPF-CPLX_RXN"	"ATPF-CPLX"
