expression_rate	direction	right	terminator_id	name	promoter_id	degradation_rate	id	gene_id	left
49.7618873258	f	3497225	[u'TERM_WC-402']	cysG	PM0-1	0.0912035763895	TU0-0	[u'EG10188']	3495776
0.0	f	1150629	[u'TERM_WC-1913']	rpmF-plsX-fabHDG	PM0-10020	0.043309852133	TU0-1	[u'EG10277', u'EG10890', u'EG11317', u'EG11318', u'EG11437']	1146561
24.9288428458	r	1830037	[u'TERM_WC-175']	astCADBE	PM0-1162	0.0853104222228	TU0-1002	[u'G6940', u'G6941', u'G6942', u'G6943', u'G6944']	1823977
24.9288428458	r	1830068	[u'TERM_WC-174']	astCADBE	PM0-1163	0.0853104222228	TU0-1003	[u'G6940', u'G6941', u'G6942', u'G6943', u'G6944']	1823977
24.9288428458	r	1830063	[u'TERM_WC-176']	astCADBE	PM0-1164	0.0853104222228	TU0-1004	[u'G6940', u'G6941', u'G6942', u'G6943', u'G6944']	1823977
1007.56940546	f	192582	[u'TERM_WC-1753']	pyrH	PM0-1181	0.177730046297	TU0-1021	[u'EG11539']	191812
123.819799378	f	2802485	[u'TERM_WC-1480']	nrdHIEF	PM0-1182	0.364814305558	TU0-1022	[u'EG12381', u'EG20257', u'G7401', u'G7402']	2798678
47.8984505972	f	4104402	[u'TERM0241']	cpxP	PM0-1201	0.0990210257943	TU0-1041	[u'G7816']	4103808
274.390309277	f	4042069	[u'TERM_WC-1797']	rdoA-dsbA	PM0-1221	0.133297534723	TU0-1061	[u'EG11297', u'EG11831']	4040414
242.699249446	f	4042069	[u'TERM_WC-504']	dsbA	PM0-1222	0.117902165406	TU0-1062	[u'EG11297']	4041400
717.160046939	r	3475547	[u'TERM_WC-651']	fkpA	PM00564	0.187337075827	TU0-1063	[u'G7716']	3474627
717.160046939	r	3475521	[u'TERM_WC-650']	fkpA	PM00565	0.187337075827	TU0-1064	[u'G7716']	3474627
13.5147580507	r	915435	[u'TERM_WC-119']	aqpZ	PM0-44658	0.0805985093674	TU0-1106	[u'EG13270']	914573
26.1503526786	f	944121	[u'TERM_WC-485']	dmsABC	PM0-1282	0.110023361994	TU0-1122	[u'EG10232', u'EG10233', u'EG10234']	940101
166.277344277	f	818972	[u'TERM_WC-1336']	moaABCDE	PM0-1284	0.216608493925	TU0-1123	[u'EG11595', u'EG11596', u'EG11597', u'EG11598', u'EG11666']	816137
841.285569105	f	1158527	[u'TERM_WC-1721']	ptsG	PM0-1301	0.128360588993	TU0-1141	[u'EG10787']	1156989
841.285569105	f	1158527	[u'TERM_WC-1722']	ptsG	PM0-1302	0.128360588993	TU0-1142	[u'EG10787']	1156849
201.871228266	r	2714545	[u'TERM_WC-3202']	yfiD	PM0-1303	0.111797932348	TU0-1143	[u'EG11784']	2714086
48.7282467934	f	211822	[u'TERM_WC-1125']	ldcC	PM0-1321	0.138629436112	TU0-1161	[u'G6094']	209679
4203.01819054	f	4038661	[u'TERM_WC-1939']	rrsA-ileT-alaT-rrlA-rrfA	PM0-1341	0.121617361853	TU0-1181	[u'EG30008', u'EG30043', u'EG30070', u'EG30077', u'EG30084']	4033262
4008.30879422	f	4169985	[u'TERM0-1115', u'TERM0-1116']	rrsB-gltT-rrlB-rrfB	PM00514	0.121617361853	TU0-1182	[u'EG30032', u'EG30071', u'EG30078', u'EG30085']	4164390
7973.44180341	f	3945090	[u'TERM0-1117']	rrsC-gltU-rrlC-rrfC	PM0-1343	0.121617361853	TU0-1183	[u'EG30033', u'EG30072', u'EG30079', u'EG30086']	3939539
7973.44180341	f	3945090	[u'TERM0-1117']	rrsC-gltU-rrlC-rrfC	PM0-1344	0.121617361853	TU0-1184	[u'EG30033', u'EG30072', u'EG30079', u'EG30086']	3939656
8875.60831225	f	4211184	[u'TERM_WC-1943']	rrsE-gltV-rrlE-rrfE	PM0-1346	0.121617361853	TU0-1186	[u'EG30034', u'EG30074', u'EG30081', u'EG30088']	4205886
7526.47894521	r	2729470	[u'TERM_WC-1946']	rrsG-gltW-rrlG-rrfG	PM0-1347	0.121617361853	TU0-1187	[u'EG30035', u'EG30075', u'EG30082', u'EG30089']	2724089
7526.47894521	r	2729354	[u'TERM_WC-1945']	rrsG-gltW-rrlG-rrfG	PM0-1348	0.121617361853	TU0-1188	[u'EG30035', u'EG30075', u'EG30082', u'EG30089']	2724089
8669.94240779	f	228877	[u'TERM_WC-1948']	rrsH-ileV-alaV-rrlH-rrfH	PM0-1349	0.121617361853	TU0-1189	[u'EG30010', u'EG30045', u'EG30076', u'EG30083', u'EG30090']	223485
8669.94240779	f	228877	[u'TERM_WC-1947']	rrsH-ileV-alaV-rrlH-rrfH	PM0-1350	0.121617361853	TU0-1190	[u'EG30010', u'EG30045', u'EG30076', u'EG30083', u'EG30090']	223593
1202.32869806	r	3427069	[u'TERM_WC-1942']	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	PM0-1351	0.121617361853	TU0-1191	[u'EG30009', u'EG30044', u'EG30073', u'EG30080', u'EG30087', u'EG30091', u'EG30103']	3421443
1202.32869806	r	3426962	[u'TERM_WC-1941']	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	PM0-1352	0.121617361853	TU0-1192	[u'EG30009', u'EG30044', u'EG30073', u'EG30080', u'EG30087', u'EG30091', u'EG30103']	3421443
34.5846244088	r	3880756	[u'TERM_WC-493']	dnaN-recF	PM00464	0.21004460017	TU0-1193	[u'EG10242', u'EG10828']	3878169
34.5846244088	r	3880613	[u'TERM_WC-492']	dnaN-recF	PM00463	0.21004460017	TU0-1194	[u'EG10242', u'EG10828']	3878169
34.5846244088	r	3880585	[u'TERM_WC-495']	dnaN-recF	PM00462	0.21004460017	TU0-1195	[u'EG10242', u'EG10828']	3878169
34.5846244088	r	3880371	[u'TERM_WC-494']	dnaN-recF	PM00461	0.21004460017	TU0-1196	[u'EG10242', u'EG10828']	3878169
219.60197027	r	3637871	[u'TERM_WC-2299']	uspB	PM0-1358	0.121617361853	TU0-1198	[u'EG12231']	3637406
2799.47680548	f	1841740	[u'TERM_WC-766']	gdhA	PM00379	0.301368339374	TU0-1201	[u'EG10372']	1840332
1156.69368973	f	4374290	[u'TERM_WC-544']	efp	PM0-1382	0.216608493925	TU0-1222	[u'EG12099']	4373590
77.6109196438	f	4375217	[u'TERM_WC-2127']	sugE	PM0-1401	0.154032706791	TU0-1241	[u'EG11616']	4374817
84.1203418328	f	4447067	[u'TERM_WC-292']	chpSB	PM0-1422	0.138629436112	TU0-1261	[u'EG11250', u'EG12096']	4446451
42.6321997475	f	4638567	[u'TERM_WC-3738']	yjjY	PM0-46115	0.182407152779	TU0-12785	[u'G7954']	4638381
245.412081421	f	4639653	[u'TERM_WC-3741']	yjtD	PM0-46116	0.135911211874	TU0-12786	[u'EG12309']	4638921
47.4988768455	f	5532	[u'TERM_WC-2375']	yaaX	PM0-44333	0.121617361853	TU0-12787	[u'G6081']	5030
88.1245436506	r	6587	[u'TERM_WC-2367']	yaaA	PM0-44334	0.182407152779	TU0-12788	[u'EG10011']	5681
16.0977169307	r	8017	[u'TERM_WC-2372']	yaaJ	PM0-44336	0.0835117085012	TU0-12789	[u'EG11555']	6527
122.706040711	f	9895	[u'TERM_WC-1346']	mog	PM_WC-183	0.0679556059372	TU0-12790	[u'EG11511']	9306
58.3106796084	r	10494	[u'TERM_WC-2368']	yaaH	PM_WC-301	0.130782486898	TU0-12791	[u'EG11512']	9926
223.500288437	r	11542	[u'TERM_WC-2374']	yaaW	PM0-44337	0.123776282243	TU0-12792	[u'G6082']	10641
329.368846118	f	16559	[u'TERM_WC-1052']	insL-1	PM0-44341	0.182407152779	TU0-12793	[u'G6083']	15380
9.42680165562	r	16960	[u'TERM_WC-1348']	mokC-hokC	PM_WC-184	0.0835117085012	TU0-12794	[u'EG10373', u'G0-9563']	16749
219.60197027	f	17008	[u'TERM_WC-2088']	sokC	PM_WC-267	0.121617361853	TU0-12795	[u'G0-9581']	16952
245.412081421	r	20508	[u'TERM_WC-1009']	insA-1B-1-insAB-1	PM_WC-116	0.135911211874	TU0-12796	[u'G0-10535', u'G6085', u'G6086']	19809
162.545664318	f	28209	[u'TERM_WC-1858']	rihC	PM_WC-242	0.0900191143584	TU0-12797	[u'EG11082']	27293
18.793701703	f	47140	[u'TERM_WC-2373']	yaaU	PM0-10464	0.0855737259951	TU0-12799	[u'EG11566']	45592
43.2432637093	f	49633	[u'TERM_WC-1112']	kefFC	PM0-44347	0.0912035763895	TU0-12800	[u'EG10521', u'EG11568']	47080
215.135556166	f	58181	[u'TERM_WC-474']	djlA	PM0-44349	0.17328679514	TU0-12801	[u'EG11570']	57268
163.722529002	f	59281	[u'TERM_WC-2377']	yabPQ	PM_WC-302	0.116495324464	TU0-12802	[u'EG12610', u'EG12611']	58474
61.4128401976	f	72117	[u'TERM_WC-2376']	yabI	PM0-9957	0.115524530093	TU0-12804	[u'EG11571']	71271
63.6576195989	r	77338	[u'TERM_WC-2052']	sgrR-sroA-tbpA-thiPQ	PM0-9592	0.0953872266826	TU0-12805	[u'EG11572', u'EG11573', u'EG11574', u'EG12094', u'G0-9381']	72227
45.6405635564	f	78801	[u'TERM_WC-2053']	sgrST-setA	PM0-9591	0.121617361853	TU0-12806	[u'EG11754', u'G0-10617', u'G0-9941']	77367
17.9129035662	f	85314	[u'TERM_WC-1138']	leuO	PM0-9884	0.0990210257943	TU0-12807	[u'EG10531']	84188
64.9436712298	f	89034	[u'TERM_WC-332']	cra	PM0-44353	0.121617361853	TU0-12808	[u'EG10338']	87947
394.562135231	f	107544	[u'TERM0-1064']	lpxC	PM0-9872	0.103454803069	TU0-12809	[u'EG10265']	106508
1654.95243208	r	710052	[u'TERM3', u'TERM73']	uof-fur	PM0-1441	0.288811325233	TU0-1281	[u'EG10359', u'G0-10580']	709341
145.699537354	r	113219	[u'TERM_WC-317']	coaE-zapD-yacG	PM_WC-45	0.21004460017	TU0-12810	[u'EG12312', u'EG12313', u'EG12314']	111647
12.5459639681	r	117705	[u'TERM_WC-1654']	ppdD-hofBC	PM0-10364	0.105022300085	TU0-12811	[u'EG11798', u'EG12106', u'EG12107']	114520
144.078639331	r	118663	[u'TERM_WC-1418']	nadC	PM0-36221	0.266595069446	TU0-12812	[u'EG11546']	117750
227.295401609	f	134752	[u'TERM_WC-2381']	yacL	PM0-9961	0.177730046297	TU0-12813	[u'EG12605']	134339
147.02441361	f	144474	[u'TERM_WC-2388']	yadGH	PM_WC-303	0.175480298876	TU0-12815	[u'EG12320', u'EG12321']	142779
24.6878378778	f	145019	[u'TERM_WC-2389']	yadI	PM_WC-304	0.147478123523	TU0-12816	[u'EG12322']	144577
13.7035197597	f	146312	[u'TERM_WC-2386']	yadE	PM0-44357	0.115524530093	TU0-12817	[u'EG11749']	144965
0.0	r	150953	[u'TERM_WC-2382']	yadC	PM0-9785	0.0815467271247	TU0-12818	[u'EG11678']	149713
126.319089063	f	164536	[u'TERM_WC-941']	hrpB	PM0-44370	0.121617361853	TU0-12819	[u'EG12329']	162075
180.906279703	r	710744	[u'TERM3', u'TERM73']	fldA-fur	PM0-1442	0.256721177985	TU0-1282	[u'EG10318', u'EG10359', u'G0-10580']	709341
65.2939292319	f	167266	[u'TERM_WC-1371']	mrcB	PM0-9962	0.121617361853	TU0-12820	[u'EG10605']	164721
312.900403812	f	176530	[u'TERM_WC-299']	clcA	PM0-44371	0.17328679514	TU0-12821	[u'EG12331']	175052
30.9272600145	r	179183	[u'TERM_WC-1390']	mtn-btuF-yadS	PM0-9547	0.161197018735	TU0-12822	[u'EG11090', u'EG12333', u'EG12334']	176999
46.7181199697	f	180756	[u'TERM_WC-459']	dgt	PM0-9548	0.16503504299	TU0-12823	[u'EG10225']	179196
59.4113144704	r	184095	[u'TERM_WC-2401']	yaeH	PM_WC-306	0.0505946847124	TU0-12825	[u'EG12336']	183707
48.8134048755	r	185069	[u'TERM_WC-2402']	yaeI	PM_WC-307	0.0990210257943	TU0-12826	[u'EG12337']	184255
210.247191574	r	189506	[u'TERM_WC-1215']	map-glnD-dapD	PM_WC-163	0.223595864697	TU0-12827	[u'EG10207', u'EG10570', u'EG11411']	185121
1654.95243208	r	709946	[u'TERM3', u'TERM73']	fur	PM00348	0.288811325233	TU0-1283	[u'EG10359']	709341
844.97208522	f	193431	[u'TERM_WC-691']	frr	PM0-44375	0.256721177985	TU0-12830	[u'EG10335']	192812
78.2365124801	f	194719	[u'TERM_WC-523']	dxr	PM0-44377	0.16503504299	TU0-12831	[u'EG12715']	193471
55.3771278254	f	212268	[u'TERM_WC-2407']	yaeR	PM0-44383	0.133297534723	TU0-12832	[u'G6095']	211858
162.579321551	f	213631	[u'TERM_WC-2184']	tilS	PM_WC-280	0.16503504299	TU0-12833	[u'G6096']	212331
139.87107367	r	214187	[u'TERM_WC-2403']	yaeP-rof	PM0-36224	0.150684169687	TU0-12834	[u'G372', u'G6097']	213676
165.459113318	f	215981	[u'TERM_WC-2405']	yaeQ-arfB-nlpE	PM0-36225	0.146439545189	TU0-12835	[u'EG12137', u'EG12354', u'G6098']	214280
5.64971767499	r	217135	[u'TERM_WC-2400']	yaeF	PM0-44386	0.113630685338	TU0-12836	[u'EG12138']	216177
178.247258329	r	219995	[u'TERM_WC-1790']	rcsF-yaeB	PM_WC-230	0.137256867438	TU0-12837	[u'EG11502', u'EG11503']	218885
368.118122132	f	223410	[u'TERM_WC-829']	gmhB	PM0-9966	0.203866817812	TU0-12838	[u'EG11736']	222806
49.3982890679	f	229972	[u'TERM_WC-476']	dkgB	PM0-10442	0.128360588993	TU0-12839	[u'EG11648']	229098
43.7728524762	f	232551	[u'TERM_WC-2409']	yafDE	PM0-9742	0.243209537039	TU0-12840	[u'EG11650', u'EG11651']	231064
909.459511599	r	234025	[u'TERM_WC-1317']	mltD	PM0-44388	0.315066900255	TU0-12841	[u'EG10246']	232595
9.13326889307	r	234926	[u'TERM_WC-805']	gloB	PM0-44390	0.0301368339374	TU0-12842	[u'G6099']	234025
144.353676578	f	236800	[u'TERM_WC-497']	dnaQ	PM_WC-59	0.144405662617	TU0-12843	[u'EG10243']	236067
4.64198566375	f	238122	[u'TERM_WC-2416']	yafT	PM0-44392	0.105022300085	TU0-12844	[u'G6101']	237235
219.60197027	f	238588	[u'TERM_WC-239']	C0067	PM_WC-29	0.121617361853	TU0-12845	[u'G0-8896']	238462
9.78514566972	f	244123	[u'TERM_WC-1168']	lpcA	PM0-44397	0.130782486898	TU0-12846	[u'G6106']	243468
202.356785156	f	245096	[u'TERM_WC-2411']	yafJ	PM_WC-309	0.301368339374	TU0-12847	[u'G6107']	244327
557.978148449	r	245993	[u'TERM_WC-2412']	yafK	PM0-44398	0.266595069446	TU0-12848	[u'G6108']	245063
295.446334089	r	246615	[u'TERM_WC-472']	dinJ-yafQ	PM0-10350	0.180038228717	TU0-12849	[u'G6109', u'G6110']	245959
20.2735048084	f	247463	[u'TERM_WC-2413']	yafL	PM0-44399	0.105022300085	TU0-12850	[u'G6111']	246641
29.536321644	f	248136	[u'TERM_WC-1778']	rayT	PM0-44400	0.0825175214952	TU0-12851	[u'G6112']	247544
164.684423059	f	250829	[u'TERM_WC-1123']	lafU	PM_WC-151	0.0912035763895	TU0-12852	[u'G6114']	250072
32.0027703615	f	253163	[u'TERM_WC-468']	dinB-yafNOP	PM0-10387	0.123776282243	TU0-12853	[u'G6115', u'G6116', u'G6117', u'G6118']	250880
26.6161654492	f	253163	[u'TERM_WC-2414']	yafNOP	PM0-9802	0.102942650578	TU0-12854	[u'G6116', u'G6117', u'G6118']	251969
17.0559658692	f	254204	[u'TERM_WC-3748']	ykfJ-prfH	PM_WC-595	0.113630685338	TU0-12855	[u'EG11496', u'G6119']	253467
343.406079971	f	256437	[u'TERM_WC-847']	gpt	PM_WC-102	0.121617361853	TU0-12856	[u'EG10414']	255977
63.0052053421	f	257773	[u'TERM_WC-693']	frsA	PM0-10206	0.187337075827	TU0-12857	[u'EG11091']	256502
120.52096602	f	258232	[u'TERM_WC-337']	crl	PM0-9747	0.216608493925	TU0-12858	[u'EG11092']	257810
14.2096454712	r	265777	[u'TERM_WC-2421']	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	PM_WC-310	0.133297534723	TU0-12859	[u'G0-10432', u'G6120', u'G6121', u'G6122', u'G6123', u'G6124', u'G6125', u'G6126']	262550
17.0219250171	r	268184	[u'TERM_WC-3742']	ykfA-yafZ	PM_WC-593	0.147478123523	TU0-12860	[u'G6127', u'G6128']	266406
41.1212623899	r	269406	[u'TERM_WC-1580']	perR	PM_WC-208	0.121617361853	TU0-12861	[u'G6129']	268511
258.952058327	f	271481	[u'TERM_WC-1057']	insN-1I-1O-1	PM0-46127	0.143409761495	TU0-12862	[u'G6130', u'G6131', u'G6132']	269450
54.3485151824	f	273218	[u'TERM_WC-3745']	ykfC	PM_WC-594	0.144405662617	TU0-12863	[u'G6133']	272071
97.2932969088	f	276873	[u'TERM_WC-1319']	mmuPM	PM0-44406	0.175480298876	TU0-12864	[u'G6135', u'G6136']	274343
20.8459279942	r	279099	[u'TERM_WC-1010']	insA-2B-2-afuBC-insAB-2	PM_WC-117	0.15150758045	TU0-12865	[u'EG12340', u'G0-10537', u'G6137', u'G6138', u'G6139']	276978
42.8880591464	r	281207	[u'TERM_WC-2423']	yagAB-ykgN	PM_WC-311	0.0845301439707	TU0-12866	[u'EG12338', u'EG12339', u'G0-10433']	279246
25.756998269	f	284394	[u'TERM_WC-2425']	yagEF	PM0-44411	0.087740149438	TU0-12867	[u'G6140', u'G6141']	281447
22.3312900275	f	287625	[u'TERM_WC-2426']	yagGH	PM0-44413	0.0796720897195	TU0-12868	[u'G6142', u'G6143']	284495
89.4526823194	r	288416	[u'TERM_WC-2430']	yagI	PM0-44417	0.101933408906	TU0-12869	[u'G6144']	287626
403.742456531	r	290570	[u'TERM_WC-1011']	insA-3B-3-insAB-3	PM_WC-118	0.223595864697	TU0-12870	[u'G0-10538', u'G6146']	289871
12.6437641868	r	292342	[u'TERM_WC-2432']	yagK	PM0-44418	0.0949516685699	TU0-12871	[u'G6148']	291544
2.13276055557	r	294023	[u'TERM_WC-2434']	yagML	PM_WC-313	0.106638027778	TU0-12872	[u'G6149', u'G6150']	292442
331.292360899	r	294884	[u'TERM_WC-2438']	yagN	PM0-44420	0.133297534723	TU0-12873	[u'G6151']	294361
73.9070931856	r	296320	[u'TERM_WC-1063']	intF	PM_WC-136	0.110023361994	TU0-12874	[u'G6152']	294918
14.4118412434	r	297015	[u'TERM_WC-2439']	yagP	PM_WC-314	0.0936685379135	TU0-12875	[u'G6153']	296603
190.357660114	r	301797	[u'TERM_WC-1548']	paoABCD	PM_WC-204	0.10542162442	TU0-12876	[u'G6154', u'G6155', u'G6156', u'G6157']	296992
44.8441470566	r	303482	[u'TERM_WC-3767']	ykgJ	PM0-44424	0.123776282243	TU0-12877	[u'G6159']	303075
30.4721718978	r	309343	[u'TERM_WC-535']	ecpBCDE	PM0-9969	0.106638027778	TU0-12878	[u'G6160', u'G6161', u'G6162', u'G6163']	303717
24.2090773168	r	310021	[u'TERM_WC-533']	ecpA	PM0-44426	0.0912035763895	TU0-12879	[u'G6164']	309306
219.579230745	r	310617	[u'TERM_WC-537']	ecpR	PM0-44427	0.121604768519	TU0-12880	[u'G6165']	309968
192.554094653	r	312029	[u'TERM_WC-3769']	ykgMO	PM0-9892	0.106638027778	TU0-12881	[u'G0-10434', u'G6167']	311596
18.1084700921	f	315679	[u'TERM_WC-526']	eaeH-insE-1F-1-insEF-1	PM_WC-62	0.144405662617	TU0-12882	[u'EG12161', u'G0-10525', u'G6168', u'G6169']	313581
15.9477170543	r	316360	[u'TERM_WC-3749']	ykgA	PM_WC-596	0.133297534723	TU0-12883	[u'G6170']	315672
4.68259428645	r	317791	[u'TERM_WC-3765']	ykgIB	PM_WC-598	0.110023361994	TU0-12884	[u'G6171', u'G6173']	316948
15.9951033891	r	319439	[u'TERM_WC-3757']	ykgC	PM0-44438	0.0976263634591	TU0-12885	[u'G6174']	317898
23.4426453802	f	320307	[u'TERM_WC-3759']	ykgD	PM0-44441	0.101933408906	TU0-12886	[u'G6175']	319417
72.2940348847	f	323679	[u'TERM_WC-3761']	ykgEFG	PM0-44443	0.121604768519	TU0-12887	[u'G6176', u'G6177', u'G6178']	320735
5.23366894686	r	324588	[u'TERM_WC-3764']	ykgH	PM_WC-597	0.0815467271247	TU0-12888	[u'G6180']	323918
149.424048204	f	332685	[u'TERM_WC-2442']	yahA	PM0-9569	0.0924196240747	TU0-12889	[u'EG11236']	331263
8.40461834356	r	333657	[u'TERM_WC-2443']	yahB	PM_WC-316	0.0835117085012	TU0-12890	[u'G6181']	332723
33.1462981744	r	334292	[u'TERM_WC-2444']	yahC	PM0-44449	0.0990210257943	TU0-12891	[u'G6182']	333747
32.8025322689	f	338969	[u'TERM_WC-2445']	yahDEFG	PM_WC-317	0.087740149438	TU0-12892	[u'G6183', u'G6184', u'G6185', u'G6186']	334504
48.5618125881	f	339315	[u'TERM_WC-2447']	yahH	PM_WC-318	0.121617361853	TU0-12893	[u'G0-10550']	339017
22.0755824555	f	341733	[u'TERM_WC-2448']	yahIJ	PM_WC-319	0.115524530093	TU0-12894	[u'G6188', u'G6189']	339389
69.6162978819	f	343159	[u'TERM_WC-2449']	yahK	PM_WC-320	0.121604768519	TU0-12895	[u'G6190']	342108
2.31806598089	f	344217	[u'TERM_WC-2450']	yahL	PM_WC-321	0.113630685338	TU0-12896	[u'G6191']	343400
9.20926007895	f	344875	[u'TERM_WC-2451']	yahM	PM0-44450	0.106638027778	TU0-12897	[u'G6192']	344476
17.0358004236	f	375896	[u'TERM_WC-1295']	mhpT	PM0-10441	0.0976263634591	TU0-12900	[u'G6206']	374610
235.598949372	f	376537	[u'TERM_WC-2462']	yaiL	PM_WC-323	0.177730046297	TU0-12901	[u'G6207']	375996
78.8782972278	r	379105	[u'TERM_WC-690']	frmRAB	PM_WC-85	0.079367997774	TU0-12902	[u'EG50010', u'G6208', u'G6209']	376757
10.4000958217	r	380283	[u'TERM_WC-2474']	yaiXO	PM_WC-326	0.0722028313083	TU0-12903	[u'G6210', u'G6211']	379291
