# From Sanchez-Vazquez et al. Genome-wide effects on Escherichia coli transcription from ppGpp binding to its two sites on RNA polymerase. PNAS. 2019. (Dataset S01)
# Downloaded from: https://www.pnas.org/highwire/filestream/859108/field_highwire_adjunct_files/1/pnas.1819682116.sd01.xlsx
"Gene"	"Synonym"	"length"	"Start"	"end"	"Strand"	"1+2+ 5 min"	"1+2+ 5 min Category"	"1+2+ 10 min"	"1+2+ 10 min Category"	"1-2- 5 min"	"1-2- 5 min Category"	"1-2- 10 min"	"1-2- 10 min Category"	"1-2-/1+2+ 0 min"	"1-2-/1+2+ 0 min Category"
"secG"	"b3175"	333	3322173	3322505	"-"	-2.06	"A"	-2.86	"A"	-0.30	"C"	-0.31	"C"	-0.57	"C"
"nusG"	"b3982"	546	4177743	4178288	"+"	-1.57	"A"	-2.01	"A"	-0.25	"C"	-0.68	"C"	-0.20	"C"
"aroK"	"b3390"	522	3518543	3519064	"-"	-1.65	"A"	-2.29	"A"	-0.46	"C"	-0.95	"C"	-0.21	"C"
"pssA"	"b2585"	1356	2722727	2724082	"+"	-1.22	"A"	-1.73	"A"	-0.26	"C"	-0.56	"C"	-0.59	"C"
"lepB"	"b2568"	975	2704335	2705309	"-"	-1.41	"A"	-2.10	"A"	-0.26	"C"	-0.56	"C"	-0.17	"C"
"parE"	"b3030"	1893	3173504	3175396	"-"	-1.47	"A"	-2.16	"A"	-0.26	"C"	-0.52	"C"	-0.58	"C"
"rplU"	"b3186"	312	3333140	3333451	"-"	-1.66	"A"	-2.65	"A"	-0.34	"C"	-0.61	"C"	-0.17	"C"
"mltD"	"b0211"	1359	232597	233955	"-"	-1.52	"A"	-2.34	"A"	-0.33	"C"	-0.64	"C"	-0.22	"C"
"kup"	"b3747"	1869	3931316	3933184	"+"	-1.67	"A"	-1.80	"A"	-0.55	"C"	-0.86	"C"	-0.55	"C"
"wzxB"	"b2037"	1248	2108337	2109584	"-"	-1.52	"A"	-2.42	"A"	-0.32	"C"	-0.46	"C"	-0.20	"C"
"mscK"	"b0465"	3363	486536	489898	"+"	-1.05	"A"	-1.79	"A"	-0.26	"C"	-0.71	"C"	-0.40	"C"
"ytfL"	"b4218"	1344	4439872	4441215	"-"	-1.66	"A"	-1.91	"A"	-0.56	"C"	-0.80	"C"	-0.23	"C"
"mreD"	"b3249"	489	3398387	3398875	"-"	-1.59	"A"	-2.33	"A"	-0.40	"C"	-0.89	"C"	-0.26	"C"
"lpxB"	"b0182"	1149	203348	204496	"+"	-1.17	"A"	-1.39	"A"	-0.32	"C"	-0.60	"C"	-0.26	"C"
"artM"	"b0861"	669	900866	901534	"-"	-1.19	"A"	-1.08	"A"	-0.87	"C"	-0.76	"C"	-0.52	"C"
"cspA"	"b3556"	213	3720049	3720261	"+"	-2.18	"A"	-3.57	"A"	-0.83	"C"	-0.88	"C"	-0.95	"C"
"yegQ"	"b2081"	1362	2165668	2167029	"+"	-2.97	"A"	-4.19	"A"	-0.21	"C"	-0.64	"C"	0.38	"D"
"mnmG"	"b3741"	1890	3923744	3925633	"-"	-2.25	"A"	-2.83	"A"	-0.26	"C"	-0.61	"C"	0.64	"D"
"purL"	"b2557"	3888	2691656	2695543	"-"	-2.66	"A"	-2.96	"A"	-0.39	"C"	-0.72	"C"	0.82	"D"
"tsaB"	"b1807"	696	1890572	1891267	"-"	-2.34	"A"	-2.99	"A"	-0.46	"C"	-0.95	"C"	0.65	"D"
"yejM"	"b2188"	1761	2284376	2286136	"+"	-1.06	"A"	-1.64	"A"	-0.26	"C"	-0.40	"C"	0.19	"D"
"ybjL"	"b0847"	1686	888134	889819	"-"	-1.20	"A"	-1.70	"A"	-0.30	"C"	-0.64	"C"	0.47	"D"
"ldtB"	"b0819"	921	854824	855744	"-"	-1.06	"A"	-1.07	"A"	-0.30	"C"	-0.39	"C"	0.61	"D"
"ynjE"	"b1757"	1308	1839467	1840774	"+"	-1.06	"A"	-1.46	"A"	-0.55	"C"	-0.48	"C"	0.36	"D"
"rlmN"	"b2517"	1155	2643129	2644283	"-"	-2.01	"A"	-2.96	"A"	-0.23	"C"	-0.49	"C"	-0.11	"E"
"mrdA"	"b0635"	1902	666316	668217	"-"	-2.19	"A"	-2.78	"A"	-0.30	"C"	-0.56	"C"	-0.11	"E"
"pheP"	"b0576"	1377	601959	603335	"+"	-2.41	"A"	-3.44	"A"	-0.27	"C"	-0.68	"C"	0.00	"E"
"ybiP"	"b0815"	1584	851014	852597	"-"	-2.85	"A"	-3.52	"A"	-0.44	"C"	-0.63	"C"	0.12	"E"
"mrcA"	"b3396"	2553	3522871	3525423	"+"	-2.32	"A"	-3.16	"A"	-0.38	"C"	-0.78	"C"	0.15	"E"
"recF"	"b3700"	1074	3880148	3881221	"-"	-1.94	"A"	-2.58	"A"	-0.42	"C"	-0.94	"C"	0.07	"E"
"murJ"	"b1069"	1536	1127839	1129374	"+"	-2.33	"A"	-3.30	"A"	-0.38	"C"	-0.83	"C"	-0.04	"E"
"nlpI"	"b3163"	885	3308040	3308924	"-"	-1.33	"A"	-1.26	"A"	-0.26	"C"	-0.25	"C"	-0.11	"E"
"efp"	"b4147"	567	4375699	4376265	"+"	-1.08	"A"	-1.67	"A"	-0.27	"C"	-0.57	"C"	0.00	"E"
"aroB"	"b3389"	1089	3517398	3518486	"-"	-1.31	"A"	-1.75	"A"	-0.31	"C"	-0.69	"C"	-0.09	"E"
"rpsJ"	"b3321"	312	3452959	3453270	"-"	-1.52	"A"	-3.96	"A"	-0.41	"C"	-0.94	"C"	-0.07	"E"
"yahA"	"b0315"	1089	332371	333459	"+"	-1.76	"A"	-2.61	"A"	-0.51	"C"	-0.95	"C"	0.22	"E"
"ygdQ"	"b2832"	714	2970420	2971133	"+"	-1.60	"A"	-1.93	"A"	-0.41	"C"	-0.54	"C"	0.05	"E"
"trmJ"	"b2532"	741	2662583	2663323	"-"	-1.07	"A"	-1.10	"A"	-0.30	"C"	-0.56	"C"	0.12	"E"
"gtrA"	"b2350"	363	2467855	2468217	"+"	-1.29	"A"	-2.03	"A"	-0.53	"C"	-0.88	"C"	-0.08	"E"
"mntP"	"b1821"	567	1905688	1906254	"+"	-2.87	"A"	-3.03	"A"	-0.61	"C"	-0.34	"E"	0.27	"E"
"ycaO"	"b0905"	1761	954872	956632	"-"	-1.78	"A"	-3.80	"A"	-0.20	"E"	-1.00	"A"	-0.41	"C"
"thiQ"	"b0066"	699	72229	72927	"-"	-1.26	"A"	-1.21	"A"	-0.85	"E"	-1.18	"A"	-0.16	"E"
"tsaC"	"b3282"	573	3430843	3431415	"-"	-1.03	"A"	-1.82	"A"	-0.31	"E"	-0.59	"C"	-1.42	"A"
"alx"	"b3088"	966	3238580	3239545	"+"	-1.41	"A"	-2.12	"A"	-0.31	"E"	-0.67	"C"	-1.27	"A"
"purM"	"b2499"	1038	2621197	2622234	"+"	-2.71	"A"	-2.84	"A"	-0.13	"E"	-0.44	"C"	1.14	"B"
"mdfA"	"b0842"	1233	883673	884905	"+"	-1.76	"A"	-2.17	"A"	-0.12	"E"	-0.31	"C"	1.06	"B"
"purH"	"b4006"	1590	4205943	4207532	"-"	-1.86	"A"	-2.23	"A"	-0.14	"E"	-0.44	"C"	1.02	"B"
"bioA"	"b0774"	1290	807968	809257	"-"	-1.04	"A"	-2.14	"A"	-0.06	"E"	-0.34	"C"	1.22	"B"
"rplA"	"b3984"	705	4178879	4179583	"+"	-2.34	"A"	-3.09	"A"	-0.26	"E"	-0.59	"C"	-0.33	"C"
"rplK"	"b3983"	429	4178447	4178875	"+"	-2.41	"A"	-3.13	"A"	-0.30	"E"	-0.56	"C"	-0.29	"C"
"trmA"	"b3965"	1101	4162170	4163270	"-"	-1.86	"A"	-2.11	"A"	-0.10	"E"	-0.24	"C"	-0.21	"C"
"rpsO"	"b3165"	270	3311415	3311684	"-"	-1.74	"A"	-2.53	"A"	-0.25	"E"	-0.42	"C"	-0.27	"C"
"menA"	"b3930"	927	4119423	4120349	"-"	-1.96	"A"	-2.26	"A"	-0.25	"E"	-0.60	"C"	-0.24	"C"
"panF"	"b3258"	1452	3407607	3409058	"+"	-2.55	"A"	-3.05	"A"	-0.31	"E"	-0.82	"C"	-0.30	"C"
"rplM"	"b3231"	429	3378223	3378651	"-"	-1.61	"A"	-2.78	"A"	-0.17	"E"	-0.57	"C"	-0.27	"C"
"rpsI"	"b3230"	393	3377815	3378207	"-"	-1.61	"A"	-2.77	"A"	-0.11	"E"	-0.49	"C"	-0.33	"C"
"obgE"	"b3183"	1173	3330582	3331754	"-"	-2.62	"A"	-3.35	"A"	-0.17	"E"	-0.56	"C"	-0.54	"C"
"dnaE"	"b0184"	3483	205126	208608	"+"	-1.23	"A"	-1.96	"A"	-0.18	"E"	-0.46	"C"	-0.48	"C"
"rnc"	"b2567"	681	2703383	2704063	"-"	-1.51	"A"	-1.88	"A"	-0.24	"E"	-0.51	"C"	-0.15	"C"
"wecB"	"b3786"	1131	3970133	3971263	"+"	-1.28	"A"	-1.77	"A"	-0.21	"E"	-0.44	"C"	-0.29	"C"
"rfbB"	"b2041"	1086	2111976	2113061	"-"	-1.30	"A"	-2.12	"A"	-0.21	"E"	-0.50	"C"	-0.38	"C"
"rpsU"	"b3065"	216	3210781	3210996	"+"	-1.63	"A"	-2.54	"A"	-0.17	"E"	-0.34	"C"	-0.26	"C"
"rpsP"	"b2609"	249	2745937	2746185	"-"	-1.74	"A"	-3.10	"A"	-0.15	"E"	-0.38	"C"	-0.27	"C"
"gluQ"	"b0144"	927	159186	160112	"-"	-2.56	"A"	-2.77	"A"	-0.42	"E"	-0.54	"C"	-0.52	"C"
"rnd"	"b1804"	1128	1886864	1887991	"-"	-1.48	"A"	-2.34	"A"	-0.27	"E"	-0.58	"C"	-0.23	"C"
"der"	"b2511"	1473	2635884	2637356	"-"	-1.60	"A"	-1.92	"A"	-0.25	"E"	-0.59	"C"	-0.35	"C"
"rimM"	"b2608"	549	2745370	2745918	"-"	-1.63	"A"	-3.03	"A"	-0.20	"E"	-0.49	"C"	-0.27	"C"
"rbsA"	"b3749"	1506	3933778	3935283	"+"	-1.33	"A"	-1.79	"A"	-0.16	"E"	-0.41	"C"	-0.33	"C"
"wecC"	"b3787"	1263	3971260	3972522	"+"	-1.21	"A"	-1.88	"A"	-0.18	"E"	-0.47	"C"	-0.33	"C"
"trmD"	"b2607"	768	2744572	2745339	"-"	-1.68	"A"	-3.05	"A"	-0.23	"E"	-0.61	"C"	-0.27	"C"
"tsx"	"b0411"	885	431129	432013	"-"	-1.01	"A"	-2.21	"A"	-0.21	"E"	-0.49	"C"	-0.47	"C"
"mreC"	"b3250"	1104	3398875	3399978	"-"	-1.33	"A"	-1.99	"A"	-0.25	"E"	-0.59	"C"	-0.17	"C"
"rimP"	"b3170"	453	3317554	3318006	"-"	-1.75	"A"	-2.18	"A"	-0.18	"E"	-0.35	"C"	-0.28	"C"
"truB"	"b3166"	945	3311833	3312777	"-"	-1.07	"A"	-2.03	"A"	-0.02	"E"	-0.42	"C"	-0.38	"C"
"rplI"	"b4203"	450	4426108	4426557	"+"	-2.13	"A"	-2.69	"A"	-0.05	"E"	-0.44	"C"	-0.29	"C"
"rplT"	"b1716"	357	1799393	1799749	"-"	-1.08	"A"	-2.75	"A"	-0.09	"E"	-0.48	"C"	-0.64	"C"
"yfiH"	"b2593"	732	2734303	2735034	"-"	-1.38	"A"	-1.57	"A"	-0.27	"E"	-0.49	"C"	-0.33	"C"
"rplJ"	"b3985"	498	4179996	4180493	"+"	-1.19	"A"	-2.61	"A"	-0.08	"E"	-0.43	"C"	-0.27	"C"
"rpsL"	"b3342"	375	3474178	3474552	"-"	-1.37	"A"	-2.39	"A"	0.03	"E"	-0.39	"C"	-0.30	"C"
"metN"	"b0199"	1032	221614	222645	"-"	-1.68	"A"	-2.18	"A"	-0.30	"E"	-0.47	"C"	-0.72	"C"
"rplS"	"b2606"	348	2744183	2744530	"-"	-1.58	"A"	-2.82	"A"	-0.16	"E"	-0.40	"C"	-0.40	"C"
"yojI"	"b2211"	1644	2306972	2308615	"-"	-1.35	"A"	-2.51	"A"	0.28	"E"	-0.31	"C"	-0.55	"C"
"prmA"	"b3259"	882	3409070	3409951	"+"	-1.13	"A"	-2.10	"A"	-0.15	"E"	-0.52	"C"	-0.31	"C"
"ycfH"	"b1100"	798	1156777	1157574	"+"	-1.12	"A"	-1.32	"A"	-0.24	"E"	-0.38	"C"	-0.21	"C"
"rpsT"	"b0023"	264	20815	21078	"-"	-1.40	"A"	-2.46	"A"	-0.27	"E"	-0.45	"C"	-0.30	"C"
"rfbD"	"b2040"	900	2111077	2111976	"-"	-1.10	"A"	-1.82	"A"	-0.21	"E"	-0.47	"C"	-0.29	"C"
"rnhB"	"b0183"	597	204493	205089	"+"	-1.65	"A"	-1.87	"A"	-0.44	"E"	-0.63	"C"	-0.37	"C"
"pyrG"	"b2780"	1638	2908029	2909666	"-"	-1.49	"A"	-2.00	"A"	-0.14	"E"	-0.54	"C"	-0.30	"C"
"waaQ"	"b3632"	1035	3807064	3808098	"-"	-1.27	"A"	-1.73	"A"	-0.27	"E"	-0.58	"C"	-0.55	"C"
"rpsG"	"b3341"	540	3473542	3474081	"-"	-1.49	"A"	-2.59	"A"	0.02	"E"	-0.41	"C"	-0.30	"C"
"rarD"	"b3819"	891	4003288	4004178	"-"	-1.23	"A"	-1.96	"A"	-0.12	"E"	-0.41	"C"	-0.27	"C"
"rplL"	"b3986"	366	4180560	4180925	"+"	-1.07	"A"	-2.49	"A"	-0.15	"E"	-0.48	"C"	-0.27	"C"
"rpsK"	"b3297"	390	3441709	3442098	"-"	-1.31	"A"	-2.78	"A"	-0.03	"E"	-0.59	"C"	-0.25	"C"
"rpsM"	"b3298"	357	3442115	3442471	"-"	-1.30	"A"	-2.77	"A"	-0.09	"E"	-0.54	"C"	-0.23	"C"
"mepS"	"b2175"	567	2269979	2270545	"+"	-1.02	"A"	-2.20	"A"	-0.25	"E"	-0.42	"C"	-0.73	"C"
"rplY"	"b2185"	285	2282517	2282801	"+"	-1.17	"A"	-2.12	"A"	-0.09	"E"	-0.31	"C"	-0.25	"C"
"prmC"	"b1212"	834	1266094	1266927	"+"	-1.30	"A"	-1.88	"A"	-0.23	"E"	-0.48	"C"	-0.29	"C"
"wbbH"	"b2035"	1167	2106060	2107226	"-"	-1.13	"A"	-1.88	"A"	-0.22	"E"	-0.32	"C"	-0.43	"C"
"rplQ"	"b3294"	384	3439616	3439999	"-"	-1.06	"A"	-2.84	"A"	0.03	"E"	-0.58	"C"	-0.28	"C"
"secY"	"b3300"	1332	3442766	3444097	"-"	-1.18	"A"	-2.66	"A"	-0.03	"E"	-0.54	"C"	-0.32	"C"
"yciA"	"b1253"	399	1311848	1312246	"-"	-1.09	"A"	-2.38	"A"	-0.17	"E"	-0.35	"C"	-0.29	"C"
"waaG"	"b3631"	1125	3805943	3807067	"-"	-1.09	"A"	-1.46	"A"	-0.28	"E"	-0.53	"C"	-0.37	"C"
"metI"	"b0198"	654	220968	221621	"-"	-1.34	"A"	-2.00	"A"	-0.32	"E"	-0.68	"C"	-0.70	"C"
"rpoA"	"b3295"	990	3440040	3441029	"-"	-1.08	"A"	-2.76	"A"	0.02	"E"	-0.56	"C"	-0.29	"C"
"uhpB"	"b3668"	1503	3848634	3850136	"-"	-1.38	"A"	-2.66	"A"	-0.33	"E"	-0.64	"C"	-0.73	"C"
"pyrD"	"b0945"	1011	1004768	1005778	"+"	-2.79	"A"	-4.29	"A"	-0.12	"E"	-0.51	"C"	0.48	"D"
"rimO"	"b0835"	1326	876710	878035	"-"	-2.72	"A"	-4.25	"A"	-0.24	"E"	-0.79	"C"	0.66	"D"
"pitA"	"b3493"	1500	3637642	3639141	"+"	-2.09	"A"	-3.19	"A"	-0.21	"E"	-0.56	"C"	0.22	"D"
"uraA"	"b2497"	1290	2618871	2620160	"-"	-2.02	"A"	-3.96	"A"	-0.10	"E"	-0.50	"C"	0.33	"D"
"infA"	"b0884"	219	926225	926443	"-"	-2.39	"A"	-3.70	"A"	-0.28	"E"	-0.42	"C"	0.41	"D"
"potA"	"b1126"	1137	1184458	1185594	"-"	-2.74	"A"	-3.65	"A"	-0.12	"E"	-0.33	"C"	0.53	"D"
"thiI"	"b0423"	1449	441549	442997	"+"	-1.65	"A"	-2.53	"A"	-0.14	"E"	-0.21	"C"	0.48	"D"
"rhlE"	"b0797"	1365	830872	832236	"+"	-2.52	"A"	-3.30	"A"	-0.29	"E"	-0.62	"C"	0.51	"D"
"gsk"	"b0477"	1305	500125	501429	"+"	-1.95	"A"	-2.46	"A"	-0.24	"E"	-0.55	"C"	0.51	"D"
"queA"	"b0405"	1071	425011	426081	"+"	-2.48	"A"	-3.18	"A"	-0.08	"E"	-0.29	"C"	0.39	"D"
"purF"	"b2312"	1518	2428721	2430238	"-"	-1.88	"A"	-1.92	"A"	-0.22	"E"	-0.27	"C"	0.89	"D"
"rlmF"	"b0807"	927	842332	843258	"+"	-2.47	"A"	-2.69	"A"	-0.29	"E"	-0.55	"C"	0.29	"D"
"yidC"	"b3705"	1647	3885076	3886722	"+"	-1.51	"A"	-2.10	"A"	-0.22	"E"	-0.64	"C"	0.35	"D"
"cmk"	"b0910"	684	961201	961884	"+"	-1.72	"A"	-2.58	"A"	-0.11	"E"	-0.29	"C"	0.48	"D"
"prs"	"b1207"	948	1260928	1261875	"-"	-2.01	"A"	-2.80	"A"	-0.10	"E"	-0.45	"C"	0.83	"D"
"rlmG"	"b3084"	1137	3234739	3235875	"-"	-2.39	"A"	-2.74	"A"	-0.15	"E"	-0.46	"C"	0.69	"D"
"argS"	"b1876"	1734	1960062	1961795	"+"	-1.12	"A"	-1.30	"A"	-0.16	"E"	-0.46	"C"	0.53	"D"
"rnpA"	"b3704"	360	3884493	3884852	"+"	-2.75	"A"	-3.86	"A"	-0.36	"E"	-0.83	"C"	0.38	"D"
"dnaA"	"b3702"	1404	3882326	3883729	"-"	-1.48	"A"	-1.91	"A"	-0.23	"E"	-0.46	"C"	0.20	"D"
"purK"	"b0522"	1068	551527	552594	"-"	-2.76	"A"	-3.57	"A"	-0.40	"E"	-0.85	"C"	0.80	"D"
"cvpA"	"b2313"	489	2430275	2430763	"-"	-2.42	"A"	-2.76	"A"	-0.34	"E"	-0.37	"C"	0.51	"D"
"fis"	"b3261"	297	3411271	3411567	"+"	-1.40	"A"	-4.09	"A"	-0.24	"E"	-0.93	"C"	0.19	"D"
"potB"	"b1125"	828	1183617	1184444	"-"	-2.78	"A"	-3.91	"A"	-0.29	"E"	-0.51	"C"	0.49	"D"
"yeaY"	"b1806"	582	1889951	1890532	"-"	-2.03	"A"	-2.50	"A"	-0.29	"E"	-0.71	"C"	0.62	"D"
"potC"	"b1124"	795	1182826	1183620	"-"	-2.25	"A"	-3.64	"A"	0.02	"E"	-0.43	"C"	0.51	"D"
"purE"	"b0523"	510	552591	553100	"-"	-3.02	"A"	-3.07	"A"	-0.38	"E"	-0.64	"C"	0.68	"D"
"gltX"	"b2400"	1416	2519257	2520672	"-"	-1.08	"A"	-1.38	"A"	-0.10	"E"	-0.34	"C"	0.43	"D"
"msbA"	"b0914"	1749	966621	968369	"+"	-1.29	"A"	-1.64	"A"	-0.17	"E"	-0.33	"C"	0.19	"D"
"yccS"	"b0960"	2154	1021730	1023883	"-"	-1.36	"A"	-1.68	"A"	0.01	"E"	-0.27	"C"	0.43	"D"
"ychF"	"b1203"	1092	1256721	1257812	"-"	-1.08	"A"	-1.43	"A"	-0.19	"E"	-0.41	"C"	0.21	"D"
"dnaN"	"b3701"	1101	3881221	3882321	"-"	-1.28	"A"	-1.62	"A"	-0.23	"E"	-0.54	"C"	0.34	"D"
"rsxE"	"b1632"	696	1710828	1711523	"+"	-2.18	"A"	-3.44	"A"	-0.13	"E"	-0.77	"C"	0.40	"D"
"rlmL"	"b0948"	2109	1007844	1009952	"+"	-1.28	"A"	-1.47	"A"	-0.15	"E"	-0.41	"C"	0.30	"D"
"typA"	"b3871"	1824	4058407	4060230	"+"	-1.75	"A"	-2.34	"A"	-0.11	"E"	-0.68	"C"	0.62	"D"
"plsB"	"b4041"	2424	4254043	4256466	"-"	-1.10	"A"	-1.36	"A"	-0.11	"E"	-0.25	"C"	0.42	"D"
"tadA"	"b2559"	504	2697354	2697857	"-"	-2.08	"A"	-2.10	"A"	-0.17	"E"	-0.58	"C"	0.58	"D"
"purB"	"b1131"	1371	1190616	1191986	"-"	-1.53	"A"	-2.29	"A"	0.00	"E"	-0.32	"C"	0.65	"D"
"emrD"	"b3673"	1185	3853922	3855106	"+"	-2.26	"A"	-3.29	"A"	-0.34	"E"	-0.56	"C"	0.54	"D"
"rsxG"	"b1631"	621	1710204	1710824	"+"	-2.09	"A"	-3.48	"A"	-0.41	"E"	-0.99	"C"	0.43	"D"
"dusC"	"b2140"	948	2229438	2230385	"-"	-2.46	"A"	-3.38	"A"	-0.24	"E"	-0.86	"C"	0.39	"D"
"nth"	"b1633"	636	1711523	1712158	"+"	-1.79	"A"	-3.24	"A"	-0.27	"E"	-0.75	"C"	0.28	"D"
"rsxD"	"b1630"	1059	1709142	1710200	"+"	-2.25	"A"	-3.38	"A"	-0.32	"E"	-0.94	"C"	0.35	"D"
"pqiA"	"b0950"	1254	1012001	1013254	"+"	-1.30	"A"	-1.51	"A"	-0.09	"E"	-0.35	"C"	0.25	"D"
"lpxK"	"b0915"	987	968366	969352	"+"	-1.72	"A"	-2.00	"A"	-0.29	"E"	-0.58	"C"	0.31	"D"
"aspS"	"b1866"	1773	1948750	1950522	"-"	-1.14	"A"	-1.58	"A"	-0.08	"E"	-0.42	"C"	0.46	"D"
"dauA"	"b1206"	1680	1259124	1260803	"-"	-1.66	"A"	-2.44	"A"	-0.27	"E"	-0.79	"C"	0.81	"D"
"hflD"	"b1132"	642	1191990	1192631	"-"	-1.73	"A"	-1.94	"A"	-0.20	"E"	-0.37	"C"	0.90	"D"
"opgH"	"b1049"	2544	1110863	1113406	"+"	-1.01	"A"	-1.28	"A"	-0.07	"E"	-0.47	"C"	0.21	"D"
"queD"	"b2765"	366	2892214	2892579	"+"	-2.03	"A"	-2.64	"A"	-0.10	"E"	-0.46	"C"	0.45	"D"
"nhaA"	"b0019"	1167	17489	18655	"+"	-1.21	"A"	-1.27	"A"	-0.22	"E"	-0.41	"C"	0.39	"D"
