Frame ID	Name	Unmodified Form	Location	Reaction ID	Reaction Enzyme	Reaction	Mass Balance?	Comments
TAP-GLU	chemotaxis signaling complex - dipeptide sensing	TAP-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""CHEBTAPD-RXN""]"	"[[""PHOSPHO-CHEB""]]"	"[""[i]: h2o + TAP-GLN ==> nh4 + TAP-GLU""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
TAP-GLUME	chemotaxis signaling complex - dipeptide sensing	TAP-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""CHERTAPM-RXN""]"	"[[""CHER-MONOMER""]]"	"[""[i]: amet + TAP-GLU ==> ahcys + TAP-GLUME""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
TAR-GLN	chemotaxis signaling complex - aspartate sensing	TAR-CPLX	"[""CCO-PM-BAC-NEG""]"	[]	[]	[]	[]	[]	
TAR-GLU	chemotaxis signaling complex - aspartate sensing	TAR-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""MCPTAR-RXN""]"	"[[""PHOSPHO-CHEB""]]"	"[""[i]: h2o + TAR-GLUME ==> metoh + TAR-GLU""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
TAR-GLUME	chemotaxis signaling complex - aspartate sensing	TAR-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""CHERTARM-RXN""]"	"[[""CHER-MONOMER""]]"	"[""[i]: amet + TAR-GLU ==> ahcys + TAR-GLUME""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
TRG-GLN	chemotaxis signaling complex - ribose/galactose/glucose sensing	TRG-CPLX	"[""CCO-PM-BAC-NEG""]"	[]	[]	[]	[]	[]	
TRG-GLU	chemotaxis signaling complex - ribose/galactose/glucose sensing	TRG-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""CHEBTRGD-RXN""]"	"[[""PHOSPHO-CHEB""]]"	"[""[i]: h2o + TRG-GLN ==> nh4 + TRG-GLU""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
TRG-GLUME	chemotaxis signaling complex - ribose/galactose/glucose sensing	TRG-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""CHERTRGM-RXN""]"	"[[""CHER-MONOMER""]]"	"[""[i]: amet + TRG-GLU ==> ahcys + TRG-GLUME""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
TSR-GLN	chemotaxis signaling complex - serine sensing	TSR-CPLX	"[""CCO-PM-BAC-NEG""]"	[]	[]	[]	[]	[]	
TSR-GLU	chemotaxis signaling complex - serine sensing	TSR-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""CHEBTSRD-RXN""]"	"[[""PHOSPHO-CHEB""]]"	"[""[i]: h2o + TSR-GLN ==> nh4 + TSR-GLU""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
TSR-GLUME	chemotaxis signaling complex - serine sensing	TSR-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""CHERTSRM-RXN""]"	"[[""CHER-MONOMER""]]"	"[""[i]: amet + TSR-GLU ==> ahcys + TSR-GLUME""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
