Frame ID	Name	Unmodified Form	Location	Reaction ID	Reaction enzyme	Reaction	Mass balance?	EC	Comments
CIS-3-4-DEHYDRODECANOYL-ACP	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
CIS-DELTA3-DECENOYL-ACP	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
CIS-DELTA5-DODECENOYL-ACP	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
CPLX0-8004	DsbGreduced	DSBG-MONOMER	"[""CCO-PERI-BAC""]"	"[""DSBD-RXN""]"	[[]]	"[""[p]: CPLX0-8004 + DSBD-MONOMER <==> DSBG-MONOMER + DSBDOXI-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
DIHYDROLIPOYL-GCVH	glycine cleavage system H protein	GCVH-MONOMER	"[""CCO-CYTOSOL""]"	"[""GCVT-RXN""]"	"[[""GCVT-MONOMER""]]"	"[""[c]: AMINOMETHYLDIHYDROLIPOYL-GCVH + thf ==> DIHYDROLIPOYL-GCVH + nh4 + mlthf""]"	"[""Balanced.""]"	[null]	
DSBDOXI-MONOMER	protein disulfide oxidoreductase - DsbDreduced	DSBD-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""DSBD-RXN""]"	[[]]	"[""[i]: CPLX0-8004 + DSBD-MONOMER <==> DSBG-MONOMER + DSBDOXI-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
ENTF-PANT	apo-serine activating enzyme	ENTF-MONOMER	"[""CCO-CYTOSOL""]"	"[""ENTD-RXN""]"	"[[""ENTD-MONOMER""]]"	"[""[c]: coa + ENTF-MONOMER ==> pap + ENTF-PANT""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
GLU-UHPC	inner membrane protein sensing glucose-6-phosphate	UHPC-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""UHPC-RXN""]"	[[]]	"[""[i]: g6p + UHPC-MONOMER <==> GLU-UHPC""]"	"[""The right side is missing:  P: 1  O: 9  H: 11  C: 6""]"	[null]	
GLUTAREDOXIN-MONOMER	reduced glutaredoxin 1	RED-GLUTAREDOXIN	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
HIPA-P	serine/threonine kinase HipA	EG10443-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-5211""]"	"[[""EG10443-MONOMER""]]"	"[""[c]: EG10443-MONOMER + atp ==> HIPA-P + adp""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
KETOBUTFORMLY-MONOMER	2-ketobutyrate formate-lyase/pyruvate formate-lyase 4, inactive	KETOBUTFORMLY-INACT-MONOMER	"[""CCO-CYTOSOL""]"	"[""RX_WC_KETOBUTFORMLY-MONOMER1"", ""RX_WC_KETOBUTFORMLY-MONOMER2""]"	"[[""PFLACTENZ-MONOMER""], [""PFLACTENZ-MONOMER""]]"	"[""[c]: KETOBUTFORMLY-INACT-MONOMER + FLAVODOXIN1-MONOMER + amet ==> dad-2 + KETOBUTFORMLY-MONOMER + OX-FLAVODOXIN1"", ""[c]: KETOBUTFORMLY-INACT-MONOMER + FLAVODOXIN2-MONOMER + amet ==> dad-2 + KETOBUTFORMLY-MONOMER + OX-FLAVODOXIN2""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Undetermined; a substrate lacks a chemical formula""]"	[null, null]	Manually added RX_WC_KETOBUTFORMLY-MONOMER1 and RX_WC_KETOBUTFORMLY-MONOMER2. Replaced class species with instances.
LIPOYL-ACP	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-1137""]"	"[[""EG11591-MONOMER""]]"	"[""[c]: E2O-MONOMER + LIPOYL-ACP <==> SUCB-LIPOATE + ACP""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
LIPOYL-GCVH	glycine cleavage system H protein	GCVH-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
MONOMER-4565	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
MONOMER-4603	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
MONOMER0-1	UvrY transcriptional regulator	EG11140-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-321""]"	[[]]	"[""[c]: PHOSPHO-BARA-HIS + EG11140-MONOMER ==> BARA-MONOMER + MONOMER0-1""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-1842	PanD proenzyme, &pi; protein	ASPDECARBOX-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
MONOMER0-1843	PanD proenzyme, &pi; protein	ASPDECARBOX-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
MONOMER0-2	IaaA	EG12407-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
MONOMER0-2741	QseB transcriptional activator	G7575-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-5177""]"	[[]]	"[""[c]: G7575-MONOMER + MONOMER0-4171 ==> MONOMER0-2741 + EG12658-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-2811	50S ribosomal subunit protein L12	EG10873-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-5231""]"	"[[""EG10853-MONOMER""]]"	"[""[c]: EG10873-MONOMER + accoa ==> MONOMER0-2811 + coa""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-3	IaaA	EG12407-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
MONOMER0-4119	Dan	EG12694-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
MONOMER0-4125	molybdopterin synthase small subunit	EG11597-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-2787""]"	[[]]	"[""[c]: precursor-z + MONOMER0-4125 <==> cpd-4 + EG11597-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4141	GlrK sensory histidine kinase	G7345-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6388""]"	[[]]	"[""[i]: atp + G7345-MONOMER ==> adp + MONOMER0-4141""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4142	protein disulfide oxidoreductase - DsbBreduced	DSBBPROT-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-7043""]"	[[]]	"[""[i]: MONOMER0-4142 + DISULFOXRED-MONOMER <==> MONOMER0-4152 + DSBBPROT-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4147	GlrR DNA-binding transcriptional activator	EG11285-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-6389""]"	[[]]	"[""[c]: MONOMER0-4141 + EG11285-MONOMER ==> G7345-MONOMER + MONOMER0-4147""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4152	protein disulfide oxidoreductase - DsbAreduced	DISULFOXRED-MONOMER	"[""CCO-PERI-BAC""]"	"[""RXN0-7043"", ""RXN0-6990""]"	[[], []]	"[""[p]: MONOMER0-4142 + DISULFOXRED-MONOMER <==> MONOMER0-4152 + DSBBPROT-MONOMER"", ""[p]: MONOMER0-4152 + (2) cys-L <==> cys-L + DISULFOXRED-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Undetermined; a substrate lacks a chemical formula""]"	[null, null]	
MONOMER0-4166	hydrogenase maturation protein, carbamoyl dehydratase	EG10487-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-6435""]"	"[[""EG11551-MONOMER""]]"	"[""[c]: cpb + atp + EG10487-MONOMER ==> MONOMER0-4166 + amp + ppi + pi""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4170	chemotaxis regulator transmitting signal to flagellar motor component	CHEY-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-6445""]"	"[[""G6577-MONOMER""]]"	"[""[c]: MONOMER0-4170 <==> CHEY-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4171	QseC sensory histidine kinase	EG12658-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6446""]"	[[]]	"[""[i]: EG12658-MONOMER + atp ==> MONOMER0-4171 + adp""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4178	CusS sensory histidine kinase	G6318-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6462""]"	[[]]	"[""[i]: atp + G6318-MONOMER ==> adp + MONOMER0-4178""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4180	CusR	G6319-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-6464""]"	[[]]	"[""[c]: G6319-MONOMER + MONOMER0-4178 ==> MONOMER0-4180 + G6318-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4184	EvgS sensory histidine kinase	EVGS-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6493""]"	[[]]	"[""[i]: atp + EVGS-MONOMER ==> adp + MONOMER0-4184""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4185	EvgS sensory histidine kinase	EVGS-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6494""]"	[[]]	"[""[i]: MONOMER0-4184 ==> MONOMER0-4185""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4189	RcsD phosphotransferase	EG12385-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6506""]"	[[]]	"[""[i]: EG12385-MONOMER + MONOMER0-4194 ==> MONOMER0-4189 + RCSC-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4194	RcsC sensory histidine kinase	RCSC-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6507""]"	[[]]	"[""[i]: PHOSPHO-RCSC ==> MONOMER0-4194""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4195	&gamma;-glutamyltranspeptidase	EG10374-MONOMER	"[""CCO-PERI-BAC""]"	[]	[]	[]	[]	[]	
MONOMER0-4196	&gamma;-glutamyltranspeptidase	EG10374-MONOMER	"[""CCO-PERI-BAC""]"	[]	[]	[]	[]	[]	
MONOMER0-4198	NtrC transcriptional dual regulator	PROTEIN-NRI	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
MONOMER0-4200	protein chain elongation factor EF-P	EG12099-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-6531""]"	"[[""CPLX0-7889""]]"	"[""[c]: EG12099-MONOMER + cpd0-1032 + atp <==> MONOMER0-4200 + amp + ppi""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4206	CheA	PROTEIN-CHEA	"[""CCO-CYTOSOL""]"	"[""RXN0-6542""]"	[[]]	"[""[c]: atp + PROTEIN-CHEA ==> adp + MONOMER0-4206""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4210	BarA sensory histidine kinase	BARA-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""BARA-RXN""]"	[[]]	"[""[i]: atp + BARA-MONOMER ==> adp + MONOMER0-4210""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4276	YehT	EG12006-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-7003""]"	[[]]	"[""[c]: MONOMER0-4279 + EG12006-MONOMER <==> EG12007-MONOMER + MONOMER0-4276""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4279	YehU sensory histidine kinase in two-component system with YehT	EG12007-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-7003""]"	[[]]	"[""[i]: MONOMER0-4279 + EG12006-MONOMER <==> EG12007-MONOMER + MONOMER0-4276""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4287	YpdA sensory histidine kinase	G7243-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-7039""]"	[[]]	"[""[i]: G7243-MONOMER + atp ==> MONOMER0-4287 + adp""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4288	YpdB transcriptional regulator	G7244-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-7040""]"	[[]]	"[""[c]: MONOMER0-4287 + G7244-MONOMER ==> G7243-MONOMER + MONOMER0-4288""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-4291	phosphoenolpyruvate-protein phosphotransferase PtsP, enzyme INtr	EG12188-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-7047"", ""RXN0-7048""]"	[[], []]	"[""[c]: pep + EG12188-MONOMER <==> pyr + MONOMER0-4291"", ""[c]: MONOMER0-4291 + EG12147-MONOMER <==> MONOMER0-4292 + EG12188-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Undetermined; a substrate lacks a chemical formula""]"	[null, null]	
MONOMER0-4292	phosphorelay protein Npr	EG12147-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-7048"", ""RXN0-7049""]"	[[], []]	"[""[c]: MONOMER0-4291 + EG12147-MONOMER <==> MONOMER0-4292 + EG12188-MONOMER"", ""[c]: MONOMER0-4292 + EG11682-MONOMER <==> MONOMER0-4293 + EG12147-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Undetermined; a substrate lacks a chemical formula""]"	[null, null]	
MONOMER0-4293	phosphotransferase system enzyme IIA, regulation of potassium transport	EG11682-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-7049""]"	[[]]	"[""[c]: MONOMER0-4292 + EG11682-MONOMER <==> MONOMER0-4293 + EG12147-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
OCTANOYL-ACP	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
OX-FERREDOXIN	reduced ferredoxin	FERREDOXIN-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
OX-FLAVODOXIN1	flavodoxin 1	FLAVODOXIN1-MONOMER	"[""CCO-CYTOSOL""]"	"[""TDCEACT1-RXN"", ""RXN0-724""]"	"[[""PFLACTENZ-MONOMER""], [""RIBONUCLEOSIDE-TRIP-REDUCT-CPLX""]]"	"[""[c]: KETOBUTFORMLY-INACT-MONOMER + FLAVODOXIN1-MONOMER + amet ==> dad-2 + KETOBUTFORMLY-MONOMER + OX-FLAVODOXIN1"", ""[c]: dutp + OX-FLAVODOXIN1 + h2o <== utp + FLAVODOXIN1-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Balanced.""]"	[null, null]	
OX-FLAVODOXIN2	flavodoxin 2	FLAVODOXIN2-MONOMER	"[""CCO-CYTOSOL""]"	"[""TDCEACT1-RXN"", ""RXN0-724""]"	"[[""PFLACTENZ-MONOMER""], [""RIBONUCLEOSIDE-TRIP-REDUCT-CPLX""]]"	"[""[c]: KETOBUTFORMLY-INACT-MONOMER + FLAVODOXIN2-MONOMER + amet ==> dad-2 + KETOBUTFORMLY-MONOMER + OX-FLAVODOXIN2"", ""[c]: dutp + OX-FLAVODOXIN2 + h2o <== utp + FLAVODOXIN2-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Balanced.""]"	[null, null]	
OX-GLUTAREDOXIN-B	reduced glutaredoxin 2	GRXB-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
OX-GLUTAREDOXIN-C	reduced glutaredoxin 3	GRXC-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN-982"", ""RX_WC_GRXC1""]"	"[[""EG12237-MONOMER""], []]"	"[""[c]: arsenate + GRXC-MONOMER + h <==> aso3 + OX-GLUTAREDOXIN-C + h2o"", ""[c]: OX-GLUTAREDOXIN-C + nad <==> GRXC-MONOMER + nadh""]"	"[""Balanced."", ""Unknown. Molecular weights in Ecocyc do not match up correctly.""]"	[null, null]	Manually added RX_WC_GRXC1 and replaced ELECTRONS with an NAD/H. Unclear how molecular weights work out.
