frameId	Name	Left	Right	Rho Dependent	Component of
TERM0-1036	TERM0-1036	3398027	3398058	False	"[""TU0-14389"", ""TU0-14388"", ""TU0-14390""]"
TERM0-1039	TERM0-1039	27252	27279	False	"[""TU0-14394"", ""TU0-14253"", ""TU0-14465"", ""TU00291"", ""TU0-14395""]"
TERM0-1040	TERM0-1040	185090	185111	False	"[""TU0-6443""]"
TERM0-1041	TERM0-1041	29248	29272	False	"[""TU0-6403"", ""TU0-14399""]"
TERM0-1042	TERM0-1042	4021539	4021560	False	"[""TU0-42519""]"
TERM0-1043	TERM0-1043	4176351	4176379	False	"[""TU00354""]"
TERM0-1044	TERM0-1044	1145951	1145975	False	"[""TU0-14333""]"
TERM0-1045	TERM0-1045	4160160	4160187	False	"[""TU00430""]"
TERM0-1046	TERM0-1046	3697922	3697952	False	"[""TU0-8846""]"
TERM0-1047	TERM0-1047	1268262	1268290	False	"[""TU305"", ""TU306""]"
TERM0-1048	TERM0-1048	1896331	1896355	False	"[""TU00223""]"
TERM0-1050	TERM0-1050	3189738	3189757	False	"[""TU00420"", ""TU00279""]"
TERM0-1054	TERM0-1054	3948343	3948494	False	"[""TU0-42516"", ""TU0-42517""]"
TERM0-1055	TERM0-1055	3850858	3851005	False	"[""TU0-42513""]"
TERM0-1056	TERM0-1056	3718309	3718336	False	"[""TU0-1582"", ""TU0-1581""]"
TERM0-1057	TERM0-1057	1320999	1321019	False	"[""TU0-42510""]"
TERM0-1058	TERM0-1058	2088132	2088164	False	"[""TU0-42511""]"
TERM0-1059	TERM0-1059	274	310	False	"[""TU0-42486""]"
TERM0-1061	TERM0-1061	2744231	2744263	False	"[""TU0-13680""]"
TERM0-1064	TERM0-1064	107501	107544	False	"[""TU0-12809""]"
TERM0-1065	TERM0-1065	1447061	1447087	False	"[""TU0-8795""]"
TERM0-1066	TERM0-1066	3320057	3320093	False	"[""TU0-14574"", ""TU0-14573""]"
TERM0-1067	TERM0-1067	3058682	3058702	False	"[""TU0-1341""]"
TERM0-1073	TERM0-1073	256442	256474	False	"[""TU0-14680""]"
TERM0-1074	TERM0-1074	4374728	4374754	False	"[""TU0-14682""]"
TERM0-1078	TERM0-1078	4188351	4188372	False	"[""TU00399""]"
TERM0-1079	TERM0-1079	3374271	3374299	False	"[""TU00361""]"
TERM0-1081	TERM0-1081	4470449	4470468	False	"[""TU00485"", ""TU00484""]"
TERM0-1082	TERM0-1082	3964328	3964358	True	"[""TU0-42518""]"
TERM0-1083	TERM0-1083	3964365	3964382	True	"[""TU0-42518""]"
TERM0-1084	TERM0-1084	3964514	3964536	False	"[""TU0-42518""]"
TERM0-1085	TERM0-1085	3964741	3964763	False	"[""TU0-42518""]"
TERM0-1086	TERM0-1086	3964879	3964899	False	"[""TU0-42518""]"
TERM0-1087	TERM0-1087	850205	850232	False	"[""TU0-8812"", ""TU0-14688""]"
TERM0-1089	TERM0-1089	3886485	3886532	True	"[""TU0-42514""]"
TERM0-1090	TERM0-1090	83574	83603	False	"[""TU0-42508""]"
TERM0-1093	TERM0-1093	3908466	3908496	False	"[""TU0-14692""]"
TERM0-1094	TERM0-1094	3906518	3906540	False	"[""TU0-14693""]"
TERM0-1095	TERM0-1095	3813830	3813851	False	"[""TU0-14696""]"
TERM0-1096	TERM0-1096	3815597	3815626	False	"[""TU0-14001""]"
TERM0-1097	TERM0-1097	2079365	2079393	False	"[""TU0-13488""]"
TERM0-1099	TERM0-1099	3851685	3851712	False	"[""TU0-6241""]"
TERM0-1100	TERM0-1100	3851141	3851167	False	"[""TU0-7181"", ""TU0-7182""]"
TERM0-1103	TERM0-1103	2165186	2165224	False	"[""TU0-13506""]"
TERM0-1104	TERM0-1104	1696160	1696187	False	"[""TU00187""]"
TERM0-1105	TERM0-1105	1234900	1234921	False	"[""TU0-8794"", ""TU0-14737""]"
TERM0-1108	TERM0-1108	3097676	3097696	False	"[""TU00075"", ""TU0-6569""]"
TERM0-1109	TERM0-1109	4108731	4108753	False	"[""TU0-6485""]"
TERM0-1110	TERM0-1110	631269	631314	False	"[""TU0-6821"", ""TU0-6823"", ""TU0-6822""]"
TERM0-1111	TERM0-1111	2531431	2531446	False	"[""TU00079"", ""TU0-14642""]"
TERM0-1113	TERM0-1113	4003838	4003859	False	"[""TU0-14046""]"
TERM0-1114	TERM0-1114	506484	506511	False	"[""TU0-8522""]"
TERM0-1115	TERM0-1115	4169783	4169826	False	"[""TU0-3364"", ""TU0-1182"", ""TU0-14528""]"
TERM0-1116	TERM0-1116	4169958	4169985	False	"[""TU0-3364"", ""TU0-1182"", ""TU0-14528""]"
TERM0-1117	TERM0-1117	3945055	3945090	False	"[""TU0-1184"", ""TU0-1183""]"
TERM0-1118	TERM0-1118	2689179	2689207	False	"[""TU0-13666"", ""TU0-14775""]"
TERM0-1119	TERM0-1119	3848769	3848802	False	"[""TU00032""]"
TERM0-1120	TERM0-1120	2519511	2519537	False	"[""TU792"", ""TU791""]"
TERM0-1121	TERM0-1121	2519356	2519380	False	"[""TU792"", ""TU791""]"
TERM0-1122	TERM0-1122	3774178	3774198	False	"[""TU00193""]"
TERM0-1123	TERM0-1123	3774212	3774232	False	"[""TU00193""]"
TERM0-1124	TERM0-1124	3774300	3774327	False	"[""TU00193""]"
TERM0-1125	TERM0-1125	3774424	3774442	False	"[""TU00193""]"
TERM0-1129	TERM0-1129	2654528	2654552	False	"[""TU00423"", ""TU0-42037""]"
TERM0-1130	TERM0-1130	1886041	1886067	False	"[""TU0-4187""]"
TERM0-1132	TERM0-1132	191721	191738	False	"[""TU00345""]"
TERM0-1134	TERM0-1134	3326828	3326868	False	"[""TU-8397"", ""TU0-14794""]"
TERM0-1139	TERM0-1139	1407241	1407273	False	"[""TU0-14795""]"
TERM0-1141	TERM0-1141	1620841	1620898	False	"[""TU0-14797""]"
TERM0-1142	TERM0-1142	1620790	1620823	False	"[""TU0-13307""]"
TERM0-1143	TERM0-1143	1842956	1842978	False	"[""TU0-14527"", ""TU00356""]"
TERM0-1144	TERM0-1144	1842961	1842983	False	"[""TU0-14798""]"
TERM0-1145	TERM0-1145	1978120	1978150	False	"[""TU00312"", ""TU00391"", ""TU0-7722""]"
TERM0-1148	TERM0-1148	3348693	3348719	False	"[""TU0-8517""]"
TERM0-1150	TERM0-1150	3661564	3661594	False	"[""TU0-14433"", ""TU0-14718"", ""TU0-14719""]"
TERM0-1151	TERM0-1151	3813119	3813142	False	"[""TU00334"", ""TU0-42311""]"
TERM0-1152	TERM0-1152	2945713	2945739	False	"[""TU00496""]"
TERM0-1153	TERM0-1153	2945758	2945778	False	"[""TU00496""]"
TERM0-1154	TERM0-1154	1314407	1314432	False	"[""TU00067""]"
TERM0-1155	TERM0-1155	1313809	1313839	False	"[""TU0-36408""]"
TERM0-1156	TERM0-1156	1312692	1312722	False	"[""TU0-13193"", ""TU0-41718"", ""TU0-41719"", ""TU0-41720"", ""TU0-36411""]"
TERM0-1157	TERM0-1157	1310285	1310324	False	"[""TU0-41717"", ""TU0-13190""]"
TERM0-1158	TERM0-1158	3054257	3054305	True	"[""TU0-36423"", ""TU0-36424""]"
TERM0-1159	TERM0-1159	3436466	3436526	False	"[""TU0-13910""]"
TERM0-1160	TERM0-1160	2438305	2438332	False	"[""TU0-1482""]"
TERM0-1161	TERM0-1161	1561300	1561325	False	"[""TU0-8478"", ""TU0-41790""]"
TERM0-1162	TERM0-1162	1403686	1403717	False	"[""TU0-8760""]"
TERM0-1163	TERM0-1163	3921728	3921755	False	"[""TU0-14263""]"
TERM0-1164	TERM0-1164	1015123	1015147	False	"[""TU0-42483""]"
TERM0-1166	TERM0-1166	1684729	1684749	False	"[""TU00104""]"
TERM0-1168	TERM0-1168	1291684	1291708	False	"[""TU00139""]"
TERM01001	TERM01001	1944839	1944878	False	"[""TU0-8241"", ""TU0-8242"", ""TU0-8243""]"
TERM0101	TERM0101	1158548	1158569	False	"[""TU0-2581""]"
TERM01021	TERM01021	129366	129394	False	"[""TU00523"", ""TU00522""]"
TERM01022	TERM01022	762182	762189	True	"[""TU0-42509""]"
TERM01023	TERM01023	757667	757673	True	"[""TU0-6702""]"
TERM01024	TERM01024	4464307	4464321	False	"[""TU0-2443"", ""TU0-2441"", ""TU0-2442"", ""TU00397""]"
TERM0141	TERM0141	1112755	1112783	False	"[""TU00297"", ""TU0-4143""]"
TERM0161	TERM0161	2595825	2595846	False	"[""TU0-4161"", ""TU00256""]"
TERM0183	TERM0183	4311824	4311850	False	"[""TU0-4483""]"
TERM0201	TERM0201	3575645	3575675	False	"[""TU0-4522"", ""TU0-4523"", ""TU0-4521""]"
TERM0202	TERM0202	2820692	2820709	False	"[""TU00062""]"
TERM0221	TERM0221	1386291	1386325	False	"[""TU00068""]"
TERM0222	TERM0222	360436	360460	False	"[""TU0-4701"", ""TU00036"", ""TU00142"", ""TU0-4702"", ""TU0-14521"", ""TU0-4703""]"
TERM0223	TERM0223	360364	360403	False	"[""TU0-4701"", ""TU00036"", ""TU0-4702"", ""TU0-14521"", ""TU0-4703""]"
TERM0241	TERM0241	4104384	4104402	False	"[""TU0-1041""]"
TERM0242	TERM0242	4240562	4240578	False	"[""TU00038""]"
TERM0261	TERM0261	1309839	1309870	False	"[""TU00167""]"
TERM0281	TERM0281	3267984	3267997	False	"[""TU543""]"
TERM0282	TERM0282	3268097	3268110	False	"[""TU543""]"
TERM0283	TERM0283	3268210	3268223	False	"[""TU543""]"
TERM0301	TERM0301	2922188	2922213	False	"[""TU0-4761""]"
TERM0322	TERM0322	2534385	2534402	False	"[""TU00480"", ""TU00482"", ""TU00481"", ""TU0-4782"", ""TU00479"", ""TU0-4786"", ""TU00483""]"
TERM0344	TERM0344	3903659	3903710	False	"[""TU0-42515""]"
TERM0361	TERM0361	4049264	4049303	False	"[""TU0-4822""]"
TERM0382	TERM0382	3573711	3573734	False	"[""TU00228"", ""TU0-4881"", ""TU0-42252""]"
TERM041	TERM041	1669727	1669744	False	"[""TU0-1701""]"
TERM0421	TERM0421	3575029	3575061	False	"[""TU0-42512""]"
TERM0441	TERM0441	4547945	4547965	False	"[""TU0-4961""]"
TERM0461	TERM0461	1930109	1930129	False	"[""TU25"", ""TU27"", ""TU26"", ""TU00227""]"
TERM0503	TERM0503	498169	498204	False	"[""TU0-5421""]"
TERM0521	TERM0521	3662966	3662984	False	"[""TU0-5761""]"
TERM0541	TERM0541	4054013	4054032	False	"[""TU0-5901"", ""TU0-5903""]"
TERM0563	TERM0563	3900272	3900315	False	"[""TU0-4802""]"
TERM0564	TERM0564	3904616	3904657	False	"[""TU0-4802""]"
TERM0582	TERM0582	423710	423732	False	"[""TU0-5402""]"
TERM0583	TERM0583	423754	423777	False	"[""TU0-5402""]"
TERM0601	TERM0601	3346283	3346311	True	"[""TU00487""]"
TERM061	TERM061	3662938	3662958	False	"[""TU0-2261"", ""TU586""]"
TERM0621	TERM0621	2354745	2354774	False	"[""TU00030""]"
TERM0641	TERM0641	3375778	3375804	False	"[""TU00336"", ""TU0-42202""]"
TERM0661	TERM0661	3056666	3056682	False	"[""TU0-7341""]"
TERM0681	TERM0681	714434	714465	False	"[""TU0-4444""]"
TERM0702	TERM0702	1066056	1066080	False	"[""TU0-7401""]"
TERM0703	TERM0703	138801	138816	False	"[""TU0-7001"", ""TU0-2042""]"
TERM0741	TERM0741	2506446	2506469	False	"[""TU0-7421"", ""TU0-14640""]"
TERM0761	TERM0761	2005666	2005698	False	"[""TU0-7461""]"
TERM0781	TERM0781	4112550	4112571	False	"[""TU0-42364"", ""TU00173""]"
TERM0782	TERM0782	2217682	2217704	False	"[""TU0-7501""]"
TERM0801	TERM0801	2840499	2840523	False	"[""TU0-42066"", ""TU00153""]"
TERM081	TERM081	3148574	3148598	False	"[""TU00265"", ""TU0-2562""]"
TERM0821	TERM0821	705162	705188	False	"[""TU0-4421""]"
TERM0841	TERM0841	1814282	1814306	False	"[""TU0-6507""]"
TERM0862	TERM0862	707177	707201	False	"[""TU0-6504"", ""TU0-14467""]"
TERM0881	TERM0881	3553817	3553842	False	"[""TU00091""]"
TERM0902	TERM0902	3069453	3069472	False	"[""TU0-8083"", ""TU00443"", ""TU0-14814"", ""TU0-14817""]"
TERM0921	TERM0921	1942297	1942327	False	"[""TU0-41885"", ""TU0-6661"", ""TU0-41884"", ""TU00353"", ""TU0-41886""]"
TERM0923	TERM0923	1942243	1942272	False	"[""TU0-41885"", ""TU0-6661"", ""TU0-41884"", ""TU00353"", ""TU0-41886""]"
TERM0924	TERM0924	1946686	1946717	False	"[""TU0-14634"", ""TU0-8084""]"
TERM0941	TERM0941	9199	9226	False	"[""TU0-8121""]"
TERM0961	TERM0961	602600	602632	False	"[""TU0-8149""]"
TERM0981	TERM0981	899918	899948	True	"[""TU00240"", ""TU0-14676"", ""TU0-14677"", ""TU0-14678""]"
TERM0982	TERM0982	898871	898888	True	"[""TU0-8161""]"
TERM1	TERM1	925385	925409	False	"[""TU-8389"", ""TU-8390""]"
TERM101	TERM101	127590	127619	False	"[""TU0-6634""]"
TERM102	TERM102	1566928	1566954	False	"[""TU369"", ""TU0-41793"", ""TU0-41792"", ""TU0-41791""]"
TERM121	TERM121	3557776	3557853	False	"[""TU402"", ""TU401"", ""TU403"", ""TU404""]"
TERM141	TERM141	884133	884161	False	"[""TU423"", ""TU0-14699""]"
TERM161	TERM161	3267981	3268014	False	"[""TU482""]"
TERM162	TERM162	4198605	4198624	False	"[""TU486""]"
TERM163	TERM163	460954	460966	False	"[""TU487"", ""TU490"", ""TU488"", ""TU489""]"
TERM164	TERM164	460983	461002	False	"[""TU487"", ""TU490"", ""TU488"", ""TU489""]"
TERM165	TERM165	3954990	3955008	False	"[""TU526"", ""TU525"", ""TU0-6651"", ""TU524""]"
TERM167	TERM167	3954906	3954932	False	"[""TU00033""]"
TERM168	TERM168	1344966	1344992	False	"[""TU582"", ""TU583""]"
TERM169	TERM169	473487	473525	False	"[""TU587""]"
TERM181	TERM181	4336233	4336260	False	"[""TU00235""]"
TERM2	TERM2	1332869	1332898	False	"[""TU00077""]"
TERM201	TERM201	1085294	1085318	False	"[""TU864"", ""TU866""]"
TERM202	TERM202	426980	427010	False	"[""TU870""]"
TERM21	TERM21	3752929	3752964	False	"[""TU00138""]"
TERM3	TERM3	709385	709403	False	"[""TU00121"", ""TU0-1283"", ""TU0-1281"", ""TU0-1282""]"
TERM4	TERM4	1260118	1260132	False	"[""TU00203"", ""TU0-8323""]"
TERM42	TERM42	1997565	1997595	False	"[""TU0-14515"", ""TU00415"", ""TU00471""]"
TERM43	TERM43	3209064	3209094	False	"[""TU00472""]"
TERM44	TERM44	2871256	2871306	False	"[""TU00146"", ""TU0-42071""]"
TERM45	TERM45	4275950	4275980	False	"[""TU00456"", ""TU0-8519""]"
TERM46	TERM46	2004135	2004189	False	"[""TU00274""]"
TERM47	TERM47	3089125	3089145	False	"[""TU00452"", ""TU00453""]"
TERM48	TERM48	3089111	3089134	False	"[""TU00452"", ""TU00453""]"
TERM49	TERM49	1956471	1956497	False	"[""TU0-41889"", ""TU00451""]"
TERM5	TERM5	3597910	3597930	False	"[""TU221"", ""TU0-6658"", ""TU00084"", ""TU00083"", ""TU00427"", ""TU00426""]"
TERM50	TERM50	1036831	1036857	False	"[""TU00288""]"
TERM51	TERM51	430320	430346	False	"[""TU00450"", ""TU00449""]"
TERM52	TERM52	2388027	2388045	False	"[""TU00448"", ""TU00310"", ""TU0-14531"", ""TU0-41991""]"
TERM53	TERM53	2426052	2426070	False	"[""TU0-14520"", ""TU00475"", ""TU00444""]"
TERM54	TERM54	3638593	3638614	False	"[""TU00431"", ""TU00433"", ""TU00432""]"
TERM55	TERM55	3737553	3737593	False	"[""TU00137""]"
TERM56	TERM56	3737618	3737643	False	"[""TU00137""]"
TERM57	TERM57	2852326	2852343	False	"[""TU00154"", ""TU00424""]"
TERM58	TERM58	457955	457979	False	"[""TU0-14490"", ""TU00419"", ""TU00251""]"
TERM59	TERM59	3322964	3322991	False	"[""TU00414"", ""TU0-42187"", ""TU0-42188"", ""TU00277""]"
TERM60	TERM60	4118391	4118408	False	"[""TU00287""]"
TERM61	TERM61	496222	496253	False	"[""TU00402"", ""TU00401""]"
TERM62	TERM62	1909676	1909703	False	"[""TU00400""]"
TERM63	TERM63	1819889	1819910	False	"[""TU00398""]"
TERM64	TERM64	4343654	4343673	False	"[""TU00468"", ""TU0-4562"", ""TU00159""]"
TERM65	TERM65	950430	950489	False	"[""TU00381"", ""TU00383"", ""TU00377"", ""TU00379"", ""TU00378"", ""TU00380"", ""TU00382"", ""TU00384""]"
TERM66	TERM66	4364867	4364887	False	"[""TU00160""]"
TERM68	TERM68	65800	65821	False	"[""TU00214""]"
TERM69	TERM69	4376989	4377010	False	"[""TU00023"", ""TU0-42395"", ""TU0-42394"", ""TU0-42396""]"
TERM7	TERM7	1080017	1080061	False	"[""TU123"", ""TU104"", ""TU122"", ""TU121"", ""TU103""]"
TERM70	TERM70	3913531	3913553	False	"[""TU00243"", ""TU0-42328"", ""TU0-6635"", ""TU0-6636""]"
TERM71	TERM71	3909833	3909853	False	"[""TU00280"", ""TU0-42327"", ""TU00488""]"
TERM72	TERM72	3212965	3212984	False	"[""TU00435"", ""TU00438"", ""TU00352"", ""TU00437"", ""TU00434"", ""TU00436""]"
TERM73	TERM73	709341	709357	False	"[""TU00121"", ""TU0-1283"", ""TU0-1281"", ""TU0-1282""]"
TERM8	TERM8	2520720	2520742	False	"[""TU301""]"
TERM81	TERM81	4375806	4375823	False	"[""TU243""]"
TERM82	TERM82	4187622	4187636	False	"[""TU00335"", ""TU0-7002"", ""TU0-6512""]"
TERM84	TERM84	3437603	3437617	False	"[""TU00349"", ""TU0-14658""]"
TERM85	TERM85	3809232	3809248	False	"[""TU0-5601"", ""TU00339""]"
TERM86	TERM86	3307021	3307043	False	"[""TU0-6654"", ""TU341"", ""TU0-6223"", ""TU0-6660""]"
TERM87	TERM87	3446289	3446307	False	"[""TU00347""]"
TERM88	TERM88	4619658	4619682	False	"[""TU0-6646"", ""TU00017"", ""TU00018""]"
TERM89	TERM89	4637561	4637595	False	"[""TU0-14683"", ""TU00253""]"
TERMGLYS	TERMGLYS	3720314	3720333	False	"[""TU0-42290"", ""TU00281""]"
TERM_WC-0	TERM_WC_queA	425308	424209		"[""TU871""]"
TERM_WC-1	TERM_WC_napFDAGHBC	2295676	2295677		"[""TU0-8484""]"
TERM_WC-10	TERM_WC_cyaA	3991725	3988813		"[""TU0-14402""]"
TERM_WC-100	TERM_WC_ynfA	1653368	1653369		"[""TU0-41810""]"
TERM_WC-1000	TERM_WC_prlC-yhiQ	3640400	3640401		"[""TU0-13957""]"
TERM_WC-1001	TERM_WC_psuG	2255448	2255449		"[""TU0-41958""]"
TERM_WC-1002	TERM_WC_yjfZ	4424648	4424649		"[""TU0-8614""]"
TERM_WC-1003	TERM_WC_yjeI	4371188	4370784		"[""TU0-14141""]"
TERM_WC-1004	TERM_WC_dut-slmA	3813116	3811875		"[""TU0-8321""]"
TERM_WC-1005	TERM_WC_yoaB	1891738	1891345		"[""TU0-13415""]"
TERM_WC-1006	TERM_WC_pgpB	1338121	1337189		"[""TU0-41734""]"
TERM_WC-1007	TERM_WC_ygiV	3166768	3166769		"[""TU0-42137""]"
TERM_WC-1008	TERM_WC_mltB	2822510	2822511		"[""TU0-13719""]"
TERM_WC-1009	TERM_WC_yejG	2275912	2275913		"[""TU0-41963""]"
TERM_WC-101	TERM_WC_yccT	1026331	1026332		"[""TU0-41632""]"
TERM_WC-1010	TERM_WC_yaeQ-arfB-nlpE	215982	214088		"[""TU0-41460""]"
TERM_WC-1011	TERM_WC_acnA	1336533	1333448		"[""TU795""]"
TERM_WC-1012	TERM_WC_idi	3031638	3030992		"[""TU0-42103""]"
TERM_WC-1013	TERM_WC_galU	1291591	1290628		"[""TU0-7441""]"
TERM_WC-1014	TERM_WC_ytfF	4430111	4430112		"[""TU0-14160""]"
TERM_WC-1015	TERM_WC_ytjB-lplA	4621121	4621122		"[""TU0-6630""]"
TERM_WC-1016	TERM_WC_gluQ	159183	159184		"[""TU0-41451""]"
TERM_WC-1017	TERM_WC_frwCB	4141970	4140553		"[""TU0-14092""]"
TERM_WC-1018	TERM_WC_alaS	2817400	2817401		"[""TU0-6441""]"
TERM_WC-1019	TERM_WC_yfeX	2547665	2547666		"[""TU0-42020""]"
TERM_WC-102	TERM_WC_lacI	365649	365650		"[""TU0-6508""]"
TERM_WC-1020	TERM_WC_proP	4330030	4328343		"[""TU00155""]"
TERM_WC-1021	TERM_WC_cspH	1050183	1050184		"[""TU0-41641""]"
TERM_WC-1022	TERM_WC_dcuC	653803	653804		"[""TU0-1603""]"
TERM_WC-1023	TERM_WC_yjhU	4517358	4517359		"[""TU0-42423""]"
TERM_WC-1024	TERM_WC_hsdS	4578088	4578089		"[""TU0-42433""]"
TERM_WC-1025	TERM_WC_yibD	3787067	3787068		"[""TU0-42498""]"
TERM_WC-1026	TERM_WC_ychE	1298471	1297675		"[""TU0-13185""]"
TERM_WC-1027	TERM_WC_priC-ybaM	489331	489332		"[""TU0-12945""]"
TERM_WC-1028	TERM_WC_yihF	4043655	4042198		"[""TU0-14058""]"
TERM_WC-1029	TERM_WC_ygjJK	3229264	3225823		"[""TU0-13852""]"
TERM_WC-103	TERM_WC_yhhX	3577788	3577789		"[""TU0-42253""]"
TERM_WC-1030	TERM_WC_ychF	1255941	1255942		"[""TU0-1782""]"
TERM_WC-1031	TERM_WC_groSL	4370697	4368639		"[""TU0-5003""]"
TERM_WC-1032	TERM_WC_dkgA	3155475	3154593		"[""TU0-13824""]"
TERM_WC-1033	TERM_WC_lpxM	1937243	1937244		"[""TU0-13441""]"
TERM_WC-1034	TERM_WC_ygiZ	3169898	3169899		"[""TU0-8758""]"
TERM_WC-1035	TERM_WC_yeeJ	2050041	2042787		"[""TU0-13472""]"
TERM_WC-1036	TERM_WC_yjfY	4422536	4422537		"[""TU0-8613""]"
TERM_WC-1037	TERM_WC_yghT	3132848	3132106		"[""TU0-42127""]"
TERM_WC-1038	TERM_WC_rutR	1074106	1073357		"[""TU-8423""]"
TERM_WC-1039	TERM_WC_rsgA	4388477	4388478		"[""TU0-14150""]"
TERM_WC-104	TERM_WC_metY-yhbC-nusA-infB	3311361	3311362		"[""TU00517""]"
TERM_WC-1040	TERM_WC_moaBCDE	818973	817200		"[""TU0-7262""]"
TERM_WC-1041	TERM_WC_pitB	3132891	3132892		"[""TU0-13818""]"
TERM_WC-1042	TERM_WC_ycbC	971842	971843		"[""TU0-8676""]"
TERM_WC-1043	TERM_WC_mltD	232594	232595		"[""TU0-12841""]"
TERM_WC-1044	TERM_WC_ibpAB	3864489	3864490		"[""TU00407""]"
TERM_WC-1045	TERM_WC_glgBXCAP	3562154	3562155		"[""TU0-14302""]"
TERM_WC-1046	TERM_WC_rnlA	2765016	2763916		"[""TU0-14811""]"
TERM_WC-1047	TERM_WC_yjgM	4477054	4477055		"[""TU0-8619""]"
TERM_WC-1048	TERM_WC_yqjF	3248979	3248488		"[""TU0-13864""]"
TERM_WC-1049	TERM_WC_evgAS	2485992	2481653		"[""TU0-7541""]"
TERM_WC-105	TERM_WC_rutABCDEFG	1067731	1067732		"[""TU0-3645""]"
TERM_WC-1050	TERM_WC_yejH	2280417	2278644		"[""TU0-13556""]"
TERM_WC-1051	TERM_WC_yhbTS	3298274	3298275		"[""TU0-14656""]"
TERM_WC-1052	TERM_WC_dld	2221925	2220174		"[""TU0-8787""]"
TERM_WC-1053	TERM_WC_yhaH	3250694	3250271		"[""TU0-13866""]"
TERM_WC-1054	TERM_WC_mppA	1392867	1391145		"[""TU0-41743""]"
TERM_WC-1055	TERM_WC_fpr	4111746	4111747		"[""TU00188""]"
TERM_WC-1056	TERM_WC_proVWX	2806149	2802585		"[""TU701""]"
TERM_WC-1057	TERM_WC_yicS	3838534	3838238		"[""TU0-8594""]"
TERM_WC-1058	TERM_WC_hypF	2833192	2833193		"[""TU0-14405""]"
TERM_WC-1059	TERM_WC_prfC	4609029	4607367		"[""TU0-14217""]"
TERM_WC-106	TERM_WC_pfkA	4106540	4105545		"[""TU0-14813""]"
TERM_WC-1060	TERM_WC_yhbUV	3301392	3299301		"[""TU0-42186""]"
TERM_WC-1061	TERM_WC_talA-tktB	2579664	2576592		"[""TU0-8143""]"
TERM_WC-1062	TERM_WC_yjcO	4294456	4294457		"[""TU0-42385""]"
TERM_WC-1063	TERM_WC_hspQ	1027624	1027625		"[""TU0-13102""]"
TERM_WC-1064	TERM_WC_yjfN	4414037	4414038		"[""TU0-14155""]"
TERM_WC-1065	TERM_WC_ugpQ	3585390	3585391		"[""TU0-42257""]"
TERM_WC-1066	TERM_WC_ynfM	1668979	1667696		"[""TU0-13341""]"
