frameId	Name	Location	Composition	Composition	Modified form	Formation process	Comments
ABC-13-CPLX	glutamate / aspartate ABC transporter	"[""CCO-PM-BAC-NEG""]"	G6359-MONOMER[p] + GLTL-MONOMER[c] + GLTK-MONOMER[i] + GLTJ-MONOMER[i] ==> ABC-13-CPLX[i]	"{""reactant"": {""G6359-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""GLTL-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""GLTK-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""GLTJ-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-13-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-14-CPLX	histidine ABC transporter	"[""CCO-PM-BAC-NEG""]"	(2) HISP-MONOMER[i] + HISQ-MONOMER[i] + HISJ-MONOMER[p] + HISM-MONOMER[i] ==> ABC-14-CPLX[i]	"{""reactant"": {""HISP-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""HISQ-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""HISJ-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""HISM-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-14-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-15-CPLX	branched chain amino acid ABC transporter	"[""CCO-PM-BAC-NEG""]"	LIVJ-MONOMER[p] + LIVH-MONOMER[i] + LIVG-MONOMER[c] + LIVF-MONOMER[c] + LIVM-MONOMER[i] ==> ABC-15-CPLX[i]	"{""reactant"": {""LIVJ-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""LIVH-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""LIVG-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""LIVF-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""LIVM-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-15-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-16-CPLX	maltose ABC transporter	"[""CCO-PM-BAC-NEG""]"	(2) MALK-MONOMER[i] + MALF-MONOMER[i] + MALG-MONOMER[i] + MALE-MONOMER[p] ==> ABC-16-CPLX[i]	"{""reactant"": {""MALK-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""MALF-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""MALG-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""MALE-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}}, ""product"": {""ABC-16-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-18-CPLX	methyl-&beta;-D-galactoside / galactose ABC transporter	"[""CCO-PM-BAC-NEG""]"	(2) MGLA-MONOMER[i] + MGLB-MONOMER[p] + (2) MGLC-MONOMER[i] ==> ABC-18-CPLX[i]	"{""reactant"": {""MGLA-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""MGLB-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""MGLC-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}}, ""product"": {""ABC-18-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-19-CPLX	molybdate ABC transporter	"[""CCO-PM-BAC-NEG""]"	MODA-MONOMER[p] + (2) MODB-MONOMER[i] + (2) MODC-MONOMER[c] ==> ABC-19-CPLX[i]	"{""reactant"": {""MODA-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""MODB-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""MODC-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""ABC-19-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-2-CPLX	arabinose ABC transporter	"[""CCO-PM-BAC-NEG""]"	ARAF-MONOMER[p] + (2) ARAG-MONOMER[i] + (2) ARAH-MONOMER[i] ==> ABC-2-CPLX[i]	"{""reactant"": {""ARAF-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""ARAG-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""ARAH-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}}, ""product"": {""ABC-2-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-20-CPLX	nickel ABC transporter	"[""CCO-PM-BAC-NEG""]"	NIKD-MONOMER[c] + NIKE-MONOMER[c] + NIKB-MONOMER[i] + NIKC-MONOMER[i] + NIKA-MONOMER[p] ==> ABC-20-CPLX[i]	"{""reactant"": {""NIKD-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""NIKE-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""NIKB-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""NIKC-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""NIKA-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}}, ""product"": {""ABC-20-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-21-CPLX	YadG/YadH ABC transporter	"[""CCO-PM-BAC-NEG""]"	[i]: (2) YADG-MONOMER + (2) YADH-MONOMER ==> ABC-21-CPLX	"{""reactant"": {""YADG-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""YADH-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}}, ""product"": {""ABC-21-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-22-CPLX	peptide ABC transporter OppABCDF	"[""CCO-PM-BAC-NEG""]"	OPPD-MONOMER[c] + OPPF-MONOMER[i] + OPPA-MONOMER[p] + OPPC-MONOMER[i] + OPPB-MONOMER[i] ==> ABC-22-CPLX[i]	"{""reactant"": {""OPPD-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""OPPF-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""OPPA-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""OPPC-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""OPPB-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-22-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-23-CPLX	phosphonate ABC transporter	"[""CCO-PM-BAC-NEG""]"	(2) PHNC-MONOMER[i] + PHND-MONOMER[p] + (2) PHNE-MONOMER[i] ==> ABC-23-CPLX[i]	"{""reactant"": {""PHNC-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""PHND-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""PHNE-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}}, ""product"": {""ABC-23-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-24-CPLX	putrescine / spermidine ABC transporter	"[""CCO-PM-BAC-NEG""]"	POTC-MONOMER[i] + POTB-MONOMER[i] + (2) POTA-MONOMER[c] + POTD-MONOMER[p] ==> ABC-24-CPLX[i]	"{""reactant"": {""POTC-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""POTB-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""POTA-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}, ""POTD-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}}, ""product"": {""ABC-24-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-25-CPLX	putrescine ABC transporter	"[""CCO-PM-BAC-NEG""]"	POTI-MONOMER[i] + POTH-MONOMER[i] + (2) POTG-MONOMER[c] + POTF-MONOMER[p] ==> ABC-25-CPLX[i]	"{""reactant"": {""POTI-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""POTH-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""POTG-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}, ""POTF-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}}, ""product"": {""ABC-25-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-26-CPLX	glycine betaine / proline ABC transporter	"[""CCO-PM-BAC-NEG""]"	PROX-MONOMER[p] + (2) PROW-MONOMER[i] + (2) PROV-MONOMER[c] ==> ABC-26-CPLX[i]	"{""reactant"": {""PROX-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""PROW-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""PROV-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""ABC-26-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-27-CPLX	phosphate ABC transporter	"[""CCO-PM-BAC-NEG""]"	PSTS-MONOMER[p] + PSTC-MONOMER[i] + (2) PSTB-MONOMER[i] + PSTA-MONOMER[i] ==> ABC-27-CPLX[i]	"{""reactant"": {""PSTS-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""PSTC-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""PSTB-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""PSTA-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-27-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-28-CPLX	ribose ABC transporter	"[""CCO-PM-BAC-NEG""]"	(2) RBSA-MONOMER[i] + (2) RBSC-MONOMER[i] + RBSB-MONOMER[p] ==> ABC-28-CPLX[i]	"{""reactant"": {""RBSA-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""RBSC-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""RBSB-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}}, ""product"": {""ABC-28-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-29-CPLX	peptide ABC transporter SapABCDF	"[""CCO-PM-BAC-NEG""]"	SAPA-MONOMER[p] + SAPB-MONOMER[i] + SAPC-MONOMER[i] + SAPD-MONOMER[i] + SAPF-MONOMER[c] ==> ABC-29-CPLX[i]	"{""reactant"": {""SAPA-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""SAPB-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""SAPC-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""SAPD-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""SAPF-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}, ""product"": {""ABC-29-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-3-CPLX	lysine / arginine / ornithine ABC transporter	"[""CCO-PM-BAC-NEG""]"	(2) HISP-MONOMER[i] + HISQ-MONOMER[i] + ARGT-MONOMER[p] + HISM-MONOMER[i] ==> ABC-3-CPLX[i]	"{""reactant"": {""HISP-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""HISQ-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""ARGT-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""HISM-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-3-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-304-CPLX	leucine ABC transporter	"[""CCO-PM-BAC-NEG""]"	LIVK-MONOMER[p] + LIVH-MONOMER[i] + LIVG-MONOMER[c] + LIVF-MONOMER[c] + LIVM-MONOMER[i] ==> ABC-304-CPLX[i]	"{""reactant"": {""LIVK-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""LIVH-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""LIVG-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""LIVF-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""LIVM-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-304-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-32-CPLX	thiamin ABC transporter	"[""CCO-PM-BAC-NEG""]"	SFUA-MONOMER[p] + (2) SFUB-MONOMER[i] + (2) SFUC-MONOMER[c] ==> ABC-32-CPLX[i]	"{""reactant"": {""SFUA-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""SFUB-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""SFUC-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""ABC-32-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-33-CPLX	xylose ABC transporter	"[""CCO-PM-BAC-NEG""]"	(2) XYLG-MONOMER[c] + XYLF-MONOMER[p] + (2) XYLH-MONOMER[i] ==> ABC-33-CPLX[i]	"{""reactant"": {""XYLG-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}, ""XYLF-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""XYLH-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}}, ""product"": {""ABC-33-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-34-CPLX	glycerol-3-phosphate / glycerol-2-phosphate ABC transporter	"[""CCO-PM-BAC-NEG""]"	UGPA-MONOMER[i] + UGPB-MONOMER[p] + (2) UGPC-MONOMER[c] + UGPE-MONOMER[i] ==> ABC-34-CPLX[i]	"{""reactant"": {""UGPA-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""UGPB-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""UGPC-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}, ""UGPE-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-34-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-35-CPLX	protoheme IX ABC transporter	"[""CCO-PM-BAC-NEG""]"	[i]: CPLX0-7656 + (2) CCMA-MONOMER + CCMB-MONOMER ==> ABC-35-CPLX	"{""reactant"": {""CPLX0-7656"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""CCMA-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""CCMB-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-35-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-4-CPLX	arginine ABC transporter	"[""CCO-PM-BAC-NEG""]"	ARTM-MONOMER[i] + ARTI-MONOMER[p] + ARTQ-MONOMER[i] + (2) ARTP-MONOMER[i] + ARTJ-MONOMER[p] ==> ABC-4-CPLX[i]	"{""reactant"": {""ARTM-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""ARTI-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""ARTQ-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""ARTP-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""ARTJ-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}}, ""product"": {""ABC-4-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
ABC-40-CPLX	YehW/YehX/YehY/YehZ ABC transporter	"[""CCO-PM-BAC-NEG""]"	YEHW-MONOMER[i] + YEHZ-MONOMER[p] + (2) YEHX-MONOMER[c] + YEHY-MONOMER[i] ==> ABC-40-CPLX[i]	"{""reactant"": {""YEHW-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""YEHZ-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}, ""YEHX-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}, ""YEHY-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}, ""product"": {""ABC-40-CPLX"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}}}"	[]	Complexation	
