Frame ID	Name	Neutral formula	pH 7.2 formula	pH 7.2 charge	pH 7.2 Weight	Media Concentration (mM)	Biomass concentration (mmol/gDSW)	Biomass location	Maximum exchange rate (mmol/gDSW/hr)	Fake metabolite	Equivalent enzyme frameId	Comments
2ahbut	(S)-2-Aceto-2-hydroxybutanoate	C6H10O4	C6H9O4	-1	145.1331000000						[]	
2amsa	2-Aminomalonate semialdehyde	C3H5NO3	C3H4NO3	-1	102.0686000000						[]	
2aobut	L-2-Amino-3-oxobutanoate	C4H7NO3	C4H7NO3	0	117.1033000000						[]	
2cpr5p	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C12H16NO9P	C12H14NO9P	-2	347.2146000000						[]	
2dda7p	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	C7H13O10P	C7H11O10P	-2	286.1279000000						[]	
2ddecg3p	2-dodecanoyl-sn-glycerol 3-phosphate	C15H31O7P1	C15H30O7P	-1	353.3690000000						[]	
2ddg6p	2-Dehydro-3-deoxy-D-gluconate 6-phosphate	C6H11O9P	C6H9O9P	-2	256.1021000000						[]	
2ddglcn	2-Dehydro-3-deoxy-D-gluconate	C6H10O6	C6H9O6	-1	177.1311000000						[]	
2dh3dgal	2-Dehydro-3-deoxy-D-galactonate	C6H9O6	C6H9O6	-1	177.1311000000						[]	
2dh3dgal6p	2-Dehydro-3-deoxy-D-galactonate 6-phosphate	C6H8O9P	C6H9O9P	-2	256.1021000000						[]	
2dhglcn	2-Dehydro-D-gluconate	C6H9O7	C6H9O7	-1	193.1301000000						[]	
2dhguln	2-Dehydro-L-gulonate	C6H9O7	C6H9O7	-1	193.1301000000						[]	
2dhp	2-Dehydropantoate	C6H10O4	C6H9O4	-1	145.1331000000						[]	
2dmmq8	2-Demethylmenaquinone 8	C50H70O2	C50H70O2	0	703.1010000000						[]	
2dmmql8	2-Demethylmenaquinol 8	C50H72O2	C50H72O2	0	705.1168000000						[]	
2dr1p	2-Deoxy-D-ribose 1-phosphate	C5H11O7P	C5H10O7P	-1	213.1010000000						[]	
2dr5p	2-Deoxy-D-ribose 5-phosphate	C5H11O7P	C5H10O7P	-1	213.1010000000						[]	
2h3oppan	2-Hydroxy-3-oxopropanoate	C3H3O4	C3H3O4	-1	103.0527000000						[]	
2hdec9eg3p	2-hexadec-9-enoyl-sn-glycerol 3-phosphate	C19H37O7P1	C19H36O7P	-1	407.4604000000						[]	
2hdecg3p	2-hexadecanoyl-sn-glycerol 3-phosphate	C19H39O7P1	C19H38O7P	-1	409.4762000000						[]	
2ippm	2-Isopropylmaleate	C7H10O4	C7H8O4	-2	156.1362000000						[]	
2kmb	2-keto-4-methylthiobutyrate	C5H8O3S	C5H7O3S	-1	147.1673000000						[]	
2mahmp	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	C6H11N3O7P2	C6H9N3O7P2	-2	297.0991000000						[]	
2mcacn	cis-2-Methylaconitate	C7H5O6	C7H5O6	-3	185.1105000000						[]	
2mcit	2-Methylcitrate	C7H7O7	C7H7O7	-3	203.1253000000						[]	
2me4p	2-C-methyl-D-erythritol 4-phosphate	C5H13O7P	C5H12O7P	-1	215.1168000000						[]	
2mecdp	2-C-methyl-D-erythritol 2,4-cyclodiphosphate	C5H12O9P2	C5H10O9P2	-2	276.0730000000						[]	
2obut	2-Oxobutanoate	C4H6O3	C4H5O3	-1	101.0805000000						[]	
2odec11eg3p	2-octadec-11-enoyl-sn-glycerol 3-phosphate	C21H41O7P1	C21H40O7P	-1	435.5140000000						[]	
2odecg3p	2-octadecanoyl-sn-glycerol 3-phosphate	C21H43O7P1	C21H42O7P	-1	437.5298000000						[]	
2ohph	2-Octaprenyl-6-hydroxyphenol	C46H70O2	C46H70O2	0	655.0570000000		0.000223	c			[]	
2ombzl	2-Octaprenyl-6-methoxy-1,4-benzoquinol	C47H72O3	C47H72O3	0	685.0828000000						[]	
2omhmbl	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol	C48H74O4	C48H74O4	0	715.1086000000						[]	
2ommbl	2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol	C48H74O3	C48H74O3	0	699.1096000000						[]	
2omph	2-Octaprenyl-6-methoxyphenol	C47H72O2	C47H72O2	0	669.0838000000						[]	
2oph	2-Octaprenylphenol	C46H70O	C46H70O	0	639.0580000000						[]	
2p4c2me	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H26N3O17P3	C14H23N3O17P3	-3	598.2617000000						[]	
2pg	D-Glycerate 2-phosphate	C3H7O7P	C3H5O7P	-2	184.0395000000						[]	
2pglyc	2-Phosphoglycolate	C2H5O6P	C2H3O6P	-2	154.0137000000						[]	
2shchc	2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	C11H12O6	C11H10O6	-2	238.1940000000						[]	
2tdec7eg3p	2-tetradec-7-enoyl-sn-glycerol 3-phosphate	C17H33O7P1	C17H32O7P	-1	379.4068000000						[]	
2tdecg3p	2-tetradecanoyl-sn-glycerol 3-phosphate	C17H35O7P1	C17H34O7P	-1	381.4226000000						[]	
2tpr3dpcoa	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	C26H46N7O26P5S	C26H41N7O26P5S	-5	1054.5629000000						[]	
34dhpac	3,4-Dihydroxyphenylacetaldehyde	C8H8O3	C8H8O3	0	152.1482000000						[]	
34hpp	3-(4-Hydroxyphenyl)pyruvate	C9H8O4	C9H7O4	-1	179.1503000000						[]	
3amp	3'-AMP	C10H14N5O7P	C10H13N5O7P	-1	346.2147000000						[]	
3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate	C7H12O5	C7H10O5	-2	174.1510000000						[]	
3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate	C7H12O5	C7H10O5	-2	174.1510000000						[]	
3c4mop	3-Carboxy-4-methyl-2-oxopentanoate	C7H10O5	C7H8O5	-2	172.1352000000						[]	
3cmp	3'-cmp	C9H14N3O8P	C9H13N3O8P	-1	322.1887000000						[]	
3dhguln	3-Dehydro-L-gulonate	C6H10O7	C6H9O7	-1	193.1301000000						[]	
3dhgulnp	3-keto-L-gulonate-6-phosphate	C6H8O10P	C6H9O10P	-2	272.1011000000						[]	
3dhq	3-Dehydroquinate	C7H10O6	C7H9O6	-1	189.1421000000						[]	
3dhsk	3-Dehydroshikimate	C7H8O5	C7H7O5	-1	171.1273000000						[]	
3gmp	3'-GMP	C10H14N5O8P	C10H13N5O8P	-1	362.2137000000						[]	
3haACP	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C15H27N2O9PRS	C15H27N2O9PRS	-1	442.4173000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hbcoa	(S)-3-Hydroxybutanoyl-CoA	C25H42N7O18P3S	C25H39N7O18P3S	-3	850.5961000000						[]	
3hcddec5eACP	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]	C23H41N2O9PRS	C23H41N2O9PRS	-1	552.6159000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hcinnm	3-hydroxycinnamic acid	C9H7O3	C9H7O3	-1	163.1513000000						[]	
3hcmrs7eACP	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	C25H45N2O9PRS	C25H45N2O9PRS	-1	580.6695000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hcpalm9eACP	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]	C27H49N2O9PRS	C27H49N2O9PRS	-1	608.7231000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hcvac11eACP	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	C29H53N2O9PRS	C29H53N2O9PRS	-1	636.7767000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hdcoa	(S)-3-Hydroxydecanoyl-CoA	C31H54N7O18P3S	C31H51N7O18P3S	-3	934.7569000000						[]	
3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	C33H58N7O18P3S	C33H55N7O18P3S	-3	962.8105000000						[]	
3hddecACP	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	C23H43N2O9PRS	C23H43N2O9PRS	-1	554.6317000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hdecACP	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C21H39N2O9PRS	C21H39N2O9PRS	-1	526.5781000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hhcoa	(S)-3-Hydroxyhexanoyl-CoA	C27H46N7O18P3S	C27H43N7O18P3S	-3	878.6497000000						[]	
3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	C37H66N7O18P3S	C37H63N7O18P3S	-3	1018.9177000000						[]	
3hhexACP	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	C17H31N2O9PRS	C17H31N2O9PRS	-1	470.4709000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hmrsACP	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	C25H47N2O9PRS	C25H47N2O9PRS	-1	582.6853000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hocoa	(S)-3-Hydroxyoctanoyl-CoA	C29H50N7O18P3S	C29H47N7O18P3S	-3	906.7033000000						[]	
3hoctACP	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C19H35N2O9PRS	C19H35N2O9PRS	-1	498.5245000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hoctaACP	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	C29H55N2O9PRS	C29H55N2O9PRS	-1	638.7925000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hodcoa	(S)-3-Hydroxyoctadecanoyl-CoA	C39H66N7O18P3S	C39H67N7O18P3S	-3	1046.9713000000						[]	
3hpalmACP	R-3-hydroxypalmitoyl-[acyl-carrier protein]	C27H51N2O9PRS	C27H51N2O9PRS	-1	610.7389000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3hpppn	3-(3-hydroxy-phenyl)propionate	C9H9O3	C9H9O3	-1	165.1671000000						[]	
3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	C35H62N7O18P3S	C35H59N7O18P3S	-3	990.8641000000						[]	
3ig3p	C'-(3-Indolyl)-glycerol 3-phosphate	C11H14NO6P	C11H13NO6P	-1	286.1987000000						[]	
3mob	3-Methyl-2-oxobutanoate	C5H8O3	C5H7O3	-1	115.1073000000						[]	
3mop	(S)-3-Methyl-2-oxopentanoate	C6H10O3	C6H9O3	-1	129.1341000000						[]	
3ocddec5eACP	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]	C23H39N2O9PRS	C23H39N2O9PRS	-1	550.6001000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ocmrs7eACP	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]	C25H43N2O9PRS	C25H43N2O9PRS	-1	578.6537000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ocpalm9eACP	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]	C27H47N2O9PRS	C27H47N2O9PRS	-1	606.7073000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ocvac11eACP	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]	C29H51N2O9PRS	C29H51N2O9PRS	-1	634.7609000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3odcoa	3-Oxodecanoyl-CoA	C31H52N7O18P3S	C31H49N7O18P3S	-3	932.7411000000						[]	
3oddcoa	3-Oxododecanoyl-CoA	C33H56N7O18P3S	C33H53N7O18P3S	-3	960.7947000000						[]	
3oddecACP	3-Oxododecanoyl-[acyl-carrier protein]	C23H41N2O9PRS	C23H41N2O9PRS	-1	552.6159000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3odecACP	3-Oxodecanoyl-[acyl-carrier protein]	C21H37N2O9PRS	C21H37N2O9PRS	-1	524.5623000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ohcoa	3-Oxohexanoyl-CoA	C27H44N7O18P3S	C27H41N7O18P3S	-3	876.6339000000						[]	
3ohdcoa	3-Oxohexadecanoyl-CoA	C37H64N7O18P3S	C37H61N7O18P3S	-3	1016.9019000000						[]	
3ohexACP	3-Oxohexanoyl-[acyl-carrier protein]	C17H29N2O9PRS	C17H29N2O9PRS	-1	468.4551000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3omrsACP	3-Oxotetradecanoyl-[acyl-carrier protein]	C25H45N2O9PRS	C25H45N2O9PRS	-1	580.6695000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3oocoa	3-Oxooctanoyl-CoA	C29H48N7O18P3S	C29H45N7O18P3S	-3	904.6875000000						[]	
3ooctACP	3-Oxooctanoyl-[acyl-carrier protein]	C19H33N2O9PRS	C19H33N2O9PRS	-1	496.5087000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ooctdACP	3-Oxooctadecanoyl-[acyl-carrier protein]	C29H53N2O9PRS	C29H53N2O9PRS	-1	636.7767000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3oodcoa	3-Oxooctadecanoyl-CoA	C39H68N7O18P3S	C39H65N7O18P3S	-3	1044.9555000000						[]	
3opalmACP	3-Oxohexadecanoyl-[acyl-carrier protein]	C27H49N2O9PRS	C27H49N2O9PRS	-1	608.7231000000					True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ophb	3-Octaprenyl-4-hydroxybenzoate	C47H70O3	C47H69O3	-1	682.0591000000						[]	
3otdcoa	3-Oxotetradecanoyl-CoA	C35H60N7O18P3S	C35H57N7O18P3S	-3	988.8483000000						[]	
3pg	3-Phospho-D-glycerate	C3H7O7P	C3H5O7P	-2	184.0395000000						[]	
3php	3-Phosphohydroxypyruvate	C3H5O7P	C3H3O7P	-2	182.0237000000						[]	
3psme	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C10H13O10P	C10H10O10P	-3	321.1530000000						[]	
3sala	3-Sulfino-L-alanine	C3H7NO4S	C3H6NO4S	-1	152.1434000000						[]	
3ump	3'-UMP	C9H13N2O9P	C9H12N2O9P	-1	323.1728000000						[]	
4abut	4-Aminobutanoate	C4H9NO2	C4H9NO2	0	103.1201000000						[]	
4abutn	4-Aminobutanal	C4H9NO	C4H10NO	1	88.1290000000						[]	
4abz	4-Aminobenzoate	C7H7NO2	C7H6NO2	-1	136.1294000000						[]	
4adcho	4-amino-4-deoxychorismate	C10H11NO5	C10H10NO5	-1	224.1910000000						[]	
4ahmmp	4-Amino-5-hydroxymethyl-2-methylpyrimidine	C6H9N3O	C6H9N3O	0	139.1571000000						[]	
4ampm	4-Amino-2-methyl-5-phosphomethylpyrimidine	C6H10N3O4P	C6H9N3O4P	-1	218.1281000000						[]	
4c2me	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H25N3O14P2	C14H23N3O14P2	-2	519.2907000000						[]	
4h2opntn	4-Hydroxy-2-oxopentanoate	C5H7O4	C5H7O4	-1	131.1063000000						[]	
4hba	4-Hydroxy-benzyl alcohol	C7H8O2	C7H8O2	0	124.1382000000						[]	
4hbz	4-Hydroxybenzoate	C7H6O3	C7H5O3	-1	137.1135000000						[]	
4hoxpacd	4-Hydroxyphenylacetaldehyde	C8H8O2	C8H8O2	0	136.1492000000						[]	
4hthr	4-Hydroxy-L-threonine	C4H9NO4	C4H9NO4	0	135.1181000000						[]	
4mhetz	4-Methyl-5-(2-hydroxyethyl)-thiazole	C6H9NOS	C6H9NOS	0	143.2031000000						[]	
4mop	4-Methyl-2-oxopentanoate	C6H10O3	C6H9O3	-1	129.1341000000						[]	
4mpetz	4-Methyl-5-(2-phosphoethyl)-thiazole	C6H10NO4PS	C6H9NO4PS	-1	222.1741000000						[]	
4pasp	4-Phospho-L-aspartate	C4H8NO7P	C4H6NO7P	-2	211.0654000000						[]	
4per	4-Phospho-D-erythronate	C4H9O8P	C4H7O8P	-2	214.0653000000						[]	
4ppan	D-4'-Phosphopantothenate	C9H18NO8P	C9H16NO8P	-2	297.1984000000						[]	
4ppcys	N-((R)-4-Phosphopantothenoyl)-L-cysteine	C12H23N2O9PS	C12H21N2O9PS	-2	400.3369000000						[]	
4r5au	4-(1-D-Ribitylamino)-5-aminouracil	C9H16N4O6	C9H16N4O6	0	276.2474000000						[]	
5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	C9H14N3O9P	C9H12N3O9P	-2	337.1798000000						[]	
5aop	5-Amino-4-oxopentanoate	C5H9NO3	C5H9NO3	0	131.1301000000						[]	
5aprbu	5-Amino-6-(5'-phosphoribitylamino)uracil	C9H17N4O9P	C9H16N4O9P	-1	355.2184000000						[]	
5apru	5-Amino-6-(5'-phosphoribosylamino)uracil	C9H15N4O9P	C9H14N4O9P	-1	353.2026000000						[]	
5caiz	5-phosphoribosyl-5-carboxyaminoimidazole	C9H14N3O9P	C9H12N3O9P	-2	337.1798000000						[]	
5dglcn	5-Dehydro-D-gluconate	C6H9O7	C6H9O7	-1	193.1301000000						[]	
5dh4dglc	5-Dehydro-4-deoxy-D-glucarate	C6H6O7	C6H6O7	-2	190.1064000000						[]	
5drib	5'-deoxyribose	C5H10O4	C5H10O4	0	134.1300000000						[]	
5mdr1p	5-Methylthio-5-deoxy-D-ribose 1-phosphate	C6H13O7PS	C6H12O7PS	-1	259.1878000000						[]	
5mdru1p	5-Methylthio-5-deoxy-D-ribulose 1-phosphate	C6H13O7PS	C6H12O7PS	-1	259.1878000000						[]	
5mta	5-Methylthioadenosine	C11H15N5O3S	C11H15N5O3S	0	297.3315000000						[]	
5mthf	5-Methyltetrahydrofolate	C20H25N7O6	C20H23N7O6	-2	457.4447000000						[]	
5mtr	5-Methylthio-D-ribose	C6H12O4S	C6H12O4S	0	180.2168000000						[]	
5prdmbz	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	C14H19N2O7P	C14H18N2O7P	-1	357.2772000000						[]	
