Frame ID	Name	Absolute +1 Position	Sigma	Direction	Component of
PM0-10012	mgsAp	1026264	"[""D""]"	-	"[""TU0-13100""]"
PM0-10013	wrbAp	1066981	"[""D""]"	-	"[""TU0-13114""]"
PM0-10014	clsCp	1105515	"[""D""]"	+	"[""TU0-14619""]"
PM0-10016	solAp	1119832	"[""D""]"	-	"[""TU0-13127""]"
PM0-10017	bssSp	1120243	"[""D""]"	-	"[""TU0-14621""]"
PM0-10018	rnep4	1143644	"[""D""]"	-	"[""TU0-14622""]"
PM0-10020	rpmFp	1146561	"[""D""]"	+	"[""TU0-1""]"
PM0-10021	iraMp	1211313	"[""D""]"	-	"[""TU0-13156""]"
PM0-10022	bluRp	1213336	"[""D""]"	-	"[""TU0-13158""]"
PM0-10023	ycgLp	1226832	"[""D""]"	+	"[""TU0-13169""]"
PM0-10024	fadRp2	1234139	"[""D""]"	+	"[""TU0-8794""]"
PM0-10025	ycgBp	1236508	"[""D""]"	-	"[""TU0-8686""]"
PM0-10027	ychJp	1288400	"[""D""]"	-	"[""TU0-13183""]"
PM0-10028	yciIp	1308916	"[""D""]"	-	"[""TU0-13188""]"
PM0-10029	yciVp	1321212	"[""D""]"	+	"[""TU0-13194""]"
PM0-10030	acnAp3	1333851	"[""D""]"	+	"[""TU0-14625""]"
PM0-10031	fabIp1	1349142	"[""D""]"	-	"[""TU0-13204""]"
PM0-10033	puuDp	1359076	"[""S""]"	+	"[""TU0-13210""]"
PM0-10034	ycjGp	1386898	"[""D""]"	+	"[""TU0-8693""]"
PM0-10035	ynaIp	1393997	"[""D""]"	-	"[""TU0-8636""]"
PM0-10036	uspEp	1396683	"[""D""]"	-	"[""TU0-13221""]"
PM0-10037	ydaNp	1406048	"[""D""]"	+	"[""TU0-13223""]"
PM0-10038	uspFp	1433665	"[""D""]"	-	"[""TU0-13239""]"
PM0-10039	trgp1	1490463	"[""F""]"	+	"[""TU0-14627""]"
PM0-10040	ydcRp	1508002	"[""D""]"	+	"[""TU0-13267""]"
PM0-10041	yncEp	1521251	"[""D""]"	+	"[""TU0-8638""]"
PM0-10042	yncGp	1524252	"[""D""]"	+	"[""TU0-13274""]"
PM0-10044	ydfGp	1625515	"[""D""]"	+	"[""TU0-13310""]"
PM0-10045	ydfHp	1626350	"[""D""]"	+	"[""TU0-13311""]"
PM0-10046	gnsBp	1635870	"[""D""]"	-	"[""TU0-13319""]"
PM0-10047	ynfBp	1653733	"[""D""]"	+	"[""TU0-13335""]"
PM0-10048	tqsAp	1671914	"[""D""]"	+	"[""TU0-8532""]"
PM0-10049	ydgAp	1687818	"[""D""]"	+	"[""TU0-13348""]"
PM0-10050	hdhAp	1696146	"[""D""]"	-	"[""TU0-13349""]"
PM0-10051	gstAp	1712351	"[""D""]"	+	"[""TU0-13353""]"
PM0-10052	tyrSp2	1715307	"[""D""]"	-	"[""TU0-14629""]"
PM0-10053	sodCp	1722703	"[""S""]"	-	"[""TU0-13356""]"
PM0-10054	pykFp1	1753687	"[""S"", ""D""]"	+	"[""TU0-14630""]"
PM0-10055	pykFp2	1753624	"[""D"", ""S""]"	+	"[""TU0-14631""]"
PM0-10056	ydiPp	1777352	"[""D""]"	-	"[""TU0-8710""]"
PM0-10057	yniBp	1807287	"[""D""]"	-	"[""TU0-8640""]"
PM0-10058	yniCp	1807350	"[""D""]"	+	"[""TU0-13383""]"
PM0-10059	ynjEp	1837464	"[""D""]"	+	"[""TU0-13389""]"
PM0-10060	mipAp	1864530	"[""D""]"	-	"[""TU0-13400""]"
PM0-10061	yeaGp2	1864789	"[""D""]"	+	"[""TU0-14632""]"
PM0-10062	yeaLp	1872347	"[""D""]"	+	"[""TU0-8712""]"
PM0-10063	yobFp2	1905641	"[""D""]"	-	"[""TU0-13422""]"
PM0-10064	ptrBp	1926889	"[""D""]"	-	"[""TU0-13435""]"
PM0-10065	pykAp1	1935568	"[""S"", ""D""]"	+	"[""TU0-13440""]"
PM0-10066	pykAp2	1935518	"[""S"", ""D""]"	+	"[""TU0-14633""]"
PM0-10067	aspSp1	1948725	"[""D""]"	-	"[""TU0-14634""]"
PM0-10068	insA-5p	1977250	"[""D""]"	-	"[""TU0-13446""]"
PM0-10069	dcyDp	1997532	"[""D""]"	-	"[""TU0-13453""]"
PM0-10071	flup1	2069498	"[""D""]"	+	"[""TU0-14635""]"
PM0-10072	flup2	2069527	"[""D""]"	+	"[""TU0-14636""]"
PM0-10073	sbmCp1	2079349	"[""D""]"	-	"[""TU0-13487""]"
PM0-10074	sbmCp2	2079327	"[""D""]"	-	"[""TU0-14637""]"
PM0-10075	yeeEp	2083576	"[""D""]"	-	"[""TU0-13489""]"
PM0-10076	galFp	2112375	"[""D""]"	-	"[""TU0-14346""]"
PM0-10077	yegHp	2135887	"[""D""]"	+	"[""TU0-8723""]"
PM0-10078	gatZp	2174454	"[""D""]"	-	"[""TU0-14638""]"
PM0-10079	yegTp	2176803	"[""D""]"	+	"[""TU0-13509""]"
PM0-10080	thiMp	2183473	"[""D""]"	-	"[""TU0-13512""]"
PM0-10081	metGp	2192291	"[""D""]"	+	"[""TU0-13519""]"
PM0-10082	yeiTp	2232011	"[""D""]"	+	"[""TU0-13538""]"
PM0-10083	sprp	2267942	"[""D""]"	+	"[""TU0-13550""]"
PM0-10085	yfaYp	2361677	"[""D""]"	-	"[""TU0-13567""]"
PM0-10086	yfcZp	2459001	"[""D""]"	-	"[""TU0-13597""]"
PM0-10087	mlaAp	2463157	"[""D""]"	-	"[""TU0-8537""]"
PM0-10088	glkp1	2507469	"[""S"", ""D""]"	-	"[""TU0-14640""]"
PM0-10090	ligAp	2528223	"[""D""]"	-	"[""TU0-13620""]"
PM0-10091	cysKp2	2530366	"[""D""]"	+	"[""TU0-14642""]"
PM0-10092	pdxKp1	2535341	"[""D""]"	-	"[""TU0-8487""]"
PM0-10093	ucpAp1	2542686	"[""D""]"	-	"[""TU0-13623""]"
PM0-10094	ucpAp2	2542693	"[""D""]"	-	"[""TU0-14643""]"
PM0-10095	talAp	2576630	"[""D""]"	+	"[""TU0-14644""]"
PM0-10096	yfgCp2	2614048	"[""D""]"	+	"[""TU0-14645""]"
PM0-10097	yfgMp1	2637455	"[""D""]"	-	"[""TU0-14646""]"
PM0-10098	yfgMp2	2637424	"[""D""]"	-	"[""TU0-14647""]"
PM0-10099	yfgMp3	2637392	"[""D""]"	-	"[""TU0-14648""]"
PM0-10100	yfhMp	2650346	"[""D""]"	-	"[""TU0-13652""]"
PM0-10101	sseAp	2650413	"[""D""]"	+	"[""TU0-8526""]"
PM0-10103	ffhp	2745875	"[""D""]"	-	"[""TU0-13680""]"
PM0-10104	ygaMp	2798143	"[""D""]"	+	"[""TU0-13711""]"
PM0-10106	csrAp3	2817295	"[""S""]"	-	"[""TU0-13716""]"
PM0-10108	rpoSp1	2865589	"[""D""]"	-	"[""TU0-14649""]"
PM0-10109	rpoSp2	2865629	"[""D""]"	-	"[""TU0-14650""]"
PM0-10110	rpoSp3	2865676	"[""D""]"	-	"[""TU0-14651""]"
PM0-10111	rpoSp4	2865746	"[""D""]"	-	"[""TU0-14652""]"
PM0-10112	enop6	2906040	"[""D""]"	-	"[""TU0-14653""]"
PM0-10113	pyrGp	2907735	"[""D""]"	-	"[""TU0-14654""]"
PM0-10114	rlmDp	2913065	"[""D""]"	-	"[""TU0-13735""]"
PM0-10115	queFp	2923343	"[""D""]"	+	"[""TU0-13738""]"
PM0-10116	ygeVp	3003869	"[""D""]"	-	"[""TU0-8748""]"
PM0-10117	cptBp	3039121	"[""D""]"	-	"[""TU0-13788""]"
PM0-10118	ygfZp	3039304	"[""D""]"	+	"[""TU0-8749""]"
PM0-10119	mscSp	3067893	"[""D""]"	-	"[""TU0-13800""]"
PM0-10120	tktAp1	3079729	"[""D""]"	-	"[""TU0-13802""]"
PM0-10122	gssp	3136632	"[""D""]"	-	"[""TU0-13819""]"
PM0-10123	yghUp	3136722	"[""D""]"	+	"[""TU0-8753""]"
PM0-10124	yghBp	3151551	"[""D""]"	+	"[""TU0-13822""]"
PM0-10125	dkgAp	3154593	"[""D""]"	+	"[""TU0-13824""]"
PM0-10126	sroGp2	3182740	"[""D""]"	-	"[""TU0-13839""]"
PM0-10127	ebgRp	3219459	"[""D""]"	+	"[""TU0-13850""]"
PM0-10128	ygjRp	3235304	"[""D""]"	+	"[""TU0-13858""]"
PM0-10129	sstTp	3237885	"[""D""]"	+	"[""TU0-13860""]"
PM0-10130	yhbTp1	3299390	"[""D""]"	-	"[""TU0-13877""]"
PM0-10131	yhbTp2	3299323	"[""D""]"	-	"[""TU0-14656""]"
PM0-10132	yhbYp	3325781	"[""D""]"	+	"[""TU0-8577""]"
PM0-10133	arcBp	3351071	"[""D""]"	-	"[""TU0-5621""]"
PM0-10134	yhcBp	3378204	"[""D""]"	+	"[""TU0-13897""]"
PM0-10135	degQp1	3378676	"[""D""]"	+	"[""TU0-13898""]"
PM0-10137	mscLp	3436023	"[""D""]"	+	"[""TU0-13909""]"
PM0-10138	rpsMp1	3440517	"[""D""]"	-	"[""TU0-14658""]"
PM0-10141	yheOp1	3474528	"[""D""]"	-	"[""TU0-13915""]"
PM0-10142	yheOp2	3474563	"[""D""]"	-	"[""TU0-14661""]"
PM0-10143	prkBp	3482333	"[""D""]"	+	"[""TU0-13920""]"
PM0-10144	tsgAp	3490541	"[""D""]"	+	"[""TU0-13922""]"
PM0-10145	mrcAp	3520848	"[""D""]"	+	"[""TU0-8822""]"
PM0-10146	rlmJp	3643373	"[""D""]"	+	"[""TU0-13958""]"
PM0-10148	yiaFp	3717120	"[""D""]"	-	"[""TU0-8589""]"
PM0-10149	avtAp	3737697	"[""D""]"	+	"[""TU0-13984""]"
PM0-10150	yibFp	3759998	"[""D""]"	-	"[""TU0-13988""]"
PM0-10151	gpmMp	3783258	"[""D""]"	+	"[""TU0-13998""]"
PM0-10152	dfpp	3810726	"[""D""]"	+	"[""TU0-14356""]"
PM0-10153	yicHp	3828454	"[""D""]"	+	"[""TU0-14006""]"
PM0-10155	mioCp	3924498	"[""D""]"	-	"[""TU0-14030""]"
PM0-10156	ravAp	3929151	"[""D""]"	-	"[""TU0-14031""]"
PM0-10157	kupp1	3929126	"[""D""]"	+	"[""TU0-14032""]"
PM0-10158	kupp2	3929204	"[""D""]"	+	"[""TU0-14662""]"
PM0-10159	kupp3	3929288	"[""D""]"	+	"[""TU0-14663""]"
PM0-10160	ppiCp	3957864	"[""D""]"	-	"[""TU0-14034""]"
PM0-10162	yigIp	4002747	"[""D""]"	-	"[""TU0-14045""]"
PM0-10163	frep1	4024466	"[""D""]"	+	"[""TU0-14055""]"
PM0-10164	frep2	4024508	"[""D""]"	+	"[""TU0-14665""]"
PM0-10166	pepQp	4029170	"[""D""]"	+	"[""TU0-14056""]"
PM0-10168	yihDp	4040072	"[""D""]"	+	"[""TU0-14057""]"
PM0-10169	yihXp	4073571	"[""D""]"	+	"[""TU0-14070""]"
PM0-10170	tpiAp2	4109592	"[""S"", ""D""]"	-	"[""TU0-14668""]"
PM0-10172	menAp1	4118421	"[""D""]"	-	"[""TU0-14669""]"
PM0-10174	yjbBp	4225625	"[""D""]"	+	"[""TU0-14107""]"
PM0-10175	dgkAp	4254631	"[""D""]"	+	"[""TU0-14115""]"
PM0-10176	qorp	4262327	"[""D""]"	-	"[""TU0-14227""]"
PM0-10177	dnaBp	4262306	"[""D""]"	+	"[""TU0-14119""]"
PM0-10178	alrp1	4263612	"[""D""]"	+	"[""TU0-14120""]"
PM0-10179	alrp2	4263675	"[""D""]"	+	"[""TU0-14670""]"
PM0-10180	yjbQp	4268237	"[""D""]"	+	"[""TU0-14122""]"
PM0-10181	yjdCp	4361353	"[""D""]"	-	"[""TU0-14671""]"
PM0-10182	groLp1	4368806	"[""D""]"	+	"[""TU0-14672""]"
PM0-10183	groLp2	4368896	"[""D""]"	+	"[""TU0-14673""]"
PM0-10184	groLp3	4368999	"[""D""]"	+	"[""TU0-14674""]"
PM0-10185	yjeIp	4370784	"[""D""]"	+	"[""TU0-14141""]"
PM0-10186	epmAp	4380641	"[""D""]"	+	"[""TU0-14146""]"
PM0-10188	rpsFp	4423048	"[""D""]"	+	"[""TU00346""]"
PM0-10189	ytfBp	4426842	"[""D""]"	-	"[""TU0-8663""]"
PM0-10190	cycAp	4427803	"[""D""]"	+	"[""TU0-14159""]"
PM0-10191	ppap	4447709	"[""D""]"	-	"[""TU0-8492""]"
PM0-10192	pmbAp	4455968	"[""D""]"	+	"[""TU0-14167""]"
PM0-10193	ridAp	4468969	"[""D""]"	-	"[""TU0-14169""]"
PM0-10194	rraBp2	4476468	"[""D""]"	+	"[""TU0-8617""]"
PM0-10195	holDp	4605804	"[""D""]"	+	"[""TU0-14216""]"
PM0-10196	ydhYp	1752666	"[""S""]"	-	"[""TU0-14675""]"
PM0-10201	artPp1	903038	"[""S""]"	-	"[""TU0-14676""]"
PM0-10202	artPp2	903059	"[""S""]"	-	"[""TU0-14677""]"
PM0-10203	artPp3	903066	"[""S""]"	-	"[""TU0-14678""]"
PM0-10204	ybgAp2	738143	"[""S""]"	+	"[""TU0-14679""]"
PM0-10205	gptp	255914	"[""D""]"	+	"[""TU0-14680""]"
PM0-10206	frsAp	256502	"[""D""]"	+	"[""TU0-12857""]"
PM0-10207	dksAp2	160657	"[""D""]"	-	"[""TU0-14681""]"
PM0-10209	panBp	149630	"[""D""]"	-	"[""TU00313""]"
PM0-10214	ecnBp	4374532	"[""S""]"	+	"[""TU0-14682""]"
PM0-10215	creDp	4636183	"[""D""]"	+	"[""TU0-14683""]"
PM0-10219	tolCp4	3176096	"[""S""]"	+	"[""TU0-13838""]"
PM0-10220	nemRp	1724045	"[""D""]"	+	"[""TU0-14687"", ""TU0-42534""]"
PM0-10221	ybaOp	467576	"[""D""]"	+	"[""TU0-12936""]"
PM0-10222	ompXp1	849432	"[""D""]"	+	"[""TU0-14688""]"
PM0-10223	cyaRp	2165138	"[""S"", ""D"", ""E""]"	+	"[""TU0-13506""]"
PM0-10224	coaAp	4173130	"[""D""]"	-	"[""TU0-14228""]"
PM0-10228	ssrSp1	3053996	"[""D""]"	+	"[""TU0-36424"", ""TU0-13794""]"
PM0-10229	ssrSp2	3053781	"[""D"", ""S""]"	+	"[""TU0-36423"", ""TU0-14689""]"
PM0-10230	nadEp	1820326	"[""D""]"	+	"[""TU0-13386""]"
PM0-10233	lsrRp	1599281	"[""D""]"	-	"[""TU0-13299""]"
PM0-10238	pstBp	3906470	"[""D""]"	-	"[""TU0-14694""]"
PM0-10241	yicCp	3814668	"[""D""]"	+	"[""TU0-14001""]"
PM0-10242	dinDp	3815722	"[""D""]"	+	"[""TU0-14002""]"
PM0-10243	yebGp	1928789	"[""D""]"	-	"[""TU0-13438""]"
PM0-10244	dinIp	1120732	"[""D""]"	-	"[""TU0-13128""]"
PM0-10246	hokEp	606954	"[""E""]"	+	"[""TU0-8266""]"
PM0-10247	ybfEp	711162	"[""H""]"	-	"[""TU0-8265""]"
PM0-10248	chop	1821516	"[""D""]"	+	"[""TU0-8267""]"
PM0-10249	ydiVp	1790111	"[""E""]"	-	"[""TU0-13377""]"
PM0-10251	mdtEp1	3657107	"[""D""]"	+	"[""TU0-13964""]"
PM0-10252	mdtEp2	3657163	"[""D""]"	+	"[""TU0-14697""]"
PM0-10253	mdtEp3	3657168	"[""D""]"	+	"[""TU0-14698""]"
PM0-10254	cmrp2	882792	"[""D""]"	+	"[""TU0-14699""]"
PM0-10256	tolCp1	3176026	"[""D""]"	+	"[""TU0-14701""]"
PM0-10257	tolCp2	3176034	"[""D""]"	+	"[""TU0-14702""]"
PM0-10259	tolCp3	3176084	"[""D""]"	+	"[""TU0-14704""]"
PM0-10266	murRp	2543815	"[""S"", ""D""]"	-	"[""TU0-13624""]"
PM0-10275	murQp1	2543755	"[""S"", ""D""]"	+	"[""TU0-14714""]"
PM0-10276	murQp2	2543763	"[""D""]"	+	"[""TU0-14715""]"
PM0-10277	sibAp	2151335	"[""D""]"	+	"[""TU0-13502""]"
PM0-10278	sibDp	3192887	"[""D""]"	-	"[""TU0-13845""]"
PM0-10279	sibEp	3193262	"[""D""]"	-	"[""TU0-14716""]"
PM0-10280	sibCp	3054873	"[""D""]"	+	"[""TU0-14717""]"
PM0-10281	sibBp	2151670	"[""D""]"	+	"[""TU0-13503""]"
PM0-10283	ycdTp	1092064	"[""D""]"	+	"[""TU0-8682""]"
PM0-10286	folEp	2241870	"[""D""]"	-	"[""TU0-13539""]"
PM0-10287	gadWp1	3662674	"[""D""]"	-	"[""TU0-14718""]"
PM0-10288	gadWp2	3662804	"[""D""]"	-	"[""TU0-14719""]"
PM0-10299	yqaEp	2795107	"[""D""]"	-	"[""TU0-13709""]"
PM0-10300	luxSp2	2812838	"[""D""]"	-	"[""TU0-8849""]"
PM0-10318	yefMp	2087757	"[""D""]"	-	"[""TU0-13493""]"
PM0-10330	uvrBp1	812716	"[""D""]"	+	"[""TU0-14730""]"
PM0-10331	yegRp	2166373	"[""D""]"	-	"[""TU0-7744""]"
PM0-10338	yojIp	2306663	"[""D""]"	-	"[""TU0-13560""]"
PM0-10342	gmkp	3819411	"[""D""]"	+	"[""TU0-14004""]"
PM0-10343	rpoZp	3820100	"[""D""]"	+	"[""TU00344""]"
PM0-10344	yifLp	3992515	"[""D""]"	+	"[""TU0-14042""]"
PM0-10348	gadEp2	3656065	"[""D""]"	+	"[""TU0-14735""]"
PM0-10349	gadEp3	3655823	"[""D""]"	+	"[""TU0-14736""]"
PM0-10350	dinJp	246615	"[""D""]"	-	"[""TU0-12849""]"
PM0-10351	puuAp	1358992	"[""S""]"	-	"[""TU0-13209""]"
PM0-10352	fadRp	1234128	"[""D""]"	+	"[""TU0-14737""]"
PM0-10354	yjeVp	4390759	"[""D""]"	+	"[""TU0-14738""]"
PM0-10356	queGp	4392115	"[""D""]"	-	"[""TU0-8611""]"
PM0-10357	ogtp	1398308	"[""D""]"	-	"[""TU0-14739""]"
PM0-10360	pldAp	4002837	"[""D""]"	+	"[""TU0-14046""]"
PM0-10361	pepAp1	4484162	"[""D""]"	-	"[""TU0-14175""]"
PM0-10362	pepAp2	4484135	"[""D""]"	-	"[""TU0-14740""]"
PM0-10363	pepAp3	4484124	"[""D""]"	-	"[""TU0-14741""]"
PM0-10364	ppdDp	117705	"[""D""]"	-	"[""TU0-12811""]"
PM0-10365	hofMp	3520950	"[""S""]"	-	"[""TU0-13927""]"
PM0-10366	gadEp4	3656085	"[""D""]"	+	"[""TU0-14742""]"
PM0-10367	ydeJp	1622712	"[""D""]"	+	"[""TU0-8706""]"
PM0-10368	ybdNp	635909	"[""D""]"	-	"[""TU0-12993""]"
PM0-10370	rfaYp	3799159	"[""D""]"	-	"[""TU0-14744""]"
PM0-10371	mdhp2	3382492	"[""D""]"	-	"[""TU0-14745""]"
PM0-10372	uxaCp1	3242865	"[""D""]"	-	"[""TU0-14746""]"
PM0-10375	exutP1	3243065	"[""D""]"	+	"[""TU0-14749""]"
PM0-10377	citCp2	651262	"[""D""]"	-	"[""TU0-14750""]"
PM0-10380	dpiBp	651207	"[""D""]"	+	"[""TU0-13000""]"
PM0-10381	dpiBp2	651395	"[""D""]"	+	"[""TU0-14751""]"
PM0-10382	ybfMp	707459	"[""D""]"	+	"[""TU0-13021""]"
PM0-10383	yddGp	1545229	"[""S""]"	-	"[""TU0-13284""]"
PM0-10387	dinBp	250880	"[""S"", ""D""]"	+	"[""TU0-12853""]"
PM0-10389	hicAp	1507245	"[""D""]"	+	"[""TU0-13266""]"
PM0-10401	rndp	1886085	"[""D""]"	-	"[""TU0-14354""]"
PM0-10404	tsaEp	4393608	"[""D""]"	+	"[""TU0-14759""]"
PM0-10406	dsbGp	638023	"[""D""]"	-	"[""TU0-12995""]"
PM0-10408	ahpCp2	637916	"[""D""]"	+	"[""TU0-14761""]"
PM0-10409	blrp	1702536	"[""D""]"	+	"[""TU0-13351""]"
PM0-1041	galRp	2974591	"[""D""]"	+	"[""TU0-881""]"
PM0-10411	yrbNp	3306108	"[""D""]"	-	"[""TU0-14763""]"
PM0-10415	mqsRp	3166675	"[""D""]"	-	"[""TU0-13832""]"
PM0-10418	yjjZp	4603800	"[""D""]"	+	"[""TU0-8630""]"
PM0-10431	yjcCp	4273441	"[""S""]"	+	"[""TU0-8609""]"
PM0-10434	ydhOp	1732381	"[""D""]"	+	"[""TU0-13359""]"
PM0-10435	bdcAp	4472087	"[""D""]"	-	"[""TU0-14171""]"
PM0-10436	tynAp	1449522	"[""D""]"	-	"[""TU0-13243""]"
PM0-10437	rfep	3965823	"[""D""]"	+	"[""TU0-14039""]"
PM0-10438	yeaEp	1863748	"[""D""]"	-	"[""TU0-13399""]"
PM0-10441	mhpTp	374610	"[""H""]"	+	"[""TU0-12900""]"
PM0-10442	dkgBp	229098	"[""S""]"	+	"[""TU0-12839""]"
PM0-10443	ftsBp	2870923	"[""S""]"	-	"[""TU0-14312""]"
PM0-10444	grxD	1732186	"[""D""]"	-	"[""TU0-8805""]"
PM0-10445	pgpCp	2696660	"[""H""]"	-	"[""TU0-13667""]"
PM0-10448	iraDp1	4554599	"[""D""]"	+	"[""TU0-14766""]"
PM0-10449	azuCp	1986025	"[""D""]"	-	"[""TU0-14767""]"
PM0-10451	ykgRp	312509	"[""D""]"	-	"[""TU0-14769""]"
PM0-10453	yobFp1	1905817	"[""D""]"	-	"[""TU0-14771""]"
PM0-10454	rraBp1	4476407	"[""D""]"	+	"[""TU0-14772""]"
PM0-10457	glmYp2	2689362	"[""D""]"	-	"[""TU0-14775""]"
PM0-10463	yahEp	334963	"[""N""]"	+	"[""TU0-14781""]"
PM0-10464	yaaUp	45592	"[""N""]"	+	"[""TU0-12799""]"
PM0-10465	crlp2	257824	"[""N""]"	+	"[""TU0-14782""]"
PM0-10466	nikAp2	3611462	"[""N""]"	+	"[""TU0-14783""]"
PM0-10467	emrDp	3851868	"[""N""]"	+	"[""TU0-14013""]"
PM0-10468	yhjCp	3670159	"[""N""]"	+	"[""TU0-13966""]"
PM0-10469	ygfKp	3014014	"[""N""]"	+	"[""TU0-13781""]"
PM0-10470	yejHp	2278644	"[""N""]"	+	"[""TU0-13556""]"
PM0-10471	htpGp3	494041	"[""N""]"	+	"[""TU0-14784""]"
PM0-10472	flhDp2	1976601	"[""N""]"	-	"[""TU0-14785""]"
PM0-10473	actPp	4282958	"[""N""]"	-	"[""TU0-14786""]"
PM0-10474	rhaDp	4092408	"[""N""]"	-	"[""TU0-14787""]"
PM0-10479	mqsRp2	3166584	"[""D""]"	-	"[""TU0-14791""]"
PM0-10480	xdhAp2	2998287	"[""N""]"	+	"[""TU0-14792""]"
PM0-10482	acrDp2	2585572	"[""N""]"	+	"[""TU0-14793""]"
PM0-10488	greAp1	3326886	"[""D""]"	-	"[""TU0-14794""]"
PM0-10490	ftnAp	1986706	"[""D""]"	+	"[""TU0-13449""]"
PM0-10501	dsrAp	2023337	"[""D""]"	-	"[""TU0-8788""]"
PM0-10502	fnrSp	1407153	"[""D""]"	+	"[""TU0-14795""]"
PM0-10504	mgrRp	1620938	"[""D""]"	-	"[""TU0-14797""]"
PM0-10505	yneMp	1620612	"[""D""]"	+	"[""TU0-13307""]"
PM0-10506	eptBp	3708604	"[""D""]"	-	"[""TU0-13975""]"
PM0-10509	selAp	3759320	"[""D""]"	-	"[""TU00355""]"
PM0-10511	ydjAp	1846724	"[""D""]"	-	"[""TU00356""]"
PM0-10512	selDp2	1846053	"[""D""]"	-	"[""TU0-14798""]"
PM0-10514	selCp	3834245	"[""D""]"	+	"[""TU0-14007""]"
