Frame ID	Name	Process	EC	Stoichiometry (pH 7.2)	Enzyme	Direction	Comments
FEIST_23PDE2pp	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	Metabolism	3.1.4.16	[p] : 23cump + h2o --> 3ump + h	CPDB-MONOMER	forward only	
FEIST_23PDE4pp	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)	Metabolism	3.1.4.16	[p] : 23ccmp + h2o --> 3cmp + h	CPDB-MONOMER	forward only	
FEIST_23PDE7pp	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	Metabolism	3.1.4.16	[p] : 23camp + h2o --> 3amp + h	CPDB-MONOMER	forward only	
FEIST_23PDE9pp	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	Metabolism	3.1.4.16	[p] : 23cgmp + h2o --> 3gmp + h	CPDB-MONOMER	forward only	
FEIST_26DAHtex_0	meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	Metabolism		26dap-M[e] <==> 26dap-M[p]	MONOMER0-282	reversible	
FEIST_26DAHtex_1	meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	Metabolism		26dap-M[e] <==> 26dap-M[p]	EG10671-MONOMER	reversible	
FEIST_26DAHtex_2	meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	Metabolism		26dap-M[e] <==> 26dap-M[p]	G6700-MONOMER	reversible	
FEIST_26DAHtex_3	meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	Metabolism		26dap-M[e] <==> 26dap-M[p]	EG10670-MONOMER	reversible	
FEIST_2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	Metabolism		2ddecg3p[p] --> 2ddecg3p[c]	EG12455-MONOMER	forward only	
FEIST_2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	Metabolism		2tdecg3p[p] --> 2tdecg3p[c]	EG12455-MONOMER	forward only	
FEIST_2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	Metabolism		2tdec7eg3p[p] --> 2tdec7eg3p[c]	EG12455-MONOMER	forward only	
FEIST_2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	Metabolism		2hdecg3p[p] --> 2hdecg3p[c]	EG12455-MONOMER	forward only	
FEIST_2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	Metabolism		2hdec9eg3p[p] --> 2hdec9eg3p[c]	EG12455-MONOMER	forward only	
FEIST_2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	Metabolism		2odecg3p[p] --> 2odecg3p[c]	EG12455-MONOMER	forward only	
FEIST_2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	Metabolism		2odec11eg3p[p] --> 2odec11eg3p[c]	EG12455-MONOMER	forward only	
FEIST_2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	Metabolism		2agpe120[p] --> 2agpe120[c]	EG12455-MONOMER	forward only	
FEIST_2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	Metabolism		2agpe140[p] --> 2agpe140[c]	EG12455-MONOMER	forward only	
FEIST_2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	Metabolism		2agpe141[p] --> 2agpe141[c]	EG12455-MONOMER	forward only	
FEIST_2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	Metabolism		2agpe160[p] --> 2agpe160[c]	EG12455-MONOMER	forward only	
FEIST_2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	Metabolism		2agpe161[p] --> 2agpe161[c]	EG12455-MONOMER	forward only	
FEIST_2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	Metabolism		2agpe180[p] --> 2agpe180[c]	EG12455-MONOMER	forward only	
FEIST_2AGPE181tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	Metabolism		2agpe181[p] --> 2agpe181[c]	EG12455-MONOMER	forward only	
FEIST_2AGPEAT120	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	Metabolism	2.3.1.40	[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPEAT140	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	Metabolism	2.3.1.40	[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	Metabolism	2.3.1.40	[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	Metabolism	2.3.1.40	[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPEAT161	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	Metabolism	2.3.1.40	[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPEAT180	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	Metabolism	2.3.1.40	[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPEAT181	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	Metabolism	2.3.1.40	[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPG120tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	Metabolism		2agpg120[p] --> 2agpg120[c]	EG12455-MONOMER	forward only	
FEIST_2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	Metabolism		2agpg140[p] --> 2agpg140[c]	EG12455-MONOMER	forward only	
FEIST_2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	Metabolism		2agpg141[p] --> 2agpg141[c]	EG12455-MONOMER	forward only	
FEIST_2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	Metabolism		2agpg160[p] --> 2agpg160[c]	EG12455-MONOMER	forward only	
FEIST_2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	Metabolism		2agpg161[p] --> 2agpg161[c]	EG12455-MONOMER	forward only	
FEIST_2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	Metabolism		2agpg180[p] --> 2agpg180[c]	EG12455-MONOMER	forward only	
FEIST_2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	Metabolism		2agpg181[p] --> 2agpg181[c]	EG12455-MONOMER	forward only	
FEIST_2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	Metabolism	2.3.1.40	[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPGAT140	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	Metabolism	2.3.1.40	[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	Metabolism	2.3.1.40	[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	Metabolism	2.3.1.40	[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPGAT161	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	Metabolism	2.3.1.40	[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	Metabolism	2.3.1.40	[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi	AAS-MONOMER	forward only	
FEIST_2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	Metabolism	2.3.1.40	[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi	AAS-MONOMER	forward only	
FEIST_2DGLCNRx	2-dehydro-D-gluconate reductase (NADH)	Metabolism		[c] : 2dhglcn + h + nadh --> glcn + nad	MONOMER-43	forward only	
FEIST_2DGLCNRy	2-dehydro-D-gluconate reductase (NADPH)	Metabolism	1.1.1.215	[c] : 2dhglcn + h + nadph --> glcn + nadp	MONOMER-43	forward only	
FEIST_2DGULRx	2-dehydro-L-gulonate reductase (NADH)	Metabolism		[c] : 2dhguln + h + nadh --> idon-L + nad	MONOMER-43	forward only	
FEIST_2DGULRy	2-dehydro-L-gulonate reductase (NADPH)	Metabolism		[c] : 2dhguln + h + nadph --> idon-L + nadp	MONOMER-43	forward only	
FEIST_2MAHMP_0	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	Metabolism		[c] : 2mahmp + h2o --> 4ampm + h + pi	G6246-MONOMER	forward only	
FEIST_2MAHMP_1	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	Metabolism		[c] : 2mahmp + h2o --> 4ampm + h + pi	G6580-MONOMER	forward only	
FEIST_34dhpactex_0	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	Metabolism		34dhpac[e] <==> 34dhpac[p]	MONOMER0-282	reversible	
FEIST_34dhpactex_1	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	Metabolism		34dhpac[e] <==> 34dhpac[p]	EG10671-MONOMER	reversible	
FEIST_34dhpactex_2	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	Metabolism		34dhpac[e] <==> 34dhpac[p]	G6700-MONOMER	reversible	
FEIST_34dhpactex_3	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	Metabolism		34dhpac[e] <==> 34dhpac[p]	EG10670-MONOMER	reversible	
FEIST_3AMPtex_0	3AMP transport via diffusion (extracellular to periplasm)	Metabolism		3amp[e] <==> 3amp[p]	MONOMER0-282	reversible	
FEIST_3AMPtex_1	3AMP transport via diffusion (extracellular to periplasm)	Metabolism		3amp[e] <==> 3amp[p]	EG10671-MONOMER	reversible	
FEIST_3AMPtex_2	3AMP transport via diffusion (extracellular to periplasm)	Metabolism		3amp[e] <==> 3amp[p]	G6700-MONOMER	reversible	
FEIST_3AMPtex_3	3AMP transport via diffusion (extracellular to periplasm)	Metabolism		3amp[e] <==> 3amp[p]	EG10670-MONOMER	reversible	
FEIST_3CMPtex_0	3CMP transport via diffusion (extracellular to periplasm)	Metabolism		3cmp[e] <==> 3cmp[p]	MONOMER0-282	reversible	
FEIST_3CMPtex_1	3CMP transport via diffusion (extracellular to periplasm)	Metabolism		3cmp[e] <==> 3cmp[p]	EG10671-MONOMER	reversible	
FEIST_3CMPtex_2	3CMP transport via diffusion (extracellular to periplasm)	Metabolism		3cmp[e] <==> 3cmp[p]	G6700-MONOMER	reversible	
FEIST_3CMPtex_3	3CMP transport via diffusion (extracellular to periplasm)	Metabolism		3cmp[e] <==> 3cmp[p]	EG10670-MONOMER	reversible	
FEIST_3GMPtex_0	3GMP transport via diffusion (extracellular to periplasm)	Metabolism		3gmp[e] <==> 3gmp[p]	MONOMER0-282	reversible	
FEIST_3GMPtex_1	3GMP transport via diffusion (extracellular to periplasm)	Metabolism		3gmp[e] <==> 3gmp[p]	G6700-MONOMER	reversible	
FEIST_3GMPtex_2	3GMP transport via diffusion (extracellular to periplasm)	Metabolism		3gmp[e] <==> 3gmp[p]	EG10670-MONOMER	reversible	
FEIST_3GMPtex_3	3GMP transport via diffusion (extracellular to periplasm)	Metabolism		3gmp[e] <==> 3gmp[p]	EG10671-MONOMER	reversible	
FEIST_3HAD100_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	Metabolism	4.2.1.60	[c] : 3hdecACP --> h2o + tdec2eACP	FABA-MONOMER	forward only	
FEIST_3HAD100_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	Metabolism	4.2.1.60	[c] : 3hdecACP --> h2o + tdec2eACP	FABZ-MONOMER	forward only	
FEIST_3HAD120_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	Metabolism	4.2.1.61	[c] : 3hddecACP --> h2o + tddec2eACP	FABA-MONOMER	forward only	
FEIST_3HAD120_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	Metabolism	4.2.1.61	[c] : 3hddecACP --> h2o + tddec2eACP	FABZ-MONOMER	forward only	
FEIST_3HAD121_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	Metabolism	4.2.1.61	[c] : 3hcddec5eACP --> h2o + t3c5ddeceACP	FABA-MONOMER	forward only	
FEIST_3HAD121_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	Metabolism	4.2.1.61	[c] : 3hcddec5eACP --> h2o + t3c5ddeceACP	FABZ-MONOMER	forward only	
FEIST_3HAD140_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	Metabolism	4.2.1.61	[c] : 3hmrsACP --> h2o + tmrs2eACP	FABA-MONOMER	forward only	
FEIST_3HAD140_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	Metabolism	4.2.1.61	[c] : 3hmrsACP --> h2o + tmrs2eACP	FABZ-MONOMER	forward only	
FEIST_3HAD141_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	Metabolism	4.2.1.61	[c] : 3hcmrs7eACP --> h2o + t3c7mrseACP	FABA-MONOMER	forward only	
FEIST_3HAD141_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	Metabolism	4.2.1.61	[c] : 3hcmrs7eACP --> h2o + t3c7mrseACP	FABZ-MONOMER	forward only	
FEIST_3HAD160_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	Metabolism	4.2.1.61	[c] : 3hpalmACP --> h2o + tpalm2eACP	FABA-MONOMER	forward only	
FEIST_3HAD160_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	Metabolism	4.2.1.61	[c] : 3hpalmACP --> h2o + tpalm2eACP	FABZ-MONOMER	forward only	
FEIST_3HAD161_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	Metabolism	4.2.1.61	[c] : 3hcpalm9eACP --> h2o + t3c9palmeACP	FABA-MONOMER	forward only	
FEIST_3HAD161_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	Metabolism	4.2.1.61	[c] : 3hcpalm9eACP --> h2o + t3c9palmeACP	FABZ-MONOMER	forward only	
FEIST_3HAD180_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	Metabolism	4.2.1.61	[c] : 3hoctaACP --> h2o + toctd2eACP	FABA-MONOMER	forward only	
FEIST_3HAD180_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	Metabolism	4.2.1.61	[c] : 3hoctaACP --> h2o + toctd2eACP	FABZ-MONOMER	forward only	
FEIST_3HAD181_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	Metabolism	4.2.1.61	[c] : 3hcvac11eACP --> h2o + t3c11vaceACP	FABZ-MONOMER	forward only	
FEIST_3HAD181_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	Metabolism	4.2.1.61	[c] : 3hcvac11eACP --> h2o + t3c11vaceACP	FABA-MONOMER	forward only	
FEIST_3HAD40_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	Metabolism	4.2.1.58	[c] : 3haACP --> but2eACP + h2o	FABA-MONOMER	forward only	
FEIST_3HAD40_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	Metabolism	4.2.1.58	[c] : 3haACP --> but2eACP + h2o	FABZ-MONOMER	forward only	
FEIST_3HAD60_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	Metabolism	4.2.1.58	[c] : 3hhexACP --> h2o + thex2eACP	FABA-MONOMER	forward only	
FEIST_3HAD60_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	Metabolism	4.2.1.58	[c] : 3hhexACP --> h2o + thex2eACP	FABZ-MONOMER	forward only	
FEIST_3HAD80_0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	Metabolism	4.2.1.58	[c] : 3hoctACP --> h2o + toct2eACP	FABA-MONOMER	forward only	
FEIST_3HAD80_1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	Metabolism	4.2.1.58	[c] : 3hoctACP --> h2o + toct2eACP	FABZ-MONOMER	forward only	
FEIST_3HCINNMH	3-hydroxycinnamate hydroxylase	Metabolism		[c] : 3hcinnm + h + nadh + o2 --> dhcinnm + h2o + nad	MHPHYDROXY-MONOMER	forward only	
FEIST_3HPPPNH	3-(3-hydroxy-phenyl)propionate hydroxylase	Metabolism		[c] : 3hpppn + h + nadh + o2 --> dhpppn + h2o + nad	MHPHYDROXY-MONOMER	forward only	
FEIST_3KGK	3-keto-L-gulonate kinase	Metabolism		[c] : 3dhguln + atp --> 3dhgulnp + adp + h	LYXK-MONOMER	forward only	
FEIST_3NTD2pp	3'-nucleotidase (UMP) (periplasm)	Metabolism		[p] : 3ump + h2o --> pi + uri	CPDB-MONOMER	forward only	
FEIST_3NTD4pp	3'-nucleotidase (CMP) (periplasm)	Metabolism		[p] : 3cmp + h2o --> cytd + pi	CPDB-MONOMER	forward only	
FEIST_3NTD7pp	3'-nucleotidase (AMP) (periplasm)	Metabolism		[p] : 3amp + h2o --> adn + pi	CPDB-MONOMER	forward only	
FEIST_3NTD9pp	3'-nucleotidase (GMP) (periplasm)	Metabolism		[p] : 3gmp + h2o --> gsn + pi	CPDB-MONOMER	forward only	
FEIST_3OAR100	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	Metabolism	1.1.1.100	[c] : 3odecACP + h + nadph <==> 3hdecACP + nadp	3-OXOACYL-ACP-REDUCT-MONOMER	reversible	
FEIST_3OAR120	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	Metabolism	1.1.1.100	[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp	3-OXOACYL-ACP-REDUCT-MONOMER	reversible	
FEIST_3OAR121	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	Metabolism	1.1.1.100	[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp	3-OXOACYL-ACP-REDUCT-MONOMER	forward only	
FEIST_3OAR140	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	Metabolism	1.1.1.100	[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp	3-OXOACYL-ACP-REDUCT-MONOMER	reversible	
FEIST_3OAR141	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	Metabolism	1.1.1.100	[c] : 3ocmrs7eACP + h + nadph --> 3hcmrs7eACP + nadp	3-OXOACYL-ACP-REDUCT-MONOMER	forward only	
FEIST_3OAR160	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	Metabolism	1.1.1.100	[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp	3-OXOACYL-ACP-REDUCT-MONOMER	reversible	
FEIST_3OAR161	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	Metabolism	1.1.1.100	[c] : 3ocpalm9eACP + h + nadph --> 3hcpalm9eACP + nadp	3-OXOACYL-ACP-REDUCT-MONOMER	forward only	
FEIST_3OAR180	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	Metabolism	1.1.1.100	[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp	3-OXOACYL-ACP-REDUCT-MONOMER	reversible	
