"Object ID"	"RNAs"	"Synonyms"
"RNA0-304"	RNA0-304	"tRNA<sup>asnW</sup>"
"aspT-tRNA"	aspT-tRNA	"tRNA<sup>aspT</sup>"
"aspU-tRNA"	aspU-tRNA	"tRNA<sup>aspU</sup>"
"aspV-tRNA"	aspV-tRNA	"tRNA<sup>aspV</sup>"
"cysT-tRNA"	cysT-tRNA	"tRNA<sup>cysT</sup>"
"glnV-tRNA"	glnV-tRNA	"tRNA<sup>glnV</sup>" // "tRNA<sup>Gln2</sup>"
"glnX-tRNA"	glnX-tRNA	"tRNA<sup>glnX</sup>" // "tRNA<sup>Gln2</sup>"
"glnU-tRNA"	glnU-tRNA	"tRNA<sup>glnU</sup>" // "tRNA<sup>Gln1</sup>"
"glnW-tRNA"	glnW-tRNA	"tRNA<sup>glnW</sup>" // "tRNA<sup>Gln1</sup>"
"gltT-tRNA"	gltT-tRNA	"tRNA<sup>gltT</sup>"
"gltU-tRNA"	gltU-tRNA	"tRNA<sup>gltU</sup>"
"gltV-tRNA"	gltV-tRNA	"tRNA<sup>gltV</sup>"
"gltW-tRNA"	gltW-tRNA	"tRNA<sup>gltW</sup>"
"glyU-tRNA"	glyU-tRNA	"tRNA<sup>glyU</sup>"
"glyW-tRNA"	glyW-tRNA	"tRNA<sup>glyW</sup>"
"glyX-tRNA"	glyX-tRNA	"tRNA<sup>glyX</sup>"
"glyY-tRNA"	glyY-tRNA	"tRNA<sup>glyY</sup>"
"glyV-tRNA"	glyV-tRNA	"tRNA<sup>glyV</sup>"
"glyT-tRNA"	glyT-tRNA	"tRNA<sup>glyT</sup>"
"hisR-tRNA"	hisR-tRNA	"tRNA<sup>hisR</sup>"
"RNA0-305"	RNA0-305	"tRNA<sup>ileY</sup>"
"ileX-tRNA"	ileX-tRNA	"tRNA(2Ile)" // "tRNA(minorIle)" // "tRNA<sup>ileX</sup>"
"ileU-tRNA"	ileU-tRNA	"tRNA<sup>ileU</sup>"
"ileV-tRNA"	ileV-tRNA	"tRNA<sup>ileV</sup>"
"ileT-tRNA"	ileT-tRNA	"tRNA<sup>ileT</sup>"
"RNA0-306"	RNA0-306	"tRNA<sup>metV</sup>" // "tRNA<sup>fMet1</sup>"
"metW-tRNA"	metW-tRNA	"tRNA<sup>metW</sup>" // "tRNA<sup>fMet1</sup>"
"metY-tRNA"	metY-tRNA	"tRNA<sup>metY</sup>" // "tRNA<sup>fMet2</sup>"
"metZ-tRNA"	metZ-tRNA	"tRNA<sup>metZ</sup>" // "tRNA<sup>fMet1</sup>"
"leuX-tRNA"	leuX-tRNA	"tRNA<sup>leuX</sup>"
"leuV-tRNA"	leuV-tRNA	"tRNA<sup>leuV</sup>"
"leuQ-tRNA"	leuQ-tRNA	"tRNA<sup>leuQ</sup>"
"leuT-tRNA"	leuT-tRNA	"tRNA<sup>leuT</sup>"
"leuP-tRNA"	leuP-tRNA	"tRNA<sup>leuP</sup>"
"leuU-tRNA"	leuU-tRNA	"tRNA<sup>leuU</sup>"
"leuZ-tRNA"	leuZ-tRNA	"tRNA<sup>leuZ</sup>"
"leuW-tRNA"	leuW-tRNA	"tRNA<sup>leuW</sup>"
"lysV-tRNA"	lysV-tRNA	"tRNA<sup>lysV</sup>"
"RNA0-302"	RNA0-302	"tRNA<sup>lysZ</sup>"
"lysW-tRNA"	lysW-tRNA	"tRNA<sup>lysW</sup>"
"RNA0-303"	RNA0-303	"tRNA<sup>lysQ</sup>"
"lysT-tRNA"	lysT-tRNA	"tRNA<sup>lysT</sup>"
"RNA0-301"	RNA0-301	"tRNA<sup>lysY</sup>"
"metT-tRNA"	metT-tRNA	"tRNA<sup>metT</sup>"
"metU-tRNA"	metU-tRNA	"tRNA<sup>metU</sup>"
"pheV-tRNA"	pheV-tRNA	"tRNA<sup>pheV</sup>"
"pheU-tRNA"	pheU-tRNA	"tRNA<sup>pheU</sup>"
"proK-tRNA"	proK-tRNA	"tRNA<sup>proK</sup>"
"proL-tRNA"	proL-tRNA	"tRNA<sup>proL</sup>"
"proM-tRNA"	proM-tRNA	"tRNA<sup>proM</sup>"
"selC-tRNA"	selC-tRNA	"tRNA<sup>sec</sup>"
"serU-tRNA"	serU-tRNA	"tRNA<sup>serU</sup>" // "tRNA<sup>Ser2</sup>"
"serV-tRNA"	serV-tRNA	"tRNA<sup>serV</sup>" // "tRNA<sup>Ser3</sup>"
"serW-tRNA"	serW-tRNA	"tRNA<sup>serW</sup>" // "tRNA<sup>Ser5</sup>"
"serX-tRNA"	serX-tRNA	"tRNA<sup>serX</sup>" // "tRNA<sup>Ser5</sup>"
"serT-tRNA"	serT-tRNA	"tRNA<sup>serT</sup>" // "tRNA<sup>Ser1</sup>"
"thrW-tRNA"	thrW-tRNA	"tRNA<sup>Thr2</sup>(CGU)" // "tRNA<sup>thrW</sup>"
"thrT-tRNA"	thrT-tRNA	"tRNA<sup>Thr3</sup>(GGU)" // "tRNA<sup>thrT</sup>"
"thrV-tRNA"	thrV-tRNA	"tRNA<sup>Thr1</sup>(GGU)" // "tRNA<sup>thrV</sup>"
"thrU-tRNA"	thrU-tRNA	"tRNA<sup>Thr4</sup>(UGU)" // "tRNA<sup>thrU</sup>"
"trpT-tRNA"	trpT-tRNA	"tRNA<sup>trpT</sup>" // "tRNA<sup>Trp</sup>"
"tyrV-tRNA"	tyrV-tRNA	"tRNA<sup>tyrV</sup>"
"tyrT-tRNA"	tyrT-tRNA	"tRNA<sup>tyrT</sup>"
"tyrU-tRNA"	tyrU-tRNA	"tRNA<sup>tyrU</sup>"
"valV-tRNA"	valV-tRNA	"tRNA<sup>valV</sup>"
"valW-tRNA"	valW-tRNA	"tRNA<sup>valW</sup>"
"valY-tRNA"	valY-tRNA	"tRNA<sup>valY</sup>"
"RNA0-300"	RNA0-300	"tRNA<sup>valZ</sup>"
"valT-tRNA"	valT-tRNA	"tRNA<sup>valT</sup>"
"valX-tRNA"	valX-tRNA	"tRNA<sup>valX</sup>"
"valU-tRNA"	valU-tRNA	"tRNA<sup>valU</sup>"
