rna id	ratio to 16SrRNA at 0.4 hr^-1	ratio to 16SrRNA at 0.7 hr^-1	ratio to 16SrRNA at 1.07 hr^-1	ratio to 16SrRNA at 1.6 hr^-1	ratio to 16SrRNA at 2.5 hr^-1
aspU-tRNA[c]	0.095	0.08	0.0675	0.0625	0.065
asnT-tRNA[c]	0.095	0.08	0.0675	0.0625	0.065
lysW-tRNA[c]	0.105	0.085	0.07	0.06	0.05
RNA0-306[c]	0.105	0.085	0.07	0.06	0.05
RNA0-305[c]	0.18	0.11	0.11	0.07	0.05
RNA0-304[c]	0.14	0.12	0.07	0.1	0.07
RNA0-303[c]	0.12	0.09	0.07	0.06	0.05
RNA0-302[c]	0.04	0.04	0.03	0.03	0.02
RNA0-301[c]	0.26	0.25	0.18	0.17	0.14
leuT-tRNA[c]	0.07	0.05	0.04	0.03	0.03
metU-tRNA[c]	0.28	0.2	0.15	0.14	0.11
asnU-tRNA[c]	0.075	0.06	0.045	0.045	0.04
valU-tRNA[c]	0.075	0.06	0.045	0.045	0.04
valX-tRNA[c]	0.22	0.17	0.13	0.12	0.11
argU-tRNA[c]	0.18	0.14	0.11	0.12	0.13
serW-tRNA[c]	0.02	0.02	0.02	0.01	0.01
valW-tRNA[c]	0.11	0.09	0.07	0.07	0.06
selC-tRNA[c]	0.19	0.13	0.11	0.1	0.1
glyT-tRNA[c]	0.075	0.055	0.045	0.06	0.04
aspV-tRNA[c]	0.25	0.18	0.12	0.13	0.1
serT-tRNA[c]	0.075	0.055	0.045	0.06	0.04
ileT-tRNA[c]	0.154	0.11	0.072	0.096	0.078
pheV-tRNA[c]	0.154	0.11	0.072	0.096	0.078
tyrV-tRNA[c]	0.13	0.11	0.09	0.09	0.08
ileU-tRNA[c]	0.13	0.09	0.08	0.07	0.05
leuP-tRNA[c]	0.154	0.11	0.072	0.096	0.078
thrV-tRNA[c]	0.154	0.11	0.072	0.096	0.078
