Column array (EcoMAC)	CEL file name	GEO accession	Author	Date	Strain	Medium	Treatment (value)	Treatment (conditions)	Time (min)	Gene perturbated	Type of perturbation	Replicate	Predicted arrays by EBA	Environmental perturbations	Genetic perturbations	Arrays in WT condition	Growth rate (1/h)	Flag growth
54	GSM543921	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	84days			r1	0	0	0	0	1	0
55	GSM543922	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	172days			r2	0	0	0	0	1	0
56	GSM543923	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	172days			r1	0	0	0	0	1	0
57	GSM543924	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	172days			r2	0	0	0	0	1	0
58	GSM543925	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	172days			r1	0	0	0	0	1	0
59	GSM543926	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	172days			r2	0	0	0	0	1	0
60	GSM543927	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	172days			r1	0	0	0	0	1	0
61	GSM543928	GSE21869	Y. Asakura	20110726	strain evolved	Davis MM	200mg/L	aa	172days			r2	0	0	0	0	1	0
62	GSM546949	GSE21995	A. Singh	20100526	BW25113	M9	10g/L	glu		WT		r1	-1	1	0	0	1	0
63	GSM546950	GSE21995	A. Singh	20100527	BW25114	M9	10g/L	glu		 ldhA pflB	D	r2	1	0	1	0	1	0
64	GSM564421	GSE22829	S.E. Cohen	20100714	AB1157	LB				WT		r1	0	0	0	0	1	0
65	GSM564422	GSE22829	S.E. Cohen	20100714	AB1157	LB				WT		r2	0	0	0	0	1	0
66	GSM564423	GSE22829	S.E. Cohen	20100714	AB1157	LB				WT		r3	0	0	0	0	1	0
67	GSM564424	GSE22829	S.E. Cohen	20100714	AB1157	LB				nusA	D	r1	1	0	1	0	1	0
68	GSM564425	GSE22829	S.E. Cohen	20100714	AB1157	LB				nusA	D	r2	1	0	1	0	1	0
69	GSM564426	GSE22829	S.E. Cohen	20100714	AB1157	LB				nusA	D	r3	1	0	1	0	1	0
70	GSM820823	GSE33147	S.S. Fong	20111022	MG1655	M9 	2g/L	lactate	20days			r1	0	0	0	0	0.56	1
71	GSM820824	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r2	0	0	0	0	0.56	1
72	GSM820825	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r3	0	0	0	0	0.56	1
73	GSM820826	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r1	0	0	0	0	0.56	1
74	GSM820827	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r2	0	0	0	0	0.56	1
75	GSM820828	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r3	0	0	0	0	0.56	1
76	GSM820829	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r1	0	0	0	0	0.53	1
77	GSM820830	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r2	0	0	0	0	0.53	1
78	GSM820831	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r3	0	0	0	0	0.53	1
79	GSM820832	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r1	0	0	0	0	0.53	1
80	GSM820833	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r2	0	0	0	0	0.53	1
81	GSM820834	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r3	0	0	0	0	0.53	1
82	GSM820835	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r1	0	0	0	0	0.54	1
83	GSM820836	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r2	0	0	0	0	0.54	1
84	GSM820837	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r3	0	0	0	0	0.54	1
85	GSM820838	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r1	0	0	0	0	0.54	1
86	GSM820839	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r2	0	0	0	0	0.54	1
87	GSM820840	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r3	0	0	0	0	0.54	1
88	GSM820841	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r4	0	0	0	0	0.54	1
89	GSM820842	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r1	0	0	0	0	0.55	1
90	GSM820843	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r2	0	0	0	0	0.55	1
91	GSM820844	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r3	0	0	0	0	0.55	1
92	GSM820845	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r1	0	0	0	0	0.55	1
93	GSM820846	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r2	0	0	0	0	0.55	1
94	GSM820847	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r3	0	0	0	0	0.55	1
95	GSM820848	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r1	0	0	0	0	0.56	1
96	GSM820849	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r2	0	0	0	0	0.56	1
97	GSM820850	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r3	0	0	0	0	0.56	1
98	GSM820851	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r1	0	0	0	0	0.56	1
99	GSM820852	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r2	0	0	0	0	0.56	1
100	GSM820853	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r3	0	0	0	0	0.56	1
101	GSM820854	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r1	0	0	0	0	0.59	1
102	GSM820855	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r2	0	0	0	0	0.59	1
103	GSM820856	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r3	0	0	0	0	0.59	1
104	GSM820857	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r1	0	0	0	0	0.59	1
105	GSM820858	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r2	0	0	0	0	0.59	1
106	GSM820859	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r3	0	0	0	0	0.59	1
107	GSM820860	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r1	0	0	0	0	0.59	1
108	GSM820861	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r2	0	0	0	0	0.5	1
109	GSM820862	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	20days			r3	0	0	0	0	0.5	1
110	GSM820863	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r1	0	0	0	0	0.5	1
111	GSM820864	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r2	0	0	0	0	0.5	1
112	GSM820865	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	60days			r3	0	0	0	0	0.5	1
113	GSM820866	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	WT			r1	0	0	0	0	0.23	1
114	GSM820867	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	WT			r2	0	0	0	0	0.23	1
115	GSM820868	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	WT			r3	0	0	0	0	0.23	1
116	GSM820869	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	WT			r4	0	0	0	0	0.23	1
117	GSM820870	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	WT			r5	0	0	0	0	0.23	1
118	GSM820871	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	lactate	WT			r6	0	0	0	0	0.23	1
119	GSM820872	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r1	0	0	0	0	0.54	1
120	GSM820873	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r2	0	0	0	0	0.54	1
121	GSM820874	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r3	0	0	0	0	0.54	1
122	GSM820875	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r1	0	0	0	0	0.54	1
123	GSM820876	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r2	0	0	0	0	0.54	1
124	GSM820877	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r3	0	0	0	0	0.54	1
125	GSM820878	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r1	0	0	0	0	0.55	1
126	GSM820879	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r2	0	0	0	0	0.55	1
127	GSM820880	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r3	0	0	0	0	0.55	1
128	GSM820881	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r1	0	0	0	0	0.55	1
129	GSM820882	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r2	0	0	0	0	0.55	1
130	GSM820883	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r3	0	0	0	0	0.55	1
131	GSM820884	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r1	0	0	0	0	0.56	1
132	GSM820885	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r2	0	0	0	0	0.56	1
133	GSM820886	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r3	0	0	0	0	0.56	1
134	GSM820887	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r1	0	0	0	0	0.56	1
135	GSM820888	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r2	0	0	0	0	0.56	1
136	GSM820889	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r3	0	0	0	0	0.56	1
137	GSM820890	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r1	0	0	0	0	0.58	1
138	GSM820891	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r2	0	0	0	0	0.58	1
139	GSM820892	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r3	0	0	0	0	0.58	1
140	GSM820893	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r1	0	0	0	0	0.58	1
141	GSM820894	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r2	0	0	0	0	0.58	1
142	GSM820895	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r3	0	0	0	0	0.58	1
143	GSM820896	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r1	0	0	0	0	0.46	1
144	GSM820897	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r1	0	0	0	0	0.46	1
145	GSM820898	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r2	0	0	0	0	0.46	1
146	GSM820899	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r3	0	0	0	0	0.46	1
147	GSM820900	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r1	0	0	0	0	0.58	1
148	GSM820901	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r2	0	0	0	0	0.58	1
149	GSM820902	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r3	0	0	0	0	0.58	1
150	GSM820903	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r1	0	0	0	0	0.58	1
151	GSM820904	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r2	0	0	0	0	0.58	1
152	GSM820905	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r3	0	0	0	0	0.58	1
153	GSM820906	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r1	0	0	0	0	0.5	1
154	GSM820907	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r2	0	0	0	0	0.5	1
155	GSM820908	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r3	0	0	0	0	0.5	1
156	GSM820909	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r1	0	0	0	0	0.5	1
157	GSM820910	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r2	0	0	0	0	0.5	1
158	GSM820911	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	44days			r3	0	0	0	0	0.5	1
159	GSM820912	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	WT			r1	0	0	0	0	0.22	1
160	GSM820913	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	WT			r2	0	0	0	0	0.22	1
161	GSM820914	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	WT			r3	0	0	0	0	0.22	1
162	GSM820915	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	WT			r4	0	0	0	0	0.22	1
163	GSM820916	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	WT			r5	0	0	0	0	0.22	1
164	GSM820917	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r2	0	0	0	0	0.46	1
165	GSM820918	GSE33147	S.S. Fong	20111022	MG1655	M9	2g/L	glycerol	20days			r3	0	0	0	0	0.46	1
166	GSM157409	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		dinI	U	r1	1	0	1	0	1	0
167	GSM157410	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		dinI	U	r2	1	0	1	0	1	0
168	GSM157411	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		dinI	U	r3	1	0	1	0	1	0
169	GSM157412	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		dinP	U	r1	1	0	1	0	1	0
170	GSM157413	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		dinP	U	r2	1	0	1	0	1	0
171	GSM157414	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		dinP	U	r3	1	0	1	0	1	0
172	GSM157415	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		lexA	U	r1	1	0	1	0	1	0
173	GSM157416	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		lexA	U	r2	1	0	1	0	1	0
174	GSM157417	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		lexA	U	r3	1	0	1	0	1	0
175	GSM157418	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		lon	U	r1	1	0	1	0	1	0
176	GSM157419	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		lon	U	r2	1	0	1	0	1	0
177	GSM157420	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		lon	U	r3	1	0	1	0	1	0
178	GSM157421	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		luc	U	r1	1	0	0	0	1	0
179	GSM157422	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		luc	U	r2	1	0	0	0	1	0
180	GSM157423	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		luc	U	r3	1	0	0	0	1	0
181	GSM157424	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		mazF	U	r1	1	0	1	0	1	0
182	GSM157425	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		mazF	U	r2	1	0	1	0	1	0
183	GSM157426	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		mazF	U	r3	1	0	1	0	1	0
184	GSM157427	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		recA	U	r1	1	0	1	0	1	0
185	GSM157428	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		recA	U	r2	1	0	1	0	1	0
186	GSM157429	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		recA	U	r3	1	0	1	0	1	0
187	GSM157430	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		relE	U	r1	1	0	1	0	1	0
188	GSM157431	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		relE	U	r2	1	0	1	0	1	0
189	GSM157432	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		relE	U	r3	1	0	1	0	1	0
190	GSM157433	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		ruvA	U	r1	1	0	1	0	1	0
191	GSM157434	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		ruvA	U	r2	1	0	1	0	1	0
192	GSM157435	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		ruvA	U	r3	1	0	1	0	1	0
193	GSM157436	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		sulA	U	r1	1	0	1	0	1	0
194	GSM157437	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		sulA	U	r2	1	0	1	0	1	0
195	GSM157438	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		sulA	U	r3	1	0	1	0	1	0
196	GSM157439	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		umuD	U	r1	1	0	1	0	1	0
197	GSM157440	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		umuD	U	r2	1	0	1	0	1	0
198	GSM157441	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		umuD	U	r3	1	0	1	0	1	0
199	GSM157442	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		uvrA	U	r1	1	0	1	0	1	0
200	GSM157443	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		uvrA	U	r2	1	0	1	0	1	0
201	GSM157444	GSE6836	J. Faith	20070122	MG1655	LB	0.025ug/mL 50ug/mL 0.0125%	nor amp arab		uvrA	U	r3	1	0	1	0	1	0
202	GSM157445	GSE6836	J. Faith	20070122	MG1655	LB	0.075ug/mL	nor		yebF	U	r1	1	0	1	0	1	0
203	GSM157446	GSE6836	J. Faith	20070122	MG1655	LB	0.075ug/mL	nor		yebF	U	r2	1	0	1	0	1	0
204	GSM157447	GSE6836	J. Faith	20070122	MG1655	LB	0.075ug/mL	nor		yebF	U	r3	1	0	1	0	1	0
