EG10001	4263805..4264884
EG10287	(complement(4512331..4511429))
EG10288	(complement(4511432..4510434))
EG10289	(complement(4510437..4509481))
EG10290	(complement(4509480..4508713))
EG10291	(complement(4516258..4515737))
EG10292	(complement(4515740..4514787))
EG10293	(complement(611717..609477))
EG10294	(complement(623733..622777))
EG10295	(complement(619422..618607))
EG10296	(complement(621412..620408))
EG10297	617477..618610
EG10298	(complement(620411..619419))
EG10299	612038..613162
EG10300	(complement(2745817..2744456))
EG10301	2852360..2854438
EG10302	167484..169727
EG10303	171462..173444
EG10304	169778..170575
EG10305	170575..171465
EG10306	(complement(1160774..1158585))
EG10307	(complement(3489485..3488883))
EG10308	4541138..4541686
EG10309	4538980..4539582
EG10310	4542327..4543052
EG10311	4543119..4545755
EG10312	4540060..4540656
EG10313	4545765..4546295
EG10314	4546308..4546811
EG10315	4546831..4547733
EG10316	200971..201996
EG10317	3409293..3409589
EG10318	(complement(710688..710158))
EG10319	(complement(1975868..1975290))
EG10320	(complement(1976221..1975871))
EG10321	(complement(2001630..2000134))
EG10322	2017642..2018106
EG10323	2018111..2019115
EG10324	2019112..2019525
EG10325	(complement(1397550..1396798))
EG10326	49823..50302
EG10327	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10327 folC ""FOLC-MONOMER"" (complement(2430964..2429696))"
EG10328	(complement(556964..556098))
EG10329	(complement(3809175..3808366))
EG10330	(complement(4380341..4378533))
EG10331	(complement(4378540..4377806))
EG10332	(complement(4377795..4377400))
EG10333	(complement(4377389..4377030))
EG10334	4024550..4025251
EG10335	192872..193429
EG10336	(complement(2259432..2257741))
EG10337	(complement(2260387..2259449))
EG10338	88028..89032
EG10339	103982..105244
EG10340	(complement(3600770..3600102))
EG10341	91413..93179
EG10342	103155..103985
EG10343	3602416..3603012
EG10344	98403..99647
EG10345	(complement(3600109..3599051))
EG10346	(complement(3602266..3600773))
EG10347	105305..106456
EG10348	(complement(2931710..2931063))
EG10349	2933606..2935381
EG10350	2935460..2936908
EG10351	(complement(2931035..2929887))
EG10352	2932257..2933573
EG10353	2937390..2938121
EG10355	2936910..2937332
EG10356	(complement(1686401..1684755))
EG10357	(complement(4345349..4343703))
EG10358	(complement(1684612..1683209))
EG10359	(complement(709869..709423))
EG10360	(complement(3471536..3469422))
EG10361	2790757..2792037
EG10362	(complement(791278..790262))
EG10363	(complement(789202..788054))
EG10364	2974621..2975652
EG10365	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10365 galS ""PD00261"" (complement(2239690..2238650))"
EG10366	(complement(790252..789206))
EG10367	1860795..1861790
EG10368	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10368 epd ""ERYTH4PDEHYDROG-MONOMER"" (complement(3071713..3070694))"
EG10369	(complement(141225..138835))
EG10370	(complement(2639826..2638708))
EG10371	(complement(3047571..3047182))
EG10372	1840395..1841738
EG10373	(complement(16960..16751))
EG10374	(complement(3584846..3583104))
EG10375	(complement(3923656..3921767))
EG10376	(complement(3921703..3921080))
EG10377	(complement(3566056..3564623))
EG10378	(complement(3571525..3569339))
EG10379	(complement(3567351..3566056))
EG10380	(complement(3564604..3562157))
EG10381	(complement(3569342..3567369))
EG10382	(complement(3911691..3909862))
EG10383	(complement(4056057..4054648))
EG10384	(complement(2685430..2685092))
EG10385	(complement(4053301..4051892))
EG10386	(complement(847227..846481))
EG10387	(complement(4054362..4053313))
EG10388	(complement(846342..845683))
EG10389	(complement(845686..844964))
EG10390	705316..706980
EG10391	2350669..2352297
EG10392	2352287..2353546
EG10393	2353543..2354733
EG10394	3560036..3561541
EG10395	(complement(3559846..3559520))
EG10396	(complement(4116113..4115268))
EG10397	(complement(3559475..3558645))
EG10398	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10398 glpK ""GLYCEROL-KIN-MONOMER"" (complement(4115245..4113737))"
EG10399	(complement(2349033..2347957))
EG10400	(complement(3558628..3557870))
EG10401	(complement(2350396..2349038))
EG10402	(complement(753691..752408))
EG10403	3352654..3357207
EG10404	3357220..3358638
EG10405	4292504..4293817
EG10406	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10406 gltS ""GLTS-MONOMER"" (complement(3826688..3825483))"
EG10407	(complement(2518694..2517279))
EG10408	(complement(2683529..2682276))
EG10409	(complement(3723341..3722430))
EG10410	(complement(3722420..3720351))
EG10411	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10411 gnd ""6PGLUCONDEHYDROG-MONOMER"" (complement(2099292..2097886))"
EG10412	3644322..3645674
EG10413	(complement(3962252..3960768))
EG10414	255977..256435
EG10415	(complement(3326737..3326261))
EG10416	(complement(2748730..2748137))
EG10417	(complement(889976..889719))
EG10418	(complement(2814461..2812905))
EG10419	3089900..3090850
EG10420	(complement(2630557..2628980))
EG10421	(complement(2632092..2630626))
EG10422	113444..114487
EG10423	(complement(2337442..2334815))
EG10424	(complement(3878142..3875728))
EG10425	(complement(1696064..1695297))
EG10426	1023694..1025748
EG10427	1262937..1264193
EG10428	(complement(388951..387977))
EG10429	(complement(3988789..3987848))
EG10430	(complement(3987851..3987111))
EG10431	497279..498241
EG10432	(complement(174882..173602))
EG10433	(complement(3987089..3985908))
EG10434	(complement(3985905..3984709))
EG10435	4401323..4402327
EG10436	4400061..4401320
EG10437	4398695..4399975
EG10438	4398311..4398619
EG10439	(complement(479532..479314))
EG10440	(complement(1793576..1793277))
EG10441	963051..963335
EG10442	(complement(1590466..1590200))
EG10443	(complement(1590200..1588878))
EG10444	2093149..2093886
EG10445	2091492..2092559
EG10446	2090422..2091492
EG10447	2089121..2090425
EG10448	2093868..2094644
EG10449	2088216..2089115
EG10450	2092559..2093149
EG10451	2094638..2095249
EG10452	(complement(2422531..2421758))
EG10453	(complement(2638597..2637323))
EG10454	(complement(2433658..2432846))
EG10455	200482..200967
EG10456	2683857..2685047
EG10457	(complement(1292145..1291732))
EG10458	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10458 hsdM ""EG10458-MONOMER"" (complement(4581071..4579482))"
EG10459	(complement(4584838..4581272))
EG10460	(complement(4579485..4578091))
EG10461	494344..496218
EG10462	(complement(1910600..1909719))
EG10463	180884..182308
EG10464	(complement(1115805..1114885))
EG10465	(complement(3182488..3181835))
EG10466	4198304..4198576
EG10467	460675..460947
EG10468	1031362..1032480
EG10469	1032477..1034270
EG10470	1034289..1034996
EG10471	1034993..1035580
EG10472	1035577..1035975
EG10473	1035972..1036829
EG10474	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10474 hycA ""EG10474-MONOMER"" (complement(2848457..2847996))"
EG10475	(complement(2847871..2847260))
EG10476	(complement(2847263..2845437))
EG10477	(complement(2845434..2844511))
EG10478	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10478 hycE ""HYCELARGE-MONOMER"" (complement(2844493..2842784))"
EG10479	(complement(2842774..2842232))
EG10480	(complement(2842232..2841465))
EG10481	(complement(2841468..2841058))
EG10482	4201343..4202668
EG10483	2848669..2849019
EG10484	2849023..2849895
EG10485	2849886..2850158
EG10486	2850158..2851279
EG10487	2851318..2852286
EG10488	2874603..2875640
EG10489	1194346..1195596
EG10490	3057775..3058668
EG10491	(complement(4221651..4220827))
EG10492	22391..25207
EG10493	3953354..3954898
EG10494	(complement(3850807..3849119))
EG10495	3955993..3957468
EG10496	3951501..3953351
EG10497	3950507..3951436
EG10498	3949646..3950227
EG10499	87357..87848
EG10500	85630..87354
EG10501	3950224..3950487
EG10502	(complement(3849115..3848825))
EG10503	(complement(3955843..3954950))
EG10504	(complement(925666..925448))
EG10505	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10505 infB ""EG10505-MONOMER"" (complement(3314036..3311364))"
EG10506	(complement(1798662..1798120))
EG10507	(complement(565201..564038))
EG10508	(complement(440325..439426))
EG10509	1811891..1814152
EG10510	(complement(2865573..2864581))
EG10511	4131858..4134038
EG10512	(complement(3790574..3789378))
EG10513	(complement(727955..726282))
EG10514	(complement(726259..724211))
EG10515	(complement(724202..723630))
EG10516	(complement(723637..720953))
EG10517	(complement(720956..720279))
EG10518	1267388..1268242
EG10519	970075..970821
EG10520	3806563..3807840
EG10521	47769..49631
EG10522	(complement(2723768..2722470))
EG10523	(complement(52430..51609))
EG10524	(complement(361084..360473))
EG10525	(complement(366734..365652))
EG10526	(complement(362403..361150))
EG10527	(complement(365529..362455))
EG10528	4245994..4247334
EG10529	(complement(2705146..2703347))
EG10530	(complement(2703331..2702357))
EG10531	84368..85312
EG10532	(complement(674006..671424))
EG10533	4255138..4255746
EG10534	(complement(2528198..2526183))
EG10535	1197918..1198811
EG10536	(complement(3591460..3590747))
EG10537	(complement(3592229..3591462))
EG10538	(complement(3594426..3593500))
EG10539	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10539 livJ ""LIVJ-MONOMER"" (complement(3597681..3596578))"
EG10540	(complement(3595583..3594474))
EG10541	(complement(3593503..3592226))
EG10542	458112..460466
EG10543	127912..129336
EG10544	1755445..1755681
EG10545	202560..203348
EG10546	203348..204496
EG10547	931818..932312
EG10548	25207..25701
EG10549	(complement(2976921..2975659))
EG10550	(complement(4231256..4229907))
EG10551	2977043..2977978
EG10552	(complement(3033196..3031679))
EG10553	(complement(4352740..4351223))
EG10554	(complement(4244442..4243252))
EG10555	(complement(4243098..4241554))
EG10556	(complement(4241539..4240649))
EG10557	(complement(1697204..1696176))
EG10558	4244807..4245922
EG10559	4247577..4248497
EG10560	(complement(3550495..3548102))
EG10561	(complement(3548092..3546008))
EG10562	3551107..3553812
EG10563	1697379..1698971
EG10564	1698981..1700153
EG10565	421742..423556
EG10566	1686600..1687775
EG10567	1900072..1901043
EG10568	1901106..1901906
EG10569	1901919..1902770
EG10570	(complement(189506..188712))
EG10571	(complement(2909361..2909113))
EG10572	(complement(2908707..2907916))
EG10573	1209569..1210402
EG10574	(complement(4577360..4575981))
EG10575	(complement(4575981..4574935))
EG10576	(complement(3382290..3381352))
EG10577	4339934..4341289
EG10578	4341392..4342813
EG10579	(complement(2377281..2375611))
EG10580	(complement(2444406..2443582))
EG10581	4212303..4213232
EG10582	4126695..4127855
EG10583	3150258..3151445
EG10584	4011076..4013337
EG10585	4130639..4131529
EG10586	2192322..2194355
EG10587	4221851..4225534
EG10588	(complement(4126418..4126101))
EG10589	3084728..3085882
EG10590	4127858..4130290
EG10591	(complement(4010839..4009886))
EG10592	(complement(2237311..2235791))
EG10593	(complement(2238370..2237372))
EG10594	(complement(2235775..2234765))
EG10595	4397275..4398225
EG10596	(complement(1225303..1224608))
EG10597	(complement(1224584..1223772))
EG10598	(complement(1223768..1223502))
EG10599	4369048..4370694
EG10600	4368711..4369004
EG10601	(complement(1975163..1974276))
EG10602	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10602 motB ""MOTB-FLAGELLAR-MOTOR-STATOR-PROTEIN"" (complement(1974279..1973353))"
EG10603	2808792..2809322
EG10604	96002..97084
EG10605	164730..167264
EG10606	(complement(667440..665539))
EG10607	(complement(665536..664424))
EG10608	(complement(3399109..3398066))
EG10609	(complement(3398000..3396897))
EG10610	(complement(3396897..3396409))
EG10611	(complement(2192190..2191081))
EG10612	4584972..4585886
EG10613	965844..967592
EG10614	(complement(1938217..1937246))
EG10615	3770304..3772217
EG10616	3772447..3773595
EG10617	(complement(3303839..3302595))
EG10618	975549..980009
EG10619	100765..102240
EG10620	97087..98403
EG10621	93166..94653
EG10622	94650..96008
EG10623	99644..100711
EG10624	2967684..2968373
EG10625	2855115..2857676
EG10626	111044..111433
EG10627	3101035..3102087
EG10628	(complement(4112495..4111749))
EG10629	567538..567870
EG10630	781308..782351
EG10631	2708442..2710064
EG10632	(complement(701974..700826))
EG10633	(complement(702834..702034))
EG10634	(complement(699549..698797))
EG10635	703167..705113
EG10636	(complement(700817..699597))
EG10637	(complement(3371598..3370705))
EG10638	1279087..1282830
EG10639	1282827..1284365
EG10640	1285072..1285749
EG10641	1284362..1285072
EG10642	1277180..1278571
EG10643	(complement(1275052..1274402))
EG10644	(complement(1534641..1533961))
EG10645	(complement(1535333..1534638))
EG10646	(complement(1276841..1275045))
EG10647	(complement(1536877..1535333))
EG10648	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10648 narZ ""NARZ-MONOMER"" (complement(1540614..1536874))"
EG10649	1165308..1166612
EG10650	(complement(2642886..2642455))
EG10651	2248862..2249719
EG10652	17489..18655
EG10653	3492033..3494576
EG10654	3495025..3495831
EG10655	3494573..3494899
EG10656	3332931..3333209
EG10657	(complement(3838016..3837198))
EG10658	(complement(2596887..2595853))
EG10659	(complement(576048..574981))
EG10660	2342887..2345172
EG10661	2345406..2346536
EG10662	1709547..1710182
EG10663	1820482..1821309
EG10664	3103736..3104992
EG10665	(complement(3315548..3314061))
EG10666	434361..434780
EG10667	4175766..4176311
EG10668	(complement(1398260..1397745))
EG10669	(complement(1019276..1018236))
EG10670	(complement(2310771..2309668))
EG10671	(complement(986205..985117))
EG10672	(complement(3534606..3533887))
EG10673	(complement(584856..583903))
EG10674	1299206..1300837
EG10675	1300923..1301843
EG10676	1301858..1302766
EG10677	1302778..1303791
EG10678	1303788..1304792
EG10679	(complement(1341352..1341134))
EG10680	1554649..1555080
EG10681	4156513..4157430
EG10682	(complement(3488851..3488288))
EG10683	1892829..1894190
EG10684	778290..778811
EG10685	3405629..3407080
EG10686	(complement(3163995..3161737))
EG10687	(complement(3173418..3171526))
EG10688	3530840..3532462
EG10689	(complement(2867541..2866915))
EG10690	(complement(159126..157729))
EG10691	(complement(53416..52427))
EG10693	(complement(2699751..2699020))
EG10694	(complement(4483974..4482463))
EG10695	(complement(255716..254259))
EG10696	989845..992457
EG10697	(complement(3052862..3051537))
EG10698	4029184..4030515
EG10699	4105575..4106537
EG10700	1804394..1805323
EG10701	(complement(952777..950495))
EG10702	4231781..4233430
EG10703	(complement(3070644..3069481))
EG10704	435813..436331
EG10705	1337354..1338118
EG10706	(complement(1990841..1990293))
EG10707	2735767..2736927
EG10708	601182..602558
EG10709	(complement(1796966..1795983))
EG10710	(complement(1795968..1793581))
EG10711	(complement(4324757..4324422))
EG10712	(complement(4323764..4323321))
EG10713	(complement(4323188..4322400))
EG10714	(complement(4322375..4321359))
EG10715	(complement(4320445..4319720))
EG10716	(complement(4319719..4319267))
EG10717	(complement(4319270..4318686))
EG10718	(complement(4318686..4317622))
EG10719	(complement(4317629..4316784))
EG10720	(complement(4316787..4316029))
EG10721	(complement(4315918..4315238))
EG10722	(complement(4315241..4314105))
EG10723	(complement(4314105..4313548))
EG10724	(complement(4313561..4313127))
EG10725	(complement(4313125..4312367))
EG10727	400971..402386
EG10728	416366..417055
EG10729	(complement(259324..258269))
EG10730	4634719..4636143
EG10731	(complement(1189670..1188999))
EG10732	(complement(1188999..1187539))
EG10733	417113..418408
EG10734	(complement(3909548..3908508))
EG10735	(complement(3905601..3904876))
EG10736	738730..740148
EG10737	1208908..1209462
EG10738	4002885..4003754
EG10739	4007193..4008215
EG10740	(complement(4254489..4252066))
EG10741	4455982..4457334
EG10742	(complement(989579..988377))
EG10743	(complement(3309190..3307055))
EG10744	(complement(1675927..1674395))
EG10745	(complement(1674384..1672996))
EG10746	4044989..4047775
EG10747	(complement(65780..63429))
EG10748	3520893..3523445
EG10749	(complement(1184817..1183681))
EG10750	(complement(1183667..1182840))
EG10751	(complement(1182843..1182049))
EG10752	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10752 potD ""POTD-MONOMER"" (complement(1182052..1181006))"
EG10753	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG10753 potE ""POTE-MONOMER"" (complement(717488..716169))"
EG10754	(complement(910272..908554))
EG10755	(complement(4447675..4447145))
EG10756	(complement(4151121..4148470))
EG10757	(complement(3490319..3489747))
EG10758	(complement(553660..553166))
EG10759	(complement(1785136..1782758))
EG10760	(complement(1912840..1910792))
EG10761	1264235..1265317
EG10762	(complement(join(3034304..3034230,3034228..3033206)))
EG10763	(complement(4124833..4122635))
EG10764	4423543..4423857
EG10765	(complement(490036..489509))
EG10766	(complement(3442119..3440788))
EG10767	260727..261980
EG10768	259612..260715
EG10769	(complement(404868..404059))
EG10770	(complement(218775..217057))
EG10771	2802837..2804039
EG10772	2804032..2805096
EG10773	2805154..2806146
EG10774	(complement(1261098..1260151))
EG10775	(complement(4388383..4387415))
EG10776	1366103..1366771
EG10777	1366825..1367049
EG10778	1367049..1367408
EG10779	1367417..1367638
EG10780	1367713..1368027
EG10781	2720749..2722104
EG10782	(complement(3907462..3906572))
EG10783	(complement(3906389..3905616))
EG10784	(complement(3908421..3907462))
EG10785	(complement(1257736..1257152))
EG10786	(complement(2956906..2954018))
EG10787	1157092..1158525
EG10788	2531786..2532043
EG10789	2532088..2533815
EG10790	4402710..4404008
EG10791	(complement(2595640..2594927))
EG10792	(complement(4203954..4202665))
EG10793	(complement(552323..551814))
EG10794	(complement(2428260..2426743))
EG10795	(complement(4205555..4203966))
EG10796	(complement(551817..550750))
EG10797	(complement(2693565..2689678))
EG10798	2619219..2620256
EG10799	2620256..2620894
EG10800	1735868..1736893
EG10801	(complement(1078105..1074143))
EG10802	1078528..1080036
EG10803	1935673..1937115
EG10804	1753722..1755134
EG10805	(complement(4470418..4469483))
EG10806	(complement(1121830..1120784))
EG10807	1003991..1005001
EG10808	(complement(3813791..3813150))
EG10809	1339945..1340682
EG10810	(complement(2907688..2906051))
EG10811	(complement(4469470..4469009))
EG10812	424235..425305
EG10813	(complement(1415787..1415512))
EG10814	3931801..3933306
EG10815	3934301..3935191
EG10816	3933311..3934276
EG10817	3931374..3931793
EG10818	3935317..3936246
EG10819	3936250..3937242
EG10820	2021992..2022615
EG10821	2314199..2314849
EG10822	(complement(2317850..2315049))
EG10823	(complement(2821791..2820730))
EG10824	(complement(2954025..2950483))
EG10825	(complement(2960450..2957082))
EG10826	(complement(2950483..2948657))
EG10827	(complement(1415410..1412810))
EG10828	(complement(3879244..3878171))
EG10829	3823233..3825314
EG10830	(complement(3036128..3034395))
EG10831	2749817..2751478
EG10832	(complement(2700491..2699763))
EG10833	4003887..4005716
EG10834	493629..494234
EG10835	(complement(2911673..2909439))
