"Enzyme Frame ID"	"EC"	"Reaction ID"	"Reaction stoichiometry"	"Direction"	"Turnover Forward (s^-1)"	"Turnover Reverse (s^-1)"	"Comments"
"[""PGLYCDEHYDROG-MONOMER""]"	"1.1.1.95"	"PGCD"	"[c] : 3pg + nad --> 3php + h + nadh"	"forward only"		0	
"[""L-LACTDEHYDROGFMN-MONOMER""]"	"1.1.2.3"	"L-LACD2"	"[c] : lac-L + q8 --> pyr + q8h2"	"forward only"		0	
"[""L-LACTDEHYDROGFMN-MONOMER""]"	"1.1.2.3"	"L-LACD3"	"[c] : lac-L + mqn8 --> mql8 + pyr"	"forward only"		0	
"[""DLACTDEHYDROGFAD-MONOMER""]"	"1.1.2.4"	"LDH_D2"	"[c] : lac-D + q8 --> pyr + q8h2"	"forward only"		0	
"[""EG12069-MONOMER""]"	"1.1.99.16"	"MDH2"	"[c] : mal-L + q8 --> oaa + q8h2"	"forward only"		0	
"[""EG12069-MONOMER""]"	"1.1.99.16"	"MDH3"	"[c] : mal-L + mqn8 --> mql8 + oaa"	"forward only"		0	
"[""AERGLYC3PDEHYDROG-MONOMER""]"	"1.1.99.5"	"G3PD5"	"[c] : glyc3p + q8 --> dhap + q8h2"	"forward only"		0	
"[""ANGLYC3PDEHYDROG-CPLX""]"	"1.1.99.5"	"G3PD5"	"[c] : glyc3p + q8 --> dhap + q8h2"	"forward only"		0	
"[""ANGLYC3PDEHYDROG-CPLX""]"	"1.1.99.5"	"G3PD6"	"[c] : glyc3p + mqn8 --> dhap + mql8"	"forward only"		0	
"[""ANGLYC3PDEHYDROG-CPLX""]"	"1.1.99.5"	"G3PD7"	"[c] : 2dmmq8 + glyc3p --> 2dmmql8 + dhap"	"forward only"		0	
"[""HYDROPEROXIDI-MONOMER""]"	"1.11.1.6"	"CAT"	"[c] : (2) h2o2 --> (2) h2o + o2"	"forward only"		0	
"[""HYDROPEROXIDII-MONOMER""]"	"1.11.1.6"	"CAT"	"[c] : (2) h2o2 --> (2) h2o + o2"	"forward only"		0	
"[""DHPDIOXYGEN-MONOMER""]"	"1.13.11.16"	"HPPPNDO"	"[c] : dhpppn + o2 --> h + hkndd"	"forward only"		0	
"[""MONOMER0-147""]"	"1.14.11.17"	"TAUDO"	"[c] : akg + o2 + taur --> aacald + co2 + h + so3 + succ"	"forward only"		0	
"[""EG10456-MONOMER""]"	"1.14.12.17"	"NODOx"	"[c] : nadh + (2) no + (2) o2 --> h + nad + (2) no3"	"forward only"		0	
"[""EG10456-MONOMER""]"	"1.14.12.17"	"NODOy"	"[c] : nadph + (2) no + (2) o2 --> h + nadp + (2) no3"	"forward only"		0	
"[""G6886-MONOMER""]"	"1.15.1.1"	"SPODMpp"	"[p] : (2) h + (2) o2s --> h2o2 + o2"	"forward only"		0	
"[""SUPEROX-DISMUTFE-MONOMER""]"	"1.15.1.1"	"SPODM"	"[c] : (2) h + (2) o2s --> h2o2 + o2"	"forward only"		0	
"[""SUPEROX-DISMUTMN-MONOMER""]"	"1.15.1.1"	"SPODM"	"[c] : (2) h + (2) o2s --> h2o2 + o2"	"forward only"		0	
"[""EG12318-MONOMER""]"	"1.16.3.1"	"FEROpp"	"[p] : (4) fe2 + (4) h + o2 --> (4) fe3 + (2) h2o"	"forward only"		0	
"[""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]"	"1.17.4.1"	"RNDR1"	"[c] : adp + trdrd --> dadp + h2o + trdox"	"forward only"		0	
"[""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]"	"1.17.4.1"	"RNDR1"	"[c] : adp + trdrd --> dadp + h2o + trdox"	"forward only"		0	
"[""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]"	"1.17.4.1"	"RNDR2"	"[c] : gdp + trdrd --> dgdp + h2o + trdox"	"forward only"		0	
"[""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]"	"1.17.4.1"	"RNDR2"	"[c] : gdp + trdrd --> dgdp + h2o + trdox"	"forward only"		0	
"[""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]"	"1.17.4.1"	"RNDR3"	"[c] : cdp + trdrd --> dcdp + h2o + trdox"	"forward only"		0	
"[""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]"	"1.17.4.1"	"RNDR3"	"[c] : cdp + trdrd --> dcdp + h2o + trdox"	"forward only"		0	
"[""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]"	"1.17.4.1"	"RNDR4"	"[c] : trdrd + udp --> dudp + h2o + trdox"	"forward only"		0	
"[""RIBONUCLEOSIDE-DIP-REDUCTI-CPLX""]"	"1.17.4.1"	"RNDR4"	"[c] : trdrd + udp --> dudp + h2o + trdox"	"forward only"		0	
"[""FLAVONADPREDUCT-MONOMER""]"	"1.18.1.2"	"FLDR"	"[c] : fldox + h + nadph --> fldrd + nadp"	"forward only"		0	
"[""FLAVONADPREDUCT-MONOMER""]"	"1.18.1.2"	"FLDR"	"[c] : fldox + h + nadph --> fldrd + nadp"	"forward only"		0	
"[""FORMHYDROG2-CPLX""]"	"1.18.99.1"	"HYD1pp"	"(2) h[c] + h2[c] + q8[c] --> (2) h[p] + q8h2[c]"	"forward only"		0	
"[""FORMHYDROG2-CPLX""]"	"1.18.99.1"	"HYD2pp"	"(2) h[c] + h2[c] + mqn8[c] --> (2) h[p] + mql8[c]"	"forward only"		0	
"[""FORMHYDROG2-CPLX""]"	"1.18.99.1"	"HYD3pp"	"2dmmq8[c] + (2) h[c] + h2[c] --> 2dmmql8[c] + (2) h[p]"	"forward only"		0	
"[""ADHE-MONOMER""]"	"1.2.1.10"	"ACALD"	"[c] : acald + coa + nad <==> accoa + h + nadh"	"reversible"			
"[""MHPF-MONOMER""]"	"1.2.1.10"	"ACALD"	"[c] : acald + coa + nad <==> accoa + h + nadh"	"reversible"			
"[""ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER""]"	"1.2.1.11"	"ASAD"	"[c] : aspsa + nadp + pi <==> 4pasp + h + nadph"	"reversible"			
"[""GAPDH-A-MONOMER""]"	"1.2.1.12"	"GAPD"	"[c] : g3p + nad + pi <==> 13dpg + h + nadh"	"reversible"			
"[""SUCCSEMIALDDEHYDROG-MONOMER""]"	"1.2.1.16"	"SSALy"	"[c] : h2o + nadp + sucsal --> (2) h + nadph + succ"	"forward only"		0	
"[""G6755-MONOMER""]"	"1.2.1.19"	"ABUTD"	"[c] : 4abutn + h2o + nad --> 4abut + (2) h + nadh"	"forward only"		0	
"[""LACTALDDEHYDROG-MONOMER""]"	"1.2.1.21"	"GCALDD"	"[c] : gcald + h2o + nad --> glyclt + (2) h + nadh"	"forward only"		0	
"[""LACTALDDEHYDROG-MONOMER""]"	"1.2.1.21"	"LCADi"	"[c] : h2o + lald-L + nad --> (2) h + lac-L + nadh"	"forward only"		0	
"[""ALDHDEHYDROG-MONOMER""]"	"1.2.1.3"	"ALDD2x"	"[c] : acald + h2o + nad --> ac + (2) h + nadh"	"forward only"		0	
"[""N-ACETYLGLUTPREDUCT-MONOMER""]"	"1.2.1.38"	"AGPR"	"[c] : acg5sa + nadp + pi <==> acg5p + h + nadph"	"reversible"			
"[""PHENDEHYD-MONOMER""]"	"1.2.1.39"	"ALDD19x"	"[c] : h2o + nad + pacald --> (2) h + nadh + pac"	"forward only"		0	
"[""ALDDEHYDROGB-MONOMER""]"	"1.2.1.4"	"ALDD2y"	"[c] : acald + h2o + nadp --> ac + (2) h + nadph"	"forward only"		0	
"[""GLUTSEMIALDEHYDROG-MONOMER""]"	"1.2.1.41"	"G5SD"	"[c] : glu5p + h + nadph --> glu5sa + nadp + pi"	"forward only"		0	
"[""BADH-MONOMER""]"	"1.2.1.8"	"BETALDHx"	"[c] : betald + h2o + nad --> glyb + (2) h + nadh"	"forward only"		0	
"[""BADH-MONOMER""]"	"1.2.1.8"	"BETALDHy"	"[c] : betald + h2o + nadp --> glyb + (2) h + nadph"	"forward only"		0	
"[""FORMATEDEHYDROGN-CPLX""]"	"1.2.2.1"	"FDH4pp"	"for[p] + (2) h[c] + q8[c] --> co2[c] + h[p] + q8h2[c]"	"forward only"		0	
"[""FORMATEDEHYDROGN-CPLX""]"	"1.2.2.1"	"FDH5pp"	"for[p] + (2) h[c] + mqn8[c] --> co2[c] + h[p] + mql8[c]"	"forward only"		0	
"[""FORMATEDEHYDROGO-CPLX""]"	"1.2.2.1"	"FDH4pp"	"for[p] + (2) h[c] + q8[c] --> co2[c] + h[p] + q8h2[c]"	"forward only"		0	
"[""FORMATEDEHYDROGO-CPLX""]"	"1.2.2.1"	"FDH5pp"	"for[p] + (2) h[c] + mqn8[c] --> co2[c] + h[p] + mql8[c]"	"forward only"		0	
"[""PYRUVOXID-MONOMER""]"	"1.2.2.2"	"POX"	"[c] : h2o + pyr + q8 --> ac + co2 + q8h2"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR100y"	"[c] : h + nadph + tdec2eACP --> dcaACP + nadp"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR120y"	"[c] : h + nadph + tddec2eACP --> ddcaACP + nadp"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR121y"	"[c] : h + nadph + t3c5ddeceACP --> cddec5eACP + nadp"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR140y"	"[c] : h + nadph + tmrs2eACP --> myrsACP + nadp"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR141y"	"[c] : h + nadph + t3c7mrseACP --> nadp + tdeACP"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR160y"	"[c] : h + nadph + tpalm2eACP --> nadp + palmACP"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR161y"	"[c] : h + nadph + t3c9palmeACP --> hdeACP + nadp"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR180y"	"[c] : h + nadph + toctd2eACP --> nadp + ocdcaACP"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR181y"	"[c] : h + nadph + t3c11vaceACP --> nadp + octeACP"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR40y"	"[c] : but2eACP + h + nadph --> butACP + nadp"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR60y"	"[c] : h + nadph + thex2eACP --> hexACP + nadp"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.10"	"EAR80y"	"[c] : h + nadph + toct2eACP --> nadp + ocACP"	"forward only"		0	
"[""CHORISMUTPREPHENDEHYDROG-MONOMER""]"	"1.3.1.12"	"PPND"	"[c] : nad + pphn --> 34hpp + co2 + nadh"	"forward only"		0	
"[""DIHYDROPICRED-MONOMER""]"	"1.3.1.26"	"DHDPRy"	"[c] : 23dhdp + h + nadph --> nadp + thdp"	"forward only"		0	
"[""ENTA-MONOMER""]"	"1.3.1.28"	"DHBD"	"[c] : 23ddhb + nad <==> 23dhb + h + nadh"	"reversible"			
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR100x"	"[c] : h + nadh + tdec2eACP --> dcaACP + nad"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR120x"	"[c] : h + nadh + tddec2eACP --> ddcaACP + nad"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR121x"	"[c] : h + nadh + t3c5ddeceACP --> cddec5eACP + nad"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR140x"	"[c] : h + nadh + tmrs2eACP --> myrsACP + nad"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR141x"	"[c] : h + nadh + t3c7mrseACP --> nad + tdeACP"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR160x"	"[c] : h + nadh + tpalm2eACP --> nad + palmACP"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR161x"	"[c] : h + nadh + t3c9palmeACP --> hdeACP + nad"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR180x"	"[c] : h + nadh + toctd2eACP --> nad + ocdcaACP"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR181x"	"[c] : h + nadh + t3c11vaceACP --> nad + octeACP"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR40x"	"[c] : but2eACP + h + nadh --> butACP + nad"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR60x"	"[c] : h + nadh + thex2eACP --> hexACP + nad"	"forward only"		0	
"[""ENOYL-ACP-REDUCT-NADH-MONOMER""]"	"1.3.1.9"	"EAR80x"	"[c] : h + nadh + toct2eACP --> nad + ocACP"	"forward only"		0	
"[""DIHYDROOROTOX-MONOMER""]"	"1.3.3.1"	"DHORD2"	"[c] : dhor-S + q8 --> orot + q8h2"	"forward only"		0	
"[""DIHYDROOROTOX-MONOMER""]"	"1.3.3.1"	"DHORD5"	"[c] : dhor-S + mqn8 --> mql8 + orot"	"forward only"		0	
"[""COPROGENOXI-MONOMER""]"	"1.3.3.3"	"CPPPGO"	"[c] : cpppg3 + (2) h + o2 --> (2) co2 + (2) h2o + pppg9"	"forward only"		0	
"[""PROTOPORGENOXI-MONOMER""]"	"1.3.3.4"	"PPPGO"	"[c] : (1.5) o2 + pppg9 --> (3) h2o + ppp9"	"forward only"		0	
"[""PROTOPORGENOXI-MONOMER""]"	"1.3.3.4"	"PPPGO3"	"[c] : (3) fum + pppg9 --> ppp9 + (3) succ"	"forward only"		0	
"[""FUMARATE-REDUCTASE""]"	"1.3.99.1"	"FRD2"	"[c] : fum + mql8 --> mqn8 + succ"	"forward only"		0	
"[""FUMARATE-REDUCTASE""]"	"1.3.99.1"	"FRD3"	"[c] : 2dmmql8 + fum --> 2dmmq8 + succ"	"forward only"		0	
"[""SUCC-DEHASE""]"	"1.3.99.1"	"SUCDi"	"[c] : q8 + succ --> fum + q8h2"	"forward only"		0	
"[""ACYLCOADEHYDROG-MONOMER""]"	"1.3.99.2"	"ACOAD1f"	"[c] : btcoa + fad <==> b2coa + fadh2"	"reversible"			
"[""ACYLCOADEHYDROG-MONOMER""]"	"1.3.99.3"	"ACOAD2f"	"[c] : fad + hxcoa <==> fadh2 + hx2coa"	"reversible"			
"[""ACYLCOADEHYDROG-MONOMER""]"	"1.3.99.3"	"ACOAD3f"	"[c] : fad + occoa <==> fadh2 + oc2coa"	"reversible"			
"[""ACYLCOADEHYDROG-MONOMER""]"	"1.3.99.3"	"ACOAD4f"	"[c] : dcacoa + fad <==> dc2coa + fadh2"	"reversible"			
"[""ACYLCOADEHYDROG-MONOMER""]"	"1.3.99.3"	"ACOAD5f"	"[c] : ddcacoa + fad <==> dd2coa + fadh2"	"reversible"			
"[""ACYLCOADEHYDROG-MONOMER""]"	"1.3.99.3"	"ACOAD6f"	"[c] : fad + tdcoa <==> fadh2 + td2coa"	"reversible"			
"[""ACYLCOADEHYDROG-MONOMER""]"	"1.3.99.3"	"ACOAD7f"	"[c] : fad + pmtcoa <==> fadh2 + hdd2coa"	"reversible"			
"[""ACYLCOADEHYDROG-MONOMER""]"	"1.3.99.3"	"ACOAD8f"	"[c] : fad + stcoa <==> fadh2 + od2coa"	"reversible"			
