# File from reconstruction/ecoli/flat/fold_changes.tsv for comparison purposes
"TF"	"Target"	"F_avg"	"F_sd"	"F_corrected"	"Regulation_direct"	"PS"	"PS_corrected"	"kd (units.mol/units.L)"
"fnr"	"nuoA"	0.29	0.0	NaN	-1	97	28	5.689e-09
"fnr"	"purM"	0.25	0.08	NaN	-1	97	28	5.689e-09
"fnr"	"purN"	0.41	0.17	NaN	-1	97	28	5.689e-09
"fnr"	"hmp"	0.45	0.46	NaN	-1	97	28	5.689e-09
"fnr"	"grcA"	1.56	1.24	NaN	1	97	28	5.689e-09
"fnr"	"ansB"	0.82	0.22	NaN	1	97	28	5.689e-09
"fnr"	"nikE"	0.62	0.27	NaN	1	97	28	5.689e-09
"fnr"	"nrdG"	0.44	0.16	NaN	1	97	28	5.689e-09
"fnr"	"nrdD"	0.66	0.25	NaN	1	97	28	5.689e-09
"fnr"	"hlyE"	1.14	0.46	NaN	1	97	28	5.689e-09
"fnr"	"prmC"	0.34	0.23	NaN	-1	97	28	5.689e-09
"fnr"	"narX"	0.4	0.14	NaN	-1	97	28	5.689e-09
"fnr"	"ydhT"	0.23	0.1	NaN	1	97	28	5.689e-09
"fnr"	"ydhU"	0.44	0.18	NaN	1	97	28	5.689e-09
"fnr"	"ydhX"	0.35	0.08	NaN	1	97	28	5.689e-09
"fnr"	"ydhW"	0.81	0.14	NaN	1	97	28	5.689e-09
"fnr"	"ydhY"	1.11	0.21	NaN	1	97	28	5.689e-09
"fnr"	"ccmH"	0.2	0.08	NaN	1	97	28	5.689e-09
"fnr"	"yfgF"	0.36	0.11	NaN	1	97	28	5.689e-09
"fnr"	"hypB"	1.54	0.54	NaN	1	97	28	5.689e-09
"fnr"	"hypC"	1.18	0.34	NaN	1	97	28	5.689e-09
"fnr"	"hypD"	1.08	0.29	NaN	1	97	28	5.689e-09
"fnr"	"hypE"	0.39	0.17	NaN	1	97	28	5.689e-09
"fnr"	"yhjA"	0.65	0.19	NaN	1	97	28	5.689e-09
"fnr"	"nrfE"	0.33	0.1	NaN	1	97	28	5.689e-09
"marR"	"marA"	3.76	0.31	NaN	-1	3	1	5.689e-09
"purR"	"pyrC"	1.02	0.0	NaN	-1	16	10	2.58e-09
"purR"	"purB"	1.18	0.0	NaN	-1	16	10	2.58e-09
"purR"	"purF"	2.55	0.0	NaN	-1	16	10	2.58e-09
"purR"	"purC"	3.09	0.0	NaN	-1	16	10	2.58e-09
"purR"	"purM"	2.73	0.0	NaN	-1	16	10	2.58e-09
"purR"	"purN"	1.18	0.0	NaN	-1	16	10	2.58e-09
"purR"	"glyA"	0.57	0.0	NaN	-1	16	10	2.58e-09
"purR"	"purD"	3.09	2.65	NaN	-1	16	10	2.58e-09
"purR"	"purH"	2.08	1.61	NaN	-1	16	10	2.58e-09
"purR"	"purA"	1.02	0.0	NaN	-1	16	10	2.58e-09
"purR"	"cvpA"	3.72	0.0	NaN	-1	16	10	2.58e-09
"ihfA"	"ihfB"	0.23	0.0	NaN	-1	154	45	5.689e-09
"ihfA"	"pspB"	0.48	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"pspC"	0.57	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"fnr"	0.65	0.14	NaN	1	154	45	5.689e-09
#"ihfA"	"ihfA"	2.39	0.0	NaN	-1	154	45	5.689e-09
"ihfA"	"fis"	1.21	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"carA"	0.83	0.0	NaN	2	154	45	5.689e-09
"ihfA"	"carB"	0.49	0.0	NaN	2	154	45	5.689e-09
"ihfA"	"ssuD"	0.22	0.0	NaN	2	154	45	5.689e-09
"ihfA"	"ssuE"	0.41	0.0	NaN	2	154	45	5.689e-09
"ihfA"	"narK"	0.45	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"narG"	0.44	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"atoA"	0.15	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"hycG"	0.19	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"hycE"	0.32	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"pstA"	0.06	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"pstS"	0.53	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"ilvE"	0.34	0.0	NaN	-2	154	45	5.689e-09
"ihfA"	"nrfA"	0.49	0.03	NaN	2	154	45	5.689e-09
"ihfA"	"nrfB"	1.01	0.08	NaN	2	154	45	5.689e-09
"ihfA"	"adiA"	0.83	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"csgG"	0.36	0.1	NaN	1	154	45	5.689e-09
"ihfA"	"csgE"	0.47	0.11	NaN	1	154	45	5.689e-09
"ihfA"	"pspA"	0.68	0.04	NaN	1	154	45	5.689e-09
"ihfA"	"hycH"	0.17	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"hypA"	0.09	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"yjbE"	0.21	0.0	NaN	1	154	45	5.689e-09
"ihfA"	"nrfE"	0.75	0.0	NaN	2	154	45	5.689e-09
"ihfA"	"nrfG"	0.79	0.0	NaN	2	154	45	5.689e-09
"baeR"	"acrD"	1.38	0.0	NaN	1	8	3	5.689e-09
"baeR"	"spy"	5.12	0.0	NaN	1	8	3	5.689e-09
"baeR"	"mdtA"	3.39	0.0	NaN	1	8	3	5.689e-09
"baeR"	"mdtB"	1.62	0.0	NaN	1	8	3	5.689e-09
"baeR"	"mdtC"	1.24	0.0	NaN	1	8	3	5.689e-09
"gcvA"	"gcvA"	0.26	0.0	NaN	-1	4	2	5.689e-09
"argP"	"dnaA"	0.38	0.01	NaN	1	13	9	5.689e-09
"argP"	"dapB"	0.31	0.01	NaN	1	13	9	5.689e-09
"argP"	"gdhA"	1.51	0.03	NaN	1	13	9	5.689e-09
"argP"	"lysA"	0.91	0.04	NaN	1	13	9	5.689e-09
"argP"	"argO"	0.67	0.0	NaN	1	13	9	5.689e-09
"argP"	"lysC"	1.49	0.01	NaN	1	13	9	5.689e-09
"glcC"	"glcA"	1.22	0.42	NaN	1	6	2	5.689e-09
"glcC"	"glcB"	2.11	0.73	NaN	1	6	2	5.689e-09
"glcC"	"glcD"	1.54	0.43	NaN	1	6	2	5.689e-09
"glcC"	"glcF"	1.55	0.41	NaN	1	6	2	5.689e-09
"glcC"	"glcG"	1.19	0.44	NaN	1	6	2	5.689e-09
"argR"	"carA"	0.67	0.13	NaN	-1	36	15	2.25e-08
"argR"	"carB"	0.78	0.06	NaN	-1	36	15	2.25e-08
"argR"	"argF"	1.65	1.2	NaN	-1	36	15	2.25e-08
"argR"	"artJ"	2.39	0.94	NaN	-1	36	15	2.25e-08
"argR"	"artM"	1.27	0.0	NaN	-1	36	15	2.25e-08
"argR"	"artQ"	1.19	0.71	NaN	-1	36	15	2.25e-08
"argR"	"artI"	0.71	0.75	NaN	-1	36	15	2.25e-08
"argR"	"artP"	0.81	0.58	NaN	-1	36	15	2.25e-08
"argR"	"astE"	0.39	0.0	NaN	1	36	15	2.25e-08
"argR"	"astD"	0.66	0.0	NaN	1	36	15	2.25e-08
"argR"	"hisP"	0.73	0.15	NaN	-1	36	15	2.25e-08
"argR"	"hisM"	0.65	0.4	NaN	-1	36	15	2.25e-08
"argR"	"hisQ"	0.96	0.48	NaN	-1	36	15	2.25e-08
"argR"	"hisJ"	0.8	0.34	NaN	-1	36	15	2.25e-08
"argR"	"argA"	1.85	0.33	NaN	-1	36	15	2.25e-08
"argR"	"argG"	1.93	0.51	NaN	-1	36	15	2.25e-08
"argR"	"argD"	1.57	0.51	NaN	-1	36	15	2.25e-08
"argR"	"argE"	0.67	0.21	NaN	-1	36	15	2.25e-08
"argR"	"argC"	1.79	0.65	NaN	-1	36	15	2.25e-08
"argR"	"argB"	1.79	0.74	NaN	-1	36	15	2.25e-08
"argR"	"argH"	1.61	0.31	NaN	-1	36	15	2.25e-08
"argR"	"argI"	1.61	0.07	NaN	-1	36	15	2.25e-08
"fis"	"crp"	1.54	1.53	NaN	-1	73	35	2.85e-08
"fis"	"ptsG"	0.55	0.21	NaN	-2	73	35	2.85e-08
"fis"	"nrdA"	0.44	0.0	NaN	1	73	35	2.85e-08
"fis"	"nrdB"	0.32	0.0	NaN	1	73	35	2.85e-08
"fis"	"nuoM"	0.48	0.0	NaN	1	73	35	2.85e-08
"fis"	"nuoL"	0.54	0.0	NaN	1	73	35	2.85e-08
"fis"	"nuoK"	0.55	0.0	NaN	1	73	35	2.85e-08
"fis"	"nuoI"	0.52	0.0	NaN	1	73	35	2.85e-08
"fis"	"nuoG"	0.43	0.0	NaN	1	73	35	2.85e-08
"fis"	"nuoA"	0.47	0.0	NaN	1	73	35	2.85e-08
"fis"	"gltX"	0.19	0.05	NaN	-1	73	35	2.85e-08
"fis"	"nirB"	2.07	0.0	NaN	-1	73	35	2.85e-08
"fis"	"nirD"	1.95	0.0	NaN	-1	73	35	2.85e-08
"fis"	"cysG"	0.28	0.0	NaN	-1	73	35	2.85e-08
"fis"	"aldB"	1.66	0.0	NaN	-1	73	35	2.85e-08
"fis"	"talA"	1.33	0.0	NaN	1	73	35	2.85e-08
"fis"	"acs"	0.59	0.0	NaN	-1	73	35	2.85e-08
"fis"	"queA"	0.27	0.0	NaN	1	73	35	2.85e-08
"fis"	"tpr"	1.01	0.0	NaN	1	73	35	2.85e-08
"fis"	"topA"	0.19	0.69	NaN	-1	73	35	2.85e-08
"fis"	"yoaG"	0.11	0.0	NaN	-1	73	35	2.85e-08
"fis"	"yeaR"	0.62	0.0	NaN	-1	73	35	2.85e-08
"fis"	"yfaE"	0.5	0.0	NaN	1	73	35	2.85e-08
"fis"	"rrsG"	0.13	0.0	NaN	1	73	35	2.85e-08
"fis"	"rnpB"	0.66	0.47	NaN	2	73	35	2.85e-08
"crp"	"araC"	0.94	0.16	NaN	1	252	108	1e-09
"crp"	"prpR"	0.48	0.24	NaN	1	252	108	1e-09
"crp"	"lacI"	0.19	0.05	NaN	1	252	108	1e-09
"crp"	"mhpR"	0.78	0.34	NaN	1	252	108	1e-09
"crp"	"nagC"	0.36	0.1	NaN	2	252	108	1e-09
"crp"	"fur"	0.29	0.0	NaN	1	252	108	1e-09
"crp"	"ycfQ"	0.68	0.0	NaN	-1	252	108	1e-09
"crp"	"lsrR"	1.18	0.58	NaN	1	252	108	1e-09
"crp"	"malI"	0.05	0.46	NaN	1	252	108	1e-09
"crp"	"fucR"	1.01	0.24	NaN	1	252	108	1e-09
"crp"	"tdcA"	1.29	1.49	NaN	1	252	108	1e-09
"crp"	"fis"	0.67	0.23	NaN	2	252	108	1e-09
#"crp"	"crp"	1.84	0.82	NaN	3	252	108	1e-09
"crp"	"ompR"	0.54	0.0	NaN	2	252	108	1e-09
"crp"	"malT"	1.36	0.62	NaN	1	252	108	1e-09
"crp"	"glpR"	0.16	0.0	NaN	1	252	108	1e-09
"crp"	"yiaJ"	0.44	0.15	NaN	-1	252	108	1e-09
"crp"	"glnG"	0.43	0.06	NaN	2	252	108	1e-09
"crp"	"rhaS"	0.61	0.0	NaN	1	252	108	1e-09
"crp"	"rhaR"	0.3	0.0	NaN	1	252	108	1e-09
"crp"	"cytR"	0.6	0.19	NaN	3	252	108	1e-09
"crp"	"melR"	0.7	0.27	NaN	1	252	108	1e-09
"crp"	"dcuR"	0.51	0.23	NaN	1	252	108	1e-09
"crp"	"gcd"	0.99	0.42	NaN	-1	252	108	1e-09
"crp"	"hpt"	0.33	0.13	NaN	1	252	108	1e-09
"crp"	"prpB"	1.09	0.71	NaN	1	252	108	1e-09
"crp"	"prpC"	1.2	0.58	NaN	1	252	108	1e-09
"crp"	"prpD"	1.79	0.19	NaN	1	252	108	1e-09
"crp"	"tsx"	0.75	0.32	NaN	-3	252	108	1e-09
"crp"	"nagE"	0.75	0.35	NaN	3	252	108	1e-09
"crp"	"galM"	0.5	0.12	NaN	3	252	108	1e-09
"crp"	"pflB"	0.65	0.08	NaN	1	252	108	1e-09
"crp"	"focA"	0.62	0.11	NaN	1	252	108	1e-09
