Enzyme Frame ID	EC	Reaction ID	Reaction stoichiometry	Direction	Forward	Units	Reverse	Units	Comments	Km
"[""3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER""]"	2.1.2.11	MOHMT	[c] : 3mob + h2o + mlthf --> 2dhp + thf	forward only	0.783		0		"organism: Mycobacterium tuberculosis	comments:"	"[{""brendaLiteratureId"": ""485699"", ""substrate"": ""more"", ""kmValue"": ""-999"", ""kmValueMaximum"": """", ""commentary"": ""low Km-values for its substrates"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""Tetrahydropteroylpentaglutamate"", ""kmValue"": ""0.1"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""tetrahydropteroyltetraglutamate"", ""kmValue"": ""0.1"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485707"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.15"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.16"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""tetrahydropteroylhexaglutamate"", ""kmValue"": ""0.17"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""tetrahydrofolate"", ""kmValue"": ""0.18"", ""kmValueMaximum"": """", ""commentary"": ""forward and reverse reaction, methylenetetrahydrofolate: formaldehyde + tetrahydrofolate"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485701"", ""substrate"": ""tetrahydrofolate"", ""kmValue"": ""0.18"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""Tetrahydropteroyltriglutamate"", ""kmValue"": ""0.18"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""tetrahydropteroyldiglutamate"", ""kmValue"": ""0.25"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""tetrahydropteroylheptaglutamate"", ""kmValue"": ""0.29"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""Tetrahydropteroylmonoglutamate"", ""kmValue"": ""0.33"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""3-methyl-2-oxobutanoate"", ""kmValue"": ""1.1"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485701"", ""substrate"": ""3-methyl-2-oxobutanoate"", ""kmValue"": ""1.1"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""2-oxobutyrate"", ""kmValue"": ""2.9"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""3-methyl-2-oxopentanoate"", ""kmValue"": ""5.9"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""formaldehyde"", ""kmValue"": ""5.9"", ""kmValueMaximum"": """", ""commentary"": ""methylenetetrahydrofolate: formaldehyde + tetrahydrofolate"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485701"", ""substrate"": ""formaldehyde"", ""kmValue"": ""5.9"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""485700"", ""substrate"": ""2-Oxopentanoate"", ""kmValue"": ""25"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-ISOPROPYLMALDEHYDROG-MONOMER""]"	1.1.1.85	IPMD	[c] : 3c2hmp + nad --> 3c4mop + h + nadh	forward only	-1		0		In E. coli	"[{""brendaLiteratureId"": ""696778"", ""substrate"": ""more"", ""kmValue"": ""-999"", ""kmValueMaximum"": """", ""commentary"": ""thermodynamic and kinetics analysis, overview"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""639164"", ""substrate"": ""ethylmalate"", ""kmValue"": ""0.09"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.6"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""639164"", ""substrate"": ""isopropylmalate"", ""kmValue"": ""0.105"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.6, 40&deg;C"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""639164"", ""substrate"": ""propylmalate"", ""kmValue"": ""0.105"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.6"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""639164"", ""substrate"": ""tert-butylmalate"", ""kmValue"": ""0.214"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.6"", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""639164"", ""substrate"": ""NAD+"", ""kmValue"": ""0.321"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.6, 40&deg;C"", ""organism"": ""Escherichia coli""}]"
"[""3-ISOPROPYLMALISOM-CPLX""]"	4.2.1.33	IPPMIa	[c] : 3c2hmp <==> 2ippm + h2o	reversible						null
"[""3-ISOPROPYLMALISOM-CPLX""]"	4.2.1.33	IPPMIb	[c] : 2ippm + h2o <==> 3c3hmp	reversible						null
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR100	[c] : 3odecACP + h + nadph <==> 3hdecACP + nadp	reversible	-1				In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR120	[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp	reversible	-1				In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR121	[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp	forward only	-1		0		In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR140	[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp	reversible	-1				In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR141	[c] : 3ocmrs7eACP + h + nadph --> 3hcmrs7eACP + nadp	forward only	-1		0		In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR160	[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp	reversible	-1				In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR161	[c] : 3ocpalm9eACP + h + nadph --> 3hcpalm9eACP + nadp	forward only	-1		0		In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR180	[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp	reversible	-1				In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR181	[c] : 3ocvac11eACP + h + nadph --> 3hcvac11eACP + nadp	forward only	-1		0		In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR40	[c] : actACP + h + nadph <==> 3haACP + nadp	reversible	-1				In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR60	[c] : 3ohexACP + h + nadph <==> 3hhexACP + nadp	reversible	-1				In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	1.1.1.100	3OAR80	[c] : 3ooctACP + h + nadph <==> 3hoctACP + nadp	reversible	-1				In E. coli	"[{""brendaLiteratureId"": ""704337"", ""substrate"": ""NADPH"", ""kmValue"": ""0.01"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}, {""brendaLiteratureId"": ""704337"", ""substrate"": ""ethyl acetoacetate"", ""kmValue"": ""0.127"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli""}]"
