abbreviation	original abbreviation	officialName	equation	reconstruction directionality	subSystem	proteinClass	Enzyme association	reaction with marvin charges (pH7)	reaction with marvin charges (pH 7.2)	delta G (pH 7)	mM delta G (pH 7)	min delta G (pH 7)	max delta G (pH 7)	delta G (pH 7.2)	uncertainty in delta G (pH 7 or pH 7.2)	mM delta G (pH 7.2)	min delta G (pH 7.2)	max delta G (pH 7.2)	directionality without uncertainty (pH 7.2)	directionality with uncertainty (pH 7.2)	Manual enzyme annotation comments
NO3R2pp	NO3R2pp	Nitrate reductase (Menaquinol-8) (periplasm)	(2) h[c] + mql8[c] + no3[c] --> (2) h[p] + h2o[c] + mqn8[c] + no2[c]	forward only	Oxidative Phosphorylation		(NARW-MONOMER and NITRATREDUCTZ-CPLX)	(2) h + mql8 + no3 --> (2) h[p] + h2o + mqn8 + no2	(2) h + mql8 + no3 --> (2) h[p] + h2o + mqn8 + no2	-13.1	-6.7	-15.7	2.3	-13.1	8.5	-6.7	-15.7	2.3	reversible	reversible	
O16AP1pp	O16AP1pp	O16 antigen polymerase (periplasm)	[p] : (2) o16aund --> h + o16a2und + udcpdp	forward only	Lipopolysaccharide Biosynthesis / Recycling		(EG11982-MONOMER and G7090-MONOMER)	[p] : (2) o16aund[p] --> o16a2und[p] + udcpdp[p]	[p] : (2) o16aund[p] --> o16a2und[p] + udcpdp[p]	-1.4	-1.4	-12.3	9.6	-1.4	1.8	-1.4	-12.3	9.6	reversible	reversible	Taken from Feist
O16AP2pp	O16AP2pp	O16 antigen polymerase (periplasm)	[p] : o16a2und + o16aund --> h + o16a3und + udcpdp	forward only	Lipopolysaccharide Biosynthesis / Recycling		(EG11982-MONOMER and G7090-MONOMER)	[p] : o16a2und[p] + o16aund[p] --> o16a3und[p] + udcpdp[p]	[p] : o16a2und[p] + o16aund[p] --> o16a3und[p] + udcpdp[p]	-1.4	-1.4	-12.3	9.6	-1.4	1.8	-1.4	-12.3	9.6	reversible	reversible	Taken from Feist
O16AP3pp	O16AP3pp	O16 antigen polymerase (periplasm)	[p] : o16a3und + o16aund --> h + o16a4und + udcpdp	forward only	Lipopolysaccharide Biosynthesis / Recycling		(EG11982-MONOMER and G7090-MONOMER)	[p] : o16a3und[p] + o16aund[p] --> o16a4und[p] + udcpdp[p]	[p] : o16a3und[p] + o16aund[p] --> o16a4und[p] + udcpdp[p]	-1.4	-1.4	-12.3	9.6	-1.4	1.8	-1.4	-12.3	9.6	reversible	reversible	Taken from Feist
OBTFL_0	OBTFL	2-Oxobutanoate formate lyase	[c] : 2obut + coa --> for + ppcoa	forward only	Alternate Carbon Metabolism		(PYRUVFORMLY-CPLX and EG11784-MONOMER)	2obut + coa --> for + ppcoa	2obut + coa --> for + ppcoa	-5.1	-5.1	-14.1	3.9	-5.1	3.4	-5.1	-14.1	3.9	reversible	reversible	Activated pyruvate formate lyase. Removed pflA from metabolic model as it is an enzyme activator.
OBTFL_1	OBTFL	2-Oxobutanoate formate lyase	[c] : 2obut + coa --> for + ppcoa	forward only	Alternate Carbon Metabolism		PYRUVFORMLY-CPLX	2obut + coa --> for + ppcoa	2obut + coa --> for + ppcoa	-5.1	-5.1	-14.1	3.9	-5.1	3.4	-5.1	-14.1	3.9	reversible	reversible	Activated pyruvate formate lyase. Removed pflA from metabolic model as it is an enzyme activator.
OBTFL_2	OBTFL	2-Oxobutanoate formate lyase	[c] : 2obut + coa --> for + ppcoa	forward only	Alternate Carbon Metabolism		KETOBUTFORMLY-MONOMER	2obut + coa --> for + ppcoa	2obut + coa --> for + ppcoa	-5.1	-5.1	-14.1	3.9	-5.1	3.4	-5.1	-14.1	3.9	reversible	reversible	Activated pyruvate formate lyase. Removed pflA from metabolic model as it is an enzyme activator.
PDX5PS	PDX5PS	Pyridoxine 5'-phosphate synthase	[c] : dxyl5p + nad + phthr --> co2 + h + (2) h2o + nadh + pdx5p + pi	forward only	Cofactor and Prosthetic Group Biosynthesis		(CPLX0-7847 and CPLX0-321 and CPLX0-743)	dxyl5p + nad + phthr --> co2 + (2) h + (2) h2o + nadh + pdx5p + pi	dxyl5p + nad + phthr --> co2 + (2) h + (2) h2o + nadh + pdx5p + pi	-32.6	-36.7	-63.8	-22.9	-32.1	6.7	-36.2	-63.4	-22.5	forward only	forward only	Added Dxs complex based on reaction 2.2.1.7 in Metacyc being summed in this reaction
PFL_0	PFL	pyruvate formate lyase	[c] : coa + pyr --> accoa + for	forward only	Pyruvate Metabolism		(PYRUVFORMLY-CPLX and EG11784-MONOMER)	coa + pyr --> accoa + for	coa + pyr --> accoa + for	-5.1	-5.1	-14.1	3.9	-5.1	3.4	-5.1	-14.1	3.9	reversible	reversible	Activated pyruvate formate lyase. Removed pflA from metabolic model. Removed pflC from metabolic model. Both are activators.
PFL_1	PFL	pyruvate formate lyase	[c] : coa + pyr --> accoa + for	forward only	Pyruvate Metabolism		PYRUVFORMLY-CPLX	coa + pyr --> accoa + for	coa + pyr --> accoa + for	-5.1	-5.1	-14.1	3.9	-5.1	3.4	-5.1	-14.1	3.9	reversible	reversible	Activated pyruvate formate lyase. Removed pflA from metabolic model. Removed pflC from metabolic model. Both are activators.
PFL_2	PFL	pyruvate formate lyase	[c] : coa + pyr --> accoa + for	forward only	Pyruvate Metabolism		KETOBUTFORMLY-MONOMER	coa + pyr --> accoa + for	coa + pyr --> accoa + for	-5.1	-5.1	-14.1	3.9	-5.1	3.4	-5.1	-14.1	3.9	reversible	reversible	Activated pyruvate formate lyase. Removed pflA from metabolic model. Removed pflC from metabolic model. Both are activators.
PFL_3	PFL	pyruvate formate lyase	[c] : coa + pyr --> accoa + for	forward only	Pyruvate Metabolism		EG11910-MONOMER	coa + pyr --> accoa + for	coa + pyr --> accoa + for	-5.1	-5.1	-14.1	3.9	-5.1	3.4	-5.1	-14.1	3.9	reversible	reversible	Activated pyruvate formate lyase. Removed pflA from metabolic model. Removed pflC from metabolic model. Both are activators.
PHEMEabcpp	PHEMEabcpp	protoheme transport via ABC system (periplasm)	atp[c] + h2o[c] + pheme[c] --> adp[c] + h[c] + pheme[p] + pi[c]	forward only	Transport, Inner Membrane		ABC-35-CPLX	atp + h2o + pheme --> adp + h + pheme[p] + pi	atp + h2o + pheme --> adp + h + pheme[p] + pi	0	-11	-22.8	0.7	0.1	1.5	-10.9	-22.7	0.8	reversible	reversible	Added CcmD and CcmE to complex
PSD120	PSD120	Phosphatidylserine decarboxylase (n-C12:0)	[c] : h + ps120 --> co2 + pe120	forward only	Glycerophospholipid Metabolism	4.1.1.65	(PHOSPHASERDECARB-ALPHA-MONOMER and PHOSPHASERDECARB-BETA-MONOMER)	(2) h + ps120 --> co2 + pe120	(2) h + ps120 --> co2 + pe120	7.8	3.7	-14.5	8.4	7.2	2.4	3.1	-15	7.8	reversible	reversible	Proenzyme PSD forms two monomers which act as a complex
