"Object ID"	"Primary Name"	"Synonyms"
"DEOXYGLUCONOKIN-MONOMER"	"YhjI"	"[YhjI, KdgK]"
"2-DEHYDROPANTOATE-REDUCT-MONOMER"	"PanE"	"[PanE, ApbA]"
"MHPCHYDROL-MONOMER"	"MhpC"	"[MhpC]"
"G6721-MONOMER"	"YdbZ"	"[YdbZ, PaaY]"
"MHPDHYDROL-MONOMER"	"MhpS"	"[MhpS, MhpD]"
"THIH-MONOMER"	"ThiB"	"[ThiB, ThiH]"
"2-ISOPROPYLMALATESYN-MONOMER"	"LeuA"	"[LeuA]"
"G7158-MONOMER"	"YfaU"	"[YfaU]"
"KETOBUTFORMLY-INACT-MONOMER"	"YhaS"	"[YhaS, TdcE]"
"G6199-MONOMER"	"AcnC"	"[AcnC, YahT, PrpD]"
"G6198-MONOMER"	"YahS"	"[YahS, YzzD, PrpC]"
"G6196-MONOMER"	"YahQ"	"[YahQ, PrpB]"
"B1791-MONOMER"	"NimT"	"[NimT, YeaN]"
"HRSA-MONOMER"	"HrsA"	"[HrsA, EII<sup>MngA</sup>, EII<sup>HrsA</sup>, EII<sup>mannosylglycerate</sup>, Enzyme II<sup>mannosylglycerate</sup>, Frx]"
"OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON"	"YleB"	"[YleB, UbiF]"
"OCTAPRENYL-METHOXYPHENOL-OH-MONOMER"	"Acd"	"[Acd, VisB, UbiH]"
"EG11333-MONOMER"	"UbiI"	"[UbiI, VisC]"
"G6103-MONOMER"	"YafV"	"[YafV]"
"MEND-MONOMER"	"MenD"	"[MenD]"
"EG12438-MONOMER"	"YfbB"	"[YfbB, MenH]"
"EG11794-MONOMER"	"YgdE"	"[YgdE, RlmM, ribosomal RNA large subunit methyltransferase M]"
"G7845-MONOMER"	"RlmB"	"[RlmB, YjfH]"
"EG11507-MONOMER"	"RrmJ"	"[RrmJ, MrsF, FtsJ, RlmE, ribosomal RNA large subunit methyltransferase E]"
"G6746-MONOMER"	"RlhA"	"[RlhA, YdcP]"
"EG12207-MONOMER"	"YebH"	"[YebH, RrmA, RlmA, ribosomal RNA large subunit methyltransferase A, rRNA large subunit methyltransferase A]"
"EG12401-MONOMER"	"YfgB"	"[YfgB, RlmN, ribosomal RNA large subunit methyltransferase N]"
"G7603-MONOMER"	"YgjO"	"[YgjO, RlmG, ribosomal RNA large subunit methyltransferase G]"
"EG11254-MONOMER"	"YbeA"	"[YbeA, RlmH]"
"G6501-MONOMER"	"YccW"	"[YccW, RlmI]"
"EG11247-MONOMER"	"YgcA"	"[YgcA, RumA, RlmD]"
"G6449-MONOMER"	"YbjF"	"[YbjF, RumB, RlmC]"
"G6416-MONOMER"	"YbiN"	"[YbiN, RlmF, ribosomal RNA large subunit methyltransferase F]"
"EG12234-MONOMER"	"RlmJ"	"[RlmJ, YhiR]"
"EG12098-MONOMER"	"YfiI"	"[YfiI, RluD, SfhB]"
"G6581-MONOMER"	"RluE"	"[RluE, YmfC, ribosomal large subunit pseudouridine synthase E]"
"EG11921-MONOMER"	"RluF"	"[RluF, YjbC, ribosomal large subunit pseudouridine synthase F]"
"EG12433-MONOMER"	"RluB"	"[RluB, YciL, ribosomal large subunit pseudouridine synthase B]"
"EG12609-MONOMER"	"YabO"	"[YabO, RluA, ribosomal large subunit pseudouridine synthase A, 23S rRNA and tRNA pseudouridine synthase]"
"EG11118-MONOMER"	"YceC"	"[YceC, RluC, ribosomal large subunit pseudouridine synthase C, ribosomal large subunit (23S rRNA) pseudouridine synthase C]"
"EG11481-MONOMER"	"YigX"	"[YigX, YigW, MttC, TatD, ExoXI, exonuclease XI]"
"EG10043-MONOMER"	"Amt"	"[Amt, AmtA, CysQ]"
"DIOHBUTANONEPSYN-MONOMER"	"LuxH"	"[LuxH, HtrP, RibB]"
"DHPDIOXYGEN-MONOMER"	"MhpB"	"[MhpB, 2,3-dihydroxyphenylpropionate/2,3-dihydroxycinnamate 1,2-dioxygenase]"
"AROD-MONOMER"	"AroD"	"[AroD]"
"AROB-MONOMER"	"AroB"	"[AroB]"
"AROG-MONOMER"	"AroG"	"[AroG, 2-dehydro-3-deoxyphosphoheptonate aldolase]"
"AROH-MONOMER"	"2-dehydro-3-deoxyphosphoheptonate aldolase"	"[2-dehydro-3-deoxyphosphoheptonate aldolase, AroH]"
"AROF-MONOMER"	"AroF"	"[AroF, 2-dehydro-3-deoxyphosphoheptonate aldolase]"
"G7663-MONOMER"	"YrbJ"	"[YrbJ, KdsC, YrbI]"
"KDO-8PSYNTH-MONOMER"	"KdsA"	"[KdsA]"
"CPM-KDOSYNTH-MONOMER"	"KdsB"	"[KdsB]"
"EG12345-MONOMER"	"YdfG"	"[YdfG]"
"G6804-MONOMER"	"LsrF"	"[LsrF, YneB]"
"FABZ-MONOMER"	"YaeA"	"[YaeA, SefA, FabZ]"
"G7212-MONOMER"	"FadJ"	"[FadJ, YfcX, FadJ component of anaerobic fatty acid oxidation complex]"
"G6716-MONOMER"	"YdbU"	"[YdbU, HbdH, PaaH, 3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>)]"
"MHPT-MONOMER"	"YaiK"	"[YaiK, MhpT]"
"LEUC-MONOMER"	"LeuC"	"[LeuC, 3-isopropylmalate dehydratase, large subunit]"
"LEUD-MONOMER"	"LeuD"	"[LeuD, 3-isopropylmalate dehydratase, small subunit]"
"3-ISOPROPYLMALDEHYDROG-MONOMER"	"LeuB"	"[LeuB]"
"EG12285-MONOMER"	"YiaQ"	"[YiaQ, SgbH]"
"G7858-MONOMER"	"YjfV"	"[YjfV, SgaH, UlaD]"
"FADA-MONOMER"	"OldA"	"[OldA, FadA]"
"G7213-MONOMER"	"FadI"	"[FadI, YfcY, FadI component of anaerobic fatty acid oxidation complex]"
"EG11600-MONOMER"	"MstA"	"[MstA, SseA]"
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER"	"PanB"	"[PanB]"
"EG10986-MONOMER"	"TagA"	"[TagA, Tag]"
"EG11396-MONOMER"	"YigY"	"[YigY, YigC, UbiD]"
"3-OXOACYL-ACP-REDUCT-MONOMER"	"FabG"	"[FabG, 3-oxoacyl-[acyl-carrier-protein] reductase subunit]"
"AROA-MONOMER"	"AroA"	"[AroA]"
"EG11847-MONOMER"	"SquU"	"[SquU, YihU]"
"EG10270-MONOMER"	"SdgE"	"[SdgE, RbaA, Era]"
"EG10900-MONOMER"	"SsyF"	"[SsyF, RpsA]"
"EG10909-MONOMER"	"NusE"	"[NusE, RpsJ]"
"EG10910-MONOMER"	"RpsK"	"[RpsK]"
"EG10911-MONOMER"	"StrA"	"[StrA, AsuB, RpsL]"
"EG10912-MONOMER"	"RpsM"	"[RpsM]"
"EG10913-MONOMER"	"RpsN"	"[RpsN]"
"EG10914-MONOMER"	"SecC"	"[SecC, RpsO]"
"EG10915-MONOMER"	"RpsP"	"[RpsP]"
"EG10916-MONOMER"	"NeaA"	"[NeaA, RpsQ]"
"EG10917-MONOMER"	"RpsR"	"[RpsR]"
"EG10918-MONOMER"	"RpsS"	"[RpsS]"
"EG10901-MONOMER"	"RpsB"	"[RpsB]"
"EG10919-MONOMER"	"SupS"	"[SupS, RpsT]"
"EG10920-MONOMER"	"RpsU"	"[RpsU]"
"EG11508-MONOMER"	"Sra"	"[Sra, RpsV, Protein D]"
"EG10902-MONOMER"	"RpsC"	"[RpsC]"
"EG10903-MONOMER"	"RamA"	"[RamA, RpsD]"
"EG10904-MONOMER"	"Spc"	"[Spc, Eps, SpcA, RpsE]"
"EG10905-MONOMER"	"SdgH"	"[SdgH, RpsF]"
"EG10906-MONOMER"	"RpsG"	"[RpsG]"
"EG10907-MONOMER"	"RpsH"	"[RpsH]"
"EG10908-MONOMER"	"RpsI"	"[RpsI]"
"EG11178-MONOMER"	"YhbB"	"[YhbB, RbfA]"
"EG11166-MONOMER"	"YgiD"	"[YgiD]"
"EG11294-MONOMER"	"Ipk"	"[Ipk, YchB, IspE]"
"G7800-MONOMER"	"WecF"	"[WecF, Rff, RffT, YifM]"
"AMYLOMALT-MONOMER"	"MalA"	"[MalA, MalQ, amylomaltase]"
"GABATRANSAM-MONOMER"	"GabT"	"[GabT]"
"G6646-MONOMER"	"GoaG"	"[GoaG, PuuE]"
"GABP-MONOMER"	"GabP"	"[GabP, GabP APC transporter, GABA permease]"
"MHPELY-MONOMER"	"MhpE"	"[MhpE]"
"DIHYDROPICRED-MONOMER"	"DapB"	"[DapB, DHPR, dihydrodipicolinate reductase]"
"DIHYDRODIPICSYN-MONOMER"	"DapA"	"[DapA, DHDPS, dihydrodipicolinate synthase]"
"4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER"	"Cyr"	"[Cyr, UbiA]"
"PDXA-MONOMER"	"PdxA"	"[PdxA]"
"G6946-MONOMER"	"YdjY"	"[YdjY]"
"EG11090-MONOMER"	"Mtn"	"[Mtn, YadA, Pfs]"
"USHA-MONOMER"	"UshA"	"[UshA]"
"METHYLENETHFREDUCT-MONOMER"	"MetF"	"[MetF]"
"PURK-MONOMER"	"PurK"	"[PurK, purE2 peptide, CO2 subunit, AIR carboxylase]"
"EG11202-MONOMER"	"YigB"	"[YigB]"
"G6442-MONOMER"	"YbjI"	"[YbjI]"
"EG10997-MONOMER"	"MnmE"	"[MnmE, TrmE, ThdF, GTPase, involved in modification of U34 in tRNA, 5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmE]"
"EG10375-MONOMER"	"GidA"	"[GidA, MnmG, protein involved in modification of U34 in tRNA, TrmF]"
"G7463-MONOMER"	"YqeE"	"[YqeE, KduI, 5-keto 4-deoxyuronate isomerase]"
"G6954-MONOMER"	"YnjG"	"[YnjG, NudG, Orf135]"
"GLUCONREDUCT-MONOMER"	"YjgU"	"[YjgU, IdnO]"
"EG10574-MONOMER"	"RglB"	"[RglB, McrB, MrcB subunit of 5-methylcytosine restriction system]"
"EG10575-MONOMER"	"McrC"	"[McrC, MrcC subunit of 5-methylcytosine restriction system]"
"G6382-MONOMER"	"PxpA"	"[PxpA, YbgL, putative lactam utilization protein, putative glycoside hydrolase YbgL]"
"G6380-MONOMER"	"PxpB"	"[PxpB, YbgJ, putative hydrolase subunit YbgJ]"
"G6381-MONOMER"	"PxpC"	"[PxpC, YbgK, putative carboxyltransferase subunit YbgK]"
"EG10725-MONOMER"	"PhnP"	"[PhnP]"
"EG10864-MONOMER"	"Rpy"	"[Rpy, RplA]"
"EG10871-MONOMER"	"RplJ"	"[RplJ]"
"EG10872-MONOMER"	"RelC"	"[RelC, RplK]"
"EG10873-MONOMER"	"RplL"	"[RplL, 50S ribosomal subunit protein L7/L12]"
"EG10874-MONOMER"	"RplM"	"[RplM]"
"EG10875-MONOMER"	"RplN"	"[RplN]"
"EG10876-MONOMER"	"RplO"	"[RplO]"
"EG10877-MONOMER"	"RplP"	"[RplP]"
"EG10878-MONOMER"	"RplQ"	"[RplQ]"
"EG10879-MONOMER"	"RplR"	"[RplR]"
"EG10880-MONOMER"	"RplS"	"[RplS]"
"EG10865-MONOMER"	"RplB"	"[RplB]"
"EG10881-MONOMER"	"PdzA"	"[PdzA, RplT]"
"EG50001-MONOMER"	"RplU"	"[RplU]"
"EG10882-MONOMER"	"EryB"	"[EryB, RplV]"
"EG10883-MONOMER"	"RplW"	"[RplW]"
"EG10884-MONOMER"	"RplX"	"[RplX]"
"EG10885-MONOMER"	"RplY"	"[RplY]"
"EG50002-MONOMER"	"Rpz"	"[Rpz, RpmA]"
"EG10886-MONOMER"	"RpmB"	"[RpmB]"
"EG10887-MONOMER"	"RpmC"	"[RpmC]"
"EG10866-MONOMER"	"RplC"	"[RplC]"
"EG12449-MONOMER"	"PrmB"	"[PrmB, YfcB, ribosomal large subunit L3 protein glutamine methyltransferase, protein-glutamine N-methyltransferase]"
"EG10888-MONOMER"	"RpmD"	"[RpmD]"
"EG10889-MONOMER"	"RpmE"	"[RpmE]"
"EG10890-MONOMER"	"RpmF"	"[RpmF]"
"EG10891-MONOMER"	"RpmG"	"[RpmG]"
"EG10892-MONOMER"	"SsaF"	"[SsaF, RimA, RpmH]"
"EG11231-MONOMER"	"RpmI"	"[RpmI, 50S ribosomal subunit protein A, X1 protein]"
"EG11232-MONOMER"	"SecX"	"[SecX, RpmJ, 50S ribosomal subunit protein B]"
"EG10867-MONOMER"	"EryA"	"[EryA, RplD]"
"EG10868-MONOMER"	"RplE"	"[RplE]"
"EG10869-MONOMER"	"RplF"	"[RplF]"
"EG10870-MONOMER"	"RplI"	"[RplI]"
"G7319-MONOMER"	"Der"	"[Der, YfgK, EngA]"
"LUMAZINESYN-MONOMER"	"YbaF"	"[YbaF, RibH, RibE]"
"G7431-MONOMER"	"SscR"	"[SscR, YgcM, QueD]"
"EG11848-MONOMER"	"YihV"	"[YihV]"
"EG11846-MONOMER"	"SquT"	"[SquT, YihT]"
"G6487-MONOMER"	"YcbX"	"[YcbX, protein involved in base analog detoxification]"
"G495-MONOMER"	"YqfC"	"[YqfC, BglD, BglA]"
"EG10085-MONOMER"	"Sac"	"[Sac, AscB]"
"EG10114-MONOMER"	"BlgA"	"[BlgA, BglB, phospho-&beta;-glucosidase B; cryptic, 6-phospho-b-glucosidase, 6-phospho-b-D-glucosyl-(1,4)-D-glucose glucohydrolase, phospho-b-glucosidase, phosphocellobiase, 6-phospho-&beta;-glucosidase B; cryptic]"
"6PFK-1-MONOMER"	"PfkA"	"[PfkA]"
"6PFK-2-MONOMER"	"PfkB"	"[PfkB]"
"6PGLUCONDEHYDROG-MONOMER"	"Gnd"	"[Gnd]"
"EG11725-MONOMER"	"YieH"	"[YieH]"
"6PGLUCONOLACT-MONOMER"	"Pgl"	"[Pgl, YbhE]"
"7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"	"HdhA"	"[HdhA, Hsd, HsdH]"
"G7452-MONOMER"	"YqcD"	"[YqcD, QueF]"
"G6245-MONOMER"	"YbaX"	"[YbaX, QueC]"
"7KAPSYN-MONOMER"	"BioF"	"[BioF]"
"EG10626-MONOMER"	"NudA"	"[NudA, MutT]"
"MODF-MONOMER"	"ModF"	"[ModF, ChlD, PhrA, ORF6]"
"G6423-MONOMER"	"YbiT"	"[YbiT]"
"YHES-MONOMER"	"YheS"	"[YheS]"
"YOJI-MONOMER"	"YojJ"	"[YojJ, YojI]"
"MDLA-MONOMER"	"Mdl"	"[Mdl, MdlA, Mdl-N]"
"MDLB-MONOMER"	"Mdl"	"[Mdl, MdlB, Mdl-C]"
"YDDA-MONOMER"	"YddA"	"[YddA]"
"YHHJ-MONOMER"	"YhhJ"	"[YhhJ]"
"EG12311-MONOMER"	"IscX"	"[IscX, YfhJ, regulator of iron-sulfur cluster assembly]"
"MHPF-MONOMER"	"MhpF"	"[MhpF, acetaldehyde dehydrogenase 2]"
"ACETATEKINA-MONOMER"	"AckA"	"[AckA, propionate kinase 2, acetate kinase A]"
"YJCG-MONOMER"	"YjcG"	"[YjcG, ActP]"
"EG11512-MONOMER"	"SatP"	"[SatP, YaaH]"
"LARGEILVB-MONOMER"	"IlvB"	"[IlvB, acetohydroxy acid synthase I, large subunit]"
"SMALLILVN-MONOMER"	"IlvN"	"[IlvN, acetohydroxy acid synthase I, small subunit]"
"ACETOLACTSYNIII-ICHAIN-MONOMER"	"IlvI"	"[IlvI]"
"ACETOLACTSYNIII-HCHAIN-MONOMER"	"BrnP"	"[BrnP, IlvH]"
"G8221-MONOMER"	"IlvO"	"[IlvO, IlvG_1, IlvG, acetolactate synthase II, large subunit, N-ter fragment (pseudogene)]"
"SMALLILVM-MONOMER"	"IlvM"	"[IlvM, acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit]"
"ACETYL-COA-ACETYLTRANSFER-MONOMER"	"AtoB"	"[AtoB]"
"CARBOXYL-TRANSFERASE-ALPHA-MONOMER"	"AccA"	"[AccA]"
"CARBOXYL-TRANSFERASE-BETA-MONOMER"	"Usg"	"[Usg, DedB, AccD]"
"ACS-MONOMER"	"AcsA"	"[AcsA, YfaC, Acs]"
"ATOD-MONOMER"	"AtoD"	"[AtoD]"
"ATOA-MONOMER"	"AtoA"	"[AtoA]"
"G7234-MONOMER"	"YfdE"	"[YfdE]"
"EG11101-MONOMER"	"YbaC"	"[YbaC, Aes]"
"ACETYLGLUTKIN-MONOMER"	"ArgB"	"[ArgB]"
"ACETYLORNDEACET-MONOMER"	"ArgE"	"[ArgE]"
"APHA-MONOMER"	"HobH"	"[HobH, YjbP, AphA]"
"G6855-MONOMER"	"Asr"	"[Asr]"
"G7657-MONOMER"	"IbaG"	"[IbaG, YrbA, putative DNA-binding transcriptional regulator IbaG]"
"G7521-MONOMER"	"YqgB"	"[YqgB]"
"G6928-MONOMER"	"YdiY"	"[YdiY]"
"EG11495-MONOMER"	"YhiA"	"[YhiA, HdeD]"
"EG11338-MONOMER"	"MsyB"	"[MsyB]"
"ACONITASE-MONOMER"	"Acn"	"[Acn, AcnA]"
"EG11315-MONOMER"	"AcuI"	"[AcuI, YhdH]"
"EG12200-MONOMER"	"YegD"	"[YegD]"
"EG50003-MONOMER"	"apoprotein [acyl carrier protein]"	"[apoprotein [acyl carrier protein], AcpP, apo-[acyl carrier protein], apo-ACP, ACP]"
"EG11095-MONOMER"	"YajB"	"[YajB, AcpH]"
"ACYLCOADEHYDROG-MONOMER"	"FadE"	"[FadE, YafH]"
"EG11121-MONOMER"	"YciA"	"[YciA]"
"THIOESTERII-MONOMER"	"TesB"	"[TesB]"
"G6502-MONOMER"	"YccX"	"[YccX]"
"AAS-MONOMER"	"Aas"	"[Aas]"
"EG11692-MONOMER"	"AdeD"	"[AdeD, Adu, Ade, YicP, cryptic adenine deaminase]"
"EG10627-MONOMER"	"MicA"	"[MicA, MutY, adenine glycosylase; G.C &rarr; T.A transversions]"
"ADENPRIBOSYLTRAN-MONOMER"	"Apt"	"[Apt]"
"EG11691-MONOMER"	"AdeQ"	"[AdeQ, YicO]"
"EG11724-MONOMER"	"AdeP"	"[AdeP, YieG, PurP]"
"ADENODEAMIN-MONOMER"	"Add"	"[Add]"
"DAPASYN-MONOMER"	"BioA"	"[BioA]"
"ADENYLATECYC-MONOMER"	"Cya"	"[Cya, CyaA]"
"ADENYL-KIN-MONOMER"	"PlsA"	"[PlsA, DnaW, Adk]"
"ASL-MONOMER"	"Ade"	"[Ade, PurB]"
"ADENYLOSUCCINATE-SYN-MONOMER"	"AdeK"	"[AdeK, PurA]"
"ADENYLYLSULFKIN-MONOMER"	"CysC"	"[CysC]"
"G6225-MONOMER"	"YaiU"	"[YaiU]"
"G6894-MONOMER"	"YdhQ"	"[YdhQ]"
"EG12051-MONOMER"	"YejO"	"[YejO]"
"G7382-MONOMER"	"YpjA"	"[YpjA]"
"EG12210-MONOMER"	"WaaF"	"[WaaF, RfaF, ADP-heptose:LPS heptosyltransferase II, HepII]"
"EG11189-MONOMER"	"YibC"	"[YibC, WaaC, RfaC]"
"EG10838-MONOMER"	"HldD"	"[HldD, WaaD, NbsB, HtrM, RfaD]"
"G7740-MONOMER"	"NudE"	"[NudE, YrfE, ADP-sugar pyrophosphorylase]"
"EG12633-MONOMER"	"AspP"	"[AspP, NudF, YqiE, TrgB]"
"YCHM-MONOMER"	"DauA"	"[DauA, YchM]"
"AERGLYC3PDEHYDROG-MONOMER"	"GlyD"	"[GlyD, GlpD]"
"G7595-MONOMER"	"YqjJ"	"[YqjJ, Air, Aer]"
"AGMATIN-MONOMER"	"SpeB"	"[SpeB]"
"G6948-MONOMER"	"YnjA"	"[YnjA]"
"ALARACEBIOSYN-MONOMER"	"Alr"	"[Alr, alanine racemase 1, PLP-binding, biosynthetic, biosynthetic alanine racemase]"
"ALARACECAT-MONOMER"	"DadB"	"[DadB, AlnB, AlnA, DadX, alanine racemase 2, PLP-binding]"
"ALAS-MONOMER"	"Act"	"[Act, LovB, AlaS, ala-act]"
"SUCCGLUALDDEHYD-MONOMER"	"YdjU"	"[YdjU, AstD]"
"LACTALDDEHYDROG-MONOMER"	"Ald"	"[Ald, AldA]"
"ALDDEHYDROGB-MONOMER"	"YiaX"	"[YiaX, AldB]"
"G6156-MONOMER"	"YagS"	"[YagS, PaoB]"
"G6157-MONOMER"	"YagT"	"[YagT, PaoA]"
"G6155-MONOMER"	"YagR"	"[YagR, PaoC]"
"EG11436-MONOMER"	"Ahr"	"[Ahr, YjgB, AdhZ3]"
"G6190-MONOMER"	"YahK"	"[YahK, AdhZ2]"
"ADHE-MONOMER"	"AdhC"	"[AdhC, Ana, AdhE]"
"G6437-MONOMER"	"YliI"	"[YliI]"
"YCBE-MONOMER"	"YcbE"	"[YcbE]"
"YCBM-MONOMER"	"YcbM"	"[YcbM]"
"G6478-MONOMER"	"YcbO"	"[YcbO]"
"ALKAPHOSPHA-MONOMER"	"PsiA"	"[PsiA, PhoA]"
"EG10488-MONOMER"	"Iap"	"[Iap]"
"EG11384-MONOMER"	"Tpx"	"[Tpx, AhpC, alkyl hydroperoxide reductase, C22 subunit, Ssi8]"
"EG11385-MONOMER"	"AhpF"	"[AhpF, alkyl hydroperoxide reductase, F52a subunit]"
"EG11955-MONOMER"	"YjcS"	"[YjcS]"
"OPPSYN-MONOMER"	"Cel"	"[Cel, YhbD, IspB]"
"G6285-MONOMER"	"YlbB"	"[YlbB, AllC]"
"G6281-MONOMER"	"YbbX"	"[YbbX, AllB]"
"RIB5PISOMB-MONOMER"	"YjcA"	"[YjcA, AlsI, RpiB]"
"ALPHA-AMYL-CYTO-MONOMER"	"YedC"	"[YedC, AmyA]"
"ALPHA-AMYL-PERI-MONOMER"	"MalS"	"[MalS]"
"EG11850-MONOMER"	"YihX"	"[YihX, HAD4]"
"EG11685-MONOMER"	"YicI"	"[YicI]"
"KDGALDOL-MONOMER"	"YhaF"	"[YhaF, GarL]"
"ALPHAGALACTOSID-MONOMER"	"MelA"	"[MelA]"
"KGTP-MONOMER"	"WitA"	"[WitA, KgtP, &alpha;-ketoglutarate MFS transporter]"
"EG13236-MONOMER"	"YbgG"	"[YbgG, MngB]"
"G7323-MONOMER"	"YfhM"	"[YfhM, ECAM]"
"MONOMER0-2687"	"ArfA"	"[ArfA, YhdL]"
"PRPPAMIDOTRANS-MONOMER"	"Ade"	"[Ade, PurC, PurF]"
"EG11157-MONOMER"	"YgeA"	"[YgeA]"
"EG10724-MONOMER"	"PhnO"	"[PhnO]"
"ADCLY-MONOMER"	"PabC"	"[PabC]"
"PABASYN-COMPI-MONOMER"	"para-aminobenzoate synthase component I"	"[para-aminobenzoate synthase component I, ADC synthase, PabB, aminodeoxychorismate synthase component 1]"
"PABASYN-COMPII-MONOMER"	"para-aminobenzoate synthase glutamine amidotransferase component II"	"[para-aminobenzoate synthase glutamine amidotransferase component II, PabA, aminodeoxychorismate synthase component 2]"
"GCVT-MONOMER"	"GcvT"	"[GcvT, T-protein]"
"G7248-MONOMER"	"YpdF"	"[YpdF]"
"EG10694-MONOMER"	"PepA"	"[PepA, XerB, CarP]"
"EG12310-MONOMER"	"YfhI"	"[YfhI, PepB]"
"EG10696-MONOMER"	"PepN"	"[PepN, &alpha;-aminoacylpeptide hydrolase]"
"AMTB-MONOMER"	"YbaG"	"[YbaG, AmtB ammonium Amt transporter, AmtB]"
"AMP-NUCLEOSID-MONOMER"	"Amn"	"[Amn]"
"DCUB-MONOMER"	"GenF"	"[GenF, DcuB]"
"DCUC-MONOMER"	"DcuC"	"[DcuC]"
"ANGLYC3PDEHYDROGSUBUNITA-MONOMER"	"GlpA"	"[GlpA]"
"ANGLYC3PDEHYDROGSUBUNITB-MONOMER"	"GlpB"	"[GlpB]"
"ANGLYC3PDEHYDROGSUBUNITC-MONOMER"	"GlpC"	"[GlpC]"
"G7413-MONOMER"	"YgaK"	"[YgaK, YgaI, YgaJ, NorV, FlRd, flavorubredoxin]"
